Sample name,Irradiation,ET_1AU,group
XT_TXH_031_P2,12,676475562.320311,8
XT_TXH_032_P1,12,338237781.160156,8
XT_TXH_032_P2,12,676475562.320311,8
OWN_OL1_EN4_1,12,845594452.900389,8
OWN_OL2_EN3_1,12,845594452.900389,8
OWN_OL3_EN2_1,12,845594452.900389,8
OWN_OL4_EN1_1,12,845594452.900389,8
OC_TXH_002_A20,12,450983708.213541,8
OC_TXH_002_A40,12,901967416.427081,8
OC_TXH_002_A60,12,1352951124.64062,9
OC_TXH_006_A20,12,450983708.213541,8
OC_TXH_006_A40,12,901967416.427081,8
OC_TXH_011_A20,12,450983708.213541,8
OC_TXH_011_A40,12,901967416.427081,8
OC_TXH_011_A60,12,1352951124.64062,9
OC_TXH_011_A80,12,1803934832.85416,9
OC_TXH_011_D05,12,112745927.053385,8
OC_TXH_011_D15,12,338237781.160156,8
OC_TXH_011_D35,12,789221489.373696,8
OC_TXH_012_A20,12,450983708.213541,8
OC_TXH_012_A40,12,901967416.427081,8
OC_TXH_012_P05,12,112745927.053385,8
OC_TXH_012_P15,12,338237781.160156,8
OC_TXH_012_P35,12,789221489.373696,8
OC_TXH_013_D05,12,112745927.053385,8
OC_TXH_013_D15,12,338237781.160156,8
OC_TXH_013_P05,12,112745927.053385,8
OC_TXH_013_P15,12,338237781.160156,8
OC_TXH_015_D05,12,112745927.053385,8
OC_TXH_015_D15,12,338237781.160156,8
OC_TXH_016_A20,12,450983708.213541,8
OC_TXH_016_A40,12,901967416.427081,8
OC_TXH_018_P05,12,112745927.053385,8
OC_TXH_018_P15,12,338237781.160156,8
OC_TXH_018_P35,12,789221489.373696,8
OC_TXH_018_P55,12,1240205197.58724,9
OC_TXH_019_P05,12,112745927.053385,8
OC_TXH_019_P15,12,338237781.160156,8
OC_TXH_021_A20,12,450983708.213541,8
OC_TXH_021_A40,12,901967416.427081,8
OC_LVM_F1,12,422797226.450194,8
OC_PZ_Xin1,12,1005411804.49856,9
OC_PZ_Khe1,12,1005411804.49856,9
OC_AK_Ko1,6,85616.4383561644,3
OC_AK_Ko2,6,1268391.67935058,6
OC_AK_Ko3,6,3170979.19837646,6
OC_AK_Ko4,6,15854895.9918823,7
OC_AK_Ko5,6,30124302.3845764,7
OC_LP_B1_1,3,94.9106877307161,1
OC_LP_B2_1,3,236.183278223902,2
OC_LP_B3_1,3,599.205724382862,2
OC_LP_B1_2,3,94.9106877307161,1
OC_LP_B2_2,3,236.183278223902,2
OC_LP_B3_2,3,599.205724382862,2
OC_LP_B1_3,3,94.9106877307161,1
OC_LP_B2_3,3,236.183278223902,2
OC_LP_B3_3,3,599.205724382862,2
OC_LP_A1_1,3,94.9106877307161,1
OC_LP_A2_1,3,236.183278223902,2
OC_LP_A3_1,3,599.205724382862,2
OC_LP_A1_2,3,94.9106877307161,1
OC_LP_A2_2,3,236.183278223902,2
OC_LP_A3_2,3,599.205724382862,2
OC_LP_A1_3,3,94.9106877307161,1
OC_LP_A2_3,3,236.183278223902,2
OC_LP_A3_3,3,599.205724382862,2
MJL_OLV_1,9,1001.36185211888,3
MJL_OLV_2,9,3538.14521082005,3
MJL_OLV_3,9,16689.3642019814,3
