OC-AK-Ko,
W,R
0.522,0.0960043
0.523,0.0963284
0.524,0.0959533
0.525,0.0964845
0.526,0.0968675
0.527,0.0968587
0.528,0.0971778
0.529,0.0972878
0.53,0.0977189
0.531,0.0973919
0.532,0.0978269
0.533,0.0971719
0.534,0.098369
0.535,0.0981196
0.536,0.0984662
0.537,0.0984986
0.538,0.0992862
0.539,0.0989906
0.54,0.0991988
0.541,0.0996289
0.542,0.0993598
0.543,0.0990584
0.544,0.1000227
0.545,0.1000364
0.546,0.1001533
0.547,0.1000826
0.548,0.1001798
0.549,0.1013798
0.55,0.1005814
0.551,0.1006315
0.552,0.1012335
0.553,0.1011716
0.554,0.1014161
0.555,0.1019278
0.556,0.1019808
0.557,0.1019788
0.558,0.1019818
0.559,0.1024836
0.56,0.1023314
0.561,0.1024394
0.562,0.1029815
0.563,0.1029815
0.564,0.1029589
0.565,0.1030443
0.566,0.1031621
0.567,0.103551
0.568,0.1035844
0.569,0.1035756
0.57,0.1038869
0.571,0.1039045
0.572,0.1041481
0.573,0.1044594
0.574,0.1045104
0.575,0.10448
0.576,0.1046911
0.577,0.1045527
0.578,0.1050142
0.579,0.1046774
0.58,0.1050024
0.581,0.1050878
0.582,0.1054178
0.583,0.1061376
0.584,0.1059176
0.585,0.105735
0.586,0.1053844
0.587,0.1059235
0.588,0.1060679
0.589,0.1060924
0.59,0.1063782
0.591,0.1062957
0.592,0.1067808
0.593,0.1067808
0.594,0.106388
0.595,0.1069753
0.596,0.1075134
0.597,0.1066099
0.598,0.1070283
0.599,0.1075546
0.6,0.1075006
0.601,0.1070224
0.602,0.1075075
0.603,0.1075576
0.604,0.1079268
0.605,0.107971
0.606,0.1074604
0.607,0.1081929
0.608,0.1078983
0.609,0.1081497
0.61,0.1083559
0.611,0.1083137
0.612,0.1084826
0.613,0.1091327
0.614,0.1087674
0.615,0.1081507
0.616,0.1088597
0.617,0.1091396
0.618,0.1095137
0.619,0.1090689
0.62,0.1092663
0.621,0.1092368
0.622,0.109283
0.623,0.1094273
0.624,0.1098515
0.625,0.1098299
0.626,0.1098289
0.627,0.1100303
0.628,0.1100617
0.629,0.1102443
0.63,0.1097278
0.631,0.1100892
0.632,0.1104731
0.633,0.1109995
0.634,0.1106303
0.635,0.1106656
0.636,0.1110456
0.637,0.1113226
0.638,0.1109484
0.639,0.1111478
0.64,0.1105046
0.641,0.1115003
0.642,0.111518
0.643,0.1114424
0.644,0.1113766
0.645,0.1117291
0.646,0.1117016
0.647,0.1117036
0.648,0.1114905
0.649,0.1120974
0.65,0.1120905
0.651,0.1121769
0.652,0.1120934
0.653,0.1115445
0.654,0.1124028
0.655,0.1126051
0.656,0.1124273
0.657,0.1126247
0.658,0.1123311
0.659,0.1125746
0.66,0.1125402
0.661,0.112882
0.662,0.1133602
0.663,0.1130037
0.664,0.1130754
0.665,0.1124067
0.666,0.1133828
0.667,0.1128525
0.668,0.1133455
0.669,0.1124646
0.67,0.1139494
0.671,0.1126394
0.672,0.1132738
0.673,0.1131727
0.674,0.114138
0.675,0.1139111
0.676,0.1130185
0.677,0.1142087
0.678,0.1140692
0.679,0.1144601
0.68,0.1145671
0.681,0.1142676
0.682,0.1142951
0.683,0.1142686
0.684,0.1144993
0.685,0.1142705
0.686,0.1143118
0.687,0.1151691
0.688,0.1150551
0.689,0.1142617
0.69,0.1142961
0.691,0.115119
0.692,0.1151376
0.693,0.1151926
0.694,0.1143069
0.695,0.1143628
0.696,0.1148951
0.697,0.1154558
0.698,0.1154214
0.699,0.1149481
0.7,0.1156267
0.701,0.1150522
0.702,0.114844
0.703,0.115225
0.704,0.1158476
0.705,0.1156267
0.706,0.1154489
0.707,0.1153714
0.708,0.1152967
0.709,0.1158918
0.71,0.1158869
0.711,0.1149236
