OC-AK-Ko,
W,R
1.604,0.1271373
1.605,0.1273473
1.606,0.1279113
1.607,0.127246
1.608,0.1268913
1.609,0.1271424
1.61,0.1276401
1.611,0.1276611
1.612,0.1273076
1.613,0.1270128
1.614,0.1267384
1.615,0.1273243
1.616,0.1267938
1.617,0.1265356
1.618,0.1271595
1.619,0.1273453
1.62,0.1267095
1.621,0.1264948
1.622,0.1270847
1.623,0.1267528
1.624,0.1264557
1.625,0.1269211
1.626,0.1267512
1.627,0.1264814
1.628,0.1261677
1.629,0.1263571
1.63,0.1264077
1.631,0.1261228
1.632,0.1266997
1.633,0.1266475
1.634,0.12635
1.635,0.125697
1.636,0.1264207
1.637,0.1261504
1.638,0.1262574
1.639,0.1259666
1.64,0.1261655
1.641,0.1264914
1.642,0.1261958
1.643,0.1259706
1.644,0.1257351
1.645,0.1259176
1.646,0.1257486
1.647,0.1259284
1.648,0.125199
1.649,0.1254976
1.65,0.1255657
1.651,0.1251497
1.652,0.1256054
1.653,0.1256793
1.654,0.124999
1.655,0.1256242
1.656,0.1256623
1.657,0.1252462
1.658,0.1259016
1.659,0.1255115
1.66,0.1246135
1.661,0.1256075
1.662,0.1250089
1.663,0.1248458
1.664,0.1245505
1.665,0.1243307
1.666,0.1226118
1.667,0.1242547
1.668,0.1242657
1.669,0.124084
1.67,0.1239963
1.671,0.1240442
1.672,0.1241174
1.673,0.1241519
1.674,0.1234058
1.675,0.123636
1.676,0.1233349
1.677,0.1235724
1.678,0.123529
1.679,0.1232998
1.68,0.1233855
1.681,0.1233638
1.682,0.1231677
1.683,0.1227111
1.684,0.1229689
1.685,0.1223896
1.686,0.1229669
1.687,0.1221834
1.688,0.1226647
1.689,0.1223684
1.69,0.1219118
1.691,0.1223895
1.692,0.1222611
1.693,0.1220047
1.694,0.1216743
1.695,0.1219563
1.696,0.1209951
1.697,0.1216531
1.698,0.1212794
1.699,0.1204781
1.7,0.1210084
1.701,0.1207646
1.702,0.1211907
1.703,0.1206258
1.704,0.1212876
1.705,0.12066
1.706,0.1205887
1.707,0.1208755
1.708,0.1206817
1.709,0.1212103
1.71,0.1206427
1.711,0.1206611
1.712,0.1208842
1.713,0.1208217
1.714,0.1209259
1.715,0.1203875
1.716,0.1201894
1.717,0.1209352
1.718,0.1205805
1.719,0.1208279
1.72,0.1205492
1.721,0.1204
1.722,0.1204999
1.723,0.1207443
1.724,0.1201818
1.725,0.120203
1.726,0.1202157
1.727,0.1203017
1.728,0.1196828
1.729,0.120303
1.73,0.119911
1.731,0.1200865
1.732,0.1197463
1.733,0.1202483
1.734,0.1203245
1.735,0.1195377
1.736,0.1200299
1.737,0.1197742
1.738,0.1203263
1.739,0.1195246
1.74,0.1197157
1.741,0.1196472
1.742,0.1197864
1.743,0.1194312
1.744,0.1199576
1.745,0.1195142
1.746,0.1195907
1.747,0.1195664
1.748,0.1196641
1.749,0.1195316
1.75,0.1196552
1.751,0.1193676
1.752,0.1192356
1.753,0.1198496
1.754,0.1198032
1.755,0.1197568
1.756,0.1194706
1.757,0.1190707
1.758,0.1195624
1.759,0.1193343
1.76,0.1191695
1.761,0.11937
1.762,0.1190192
1.763,0.1196372
1.764,0.1190405
1.765,0.118802
1.766,0.1194596
1.767,0.1195995
1.768,0.1193923
1.769,0.1189748
1.77,0.1194468
1.771,0.1196173
1.772,0.1195381
1.773,0.1197118
1.774,0.1204379
1.775,0.1202471
1.776,0.1200598
1.777,0.1204653
1.778,0.1203873
1.779,0.1201665
1.78,0.1198789
1.781,0.1197198
1.782,0.1202027
1.783,0.1195477
1.784,0.1197829
1.785,0.1195432
1.786,0.1190167
1.787,0.1195647
1.788,0.1193869
1.789,0.1191087
1.79,0.119536
1.791,0.1191398
1.792,0.1193271
1.793,0.1192458
1.794,0.1191934
1.795,0.1188839
1.796,0.1189833
1.797,0.1188375
1.798,0.1185415
1.799,0.1182587
1.8,0.1180059
1.801,0.1184084
1.802,0.1179557
1.803,0.1177408
1.804,0.117769
1.805,0.1181165
1.806,0.1177543
1.807,0.1174271
1.808,0.1180352
1.809,0.1174767
1.81,0.1175173
1.811,0.117581
1.812,0.1173046
1.813,0.1173315
1.814,0.1168819
1.815,0.1169299
1.816,0.1170516
1.817,0.1168582
1.818,0.1168751
1.819,0.1170767
1.82,0.1167795
1.821,0.1175299
1.822,0.1177994
1.823,0.1172626
1.824,0.1157828
1.825,0.1158228
1.826,0.11617
1.827,0.1159503
1.828,0.1159459
1.829,0.1158254
1.83,0.1158424
1.831,0.1155944
1.832,0.1159735
1.833,0.1159815
1.834,0.1158425
1.835,0.1160764
1.836,0.1156785
1.837,0.1158542
1.838,0.1159539
1.839,0.1154932
1.84,0.1160323
1.841,0.1156784
1.842,0.11556
1.843,0.1154954
1.844,0.1154617
1.845,0.1159809
1.846,0.1156425
1.847,0.1148156
1.848,0.1157808
1.849,0.115643
1.85,0.1150789
1.851,0.1152242
1.852,0.1151092
1.853,0.1151102
1.854,0.1151525
1.855,0.1154083
1.856,0.11533
1.857,0.1150046
1.858,0.1152536
1.859,0.1150989
1.86,0.1149757
1.861,0.1157139
1.862,0.1150631
1.863,0.1156099
1.864,0.1156312
1.865,0.1156532
1.866,0.1150453
1.867,0.1152446
1.868,0.1147442
1.869,0.115101
1.87,0.1149567
1.871,0.1143258
1.872,0.1152402
1.873,0.1143231
1.874,0.1141137
1.875,0.114402
1.876,0.1142909
1.877,0.1139084
1.878,0.1144954
1.879,0.1143596
1.88,0.1143642
1.881,0.1142329
1.882,0.1139925
1.883,0.1144204
1.884,0.1142587
1.885,0.1144482
1.886,0.114258
1.887,0.1143777
1.888,0.1138518
1.889,0.1143331
1.89,0.1142108
1.891,0.1139931
1.892,0.1137133
1.893,0.1141682
1.894,0.1148691
1.895,0.1145482
1.896,0.1143973
1.897,0.1146778
1.898,0.1143709
1.899,0.1142865
1.9,0.1139821
1.901,0.1138007
1.902,0.114042
1.903,0.1143593
1.904,0.1142548
1.905,0.1140999
1.906,0.1143206
1.907,0.1143903
1.908,0.1146107
1.909,0.1145634
1.91,0.1147681
1.911,0.1144983
1.912,0.1148361
1.913,0.1154277
1.914,0.1143897
1.915,0.1151283
1.916,0.115492
1.917,0.1144934
1.918,0.1150627
1.919,0.1152353
1.92,0.1151832
1.921,0.1152177
1.922,0.1147184
1.923,0.1144599
1.924,0.1146881
1.925,0.1145763
1.926,0.1142804
1.927,0.1141751
1.928,0.1151592
1.929,0.1151115
1.93,0.1150682
1.931,0.1143285
1.932,0.1144108
1.933,0.1150956
1.934,0.1154889
1.935,0.1153179
1.936,0.115569
1.937,0.1150303
1.938,0.1159437
1.939,0.1150911
1.94,0.1157722
1.941,0.1150164
1.942,0.1158824
1.943,0.1156732
1.944,0.1157918
1.945,0.1157259
1.946,0.1157816
1.947,0.1159351
1.948,0.1156904
1.949,0.1157154
1.95,0.1152426
1.951,0.1155316
1.952,0.1156288
1.953,0.116398
1.954,0.1162939
1.955,0.1160048
1.956,0.1156968
1.957,0.1154404
1.958,0.1159799
1.959,0.1162629
1.96,0.1162386
1.961,0.1158272
1.962,0.1164016
1.963,0.1159137
1.964,0.1164421
1.965,0.1157854
1.966,0.1162327
1.967,0.1160211
1.968,0.1162438
1.969,0.1162743
1.97,0.1163188
1.971,0.1170426
1.972,0.1162939
1.973,0.1162749
1.974,0.116565
1.975,0.1162923
1.976,0.1164918
1.977,0.1162222
1.978,0.1166832
1.979,0.1172948
1.98,0.1161523
1.981,0.117046
1.982,0.1162202
1.983,0.1165016
1.984,0.1168034
1.985,0.1165347
1.986,0.1163817
1.987,0.1165367
1.988,0.1166202
1.989,0.1166597
1.99,0.1168903
1.991,0.1168949
1.992,0.1163555
1.993,0.1168614
1.994,0.1166723
1.995,0.1168634
1.996,0.1165525
1.997,0.1166399
1.998,0.116666
1.999,0.1167473
2,0.1164798
2.001,0.116928
2.002,0.116858
2.003,0.1166624
2.004,0.1169211
2.005,0.1168472
2.006,0.1169729
2.007,0.1167827
2.008,0.1169248
2.009,0.1169316
2.01,0.1170761
2.011,0.1169039
2.012,0.1167473
2.013,0.1164626
2.014,0.1171262
2.015,0.116902
2.016,0.1171402
2.017,0.1169755
2.018,0.1167818
2.019,0.116864
2.02,0.117259
2.021,0.116831
2.022,0.1168578
2.023,0.1163825
2.024,0.1172602
2.025,0.1167776
2.026,0.1168298
2.027,0.1174292
2.028,0.1167976
2.029,0.1172038
2.03,0.1170244
2.031,0.1168986
2.032,0.1169706
2.033,0.1168824
2.034,0.1172743
2.035,0.1171343
2.036,0.1173485
2.037,0.1170539
2.038,0.1169647
2.039,0.1169449
2.04,0.1175533
2.041,0.1168015
2.042,0.1170337
2.043,0.1175561
2.044,0.1173561
2.045,0.1172664
2.046,0.1176457
2.047,0.1168983
2.048,0.1172888
2.049,0.1175943
2.05,0.1171257
2.051,0.1176009
2.052,0.117687
2.053,0.1172681
2.054,0.1172024
2.055,0.1175997
2.056,0.1172766
2.057,0.1179463
2.058,0.1173709
2.059,0.1176435
2.06,0.1172506
2.061,0.1177993
2.062,0.1176329
2.063,0.1177003
2.064,0.1174054
2.065,0.1177613
2.066,0.1181566
2.067,0.1181636
2.068,0.1178815
2.069,0.1183222
2.07,0.1178827
2.071,0.1183386
2.072,0.117963
2.073,0.1182957
2.074,0.1185665
2.075,0.1179531
2.076,0.1186684
2.077,0.1181813
2.078,0.1182893
2.079,0.1182724
2.08,0.1182523
2.081,0.1192698
2.082,0.1177945
2.083,0.1186117
2.084,0.1186288
2.085,0.1177587
2.086,0.1189821
2.087,0.1186858
2.088,0.118668
2.089,0.1189422
2.09,0.1181902
2.091,0.118387
2.092,0.1185076
2.093,0.1186475
2.094,0.1181481
2.095,0.1191982
2.096,0.1182853
2.097,0.1185929
2.098,0.119119
2.099,0.1191695
2.1,0.1182264
2.101,0.1190284
2.102,0.1188737
2.103,0.1189833
2.104,0.1189643
2.105,0.1188245
2.106,0.1188674
2.107,0.1190011
2.108,0.1185145
2.109,0.1194269
2.11,0.119297
2.111,0.1190238
2.112,0.1195149
2.113,0.1191623
2.114,0.1190195
2.115,0.119178
2.116,0.1195287
2.117,0.1190322
2.118,0.1188584
2.119,0.1191404
2.12,0.1195914
2.121,0.1195881
2.122,0.1200645
2.123,0.1195303
2.124,0.1195309
2.125,0.1199317
2.126,0.1202189
2.127,0.119566
2.128,0.1193239
2.129,0.1189714
2.13,0.119837
2.131,0.1201758
2.132,0.1197011
2.133,0.1196583
2.134,0.1194112
2.135,0.1192617
2.136,0.11998
2.137,0.1195832
2.138,0.1199016
2.139,0.1192291
2.14,0.119952
2.141,0.1198304
2.142,0.1196332
2.143,0.1201323
2.144,0.1193655
2.145,0.120446
2.146,0.1202872
2.147,0.1197266
2.148,0.11952
2.149,0.1197464
2.15,0.1188441
2.151,0.1201461
2.152,0.1203432
2.153,0.1206826
2.154,0.1193075
2.155,0.1202619
2.156,0.1201928
2.157,0.1202452
2.158,0.1206296
2.159,0.1203754
2.16,0.1197372
2.161,0.1202536
2.162,0.1204195
2.163,0.1200035
2.164,0.1199826
2.165,0.1198234
2.166,0.1206684
2.167,0.1196626
2.168,0.1207902
2.169,0.1197171
2.17,0.1202309
2.171,0.1211877
2.172,0.1204945
2.173,0.1201806
2.174,0.1210593
2.175,0.1201754
2.176,0.1205289
2.177,0.1208754
2.178,0.1206879
2.179,0.1207806
2.18,0.1204117
2.181,0.1211461
2.182,0.1204599
2.183,0.1205055
2.184,0.1212358
2.185,0.121007
2.186,0.121146
2.187,0.121003
2.188,0.1209524
2.189,0.1205176
2.19,0.1220265
2.191,0.1207111
2.192,0.1198909
2.193,0.1221313
2.194,0.1209074
2.195,0.1205432
2.196,0.1214742
2.197,0.1207364
2.198,0.1209806
2.199,0.1217062
2.2,0.1212748
2.201,0.1217381
2.202,0.120608
2.203,0.121702
2.204,0.120768
2.205,0.1213613
2.206,0.120735
2.207,0.1206535
2.208,0.1211251
2.209,0.1215326
2.21,0.1217099
2.211,0.1214963
2.212,0.1216943
2.213,0.1217601
2.214,0.1202882
2.215,0.1210552
2.216,0.1218652
2.217,0.1213885
2.218,0.1223707
2.219,0.1208619
2.22,0.121915
2.221,0.1212308
2.222,0.1209491
2.223,0.1214832
2.224,0.1220481
2.225,0.1215598
2.226,0.1210587
2.227,0.1207916
2.228,0.1217127
2.229,0.1213384
2.23,0.1212599
2.231,0.1224078
2.232,0.1213761
2.233,0.1217329
2.234,0.1219146
2.235,0.1232295
2.236,0.12195
2.237,0.1210202
2.238,0.1219757
2.239,0.1221149
2.24,0.1212676
2.241,0.1219448
2.242,0.1218972
2.243,0.1209279
2.244,0.1226773
2.245,0.1200118
2.246,0.1224973
2.247,0.1208506
2.248,0.1224853
2.249,0.1211724
2.25,0.1223108
2.251,0.1225211
2.252,0.1219273
2.253,0.1222746
2.254,0.1212268
2.255,0.1212802
2.256,0.121751
2.257,0.1223478
2.258,0.1214361
2.259,0.1211861
2.26,0.1211064
2.261,0.121266
2.262,0.1225683
2.263,0.1218816
2.264,0.121053
2.265,0.1226184
2.266,0.1211385
2.267,0.1219834
2.268,0.121992
2.269,0.1219585
2.27,0.1223514
2.271,0.1219484
2.272,0.1209025
2.273,0.121285
2.274,0.1225334
2.275,0.1213377
2.276,0.1205937
2.277,0.1218182
2.278,0.1210441
2.279,0.1211816
2.28,0.121768
2.281,0.1230567
2.282,0.122925
2.283,0.1216351
2.284,0.1209726
2.285,0.1235929
2.286,0.1218633
2.287,0.1225264
2.288,0.1221125
2.289,0.1222382
2.29,0.1216392
2.291,0.1213685
2.292,0.1230519
2.293,0.1232363
2.294,0.1217809
2.295,0.1236116
2.296,0.1214679
2.297,0.1211225
2.298,0.1226298
2.299,0.1231493
2.3,0.1248979
2.301,0.123193
2.302,0.1209874
2.303,0.1209957
2.304,0.1218194
2.305,0.1219988
2.306,0.1245339
2.307,0.1233052
2.308,0.1236493
2.309,0.1222574
2.31,0.1221891
2.311,0.1226754
2.312,0.1225942
2.313,0.1225542
2.314,0.1212743
2.315,0.1232234
2.316,0.1242952
2.317,0.1233175
2.318,0.1225078
2.319,0.123578
2.32,0.1228103
2.321,0.1244315
2.322,0.122236
2.323,0.1221009
2.324,0.1227512
2.325,0.1233325
2.326,0.1233401
2.327,0.1232042
2.328,0.1210963
2.329,0.1230532
2.33,0.1250758
2.331,0.123096
2.332,0.1241096
2.333,0.1236794
2.334,0.12496
2.335,0.1234674
2.336,0.1232582
2.337,0.1242415
2.338,0.124866
2.339,0.1236387
2.34,0.12428
2.341,0.1225611
2.342,0.1238183
2.343,0.1242861
2.344,0.1235009
2.345,0.1234467
2.346,0.125449
2.347,0.1237029
2.348,0.1240009
2.349,0.1250598
2.35,0.1234584
2.351,0.1233125
2.352,0.124861
2.353,0.1227253
2.354,0.1220769
2.355,0.1245402
2.356,0.1229919
2.357,0.1242776
2.358,0.122148
2.359,0.1249915
2.36,0.1238773
2.361,0.1243795
2.362,0.1248433
2.363,0.1235142
2.364,0.1238103
2.365,0.1258404
2.366,0.1244518
2.367,0.1245749
2.368,0.1227744
2.369,0.1256815
2.37,0.1235131
2.371,0.1245663
2.372,0.1230265
2.373,0.1235508
2.374,0.1255012
2.375,0.1238431
2.376,0.1236983
2.377,0.1253014
2.378,0.1243476
2.379,0.124531
2.38,0.1269877
2.381,0.126699
2.382,0.1250061
2.383,0.1242312
2.384,0.124282
2.385,0.1227974
2.386,0.1253073
2.387,0.1229052
2.388,0.1246691
2.389,0.1256441
2.39,0.1265248
2.391,0.1264553
2.392,0.123179
2.393,0.1234468
2.394,0.1260278
2.395,0.1262687
2.396,0.125045
2.397,0.1228955
2.398,0.123966
2.399,0.1235318
2.4,0.1248003
2.401,0.1250625
2.402,0.1242978
2.403,0.1272677
2.404,0.1271463
2.405,0.1274159
2.406,0.1236065
2.407,0.1254787
2.408,0.1225597
2.409,0.1253229
2.41,0.126607
2.411,0.1262278
2.412,0.1245701
2.413,0.1276778
2.414,0.1246467
2.415,0.1257164
2.416,0.1234463
2.417,0.1268457
2.418,0.1261109
2.419,0.1256816
2.42,0.1283354
2.421,0.1240388
2.422,0.1243267
2.423,0.1251941
2.424,0.1257423
2.425,0.1258906
2.426,0.1249162
2.427,0.1264316
2.428,0.1266681
2.429,0.1255233
2.43,0.123519
2.431,0.1268942
2.432,0.1259185
2.433,0.1273023
2.434,0.1271848
2.435,0.1259336
2.436,0.1258643
2.437,0.1261253
2.438,0.1227865
2.439,0.126786
2.44,0.123084
2.441,0.1246335
2.442,0.1261135
2.443,0.1256737
2.444,0.1250565
2.445,0.1264588
2.446,0.1256624
2.447,0.1294669
2.448,0.1242891
2.449,0.1260562
2.45,0.1263154
2.451,0.1226282
2.452,0.1265509
2.453,0.1233121
2.454,0.1264608
2.455,0.1266228
2.456,0.1280846
2.457,0.1228563
2.458,0.1296896
2.459,0.127811
2.46,0.1274899
2.461,0.1274758
2.462,0.1296657
2.463,0.1260452
2.464,0.1241253
2.465,0.1261184
2.466,0.1240725
2.467,0.1260773
2.468,0.1233243
2.469,0.1256228
2.47,0.1241164
2.471,0.1250636
2.472,0.1254006
2.473,0.1260549
2.474,0.1218321
2.475,0.1279398
2.476,0.1272856
2.477,0.1246035
2.478,0.1265868
2.479,0.12429
2.48,0.1256011
2.481,0.1284044
2.482,0.1283652
2.483,0.1284713
2.484,0.1259367
2.485,0.1280516
2.486,0.129545
2.487,0.1295971
2.488,0.1280158
2.489,0.1308746
2.49,0.1230834
2.491,0.1286318
2.492,0.1278065
2.493,0.1275852
2.494,0.1239065
2.495,0.1292847
2.496,0.1241643
2.497,0.1279529
2.498,0.1302171
2.499,0.1304615
2.5,0.1290324
