Brown University Keck/NASA Relab Spectrum OC-TXH-015-D15/C1OC15D15,,
W,R,Standard Deviation
1.425,0.24672,0.00259
1.43,0.24735,0.00249
1.435,0.24758,0.00247
1.44,0.24801,0.00239
1.445,0.24826,0.00248
1.45,0.24865,0.00262
1.455,0.24917,0.00263
1.46,0.24933,0.00249
1.465,0.24976,0.00288
1.47,0.25034,0.00276
1.475,0.25029,0.00268
1.48,0.25089,0.0027
1.485,0.25047,0.00258
1.49,0.25082,0.00287
1.495,0.25084,0.00252
1.5,0.25119,0.00258
1.505,0.25072,0.00261
1.51,0.25011,0.0026
1.515,0.2505,0.00261
1.52,0.25046,0.00252
1.525,0.25068,0.0024
1.53,0.25105,0.00246
1.535,0.25119,0.00278
1.54,0.25092,0.00287
1.545,0.25106,0.00276
1.55,0.25108,0.00264
1.555,0.25078,0.00281
1.56,0.25065,0.00279
1.565,0.25111,0.00262
1.57,0.25074,0.00275
1.575,0.25033,0.00271
1.58,0.25055,0.00265
1.585,0.24945,0.00249
1.59,0.24908,0.00279
1.595,0.24942,0.0027
1.6,0.24931,0.00239
1.605,0.24888,0.00225
1.61,0.2491,0.00264
1.615,0.24962,0.00282
1.62,0.2491,0.00277
1.625,0.24886,0.00286
1.63,0.24868,0.00296
1.635,0.24849,0.00286
1.64,0.24803,0.00276
1.645,0.24766,0.00276
1.65,0.2473,0.0031
1.655,0.24669,0.00286
1.66,0.24616,0.00264
1.665,0.24628,0.00283
1.67,0.24559,0.00282
1.675,0.24503,0.00274
1.68,0.24489,0.00282
1.685,0.24443,0.00267
1.69,0.24514,0.00288
1.695,0.24416,0.00292
1.7,0.24449,0.00264
1.705,0.24447,0.00252
1.71,0.24353,0.00252
1.715,0.24324,0.00256
1.72,0.24275,0.00251
1.725,0.24248,0.00258
1.73,0.2419,0.00244
1.735,0.24157,0.00229
1.74,0.24109,0.00263
1.745,0.24073,0.00252
1.75,0.24038,0.00266
1.755,0.24071,0.0023
1.76,0.24069,0.00249
1.765,0.24058,0.00208
1.77,0.23996,0.00218
1.775,0.23971,0.0022
1.78,0.23931,0.00226
1.785,0.23906,0.00251
1.79,0.23921,0.00227
1.795,0.23894,0.00222
1.8,0.23796,0.00235
1.805,0.23764,0.00225
1.81,0.23715,0.00201
1.815,0.23674,0.00195
1.82,0.23597,0.00191
1.825,0.23618,0.00185
1.83,0.23643,0.0024
1.835,0.23665,0.00231
1.84,0.23672,0.00232
1.845,0.23625,0.0029
1.85,0.23592,0.00211
1.855,0.23569,0.00261
1.86,0.23521,0.00223
1.865,0.23502,0.00226
1.87,0.2348,0.0027
1.875,0.23455,0.0027
1.88,0.23408,0.00224
1.885,0.23387,0.00245
1.89,0.23365,0.00216
1.895,0.23337,0.00231
1.9,0.23328,0.00214
1.905,0.23314,0.00251
1.91,0.23331,0.00225
1.915,0.23336,0.00263
1.92,0.2339,0.00269
1.925,0.23348,0.00253
1.93,0.23292,0.00263
1.935,0.23319,0.00219
1.94,0.23319,0.00281
1.945,0.23375,0.00219
1.95,0.23315,0.00225
1.955,0.23219,0.00244
1.96,0.23252,0.00245
1.965,0.23259,0.002
1.97,0.23237,0.00205
1.975,0.23299,0.00217
1.98,0.23281,0.00218
1.985,0.23321,0.00189
1.99,0.23273,0.00182
1.995,0.23292,0.00187
2,0.23269,0.00193
2.005,0.23356,0.00205
2.01,0.23343,0.00218
2.015,0.23382,0.00213
2.02,0.23408,0.00278
2.025,0.23457,0.00259
2.03,0.23426,0.0022
2.035,0.2344,0.00209
2.04,0.23494,0.00235
2.045,0.23463,0.00231
2.05,0.2343,0.00213
2.055,0.23502,0.00214
2.06,0.23462,0.00211
2.065,0.23451,0.00204
2.07,0.2349,0.00208
2.075,0.23564,0.00204
2.08,0.23491,0.00179
2.085,0.23577,0.00183
2.09,0.23549,0.00227
2.095,0.23592,0.00247
2.1,0.23622,0.00254
2.105,0.23637,0.00237
2.11,0.23629,0.00239
2.115,0.23687,0.00257
2.12,0.23679,0.00278
2.125,0.23705,0.00237
2.13,0.2366,0.00274
2.135,0.23732,0.00247
2.14,0.23684,0.00219
2.145,0.23693,0.00254
2.15,0.23692,0.00221
2.155,0.23682,0.0019
2.16,0.23692,0.00186
2.165,0.2378,0.00198
2.17,0.23755,0.00208
2.175,0.23715,0.00223
2.18,0.23773,0.0024
2.185,0.23822,0.00252
2.19,0.23828,0.00262
2.195,0.23868,0.00233
2.2,0.23794,0.00278
2.205,0.23837,0.00222
2.21,0.23802,0.00226
2.215,0.23901,0.00228
2.22,0.23906,0.00206
2.225,0.23872,0.00256
2.23,0.23815,0.00235
2.235,0.23822,0.0023
2.24,0.2392,0.00252
2.245,0.23904,0.00202
2.25,0.23843,0.00236
2.255,0.23861,0.00211
2.26,0.23895,0.00239
2.265,0.2389,0.00243
2.27,0.2396,0.00303
2.275,0.23981,0.00283
2.28,0.23944,0.00254
2.285,0.23953,0.00278
2.29,0.23927,0.00271
2.295,0.23922,0.0025
2.3,0.23882,0.00269
2.305,0.23901,0.00241
2.31,0.23904,0.00256
2.315,0.2393,0.00257
2.32,0.23927,0.0025
2.325,0.23947,0.00267
2.33,0.23941,0.00248
2.335,0.23931,0.00246
2.34,0.23933,0.0022
2.345,0.23903,0.00219
2.35,0.2393,0.00233
2.355,0.23894,0.00305
2.36,0.23891,0.00257
2.365,0.23905,0.00287
2.37,0.2394,0.00269
2.375,0.23934,0.00259
2.38,0.23904,0.0027
2.385,0.23935,0.0025
2.39,0.23926,0.00268
2.395,0.23933,0.00274
2.4,0.2392,0.00308
2.405,0.23954,0.00298
2.41,0.23965,0.00285
2.415,0.23884,0.00296
2.42,0.24003,0.00266
2.425,0.23941,0.00263
2.43,0.23946,0.00256
2.435,0.23867,0.00287
2.44,0.23918,0.00278
2.445,0.23914,0.00299
2.45,0.23922,0.00303
2.455,0.23969,0.00283
2.46,0.23922,0.00274
2.465,0.23912,0.00305
2.47,0.23916,0.00294
2.475,0.23958,0.00268
2.48,0.24031,0.00264
2.485,0.23943,0.00276
2.49,0.23965,0.0024
2.495,0.2391,0.00266
2.5,0.23855,0.00193
2.505,0.23827,0.00235
2.51,0.23805,0.00266
2.515,0.23822,0.00269
2.52,0.23864,0.00278
2.525,0.2387,0.00311
2.53,0.239,0.00318
2.535,0.23929,0.00304
2.54,0.23946,0.00295
2.545,0.23932,0.00338
2.55,0.23933,0.00342
2.555,0.23916,0.00327
2.56,0.23909,0.00453
2.565,0.23897,0.00434
2.57,0.23909,0.00386
2.575,0.23921,0.0045
2.58,0.23941,0.00514
2.585,0.23967,0.00652
2.59,0.24014,0.00573
2.595,0.24052,0.00627
2.6,0.24118,0.00546
