OC-LP-B2_2,
W,R
0.25,0.087153295
0.255,0.090949182
0.26,0.095121677
0.265,0.098961928
0.27,0.102950271
0.275,0.106624329
0.28,0.110593601
0.285,0.114155755
0.29,0.118283816
0.295,0.12246713
0.3,0.127417381
0.305,0.132630912
0.31,0.138317582
0.315,0.144535638
0.32,0.150793652
0.325,0.157698564
0.33,0.164424566
0.335,0.171063646
0.34,0.178008521
0.345,0.184528274
0.35,0.190812268
0.355,0.196520135
0.36,0.202336015
0.365,0.208052268
0.37,0.213270784
0.375,0.218061234
0.38,0.222479781
0.385,0.227111738
0.39,0.231697732
0.395,0.235415235
0.4,0.24161626
0.405,0.244851089
0.41,0.247943352
0.415,0.251010031
0.42,0.254314305
0.425,0.257685658
0.43,0.26090485
0.435,0.263658861
0.44,0.266558245
0.445,0.270091963
0.45,0.273001552
0.455,0.27577547
0.46,0.27792056
0.465,0.280551585
0.47,0.28298772
0.475,0.28509998
0.48,0.28728683
0.485,0.289329858
0.49,0.291617567
0.495,0.293869755
0.5,0.296293918
0.505,0.29881995
0.51,0.301378072
0.515,0.30384515
0.52,0.306247112
0.525,0.308595633
0.53,0.31096682
0.535,0.313204527
0.54,0.315178649
0.545,0.317074049
0.55,0.318957781
0.555,0.320806154
0.56,0.322381707
0.565,0.323675931
0.57,0.324863039
0.575,0.325935234
0.58,0.326928296
0.585,0.327844525
0.59,0.328573297
0.595,0.329067554
0.6,0.329602796
0.605,0.330185117
0.61,0.330890759
0.615,0.331601526
0.62,0.332413805
0.625,0.33322584
0.63,0.333957144
0.635,0.334718331
0.64,0.335389188
0.645,0.336041534
0.65,0.336591704
0.655,0.337150288
0.66,0.33760863
0.665,0.338119414
0.67,0.33865254
0.675,0.339194831
0.68,0.339572242
0.685,0.33991799
0.69,0.340194053
0.695,0.340519315
0.7,0.340735461
0.705,0.340976604
0.71,0.341074594
0.715,0.341178245
0.72,0.341205531
0.725,0.3412139
0.73,0.341045073
0.735,0.340843033
0.74,0.340244606
0.745,0.339681478
0.75,0.338914129
0.755,0.338221202
0.76,0.337381761
0.765,0.336256629
0.77,0.335117124
0.775,0.33367185
0.78,0.332251915
0.785,0.330715204
0.79,0.32911645
0.795,0.327317184
0.8,0.325180372
0.805,0.323162324
0.81,0.320958083
0.815,0.318897047
0.82,0.316584485
0.825,0.314343976
0.83,0.312033255
0.835,0.309708594
0.84,0.307465995
0.845,0.306200119
0.85,0.302771384
0.855,0.29948788
0.86,0.295533837
0.865,0.294025378
0.87,0.29287619
0.875,0.291533131
0.88,0.290199987
0.885,0.288761857
0.89,0.287761797
0.895,0.287040069
0.9,0.28644924
0.905,0.286000201
0.91,0.285819683
0.915,0.285922251
0.92,0.286111108
0.925,0.286387049
0.93,0.286712565
0.935,0.28681704
0.94,0.287080115
0.945,0.287257601
0.95,0.287709462
0.955,0.287964192
0.96,0.288264526
0.965,0.288671758
0.97,0.289137505
0.975,0.289686199
0.98,0.290235256
0.985,0.290810887
0.99,0.291207587
0.995,0.29165301
1,0.291891026
1.005,0.292209432
1.01,0.292384367
1.015,0.292298456
1.02,0.292625872
1.025,0.292726215
1.03,0.293265595
1.035,0.293325974
1.04,0.293673785
1.045,0.293707408
1.05,0.293762996
1.055,0.293816937
1.06,0.294175834
1.065,0.294655304
1.07,0.295190712
1.075,0.295731631
1.08,0.296395929
1.085,0.297264621
1.09,0.298257925
1.095,0.299285728
1.1,0.300231736
1.11,0.300729691
1.12,0.302136932
