KC-OPX-hevn_0,
W,R
0.54088,0.30512
0.54133,0.30559
0.54179,0.3057
0.54224,0.30556
0.54269,0.30597
0.54314,0.30538
0.54359,0.30492
0.54404,0.30467
0.54449,0.3045
0.54494,0.30437
0.54539,0.30401
0.54584,0.30469
0.54629,0.30472
0.54675,0.30514
0.5472,0.30532
0.54765,0.30558
0.5481,0.30641
0.54855,0.30642
0.549,0.30678
0.54945,0.30685
0.5499,0.30688
0.55035,0.30713
0.5508,0.30688
0.55125,0.3068
0.5517,0.30728
0.55215,0.30706
0.5526,0.30761
0.55305,0.30738
0.5535,0.3078
0.55395,0.30762
0.5544,0.30816
0.55485,0.30834
0.5553,0.30853
0.55575,0.30903
0.5562,0.30925
0.55665,0.30925
0.5571,0.30947
0.55755,0.30926
0.558,0.30943
0.55845,0.30961
0.5589,0.30978
0.55935,0.30959
0.5598,0.3096
0.56025,0.31009
0.5607,0.30987
0.56115,0.30995
0.5616,0.31045
0.56205,0.31048
0.5625,0.3102
0.56295,0.31045
0.5634,0.31037
0.56385,0.31059
0.5643,0.31063
0.56475,0.31042
0.5652,0.31034
0.56565,0.31055
0.5661,0.31058
0.56655,0.31042
0.567,0.3104
0.56745,0.31049
0.56789,0.31061
0.56834,0.31111
0.56879,0.31106
0.56924,0.31115
0.56969,0.3114
0.57014,0.31204
0.57059,0.31216
0.57104,0.31218
0.57149,0.31227
0.57194,0.3122
0.57239,0.3123
0.57284,0.31189
0.57328,0.3122
0.57373,0.31193
0.57418,0.31205
0.57463,0.31216
0.57508,0.31207
0.57553,0.31232
0.57598,0.31226
0.57643,0.31262
0.57688,0.31284
0.57732,0.31299
0.57777,0.31324
0.57822,0.31357
0.57867,0.31362
0.57912,0.31379
0.57957,0.31355
0.58002,0.31397
0.58046,0.31359
0.58091,0.3139
0.58136,0.31384
0.58181,0.31419
0.58226,0.31404
0.58271,0.31416
0.58316,0.31411
0.5836,0.3142
0.58405,0.3144
0.5845,0.31425
0.58495,0.31474
0.5854,0.3148
0.58584,0.31482
0.58629,0.31487
0.58674,0.31474
0.58719,0.31517
0.58764,0.31501
0.58809,0.31529
0.58853,0.31566
0.58898,0.31609
0.58943,0.31633
0.58988,0.31669
0.59032,0.31717
0.59077,0.31737
0.59122,0.31737
0.59167,0.31707
0.59212,0.31685
0.59256,0.31678
0.59301,0.31642
0.59346,0.31653
0.59391,0.31616
0.59435,0.31626
0.5948,0.31633
0.59525,0.31656
0.5957,0.31622
0.59615,0.31647
0.59659,0.31663
0.59704,0.31661
0.59749,0.3166
0.59793,0.3167
0.59838,0.31683
0.59883,0.31704
0.59928,0.31698
0.59972,0.31703
0.60017,0.31699
0.60062,0.31706
0.60107,0.31723
0.60151,0.31718
0.60196,0.31782
0.60241,0.31773
0.60285,0.318
0.6033,0.31824
0.60375,0.31838
0.6042,0.3186
0.60464,0.31908
0.60509,0.31912
0.60554,0.31934
0.60598,0.31967
0.60643,0.31967
0.60688,0.31982
0.60732,0.32016
0.60777,0.32023
0.60822,0.3201
0.60866,0.32027
0.60911,0.32017
0.60956,0.32065
0.61,0.32046
0.61045,0.32059
0.6109,0.3211
0.61134,0.32157
0.61179,0.32168
0.61224,0.3221
0.61268,0.32233
0.61313,0.32259
0.61358,0.32266
0.61402,0.32294
0.61447,0.32325
0.61492,0.32319
0.61536,0.32355
0.61581,0.32403
0.61625,0.32412
0.6167,0.32429
0.61715,0.32474
0.61759,0.32469
0.61804,0.32466
0.61848,0.32496
0.61893,0.32523
0.61938,0.32542
0.61982,0.32559
0.62027,0.3259
0.62071,0.32625
0.62116,0.32627
0.62161,0.32643
0.62205,0.32635
0.6225,0.32628
0.62294,0.32623
0.62339,0.32602
0.62384,0.32615
0.62428,0.32648
0.62473,0.32659
0.62517,0.32696
0.62562,0.32699
0.62606,0.32697
0.62651,0.32717
0.62696,0.32703
0.6274,0.32711
0.62785,0.32699
0.62829,0.3269
0.62874,0.32723
0.62918,0.32769
0.62963,0.32812
0.63007,0.32867
0.63052,0.32897
0.63096,0.32947
0.63141,0.3296
0.63185,0.32972
0.6323,0.33008
0.63274,0.33062
0.63319,0.3307
0.63364,0.33123
0.63408,0.33163
0.63453,0.332
0.63497,0.33226
0.63542,0.33254
0.63586,0.33314
0.63631,0.33314
0.63675,0.33317
0.6372,0.33329
0.63764,0.33362
0.63809,0.33373
0.63853,0.33379
0.63897,0.33366
0.63942,0.33338
0.63986,0.33295
0.64031,0.33283
0.64075,0.33266
0.6412,0.33241
0.64164,0.33225
0.64209,0.33226
0.64253,0.33245
0.64298,0.33276
0.64342,0.33288
0.64387,0.33297
0.64431,0.33296
0.64475,0.33325
0.6452,0.33338
0.64564,0.33379
0.64609,0.33417
0.64653,0.33485
0.64698,0.33544
0.64742,0.33571
0.64786,0.33622
0.64831,0.33666
0.64875,0.33682
0.6492,0.33721
0.64964,0.33695
0.65009,0.33724
0.65053,0.3373
0.65097,0.33749
0.65142,0.3377
0.65186,0.33788
0.65231,0.33799
0.65275,0.33803
0.65319,0.33782
0.65364,0.3379
0.65408,0.33836
0.65452,0.33789
0.65497,0.33779
0.65541,0.33793
0.65586,0.33818
0.6563,0.33857
0.65674,0.33857
0.65719,0.33865
0.65763,0.33895
0.65807,0.33902
0.65852,0.33921
0.65896,0.33956
0.6594,0.3395
0.65985,0.33932
0.66029,0.33971
0.66073,0.34005
0.66118,0.33984
0.66162,0.33977
0.66207,0.34026
0.66251,0.34032
0.66295,0.34074
0.66339,0.34126
0.66384,0.34176
0.66428,0.3423
0.66472,0.34288
0.66517,0.34338
0.66561,0.34353
0.66605,0.34357
0.6665,0.34366
0.66694,0.34374
0.66738,0.34373
0.66783,0.34378
0.66827,0.34412
0.66871,0.34376
0.66915,0.34349
0.6696,0.34351
0.67004,0.34333
0.67048,0.34336
0.67093,0.34338
0.67137,0.34387
0.67181,0.34422
0.67225,0.34484
0.6727,0.34495
0.67314,0.34574
0.67358,0.34625
0.67402,0.34634
0.67447,0.3471
0.67491,0.34762
0.67535,0.348
0.67579,0.34797
0.67624,0.348
0.67668,0.3479
0.67712,0.34756
0.67756,0.34712
0.67801,0.34717
0.67845,0.34697
0.67889,0.34685
0.67933,0.34754
