Brown University Keck/NASA Relab Spectrum PO-LAM-087-IA/CIPO87,
W,R
0.3,0.11775
0.305,0.11335
0.31,0.11549
0.315,0.11658
0.32,0.12169
0.325,0.12856
0.33,0.13886
0.335,0.15399
0.34,0.17455
0.345,0.19901
0.35,0.22795
0.355,0.25873
0.36,0.28868
0.365,0.31417
0.37,0.33309
0.375,0.34786
0.38,0.35718
0.385,0.3668
0.39,0.38233
0.395,0.39346
0.4,0.40396
0.405,0.42399
0.41,0.45712
0.415,0.46965
0.42,0.47541
0.425,0.47705
0.43,0.47953
0.435,0.4864
0.44,0.49499
0.445,0.49794
0.45,0.50569
0.455,0.5153
0.46,0.53034
0.465,0.54352
0.47,0.55254
0.475,0.5605
0.48,0.57557
0.485,0.57962
0.49,0.58384
0.495,0.5889
0.5,0.60372
0.505,0.61748
0.51,0.62222
0.515,0.62975
0.52,0.63712
0.525,0.64458
0.53,0.65125
0.535,0.65913
0.54,0.66953
0.545,0.67668
0.55,0.68437
0.555,0.68852
0.56,0.69403
0.565,0.69593
0.57,0.69766
0.575,0.69853
0.58,0.6966
0.585,0.69611
0.59,0.69583
0.595,0.69533
0.6,0.69159
0.605,0.68782
0.61,0.68457
0.615,0.67925
0.62,0.67491
0.625,0.67049
0.63,0.66747
0.635,0.66515
0.64,0.66662
0.645,0.67244
0.65,0.67577
0.655,0.68154
0.66,0.68404
0.665,0.68776
0.67,0.68721
0.675,0.68802
0.68,0.68427
0.685,0.6782
0.69,0.67301
0.695,0.66704
0.7,0.65941
0.705,0.65127
0.71,0.6446
0.715,0.63425
0.72,0.62294
0.725,0.614
0.73,0.60037
0.735,0.58769
0.74,0.57612
0.745,0.55994
0.75,0.54704
0.755,0.53292
0.76,0.5121
0.765,0.49651
0.77,0.48426
0.775,0.46899
0.78,0.45366
0.785,0.44078
0.79,0.42842
0.795,0.41482
0.8,0.40372
0.805,0.3927
0.81,0.38338
0.815,0.37115
0.82,0.36203
0.825,0.3525
0.83,0.34397
0.835,0.33673
0.84,0.32851
0.845,0.32144
0.85,0.31383
0.855,0.30688
0.86,0.299
0.865,0.2977
0.87,0.29266
0.875,0.28738
0.88,0.28122
0.885,0.27634
0.89,0.2707
0.895,0.26496
0.9,0.25877
0.905,0.25308
0.91,0.24622
0.915,0.23967
0.92,0.23236
0.925,0.22519
0.93,0.21821
0.935,0.21124
0.94,0.2039
0.945,0.19731
0.95,0.19081
0.955,0.18425
0.96,0.17759
0.965,0.17224
0.97,0.1667
0.975,0.16167
0.98,0.15695
0.985,0.15267
0.99,0.14915
0.995,0.14547
1,0.14185
1.005,0.13927
1.01,0.13644
1.015,0.1343
1.02,0.13229
1.025,0.13051
1.03,0.12899
1.035,0.12756
1.04,0.12701
1.045,0.12634
1.05,0.12576
1.055,0.12531
1.06,0.12543
1.065,0.12552
1.07,0.1261
1.075,0.127
1.08,0.12792
1.085,0.12919
1.09,0.13125
1.095,0.13312
1.1,0.13545
1.105,0.13781
1.11,0.14064
1.115,0.14354
1.12,0.14652
1.125,0.14945
1.13,0.1523
1.135,0.15528
1.14,0.15849
1.145,0.16111
1.15,0.16388
1.155,0.16645
1.16,0.16899
1.165,0.17152
1.17,0.17331
1.175,0.17537
