Brown University Keck/NASA Relab Spectrum OC-TXH-013-P05/C1OC13P05,
W,R
0.25,0.087242
0.255,0.088632
0.26,0.088888
0.265,0.087427
0.27,0.088377
0.275,0.09002
0.28,0.091415
0.285,0.092712
0.29,0.093976
0.295,0.095616
0.3,0.097496
0.305,0.099609
0.31,0.102351
0.315,0.1055
0.32,0.110113
0.325,0.113855
0.33,0.118041
0.335,0.122453
0.34,0.127045
0.345,0.131578
0.35,0.136317
0.355,0.141053
0.36,0.145628
0.365,0.149948
0.37,0.154017
0.375,0.157844
0.38,0.161232
0.385,0.164417
0.39,0.167126
0.395,0.169655
0.4,0.171862
0.405,0.174005
0.41,0.176406
0.415,0.178298
0.42,0.179998
0.425,0.181644
0.43,0.183197
0.435,0.184571
0.44,0.185778
0.445,0.186828
0.45,0.187636
0.455,0.188664
0.46,0.190437
0.465,0.19097
0.47,0.192099
0.475,0.19328
0.48,0.194477
0.485,0.195438
0.49,0.196335
0.495,0.197174
0.5,0.198284
0.505,0.198968
0.51,0.199816
0.515,0.200675
0.52,0.201413
0.525,0.202058
0.53,0.202693
0.535,0.203418
0.54,0.204051
0.545,0.204676
0.55,0.205317
0.555,0.205929
0.56,0.206577
0.565,0.207105
0.57,0.207642
0.575,0.208128
0.58,0.20858
0.585,0.209021
0.59,0.209462
0.595,0.20997
0.6,0.210427
0.605,0.211071
0.61,0.211434
0.615,0.211993
0.62,0.212347
0.625,0.212771
0.63,0.213217
0.635,0.213811
0.64,0.214388
0.645,0.215007
0.65,0.215624
0.655,0.216122
0.66,0.216705
0.665,0.217234
0.67,0.217785
0.675,0.218266
0.68,0.218493
0.685,0.218542
0.69,0.219576
0.695,0.22015
0.7,0.220497
0.705,0.220632
0.71,0.220848
0.715,0.221327
0.72,0.221588
0.725,0.221776
0.73,0.222106
0.735,0.222316
0.74,0.22257
0.745,0.222603
0.75,0.222518
0.755,0.222645
0.76,0.222518
0.765,0.222137
0.77,0.221697
0.775,0.22146
0.78,0.221201
0.785,0.220969
0.79,0.220534
0.795,0.219906
0.8,0.219446
0.805,0.218963
0.81,0.218408
0.815,0.217709
0.82,0.217174
0.825,0.21633
0.83,0.215591
0.835,0.214901
0.84,0.213935
0.845,0.213177
0.85,0.212329
0.855,0.211294
0.86,0.210618
0.865,0.209835
0.87,0.208894
0.875,0.208239
0.88,0.2077
0.885,0.206708
0.89,0.206151
0.895,0.205682
0.9,0.205212
0.905,0.20452
0.91,0.20395
0.915,0.203572
0.92,0.203049
0.925,0.20279
0.93,0.202606
0.935,0.202329
0.94,0.201997
0.945,0.20205
0.95,0.201832
0.955,0.201709
0.96,0.201749
0.965,0.201664
0.97,0.201678
0.975,0.201703
0.98,0.201758
0.985,0.201775
0.99,0.201677
0.995,0.201597
1,0.20149
1.005,0.201415
1.01,0.201322
1.015,0.201213
1.02,0.201226
1.025,0.20114
1.03,0.201095
1.035,0.201164
1.04,0.201198
1.045,0.201264
1.05,0.201526
1.055,0.201776
1.06,0.20201
1.065,0.202123
1.07,0.202202
1.075,0.202215
1.08,0.202508
1.085,0.202927
1.09,0.203065
1.095,0.203207
1.1,0.203483
1.105,0.203685
1.11,0.204048
1.115,0.204424
1.12,0.204782
1.125,0.205101
1.13,0.205355
1.135,0.205789
1.14,0.205817
1.145,0.205966
1.15,0.20604
1.155,0.206211
1.16,0.206497
1.165,0.206378
1.17,0.206279
1.175,0.206419
1.18,0.206671
1.185,0.206921
1.19,0.206936
1.195,0.206993
1.2,0.206921
1.205,0.206773
1.21,0.206689
1.215,0.206546
1.22,0.206344
1.225,0.206366
1.23,0.206443
1.235,0.206515
1.24,0.20647
1.245,0.206343
1.25,0.206481
1.255,0.206567
1.26,0.206549
1.265,0.206683
1.27,0.206593
1.275,0.206325
1.28,0.206089
1.285,0.206182
1.29,0.206139
1.295,0.205959
1.3,0.206005
1.305,0.206121
1.31,0.206328
1.315,0.206048
1.32,0.205915
1.325,0.206122
1.33,0.206398
1.335,0.206548
1.34,0.206503
1.345,0.206564
1.35,0.206772
1.355,0.207296
1.36,0.207823
1.365,0.207676
1.37,0.207508
1.375,0.207138
1.38,0.208052
1.385,0.207768
1.39,0.207264
1.395,0.207446
1.4,0.207035
