YY_OL_3,
W,R
0.5,0.379803624
0.503,0.380712045
0.506,0.3839318
0.509,0.388572291
0.512,0.390981396
0.515,0.39517949
0.518,0.397390333
0.521,0.398932655
0.524,0.400067727
0.527,0.402380514
0.53,0.404793278
0.533,0.406713413
0.536,0.41023348
0.539,0.412024623
0.542,0.412283106
0.545,0.412594813
0.548,0.414040826
0.551,0.416621147
0.554,0.419249957
0.557,0.422254542
0.56,0.42277321
0.563,0.424019659
0.566,0.425504598
0.569,0.427372925
0.572,0.429070694
0.575,0.430283058
0.578,0.431741842
0.581,0.434671478
0.584,0.434890147
0.587,0.435210976
0.59,0.436581578
0.593,0.438639239
0.596,0.440129929
0.599,0.442662009
0.602,0.443214906
0.605,0.444457582
0.608,0.445688406
0.611,0.446667226
0.614,0.448172301
0.617,0.449666141
0.62,0.450819478
0.623,0.451851794
0.626,0.453243571
0.629,0.454892725
0.632,0.455728772
0.635,0.456659534
0.638,0.457583058
0.641,0.458633999
0.644,0.460226269
0.647,0.461311437
0.65,0.462686105
0.653,0.464467996
0.656,0.465416537
0.659,0.466904823
0.662,0.467934316
0.665,0.469236653
0.668,0.470152417
0.671,0.471222417
0.674,0.472453788
0.677,0.473003444
0.68,0.47386809
0.683,0.475489912
0.686,0.47620412
0.689,0.477171579
0.692,0.477541522
0.695,0.478434943
0.698,0.479539291
0.701,0.48023501
0.704,0.481086002
0.707,0.482123153
0.71,0.483022967
0.713,0.48415734
0.716,0.484884769
0.719,0.484693235
0.722,0.485964949
0.725,0.486438989
0.728,0.487512183
0.731,0.487776169
0.734,0.488491664
0.737,0.489337922
0.74,0.489411003
0.743,0.489870979
0.746,0.490707323
0.749,0.490814101
0.752,0.490926257
0.755,0.492127012
0.758,0.493036194
0.761,0.493091031
0.764,0.493106505
0.767,0.493630202
0.77,0.493781033
0.773,0.494456402
0.776,0.494587869
0.779,0.495418506
0.782,0.495333761
0.785,0.495322575
0.788,0.495660269
0.791,0.496128926
0.794,0.496586322
0.797,0.49706989
0.8,0.49728902
0.803,0.496885457
0.806,0.496962111
0.809,0.497635688
0.812,0.498045372
0.815,0.498421938
0.818,0.498380809
0.821,0.499196804
0.824,0.499099804
0.827,0.499152935
0.83,0.499078717
0.833,0.499907161
0.836,0.500081742
0.839,0.50071164
0.842,0.500632261
0.845,0.50063231
0.848,0.501105483
0.851,0.501416449
0.854,0.501408148
0.857,0.501334471
0.86,0.502169315
0.863,0.502196667
0.866,0.502748747
0.869,0.502938899
0.872,0.5028713
0.875,0.503715934
0.878,0.503576463
0.881,0.504111656
0.884,0.504439561
0.887,0.504411209
0.89,0.50455889
0.893,0.505247719
0.896,0.505152986
0.899,0.505169005
0.902,0.505167935
0.905,0.50516764
0.908,0.505167651
0.911,0.505168102
0.914,0.505167453
0.917,0.505159982
0.92,0.505232032
0.923,0.5046865
0.926,0.504381801
0.929,0.504401173
0.932,0.503896047
0.935,0.503709207
0.938,0.50308405
0.941,0.502924709
0.944,0.502106775
0.947,0.50198046
0.95,0.500858851
0.953,0.500663907
0.956,0.49987384
0.959,0.499014691
0.962,0.498615461
0.965,0.497895526
0.968,0.496947233
0.971,0.496015769
0.974,0.495392328
0.977,0.49454329
0.98,0.493813797
0.983,0.49311899
0.986,0.492184391
0.989,0.491423742
0.992,0.490724288
0.995,0.490135209
0.998,0.489266616
1.001,0.488418473
1.004,0.488050576
1.007,0.487206687
1.01,0.487063235
1.013,0.486207038
