KC-OL-hm_6,
W,R
0.50012,0.29468
0.50031,0.30215
0.5005,0.30241
0.5007,0.30018
0.50089,0.30125
0.50108,0.29797
0.50128,0.29942
0.50147,0.30064
0.50166,0.30054
0.50186,0.30841
0.50205,0.31157
0.50225,0.30524
0.50244,0.299
0.50264,0.29576
0.50283,0.2974
0.50303,0.30818
0.50322,0.31057
0.50342,0.29773
0.50361,0.29636
0.50381,0.30284
0.50401,0.29673
0.5042,0.28971
0.5044,0.29109
0.50459,0.29099
0.50479,0.28724
0.50499,0.28614
0.50518,0.29516
0.50538,0.31157
0.50558,0.31658
0.50577,0.30955
0.50597,0.30337
0.50617,0.30206
0.50637,0.30829
0.50657,0.31434
0.50676,0.30822
0.50696,0.29916
0.50716,0.30092
0.50736,0.30531
0.50756,0.30424
0.50776,0.3033
0.50795,0.30217
0.50815,0.29932
0.50835,0.29906
0.50855,0.30666
0.50875,0.30541
0.50895,0.29218
0.50915,0.28855
0.50935,0.29216
0.50955,0.29738
0.50975,0.30113
0.50995,0.30037
0.51015,0.29964
0.51035,0.30243
0.51056,0.30651
0.51076,0.29973
0.51096,0.29237
0.51116,0.30069
0.51136,0.30468
0.51156,0.29649
0.51177,0.29584
0.51197,0.30243
0.51217,0.30595
0.51237,0.30332
0.51257,0.29538
0.51278,0.29574
0.51298,0.31226
0.51318,0.32024
0.51339,0.30546
0.51359,0.29386
0.51379,0.29879
0.514,0.30102
0.5142,0.29985
0.51441,0.3038
0.51461,0.30304
0.51481,0.30169
0.51502,0.30666
0.51522,0.31436
0.51543,0.31675
0.51563,0.31278
0.51584,0.31498
0.51604,0.31726
0.51625,0.31226
0.51645,0.30921
0.51666,0.30739
0.51687,0.30468
0.51707,0.30414
0.51728,0.30793
0.51749,0.3133
0.51769,0.31242
0.5179,0.30716
0.51811,0.30646
0.51831,0.3084
0.51852,0.30538
0.51873,0.30286
0.51894,0.3062
0.51914,0.31137
0.51935,0.31551
0.51956,0.31756
0.51977,0.31487
0.51998,0.30972
0.52018,0.3097
0.52039,0.31711
