KC-OL-Im_2,
W,R
0.50012,0.64183
0.50031,0.64515
0.5005,0.64244
0.5007,0.639
0.50089,0.63273
0.50108,0.62951
0.50128,0.64452
0.50147,0.65842
0.50166,0.65699
0.50186,0.6572
0.50205,0.65438
0.50225,0.64263
0.50244,0.63876
0.50264,0.63393
0.50283,0.63729
0.50303,0.65807
0.50322,0.66351
0.50342,0.6521
0.50361,0.64417
0.50381,0.64024
0.50401,0.62394
0.5042,0.61642
0.5044,0.63825
0.50459,0.65161
0.50479,0.64428
0.50499,0.63578
0.50518,0.64153
0.50538,0.65416
0.50558,0.66253
0.50577,0.663
0.50597,0.64619
0.50617,0.63816
0.50637,0.64326
0.50657,0.65117
0.50676,0.65455
0.50696,0.64095
0.50716,0.63769
0.50736,0.64241
0.50756,0.64508
0.50776,0.64866
0.50795,0.64342
0.50815,0.63836
0.50835,0.64122
0.50855,0.65153
0.50875,0.65347
0.50895,0.64837
0.50915,0.64981
0.50935,0.64416
0.50955,0.631
0.50975,0.62694
0.50995,0.63486
0.51015,0.64856
0.51035,0.66566
0.51056,0.67271
0.51076,0.66494
0.51096,0.65934
0.51116,0.65464
0.51136,0.64868
0.51156,0.65066
0.51177,0.66438
0.51197,0.6724
0.51217,0.66443
0.51237,0.66106
0.51257,0.6582
0.51278,0.64955
0.51298,0.65285
0.51318,0.66476
0.51339,0.66907
0.51359,0.66434
0.51379,0.66044
0.514,0.65333
0.5142,0.64315
0.51441,0.65018
0.51461,0.66636
0.51481,0.67034
0.51502,0.66399
0.51522,0.65548
0.51543,0.65323
0.51563,0.65917
0.51584,0.66702
0.51604,0.67354
0.51625,0.67713
0.51645,0.67666
0.51666,0.68152
0.51687,0.68324
0.51707,0.67016
0.51728,0.66881
0.51749,0.67333
0.51769,0.66546
0.5179,0.66866
0.51811,0.67259
0.51831,0.66571
0.51852,0.66642
0.51873,0.66724
0.51894,0.66457
0.51914,0.66995
0.51935,0.68086
0.51956,0.6863
0.51977,0.68073
0.51998,0.67496
0.52018,0.67882
0.52039,0.68411
0.5206,0.68913
0.52081,0.69595
0.52102,0.69476
0.52123,0.68663
0.52144,0.67605
0.52165,0.66596
0.52186,0.66498
0.52207,0.67473
0.52228,0.68405
0.52249,0.68035
0.5227,0.67216
0.52291,0.67724
0.52312,0.68523
0.52333,0.68413
0.52355,0.68291
0.52376,0.68109
