OC-LP-A2_3,
W,R
0.25,0.070125143
0.255,0.072145449
0.26,0.074234106
0.265,0.076127694
0.27,0.077858357
0.275,0.079397462
0.28,0.080757679
0.285,0.082096945
0.29,0.083691575
0.295,0.085161018
0.3,0.087129956
0.305,0.0888449
0.31,0.090704975
0.315,0.092714211
0.32,0.095002969
0.325,0.096980276
0.33,0.098933142
0.335,0.100564862
0.34,0.102759931
0.345,0.104682465
0.35,0.10637028
0.355,0.108038361
0.36,0.109769957
0.365,0.111898755
0.37,0.113681845
0.375,0.115791073
0.38,0.117873231
0.385,0.120472954
0.39,0.122810474
0.395,0.125164711
0.4,0.130168859
0.405,0.131430451
0.41,0.132692043
0.415,0.134077562
0.42,0.136421409
0.425,0.138819883
0.43,0.141397781
0.435,0.144244952
0.44,0.146825568
0.445,0.149601755
0.45,0.151867174
0.455,0.154033777
0.46,0.156118861
0.465,0.157901118
0.47,0.159703651
0.475,0.16175758
0.48,0.164021704
0.485,0.166384806
0.49,0.169060212
0.495,0.171856898
0.5,0.175129972
0.505,0.178371702
0.51,0.181819728
0.515,0.185381142
0.52,0.189128406
0.525,0.192994604
0.53,0.196823558
0.535,0.200640646
0.54,0.204403985
0.545,0.208194382
0.55,0.211926647
0.555,0.215605563
0.56,0.21893994
0.565,0.222364888
0.57,0.225558188
0.575,0.228497027
0.58,0.231331534
0.585,0.233971402
0.59,0.236542056
0.595,0.238896699
0.6,0.241170108
0.605,0.243181772
0.61,0.245111125
0.615,0.246896644
0.62,0.248600933
0.625,0.250115515
0.63,0.251563307
0.635,0.252865957
0.64,0.254074257
0.645,0.255332878
0.65,0.256310071
0.655,0.257376484
0.66,0.258219731
0.665,0.259106815
0.67,0.25996704
0.675,0.260775274
0.68,0.261379873
0.685,0.262011395
0.69,0.26266127
0.695,0.263227523
0.7,0.263819383
0.705,0.264313418
0.71,0.264687848
0.715,0.264984315
0.72,0.265227437
0.725,0.265318624
0.73,0.265344807
0.735,0.264902241
0.74,0.265211286
0.745,0.265009418
0.75,0.264642584
0.755,0.264296946
0.76,0.263705695
0.765,0.263109979
0.77,0.2624363
0.775,0.261559771
0.78,0.260684615
0.785,0.259777963
0.79,0.258618433
0.795,0.257420755
0.8,0.256161617
0.805,0.254800939
0.81,0.253387948
0.815,0.251871336
0.82,0.250252862
0.825,0.248631624
0.83,0.24697563
0.835,0.245427478
0.84,0.243672637
0.845,0.241972422
0.85,0.240414945
0.855,0.237131091
0.86,0.236124612
0.865,0.2355435
0.87,0.234590478
0.875,0.233844994
0.88,0.232906694
0.885,0.232723237
0.89,0.232830946
0.895,0.232603286
0.9,0.232636916
0.905,0.232669266
0.91,0.233119382
0.915,0.233185062
0.92,0.233229127
0.925,0.23342981
0.93,0.233784953
0.935,0.234025945
0.94,0.234255892
0.945,0.234740234
0.95,0.235121998
0.955,0.235658329
0.96,0.23623051
0.965,0.236902811
0.97,0.237451249
0.975,0.238116409
0.98,0.238746197
0.985,0.239278984
0.99,0.239789886
0.995,0.240281502
1,0.240796733
1.005,0.24127809
1.01,0.241702288
1.015,0.242093372
1.02,0.242580542
1.025,0.243085181
1.03,0.24335178
1.035,0.243582811
1.04,0.243700219
1.045,0.243824956
1.05,0.243969907
1.055,0.244149035
1.06,0.244521821
1.065,0.244768323
1.07,0.245228451
1.075,0.245846953
1.08,0.246282958
1.085,0.246617997
1.09,0.246877147
1.095,0.246909927
1.1,0.247257907
1.11,0.247788399
1.12,0.248171106
1.13,0.248200071
1.14,0.248452267
1.15,0.248595644
1.16,0.24852717
1.17,0.248456017
1.18,0.248330064
1.19,0.248251315
1.2,0.248072413
1.21,0.247931025
1.22,0.24783713
1.23,0.247708009
1.24,0.247558347
1.25,0.247410242
1.26,0.247303153
1.27,0.247141849
1.28,0.247007875
1.29,0.246868926
1.3,0.24682876
1.31,0.24678034
1.32,0.246722047
1.33,0.24667214
1.34,0.246483367
1.35,0.246183934
1.36,0.245902097
1.37,0.245729844
1.38,0.245636112
1.39,0.24542994
1.4,0.24524868
1.41,0.244996546
1.42,0.244814861
1.43,0.244532133
1.44,0.244289072
1.45,0.243822435
1.46,0.24343259
1.47,0.24300666
1.48,0.242628648
1.49,0.242119221
1.5,0.241596448
1.51,0.241023792
1.52,0.240225742
1.53,0.239565167
1.54,0.238892105
1.55,0.238394967
1.56,0.238165138
1.57,0.23761672
1.58,0.23691673
1.59,0.235768934
1.6,0.234881698
1.61,0.234119178
1.62,0.233305073
1.63,0.232470933
1.64,0.231698679
1.65,0.230846124
1.66,0.230052505
1.67,0.229183911
1.68,0.228275985
1.69,0.22731542
1.7,0.226384644
1.71,0.225518627
1.72,0.224679128
