OWN_OLV_1,
W,R
0.496348875,0.218120277
0.49969037,0.218884801
0.501746675,0.219649324
0.504317055,0.220222717
0.506887436,0.22079611
0.509200778,0.221465068
0.511514121,0.222134026
0.514084502,0.222898549
0.516654882,0.223567507
0.519225263,0.224045334
0.521024529,0.225000989
0.52359491,0.225669947
0.525908253,0.226530036
0.528221595,0.22748569
0.532077166,0.228632475
0.530534938,0.228059083
0.534133471,0.22958813
0.536189775,0.230257088
0.538760156,0.230926046
0.540559422,0.231595004
0.542358689,0.232359527
0.544929069,0.233028485
0.547242412,0.233601878
0.549812792,0.234366401
0.552383173,0.235130925
0.554696516,0.235704317
0.557009858,0.236564406
0.560865429,0.237233364
0.564463962,0.237902322
0.55803801,0.236946668
0.567034343,0.238380149
0.569861761,0.238666846
0.572175104,0.239240238
0.574745484,0.2396225
0.577315865,0.240100327
0.580400322,0.240769285
0.583227741,0.241438243
0.585541083,0.242011636
0.588368502,0.242776159
0.591195921,0.243349552
0.594023339,0.243922945
0.596336682,0.244496337
0.598907062,0.24506973
0.601477443,0.245451992
0.6045619,0.245834253
0.606618204,0.246407646
0.609445623,0.246981038
0.612273042,0.247458866
0.614843422,0.247936693
0.616899727,0.248318955
0.619727146,0.248701216
0.62178345,0.249274609
0.624353831,0.249656871
0.627695325,0.250421394
0.63103682,0.250803656
0.625639021,0.250134698
0.633864239,0.251472614
0.636691658,0.252141572
0.638747962,0.25281053
0.641061305,0.253479488
0.643117609,0.253670619
0.646202066,0.254339577
0.649286523,0.255008535
0.650314675,0.255199666
0.652370979,0.255581927
0.654427284,0.25615532
0.656483589,0.256633147
0.658282855,0.257015409
0.661110274,0.257493236
0.663680654,0.257971063
0.666508073,0.258162194
0.669078454,0.258640021
0.671134758,0.258926718
0.672934025,0.259117849
0.676018481,0.259595676
0.678588862,0.259977937
0.681416281,0.260742461
0.683472585,0.261220288
0.686300004,0.261698115
0.688356308,0.261984812
0.690926689,0.262462639
0.69606745,0.263036031
0.693240032,0.262940466
0.700180059,0.263991686
0.698123755,0.263609424
0.703264516,0.264182817
0.70532082,0.264373947
0.707377125,0.264565078
0.709947506,0.264851775
0.71200381,0.265138471
0.715088267,0.265234036
0.717401609,0.265520733
0.719200876,0.265902994
0.722028295,0.266380821
0.724855713,0.266571952
0.727169056,0.266667518
0.730510551,0.26704978
0.733337969,0.267527607
0.73719354,0.267814303
0.739249845,0.268005434
0.740792073,0.268387696
0.743619492,0.268674392
0.747475063,0.268961088
0.749274329,0.269247785
0.74516172,0.269056654
0.752615824,0.269630046
0.754929167,0.270012308
0.757242509,0.270299004
0.759555852,0.270299004
0.761869194,0.270490135
0.763668461,0.270681266
0.764953651,0.270681266
0.767524032,0.270681266
0.77035145,0.270681266
0.773178869,0.270681266
0.77574925,0.270681266
0.77831963,0.270776831
0.781404087,0.271254659
0.784488544,0.271541355
0.787058924,0.27163692
0.791171533,0.272019182
0.788858191,0.272019182
0.79425599,0.272210313
0.796312295,0.272401444
0.798625637,0.272401444
0.801967132,0.272592575
0.804537513,0.272879271
0.806850855,0.273070402
0.809421236,0.273452664
0.811734579,0.273452664
0.814304959,0.273548229
0.816618302,0.27373936
0.818931644,0.273930491
0.820473873,0.274217187
0.823558329,0.274408318
0.82612871,0.274599449
0.828699091,0.274695014
0.831269471,0.27479058
0.833839852,0.274886145
0.836153195,0.274886145
0.839237651,0.274886145
0.841550994,0.275077276
0.844121374,0.275077276
0.846691755,0.275268407
0.84874806,0.275363972
0.85131844,0.275650669
0.853374745,0.275650669
0.855688087,0.275746234
0.85800143,0.275841799
0.861085887,0.27603293
0.863656267,0.27603293
0.8672548,0.276128496
0.869311105,0.276415192
0.872138523,0.276415192
0.875480018,0.276606323
0.877536323,0.276797454
0.879592627,0.276797454
0.882934122,0.276988585
0.886275617,0.27708415
0.88987415,0.277179715
0.892958606,0.277179715
0.895014911,0.277370846
0.897585292,0.277466412
0.900155672,0.277370846
0.903240129,0.277370846
0.905553472,0.277370846
0.908123852,0.277275281
0.911465347,0.277370846
0.915320918,0.277370846
0.917891299,0.277370846
0.920975755,0.277275281
0.923803174,0.277370846
0.925859478,0.277179715
0.928429859,0.277179715
0.93100024,0.277179715
0.93357062,0.276797454
0.935883963,0.276606323
0.938197306,0.276224061
0.941281762,0.27603293
0.943852143,0.275841799
0.946422524,0.275459538
0.949249942,0.275268407
0.952077361,0.274981711
0.954133665,0.274503883
0.956704046,0.274312752
0.959274427,0.274026056
0.960816655,0.27373936
0.96415815,0.273548229
0.966471492,0.273261533
0.969041873,0.272974836
0.972897444,0.272401444
0.976238939,0.272019182
0.977781167,0.271828051
0.979837472,0.27163692
0.982150814,0.271254659
0.984207119,0.270681266
0.986263423,0.270203439
0.988833804,0.269916743
0.990890108,0.269534481
0.993460489,0.269247785
0.99603087,0.268961088
0.997573098,0.268769957
0.999629403,0.26829213
1.002199783,0.26829213
1.00528424,0.268005434
1.007854621,0.267814303
1.010167963,0.267432041
1.013509458,0.267623172
1.016336877,0.267623172
1.019678371,0.26724091
1.022762828,0.26724091
1.025847285,0.26724091
1.028160628,0.26704978
1.030988046,0.267145345
1.033815465,0.267145345
1.03715696,0.267145345
1.040498455,0.266954214
1.043582911,0.26724091
1.046924406,0.267432041
1.049494787,0.267623172
1.052836282,0.267814303
1.055149624,0.267909868
1.057205929,0.268100999
1.059519271,0.268387696
1.06234669,0.268674392
1.064660032,0.268865523
1.066716337,0.268961088
1.069543756,0.269630046
1.072628212,0.269916743
1.075712669,0.270490135
1.078026012,0.271063528
1.083166773,0.272019182
1.085223078,0.27268814
1.080596392,0.271350224
1.088050496,0.273165967
1.090363839,0.273548229
1.093191257,0.273930491
1.096018676,0.274312752
1.098074981,0.27479058
1.100645361,0.275459538
1.102958704,0.276319627
1.106043161,0.276797454
1.108613541,0.277657543
1.110669846,0.27813537
1.113240226,0.278899893
1.115810607,0.279473286
1.118380988,0.280046679
1.120951368,0.280524506
1.124035825,0.281097898
1.126606206,0.281766856
1.129176586,0.282149118
1.131489929,0.282722511
1.133289195,0.283295903
1.136887728,0.283869296
1.139458109,0.284442688
1.141514413,0.28482495
1.144084794,0.285302777
1.147169251,0.285780605
1.149739631,0.286353997
1.15256705,0.286736259
1.154880393,0.287214086
1.157707811,0.287596348
1.160021154,0.28797861
1.162591534,0.288456437
1.165161915,0.288838698
1.167732296,0.289412091
1.170559714,0.289794353
1.172873057,0.290176614
1.175700476,0.290558876
1.178270856,0.290941138
1.180584199,0.291514531
1.183925694,0.291992358
1.18701015,0.292374619
1.189580531,0.292756881
1.192922026,0.293139143
1.196520559,0.293808101
1.199090939,0.293999232
1.201918358,0.294572624
1.203203548,0.294763755
1.205773929,0.295146017
1.209115424,0.295528279
1.211685804,0.295814975
1.214770261,0.296197237
1.217340642,0.296579499
1.221196213,0.296866195
1.223509555,0.297152891
1.226079936,0.297535153
1.229164393,0.297821849
1.231734773,0.298395242
1.235076268,0.298681938
1.237646649,0.299159765
1.240217029,0.299350896
1.243558524,0.299733158
1.247157057,0.30030655
1.2494704,0.300497681
1.253068933,0.300975508
1.256153389,0.30135777
1.25872377,0.301835597
1.261551189,0.302026728
1.263607493,0.30240899
1.266434912,0.302886817
1.269262331,0.303364644
1.272346787,0.303938037
1.27466013,0.304129168
1.276716434,0.30451143
1.279543853,0.304893691
1.281600158,0.305275953
1.2839135,0.305658215
1.286997957,0.306136042
1.290339452,0.306613869
1.29188168,0.307091696
1.294709099,0.307473958
1.296765403,0.307951785
1.300363936,0.308525178
1.304219507,0.309003005
1.306275812,0.309480832
1.309360268,0.310054225
1.312444725,0.310436486
1.315015106,0.310914314
1.318613639,0.311392141
1.320926981,0.311774402
1.3237544,0.312538926
1.327352933,0.313016753
1.329923313,0.313399015
1.332493694,0.314067973
1.335321113,0.314450235
1.337634455,0.314832496
1.341232988,0.315501454
1.343546331,0.315788151
1.346373749,0.316170412
1.35022932,0.316934936
1.353056739,0.317412763
1.35562712,0.317986156
1.358711576,0.318559548
1.361281957,0.319037375
1.363852338,0.319419637
1.36616568,0.31999303
1.369250137,0.320470857
1.372591632,0.321139815
1.374390898,0.321617642
1.377218317,0.322095469
1.379788698,0.322477731
1.382359078,0.323051124
1.385443535,0.32333782
1.38749984,0.323720082
1.389042068,0.324006778
1.392640601,0.324675736
1.395210981,0.324962432
1.397267286,0.325344694
1.399580629,0.325726956
1.402408047,0.326109218
1.405492504,0.32668261
1.407548808,0.327256003
1.410119189,0.327638264
1.412432532,0.328020526
1.41525995,0.328402788
1.418858483,0.328880615
1.420914788,0.329262877
1.423742206,0.329549573
1.427340739,0.329931835
1.430425196,0.330314097
1.434023729,0.330983055
1.436851148,0.331365316
1.439678566,0.331843144
1.443020061,0.332225405
1.445333404,0.332894363
1.447389708,0.333276625
1.450217127,0.333563321
1.45381566,0.334136714
1.45638604,0.334518976
1.458699383,0.334901237
1.462297916,0.335283499
1.465382373,0.335856892
1.467952753,0.336239154
1.47103721,0.336621415
1.473350553,0.336908112
1.475663895,0.337099242
1.480033542,0.337672635
1.482089847,0.3377682
1.485431342,0.338341593
1.488515798,0.338914986
1.491600255,0.339392813
1.49494175,0.33987064
1.49751213,0.340157336
1.500339549,0.340539598
1.50290993,0.340730729
1.505737349,0.341017425
1.508307729,0.341399687
1.511392186,0.341781949
1.513962567,0.34216421
1.516789985,0.342355341
1.519617404,0.342642038
1.522958899,0.342833168
1.525786317,0.343310996
1.527842622,0.343406561
1.530670041,0.343884388
1.533240421,0.344075519
1.53735303,0.344648912
1.535296726,0.344457781
1.539923411,0.344935608
1.543521944,0.345126739
1.548148629,0.345413435
1.55071901,0.345795697
1.554831619,0.346177959
1.546349362,0.34531787
1.557659037,0.346464655
1.560486456,0.346942482
1.563827951,0.347133613
1.566912407,0.347324744
1.569996864,0.347515875
1.572567245,0.347707006
1.575137626,0.347898136
1.577450968,0.348280398
1.580278387,0.348567094
1.58387692,0.349140487
1.586704338,0.349427183
1.589531757,0.349618314
1.5918451,0.349809445
1.595186594,0.349905011
1.597242899,0.349905011
1.59981328,0.350191707
1.60238366,0.350382838
1.604439965,0.350382838
1.606496269,0.350765099
1.609580726,0.351147361
1.612151107,0.351242927
1.614978525,0.351529623
1.617548906,0.351529623
1.620119287,0.351720754
1.623460781,0.352103015
1.627059314,0.352198581
1.630143771,0.352580843
1.633228228,0.352771974
1.637340837,0.35305867
1.639397141,0.353154235
1.641967522,0.353249801
1.645051979,0.353440932
1.647108283,0.353632062
1.650449778,0.354014324
1.653020159,0.354205455
1.655847577,0.354492151
1.658417958,0.354587717
1.660474262,0.354683282
1.662530567,0.354778848
1.665100948,0.355161109
1.667157252,0.35535224
1.669213557,0.35535224
1.672298013,0.355638937
1.67409728,0.355734502
1.676924698,0.356116764
1.680009155,0.356307895
1.68206546,0.356499025
1.684121764,0.356594591
1.686435107,0.356881287
1.688234373,0.356976853
1.69131883,0.356976853
1.692861058,0.357072418
1.695174401,0.357263549
1.697230705,0.357263549
1.700315162,0.357645811
1.703142581,0.357645811
1.706227038,0.357836942
1.709311494,0.358028072
1.711881875,0.358219203
1.714966332,0.358314769
1.71779375,0.3585059
1.719593017,0.358601465
1.721906359,0.358792596
1.723705626,0.358983727
1.727047121,0.359174858
1.729360463,0.359461554
1.733473072,0.359652685
1.736557529,0.359939381
1.740156062,0.359939381
1.744011633,0.360034946
1.746582013,0.360226077
1.749409432,0.360321643
1.753265003,0.360608339
1.75634946,0.360703905
1.759433917,0.360990601
1.762775411,0.360990601
1.765859868,0.361277297
1.769201363,0.361277297
1.77228582,0.361468428
1.775884353,0.36185069
1.779225847,0.36185069
1.78282438,0.362041821
1.785394761,0.362328517
1.78822218,0.362424082
1.79079256,0.362519648
1.793362941,0.362806344
1.796447398,0.362901909
1.800045931,0.363188606
1.803130387,0.363475302
1.80544373,0.363570868
1.808785225,0.363666433
1.812897834,0.363953129
1.81598229,0.363953129
1.819066747,0.36414426
1.822151204,0.364526522
1.825235661,0.364717653
1.828577156,0.364717653
1.832689765,0.365004349
1.835774221,0.365291045
1.838344602,0.365291045
1.841943135,0.365386611
1.844770554,0.365673307
1.847340934,0.365864438
1.851453543,0.365960003
1.854538,0.366055569
1.858136533,0.366342265
1.861735066,0.366437831
1.864819522,0.366628961
1.868932131,0.366820092
1.87304474,0.367011223
1.876386235,0.367106789
1.879213654,0.36748905
1.882298111,0.367775747
1.885896644,0.367966877
1.888724062,0.368062443
1.891037405,0.368062443
1.8943789,0.368349139
1.898234471,0.36854027
1.900804851,0.36854027
1.90363227,0.36854027
1.907487841,0.36854027
1.910572298,0.368731401
1.914170831,0.368826966
1.917512325,0.368922532
1.92085382,0.369018097
1.922653087,0.369018097
1.925994581,0.369687055
1.929593114,0.369878186
1.933962761,0.370069317
1.937561294,0.370260448
1.941673903,0.370547144
1.945015398,0.370738275
1.948613931,0.370738275
1.95272654,0.370929406
1.957353225,0.371120537
1.961465834,0.371216102
1.964550291,0.371693929
1.967891786,0.371980626
1.971747357,0.372171757
1.976117004,0.372554018
1.979972575,0.37293628
1.983828146,0.373222976
