ZK-Eif_1,
W,R
0.32,0.31223
0.321,0.31011
0.322,0.31573
0.323,0.30554
0.324,0.3197
0.325,0.32066
0.326,0.31651
0.327,0.3227
0.328,0.32537
0.329,0.32122
0.33,0.33486
0.331,0.33909
0.332,0.33512
0.333,0.33574
0.334,0.34749
0.335,0.347
0.336,0.34169
0.337,0.35003
0.338,0.34903
0.339,0.34953
0.34,0.37039
0.341,0.37282
0.342,0.36394
0.343,0.37328
0.344,0.37231
0.345,0.3827
0.346,0.37975
0.347,0.38926
0.348,0.38321
0.349,0.39168
0.35,0.39149
0.351,0.40301
0.352,0.401
0.353,0.4015
0.354,0.40886
0.355,0.41997
0.356,0.41838
0.357,0.42156
0.358,0.42115
0.359,0.42615
0.36,0.42394
0.361,0.4291
0.362,0.43762
0.363,0.44948
0.364,0.44892
0.365,0.45953
0.366,0.45497
0.367,0.44785
0.368,0.45484
0.369,0.46563
0.37,0.4593
0.371,0.47701
0.372,0.47015
0.373,0.46146
0.374,0.47975
0.375,0.47359
0.376,0.48152
0.377,0.49173
0.378,0.4897
0.379,0.49706
0.38,0.48462
0.381,0.50332
0.382,0.48926
0.383,0.4989
0.384,0.49557
0.385,0.50083
0.386,0.51663
0.387,0.51108
0.388,0.52945
0.389,0.51958
0.39,0.52533
0.391,0.524
0.392,0.52403
0.393,0.53227
0.394,0.54292
0.395,0.54073
0.396,0.54278
0.397,0.5504
0.398,0.55246
0.399,0.55754
0.4,0.55312
0.401,0.56265
0.402,0.56243
0.403,0.56253
0.404,0.5745
0.405,0.57287
0.406,0.57624
0.407,0.57504
0.408,0.58217
0.409,0.58045
0.41,0.58604
0.411,0.59802
0.412,0.58985
0.413,0.59533
0.414,0.6032
0.415,0.58573
0.416,0.60308
0.417,0.60674
0.418,0.60935
0.419,0.61567
0.42,0.613
0.421,0.60679
0.422,0.6266
0.423,0.61243
0.424,0.62281
0.425,0.6219
0.426,0.64271
0.427,0.63379
0.428,0.62901
0.429,0.63362
0.43,0.63707
0.431,0.6488
0.432,0.64546
0.433,0.65497
0.434,0.65618
0.435,0.65332
0.436,0.66181
0.437,0.66185
0.438,0.66252
0.439,0.66879
0.44,0.67214
0.441,0.67559
0.442,0.67428
0.443,0.67015
0.444,0.6688
0.445,0.67675
0.446,0.67241
0.447,0.67879
0.448,0.68963
0.449,0.68889
0.45,0.68399
0.451,0.69246
0.452,0.69849
0.453,0.69459
0.454,0.69345
0.455,0.69977
0.456,0.70729
0.457,0.70473
0.458,0.70999
0.459,0.71288
0.46,0.71512
0.461,0.71604
0.462,0.71356
0.463,0.71602
0.464,0.72734
0.465,0.72416
0.466,0.73026
0.467,0.72709
0.468,0.72911
0.469,0.73404
0.47,0.73549
0.471,0.73843
0.472,0.74978
0.473,0.7441
0.474,0.74345
0.475,0.75177
0.476,0.74968
0.477,0.75087
0.478,0.76193
0.479,0.75189
0.48,0.75886
0.481,0.75802
0.482,0.76613
0.483,0.76732
0.484,0.76424
0.485,0.76863
0.486,0.77925
0.487,0.78742
0.488,0.77869
0.489,0.78329
0.49,0.78585
0.491,0.79288
0.492,0.79833
0.493,0.80525
0.494,0.80222
0.495,0.80177
0.496,0.81197
0.497,0.81308
0.498,0.8131
0.499,0.82508
0.5,0.82524
0.501,0.82563
0.502,0.835
0.503,0.83715
0.504,0.83891
0.505,0.84566
0.506,0.84907
0.507,0.84657
0.508,0.8603
0.509,0.85887
0.51,0.86298
0.511,0.86607
0.512,0.86974
0.513,0.88262
0.514,0.88075
0.515,0.88141
0.516,0.89691
0.517,0.8913
0.518,0.89955
0.519,0.89323
0.52,0.9041
0.521,0.90983
0.522,0.91247
0.523,0.91278
0.524,0.91625
0.525,0.92288
0.526,0.92665
0.527,0.92548
0.528,0.9323
0.529,0.93679
0.53,0.94312
0.531,0.94579
0.532,0.94974
0.533,0.95792
0.534,0.95515
0.535,0.95956
0.536,0.96537
0.537,0.96082
0.538,0.96614
0.539,0.97175
0.54,0.96638
0.541,0.96939
0.542,0.97158
0.543,0.98412
0.544,0.97736
0.545,0.98096
0.546,0.99099
0.547,0.99317
0.548,0.99179
0.549,1.0001
0.55,1
0.551,1.00637
0.552,1.00673
0.553,1.00725
0.554,1.00558
0.555,1.01529
0.556,1.01599
0.557,1.02523
0.558,1.03246
0.559,1.02941
0.56,1.02417
0.561,1.03302
0.562,1.03413
0.563,1.03912
0.564,1.03315
0.565,1.04144
0.566,1.04632
0.567,1.04164
0.568,1.04911
0.569,1.05044
0.57,1.04686
0.571,1.05188
0.572,1.04537
0.573,1.05631
0.574,1.05428
0.575,1.05936
0.576,1.06059
0.577,1.06253
0.578,1.05764
0.579,1.06555
0.58,1.06264
0.581,1.06602
0.582,1.06634
0.583,1.068
0.584,1.06633
0.585,1.06571
0.586,1.0681
0.587,1.07497
0.588,1.06845
0.589,1.06902
0.59,1.06233
0.591,1.06995
0.592,1.07132
0.593,1.07332
0.594,1.07183
0.595,1.07613
0.596,1.07201
0.597,1.08096
0.598,1.07758
0.599,1.07376
0.6,1.07354
0.601,1.07036
0.602,1.081
0.603,1.0773
0.604,1.07565
0.605,1.07423
0.606,1.07588
0.607,1.07646
0.608,1.07961
0.609,1.07691
0.61,1.08014
0.611,1.08141
0.612,1.07538
0.613,1.07005
0.614,1.07658
0.615,1.07412
0.616,1.07534
0.617,1.08033
0.618,1.0755
0.619,1.0773
0.62,1.07616
0.621,1.08383
0.622,1.07169
0.623,1.08077
0.624,1.07711
0.625,1.08387
0.626,1.07683
0.627,1.08355
0.628,1.08193
0.629,1.07478
0.63,1.07559
0.631,1.07915
0.632,1.08381
0.633,1.0709
0.634,1.07842
0.635,1.07917
0.636,1.08225
0.637,1.07818
0.638,1.0857
0.639,1.08243
0.64,1.08252
0.641,1.08731
0.642,1.09131
0.643,1.08352
0.644,1.0904
0.645,1.09389
0.646,1.08244
0.647,1.08655
0.648,1.08905
0.649,1.09175
0.65,1.09591
0.651,1.0994
0.652,1.09683
0.653,1.09622
0.654,1.09245
0.655,1.097
0.656,1.1084
0.657,1.10153
0.658,1.09426
0.659,1.09536
0.66,1.11044
0.661,1.10445
0.662,1.10113
0.663,1.10115
0.664,1.09125
0.665,1.0972
0.666,1.10331
0.667,1.10013
0.668,1.10556
0.669,1.11471
0.67,1.11439
0.671,1.10198
0.672,1.1113
0.673,1.11113
0.674,1.10701
0.675,1.11065
0.676,1.10779
0.677,1.10987
0.678,1.10528
0.679,1.12487
0.68,1.12368
0.681,1.11663
0.682,1.11942
0.683,1.11884
0.684,1.11351
0.685,1.12057
0.686,1.10707
0.687,1.11063
0.688,1.1075
0.689,1.10546
0.69,1.12041
0.691,1.11779
0.692,1.1122
0.693,1.11239
0.694,1.11482
0.695,1.12123
0.696,1.10977
0.697,1.11341
0.698,1.10454
0.699,1.1055
0.7,1.1104
0.701,1.11415
0.702,1.10831
0.703,1.10856
0.704,1.11564
0.705,1.1218
0.706,1.11437
0.707,1.1184
0.708,1.10769
0.709,1.11254
0.71,1.11592
0.711,1.11057
0.712,1.10175
0.713,1.11311
0.714,1.1104
0.715,1.11224
0.716,1.11844
0.717,1.10338
0.718,1.11005
0.719,1.09798
0.72,1.1078
0.721,1.11524
0.722,1.09871
0.723,1.10746
0.724,1.11067
0.725,1.09971
0.726,1.10662
0.727,1.10288
0.728,1.10056
0.729,1.09427
0.73,1.08976
0.731,1.10501
0.732,1.08792
0.733,1.09134
0.734,1.08628
0.735,1.09338
0.736,1.08182
0.737,1.09304
0.738,1.09128
0.739,1.08462
0.74,1.09098
0.741,1.0757
0.742,1.0886
0.743,1.06966
0.744,1.0735
0.745,1.06399
0.746,1.07222
0.747,1.07204
0.748,1.05988
0.749,1.05566
0.75,1.0592
0.751,1.0635
0.752,1.05195
0.753,1.04937
0.754,1.06196
0.755,1.05443
0.756,1.04074
0.757,1.05255
0.758,1.04184
0.759,1.03797
0.76,1.03692
0.761,1.04352
0.762,1.02101
0.763,1.02933
0.764,1.02294
0.765,1.01674
0.766,1.01377
0.767,1.01369
0.768,1.01053
0.769,1.00742
0.77,1.00947
0.771,1.01361
0.772,0.99838
0.773,0.99001
0.774,0.9922
0.775,0.99265
0.776,0.98769
0.777,0.98544
0.778,0.97144
0.779,0.98396
0.78,0.96707
0.781,0.95889
0.782,0.96409
0.783,0.96531
0.784,0.96559
0.785,0.93545
0.786,0.96722
0.787,0.95406
0.788,0.96117
0.789,0.93742
0.79,0.92387
0.791,0.94692
0.792,0.92679
0.793,0.93049
0.794,0.91854
0.795,0.93744
0.796,0.91315
0.797,0.9191
0.798,0.92888
0.799,0.91564
0.8,0.90614
0.801,0.91097
0.802,0.90278
0.803,0.90198
0.804,0.90173
0.805,0.88319
0.806,0.89108
0.807,0.88555
0.808,0.88979
0.809,0.89264
0.81,0.8618
0.811,0.87854
0.812,0.87713
0.813,0.86968
0.814,0.8603
0.815,0.85693
0.816,0.8828
0.817,0.8586
0.818,0.86456
0.819,0.86809
0.82,0.84017
0.821,0.84383
0.822,0.85319
0.823,0.84452
0.824,0.83028
0.825,0.84334
0.826,0.83968
0.827,0.82242
0.828,0.82307
0.829,0.83094
0.83,0.84155
0.831,0.81807
0.832,0.82441
0.833,0.82425
0.834,0.82233
0.835,0.81403
0.836,0.81344
0.837,0.8145
0.838,0.81402
0.839,0.81357
0.84,0.8092
0.841,0.7969
0.842,0.80106
0.843,0.7833
0.844,0.81344
0.845,0.75845
0.846,0.79478
0.847,0.78786
0.848,0.76889
0.849,0.76051
0.85,0.7651
0.851,0.75942
0.852,0.78027
0.853,0.76371
0.854,0.76558
0.855,0.77787
0.856,0.73684
0.857,0.7952
0.858,0.77728
0.859,0.76242
0.86,0.77306
0.861,0.77979
0.862,0.77958
0.863,0.77271
0.864,0.77378
0.865,0.77569
0.866,0.77477
0.867,0.76518
0.868,0.77544
0.869,0.77098
0.87,0.76723
0.871,0.76873
0.872,0.76782
0.873,0.76416
0.874,0.77497
0.875,0.76088
0.876,0.76067
0.877,0.76358
0.878,0.76225
0.879,0.76842
0.88,0.74909
0.881,0.75534
0.882,0.7568
0.883,0.7512
0.884,0.75418
0.885,0.75163
0.886,0.75137
0.887,0.75257
0.888,0.75542
0.889,0.74829
0.89,0.7493
0.891,0.74311
0.892,0.73816
0.893,0.74527
0.894,0.73803
0.895,0.74212
0.896,0.74274
0.897,0.74318
0.898,0.73427
0.899,0.73944
0.9,0.73219
0.901,0.73709
0.902,0.7325
0.903,0.73026
0.904,0.73193
0.905,0.73035
0.906,0.72819
0.907,0.72881
0.908,0.72478
0.909,0.72066
0.91,0.72532
0.911,0.72447
0.912,0.7215
0.913,0.72143
0.914,0.72195
0.915,0.7176
0.916,0.71693
0.917,0.71944
0.918,0.7178
0.919,0.71343
0.92,0.7113
0.921,0.71218
0.922,0.71288
0.923,0.71176
0.924,0.70765
0.925,0.70888
0.926,0.7081
0.927,0.70632
0.928,0.70676
0.929,0.70578
0.93,0.70338
0.931,0.7037
0.932,0.70204
0.933,0.69897
0.934,0.69964
0.935,0.69979
0.936,0.69926
0.937,0.69778
0.938,0.69564
0.939,0.69215
0.94,0.68971
0.941,0.68871
0.942,0.68697
0.943,0.68533
0.944,0.68367
0.945,0.68187
0.946,0.67941
0.947,0.67886
0.948,0.68023
0.949,0.67543
0.95,0.67722
0.951,0.67657
0.952,0.67348
0.953,0.67506
0.954,0.67493
0.955,0.67336
0.956,0.67283
0.957,0.67088
0.958,0.67148
0.959,0.6705
0.96,0.67094
0.961,0.6691
0.962,0.66868
0.963,0.66855
0.964,0.66647
0.965,0.66787
0.966,0.66733
0.967,0.6675
0.968,0.66746
0.969,0.66762
0.97,0.66573
0.971,0.66815
0.972,0.66389
0.973,0.66564
0.974,0.66306
0.975,0.66614
0.976,0.66495
0.977,0.66386
0.978,0.66457
0.979,0.66696
0.98,0.66523
0.981,0.66549
0.982,0.66602
0.983,0.6636
0.984,0.6666
0.985,0.66538
0.986,0.66635
0.987,0.66672
0.988,0.66735
0.989,0.66665
0.99,0.66784
0.991,0.67029
0.992,0.66901
0.993,0.66738
0.994,0.66767
0.995,0.66989
0.996,0.6691
0.997,0.66837
0.998,0.66872
0.999,0.67097
1,0.67017
1.001,0.67166
1.002,0.6746
1.003,0.66987
1.004,0.67342
1.005,0.67352
1.006,0.67526
1.007,0.67642
1.008,0.67571
1.009,0.67594
1.01,0.67815
1.011,0.67677
1.012,0.68009
1.013,0.68133
1.014,0.67923
1.015,0.68074
1.016,0.68476
1.017,0.68089
1.018,0.68339
1.019,0.68824
1.02,0.68483
1.021,0.6864
1.022,0.68846
1.023,0.6877
1.024,0.68766
1.025,0.68714
1.026,0.68994
1.027,0.69374
1.028,0.691
1.029,0.69384
1.03,0.69295
1.031,0.6956
1.032,0.69486
1.033,0.69761
1.034,0.69938
1.035,0.69783
1.036,0.69946
1.037,0.70205
1.038,0.70184
1.039,0.70208
1.04,0.70606
1.041,0.70296
1.042,0.70736
1.043,0.70686
1.044,0.70521
1.045,0.7093
1.046,0.70997
1.047,0.71297
1.048,0.71433
1.049,0.71399
1.05,0.71393
1.051,0.71684
1.052,0.71696
1.053,0.71876
1.054,0.72099
1.055,0.72457
1.056,0.72327
1.057,0.72195
1.058,0.72604
1.059,0.7254
1.06,0.7253
1.061,0.72801
1.062,0.73192
1.063,0.73111
1.064,0.73387
1.065,0.73065
1.066,0.7361
1.067,0.73638
1.068,0.73818
1.069,0.73733
1.07,0.74137
1.071,0.74183
1.072,0.74347
1.073,0.7463
1.074,0.74681
1.075,0.74637
1.076,0.7483
1.077,0.74766
1.078,0.75271
1.079,0.7514
1.08,0.75562
1.081,0.75505
1.082,0.7587
1.083,0.75845
1.084,0.76079
1.085,0.76028
1.086,0.76384
1.087,0.76715
1.088,0.76674
1.089,0.76777
1.09,0.76879
1.091,0.77046
1.092,0.77207
1.093,0.77253
1.094,0.77506
1.095,0.77684
1.096,0.77774
1.097,0.77809
1.098,0.77952
1.099,0.78474
1.1,0.78484
1.101,0.78698
1.102,0.78654
1.103,0.78581
1.104,0.78735
1.105,0.79266
1.106,0.79302
1.107,0.79563
1.108,0.79404
1.109,0.79521
1.11,0.7967
1.111,0.79827
1.112,0.79975
1.113,0.80105
1.114,0.80155
1.115,0.80255
1.116,0.80762
1.117,0.80639
1.118,0.80788
1.119,0.8111
1.12,0.80966
1.121,0.81242
1.122,0.81101
1.123,0.81044
1.124,0.81442
1.125,0.81743
1.126,0.81746
1.127,0.82013
1.128,0.81755
1.129,0.82225
1.13,0.82332
1.131,0.82357
1.132,0.82486
1.133,0.82746
1.134,0.82867
1.135,0.82883
1.136,0.82916
1.137,0.82953
1.138,0.83357
1.139,0.83554
1.14,0.83692
1.141,0.83454
1.142,0.83678
1.143,0.83896
1.144,0.84117
1.145,0.8424
1.146,0.84349
1.147,0.84305
1.148,0.84367
1.149,0.84525
1.15,0.8489
1.151,0.84828
1.152,0.84913
1.153,0.84951
1.154,0.84992
1.155,0.85477
1.156,0.85531
1.157,0.85473
1.158,0.85318
1.159,0.8585
1.16,0.85594
1.161,0.85858
1.162,0.86306
1.163,0.86145
1.164,0.8606
1.165,0.86638
1.166,0.86302
1.167,0.86444
1.168,0.86699
1.169,0.86794
1.17,0.8672
1.171,0.86633
1.172,0.87083
1.173,0.87115
1.174,0.87059
1.175,0.87323
1.176,0.87019
1.177,0.87359
1.178,0.87512
1.179,0.87438
1.18,0.87568
1.181,0.87571
1.182,0.87805
1.183,0.87976
1.184,0.87838
1.185,0.87912
1.186,0.8803
1.187,0.88315
1.188,0.88039
1.189,0.87932
1.19,0.88537
1.191,0.88538
1.192,0.88503
1.193,0.88811
1.194,0.88568
1.195,0.8892
1.196,0.88931
1.197,0.89187
1.198,0.88918
1.199,0.88884
1.2,0.89263
1.201,0.89236
1.202,0.89298
1.203,0.89421
1.204,0.89599
1.205,0.89727
1.206,0.8959
1.207,0.89827
1.208,0.89792
1.209,0.899
1.21,0.89718
1.211,0.89687
1.212,0.89854
1.213,0.89914
1.214,0.90091
1.215,0.90185
1.216,0.89961
1.217,0.90218
1.218,0.90199
1.219,0.90587
1.22,0.906
1.221,0.908
1.222,0.90787
1.223,0.90661
1.224,0.90956
1.225,0.9118
1.226,0.90827
1.227,0.90785
1.228,0.90913
1.229,0.90832
1.23,0.90806
1.231,0.90858
1.232,0.91023
1.233,0.91231
1.234,0.91315
1.235,0.9132
1.236,0.91306
1.237,0.91399
1.238,0.91748
1.239,0.91762
1.24,0.91656
1.241,0.91509
1.242,0.91736
1.243,0.91732
1.244,0.91589
1.245,0.91777
1.246,0.9186
1.247,0.92125
1.248,0.92007
1.249,0.92149
1.25,0.92449
1.251,0.92297
1.252,0.92563
1.253,0.92691
1.254,0.9259
1.255,0.9271
1.256,0.92605
1.257,0.92497
1.258,0.92696
1.259,0.92689
1.26,0.92894
1.261,0.93288
1.262,0.93108
1.263,0.93075
1.264,0.93209
1.265,0.93333
1.266,0.93206
1.267,0.93359
1.268,0.9376
1.269,0.9378
1.27,0.93815
1.271,0.93565
1.272,0.93675
1.273,0.939
1.274,0.93773
1.275,0.94125
1.276,0.93806
