OC-LP-B3_1,
W,R
0.25,0.087095785
0.255,0.090741864
0.26,0.094609204
0.265,0.098655256
0.27,0.102252246
0.275,0.106048588
0.28,0.110152974
0.285,0.113886646
0.29,0.117991847
0.295,0.122104099
0.3,0.126924979
0.305,0.132259558
0.31,0.137905588
0.315,0.143880635
0.32,0.150311138
0.325,0.157249457
0.33,0.163818719
0.335,0.170451353
0.34,0.177364157
0.345,0.183771985
0.35,0.1903286
0.355,0.19617639
0.36,0.201874071
0.365,0.207659362
0.37,0.212802934
0.375,0.21751328
0.38,0.222180088
0.385,0.22692984
0.39,0.231225034
0.395,0.235218692
0.4,0.241713854
0.405,0.244937754
0.41,0.247790954
0.415,0.250965113
0.42,0.254286049
0.425,0.25722088
0.43,0.260381371
0.435,0.263715875
0.44,0.265758576
0.445,0.268461024
0.45,0.27137382
0.455,0.273967666
0.46,0.276933923
0.465,0.27941785
0.47,0.281763612
0.475,0.284230221
0.48,0.286252691
0.485,0.288364495
0.49,0.29061549
0.495,0.292930187
0.5,0.295243317
0.505,0.297818685
0.51,0.300398406
0.515,0.30273577
0.52,0.305051842
0.525,0.307153222
0.53,0.309433183
0.535,0.31165726
0.54,0.313641513
0.545,0.315391325
0.55,0.316975082
0.555,0.318733315
0.56,0.320430707
0.565,0.32187728
0.57,0.322905724
0.575,0.323940411
0.58,0.324831302
0.585,0.325754231
0.59,0.326469461
0.595,0.327358208
0.6,0.32792617
0.605,0.328809898
0.61,0.329639768
0.615,0.330451011
0.62,0.331301827
0.625,0.332235062
0.63,0.332998092
0.635,0.333803798
0.64,0.334516722
0.645,0.335187342
0.65,0.335745355
0.655,0.336361329
0.66,0.336939649
0.665,0.337529883
0.67,0.338090791
0.675,0.338727685
0.68,0.339006965
0.685,0.339296243
0.69,0.33964391
0.695,0.339957542
0.7,0.34031802
0.705,0.340630567
0.71,0.340858567
0.715,0.340970384
0.72,0.34094805
0.725,0.340905713
0.73,0.340756845
0.735,0.340534497
0.74,0.340228828
0.745,0.339762353
0.75,0.339140804
0.755,0.338464638
0.76,0.337383477
