YY_OL_4,
W,R
1.454,0.514260813
1.457,0.515196243
1.46,0.516145183
1.463,0.516754391
1.466,0.517562404
1.469,0.518448418
1.472,0.518985215
1.475,0.520000383
1.478,0.520559382
1.481,0.521414094
1.484,0.522258079
1.487,0.522824325
1.49,0.523843364
1.493,0.52436162
1.496,0.525230551
1.499,0.525771534
1.502,0.526560849
1.505,0.526940565
1.508,0.527794344
1.511,0.528673577
1.514,0.529075788
1.517,0.52976931
1.52,0.530742649
1.523,0.531235868
1.526,0.5317908
1.529,0.532582773
1.532,0.532966439
1.535,0.533791482
1.538,0.534641138
1.541,0.534828166
1.544,0.535647229
1.547,0.536012066
1.55,0.536889714
1.553,0.537321424
1.556,0.537969873
1.559,0.538682811
1.562,0.539078625
1.565,0.539962301
1.568,0.540354802
1.571,0.541125922
1.574,0.541342017
1.577,0.542519275
1.58,0.54254895
1.583,0.543279593
1.586,0.54364914
1.589,0.544342902
1.592,0.544453712
1.595,0.545343937
1.598,0.545738009
1.601,0.546215491
1.604,0.546669747
1.607,0.547117605
1.61,0.547751796
1.613,0.548189639
1.616,0.548843664
1.619,0.548969647
1.622,0.549761102
1.625,0.550040682
1.628,0.550454082
1.631,0.551167821
1.634,0.551275519
1.637,0.552021896
1.64,0.552387045
1.643,0.552710967
1.646,0.553481388
1.649,0.553595202
1.652,0.554276069
1.655,0.554732681
1.658,0.554975976
1.661,0.55578017
1.664,0.55591816
1.667,0.556576933
1.67,0.55674742
1.673,0.557246732
1.676,0.55771569
1.679,0.558003335
1.682,0.558479289
1.685,0.558749308
1.688,0.559540475
1.691,0.559666167
1.694,0.560311111
1.697,0.560809767
1.7,0.561023225
1.703,0.561840046
1.706,0.561858173
1.709,0.562446272
1.712,0.562497587
1.715,0.563297278
1.718,0.563400516
1.721,0.564178976
1.724,0.563968249
1.727,0.564735932
1.73,0.564842181
1.733,0.565673669
1.736,0.565490251
1.739,0.566122758
1.742,0.566363876
1.745,0.566413172
1.748,0.567154518
1.751,0.567243953
1.754,0.567816299
1.757,0.56784533
1.76,0.568682264
1.763,0.568513526
1.766,0.569118925
1.769,0.569362686
1.772,0.569776904
1.775,0.570125859
1.778,0.570257682
1.781,0.570823127
1.784,0.570849548
1.787,0.571691493
1.79,0.571537392
1.793,0.572116116
1.796,0.572342408
1.799,0.573146493
1.802,0.573279775
1.805,0.573947572
1.808,0.574113014
1.811,0.574610768
1.814,0.575067518
1.817,0.575536925
1.82,0.575933338
1.823,0.57679591
1.826,0.576906812
1.829,0.577746475
1.832,0.577572356
1.835,0.578192637
1.838,0.578387005
1.841,0.5791988
1.844,0.579360509
1.847,0.579939646
1.85,0.580483653
1.853,0.580704747
1.856,0.580785464
1.859,0.581518878
1.862,0.581447775
1.865,0.581382045
1.868,0.582210138
1.871,0.582164794
1.874,0.582340127
1.877,0.582861894
1.88,0.582970894
1.883,0.583015804
1.886,0.583802718
1.889,0.583612519
1.892,0.584307817
1.895,0.58446982
1.898,0.584593155
1.901,0.585275184
1.904,0.585407265
1.907,0.585947983
1.91,0.585984019
1.913,0.586498965
1.916,0.586682008
1.919,0.58728826
1.922,0.587497695
1.925,0.587522381
1.928,0.588027702
1.931,0.58828657
1.934,0.588172553
1.937,0.5890044
1.94,0.588963339
1.943,0.589128488
1.946,0.589683609
1.949,0.589713976
1.952,0.590552902
1.955,0.590427322
1.958,0.590946233
1.961,0.591221916
1.964,0.592005367
1.967,0.592118688
1.97,0.5928331
1.973,0.592965837
1.976,0.593471517
1.979,0.593926975
1.982,0.594386019
1.985,0.594845655
1.988,0.595306456
1.991,0.595763562
1.994,0.596209538
1.997,0.596852129
2,0.597277072
2.003,0.597938542
2.006,0.598062002
2.009,0.598955074
2.012,0.599298133
2.015,0.600134201
2.018,0.600298905
2.021,0.601144768
2.024,0.601535806
2.027,0.602242461
2.03,0.602893298
2.033,0.603331025
2.036,0.603771805
2.039,0.604438084
2.042,0.604837178
2.045,0.60548318
2.048,0.606003717
2.051,0.606471151
2.054,0.606926139
2.057,0.607386805
2.06,0.607846419
2.063,0.608306956
2.066,0.608754891
2.069,0.60928012
2.072,0.609327046
2.075,0.610144081
2.078,0.610274287
2.081,0.610919792
2.084,0.611366334
2.087,0.611995841
2.09,0.612445996
2.093,0.612875969
2.096,0.613560348
2.099,0.614229319
2.102,0.614649207
2.105,0.615524492
2.108,0.615953886
2.111,0.616372264
2.114,0.617211559
2.117,0.617725743
2.12,0.618472199
2.123,0.618811734
2.126,0.619175541
2.129,0.619913712
2.132,0.6199734
2.135,0.620504536
2.138,0.62074863
2.141,0.620676949
2.144,0.621092396
2.147,0.621083931
2.15,0.621085296
2.153,0.621131834
2.156,0.620750961
2.159,0.620717757
2.162,0.620729549
2.165,0.620555161
2.168,0.620021742
2.171,0.619958178
2.174,0.619984615
2.177,0.619678397
2.18,0.619139614
2.183,0.619213229
2.186,0.619207064
2.189,0.619117968
2.192,0.618787212
2.195,0.618833586
2.198,0.618824399
2.201,0.618816318
2.204,0.618947051
2.207,0.619238939
2.21,0.619197204
2.213,0.619203896
2.216,0.619255127
2.219,0.619774997
2.222,0.620001227
2.225,0.61990783
2.228,0.620751483
2.231,0.620642997
2.234,0.621119819
2.237,0.621485587
2.24,0.621820635
2.243,0.622219252
2.246,0.622488796
2.249,0.623068826
2.252,0.622906073
2.255,0.623746025
2.258,0.623892498
2.261,0.624505458
2.264,0.624998752
2.267,0.625295142
2.27,0.624959173
2.273,0.626070914
2.276,0.626422436
2.279,0.626720991
2.282,0.627507894
2.285,0.627632557
2.288,0.628279856
2.291,0.628776989
2.294,0.628988756
2.297,0.629799498
2.3,0.629967124
2.303,0.630529641
2.306,0.631116443
2.309,0.631270265
2.312,0.632081988
2.315,0.632263336
2.318,0.633082282
2.321,0.633434851
2.324,0.63431601
2.327,0.634464575
2.33,0.635068266
2.333,0.63560955
2.336,0.635791214
2.339,0.636603498
2.342,0.636798816
2.345,0.637318947
2.348,0.637945794
2.351,0.638079055
2.354,0.638877094
2.357,0.639129257
2.36,0.639629569
2.363,0.639892768
2.366,0.640349908
2.369,0.640533571
2.372,0.641202897
2.375,0.641013969
2.378,0.641832045
2.381,0.64188051
2.384,0.642413114
2.387,0.642660165
2.39,0.642547131
2.393,0.643381161
2.396,0.643411119
2.399,0.643959336
2.402,0.644164782
2.405,0.644083486
2.408,0.644928751
2.411,0.644806495
2.414,0.64529969
2.417,0.645692016
2.42,0.645626765
2.423,0.646463481
2.426,0.646303009
2.429,0.646891803
2.432,0.647165083
2.435,0.647138825
2.438,0.647336134
2.441,0.647972264
2.444,0.647909774
2.447,0.647874789
2.45,0.648712559
2.453,0.648630513
2.456,0.648683356
2.459,0.648591272
2.462,0.649421646
2.465,0.649403013
2.468,0.649346681
2.471,0.649938189
2.474,0.650187577
2.477,0.650191187
2.48,0.650710043
2.483,0.650865939
2.486,0.651531669
2.489,0.651672881
2.492,0.652624443
2.495,0.653217175
2.498,0.653401493
