Brown University Keck/NASA Relab Spectrum OC-TXH-011-D05/C1OC11D05,,
W,R,Standard Deviation
0.3,0.11843,0.26595
0.305,0.12348,0.19002
0.31,0.12415,0.1319
0.315,0.12517,0.10637
0.32,0.13,0.08093
0.325,0.13661,0.06263
0.33,0.14141,0.04977
0.335,0.1481,0.03754
0.34,0.15398,0.03035
0.345,0.16011,0.02453
0.35,0.16687,0.02066
0.355,0.17367,0.01778
0.36,0.18147,0.01477
0.365,0.18813,0.01311
0.37,0.19458,0.01116
0.375,0.19991,0.00973
0.38,0.2054,0.00849
0.385,0.21066,0.00813
0.39,0.21521,0.00917
0.395,0.21886,0.01109
0.4,0.22444,0.00419
0.405,0.22866,0.00343
0.41,0.23282,0.00296
0.415,0.23632,0.00247
0.42,0.2395,0.00231
0.425,0.24255,0.00208
0.43,0.24557,0.00196
0.435,0.24809,0.00204
0.44,0.2512,0.00199
0.445,0.25282,0.00192
0.45,0.25495,0.00195
0.455,0.25659,0.00188
0.46,0.25871,0.00193
0.465,0.26094,0.00174
0.47,0.26282,0.00181
0.475,0.265,0.00179
0.48,0.26763,0.00194
0.485,0.26927,0.00188
0.49,0.27118,0.00188
0.495,0.27299,0.00179
0.5,0.27508,0.00189
0.505,0.27673,0.00191
0.51,0.27992,0.0019
0.515,0.28209,0.00182
0.52,0.28441,0.00183
0.525,0.28601,0.00181
0.53,0.28816,0.00185
0.535,0.28967,0.00183
0.54,0.29175,0.00183
0.545,0.29318,0.00183
0.55,0.29463,0.00187
0.555,0.29607,0.00186
0.56,0.29731,0.00199
0.565,0.29846,0.00178
0.57,0.2994,0.00183
0.575,0.30047,0.00172
0.58,0.30091,0.00195
0.585,0.30188,0.00193
0.59,0.30257,0.00186
0.595,0.30353,0.00195
0.6,0.30402,0.00198
0.605,0.30523,0.00199
0.61,0.30556,0.00195
0.615,0.30627,0.00204
0.62,0.30682,0.00223
0.625,0.30706,0.00207
0.63,0.30765,0.00205
0.635,0.30826,0.00192
0.64,0.30907,0.00189
0.645,0.30984,0.00209
0.65,0.31023,0.00209
0.655,0.31102,0.002
0.66,0.3116,0.00206
0.665,0.31234,0.0021
0.67,0.3128,0.00207
0.675,0.31345,0.00205
0.68,0.31421,0.00215
0.685,0.31432,0.0021
0.69,0.31432,0.00214
0.695,0.31458,0.00214
0.7,0.31493,0.00238
0.705,0.31517,0.00235
0.71,0.31523,0.00209
0.715,0.31543,0.00237
0.72,0.31489,0.00243
0.725,0.31526,0.00233
0.73,0.31513,0.00231
0.735,0.31464,0.00243
0.74,0.3145,0.00262
0.745,0.31385,0.00253
0.75,0.31257,0.00252
0.755,0.31227,0.00269
0.76,0.31057,0.00263
0.765,0.30987,0.00277
0.77,0.30837,0.00287
0.775,0.30671,0.00295
0.78,0.305,0.00287
0.785,0.3033,0.00322
0.79,0.30136,0.00336
0.795,0.2991,0.00347
0.8,0.29764,0.00597
0.805,0.29516,0.00581
0.81,0.29196,0.00608
0.815,0.29042,0.00608
0.82,0.28805,0.00608
0.825,0.28494,0.00597
0.83,0.28236,0.00598
0.835,0.27985,0.00573
0.84,0.27853,0.0058
0.845,0.27445,0.00561
0.85,0.2715,0.00538
0.855,0.2713,0.0066
0.86,0.2679,0.00639
0.865,0.26437,0.00565
0.87,0.26188,0.00602
0.875,0.26023,0.00514
0.88,0.25864,0.00473
0.885,0.25662,0.00452
0.89,0.25576,0.00434
0.895,0.25437,0.00433
0.9,0.25246,0.00372
0.905,0.2514,0.00353
0.91,0.25041,0.0031
0.915,0.24839,0.00325
0.92,0.24856,0.00315
0.925,0.24759,0.00281
0.93,0.24726,0.00267
0.935,0.24731,0.00247
0.94,0.2463,0.00254
0.945,0.246,0.00277
0.95,0.24679,0.00268
0.955,0.24661,0.00252
0.96,0.24639,0.00245
0.965,0.24796,0.00258
0.97,0.24762,0.00216
0.975,0.24811,0.00205
0.98,0.24901,0.00229
0.985,0.24871,0.00232
0.99,0.25038,0.00211
0.995,0.24973,0.00199
1,0.25125,0.00232
1.005,0.25164,0.00217
1.01,0.25186,0.00261
1.015,0.25213,0.00239
1.02,0.253,0.00221
1.025,0.25399,0.00232
1.03,0.25424,0.00227
1.035,0.25488,0.00259
1.04,0.25518,0.00218
1.045,0.25612,0.00261
1.05,0.25643,0.00239
