KC-OL-hevn_1,
W,R
0.54088,0.74619
0.54133,0.74637
0.54179,0.74677
0.54224,0.74732
0.54269,0.74821
0.54314,0.74784
0.54359,0.74844
0.54404,0.74912
0.54449,0.75015
0.54494,0.74976
0.54539,0.7505
0.54584,0.75121
0.54629,0.75153
0.54675,0.7515
0.5472,0.7523
0.54765,0.75244
0.5481,0.75259
0.54855,0.75232
0.549,0.75276
0.54945,0.75341
0.5499,0.75359
0.55035,0.75347
0.5508,0.75367
0.55125,0.75345
0.5517,0.7549
0.55215,0.75458
0.5526,0.75564
0.55305,0.75533
0.5535,0.75601
0.55395,0.75577
0.5544,0.75594
0.55485,0.75611
0.5553,0.75683
0.55575,0.75671
0.5562,0.75679
0.55665,0.75676
0.5571,0.75735
0.55755,0.75801
0.558,0.75774
0.55845,0.75833
0.5589,0.75885
0.55935,0.75897
0.5598,0.75913
0.56025,0.75967
0.5607,0.75984
0.56115,0.75976
0.5616,0.76056
0.56205,0.76049
0.5625,0.76033
0.56295,0.76049
0.5634,0.76052
0.56385,0.76105
0.5643,0.76068
0.56475,0.7601
0.5652,0.76014
0.56565,0.76084
0.5661,0.76131
0.56655,0.76123
0.567,0.76116
0.56745,0.76114
0.56789,0.76098
0.56834,0.76148
0.56879,0.76124
0.56924,0.76021
0.56969,0.75999
0.57014,0.76018
0.57059,0.7603
0.57104,0.76026
0.57149,0.75981
0.57194,0.75987
0.57239,0.75995
0.57284,0.76018
0.57328,0.75995
0.57373,0.75971
0.57418,0.75956
0.57463,0.75991
0.57508,0.75985
0.57553,0.76019
0.57598,0.75968
0.57643,0.75967
0.57688,0.76035
0.57732,0.76011
0.57777,0.76009
0.57822,0.7609
0.57867,0.7607
0.57912,0.76085
0.57957,0.76078
0.58002,0.7611
0.58046,0.76081
0.58091,0.76118
0.58136,0.7612
0.58181,0.76178
0.58226,0.76178
0.58271,0.76153
0.58316,0.76113
0.5836,0.7611
0.58405,0.76114
0.5845,0.76101
0.58495,0.76129
0.5854,0.76122
0.58584,0.76095
0.58629,0.76101
0.58674,0.76098
0.58719,0.76149
0.58764,0.76135
0.58809,0.76129
0.58853,0.76068
0.58898,0.76115
0.58943,0.76072
0.58988,0.76077
0.59032,0.76054
