KC-OPX-hevn_2,
W,R
0.54088,0.30499
0.54133,0.30536
0.54179,0.30556
0.54224,0.3056
0.54269,0.30548
0.54314,0.30548
0.54359,0.30497
0.54404,0.30491
0.54449,0.30491
0.54494,0.30463
0.54539,0.30456
0.54584,0.30474
0.54629,0.30522
0.54675,0.30602
0.5472,0.30635
0.54765,0.30703
0.5481,0.30749
0.54855,0.30804
0.549,0.30844
0.54945,0.30831
0.5499,0.30868
0.55035,0.30827
0.5508,0.30869
0.55125,0.30845
0.5517,0.30883
0.55215,0.30852
0.5526,0.30871
0.55305,0.3085
0.5535,0.3085
0.55395,0.30846
0.5544,0.30872
0.55485,0.30882
0.5553,0.30906
0.55575,0.30932
0.5562,0.30954
0.55665,0.30989
0.5571,0.30991
0.55755,0.30986
0.558,0.31009
0.55845,0.31003
0.5589,0.31005
0.55935,0.31011
0.5598,0.30998
0.56025,0.31043
0.5607,0.31031
0.56115,0.31055
0.5616,0.31058
0.56205,0.31064
0.5625,0.31097
0.56295,0.31119
0.5634,0.31094
0.56385,0.31114
0.5643,0.31116
0.56475,0.31088
0.5652,0.31115
0.56565,0.31105
0.5661,0.31133
0.56655,0.31052
0.567,0.31111
0.56745,0.3111
0.56789,0.31112
0.56834,0.31104
0.56879,0.31138
0.56924,0.31152
0.56969,0.31162
0.57014,0.31189
0.57059,0.31221
0.57104,0.31254
0.57149,0.31252
0.57194,0.31293
0.57239,0.31284
0.57284,0.31257
0.57328,0.31263
0.57373,0.31253
0.57418,0.31238
0.57463,0.31234
0.57508,0.31221
0.57553,0.31233
0.57598,0.3125
0.57643,0.31257
0.57688,0.31265
0.57732,0.31268
0.57777,0.31285
0.57822,0.31289
0.57867,0.31362
0.57912,0.31358
0.57957,0.3134
0.58002,0.31396
0.58046,0.3139
0.58091,0.31418
0.58136,0.31414
0.58181,0.31452
0.58226,0.31441
0.58271,0.31452
0.58316,0.31463
0.5836,0.3147
0.58405,0.31468
0.5845,0.31468
0.58495,0.31528
0.5854,0.31523
0.58584,0.31495
0.58629,0.31536
0.58674,0.31528
0.58719,0.31545
0.58764,0.31546
0.58809,0.3155
0.58853,0.31562
0.58898,0.31606
0.58943,0.31617
0.58988,0.31673
0.59032,0.31679
0.59077,0.31712
0.59122,0.31738
0.59167,0.31756
0.59212,0.31764
0.59256,0.31722
0.59301,0.31709
0.59346,0.31715
0.59391,0.31701
0.59435,0.31711
0.5948,0.31738
0.59525,0.31726
0.5957,0.31722
0.59615,0.31754
0.59659,0.31759
0.59704,0.31795
0.59749,0.318
0.59793,0.31797
0.59838,0.31773
0.59883,0.3183
0.59928,0.31805
0.59972,0.31835
0.60017,0.31818
0.60062,0.31815
0.60107,0.31826
0.60151,0.318
0.60196,0.31797
0.60241,0.31825
0.60285,0.31825
0.6033,0.31837
0.60375,0.31864
0.6042,0.3186
0.60464,0.31878
0.60509,0.31903
0.60554,0.31933
0.60598,0.31957
0.60643,0.31939
0.60688,0.3197
0.60732,0.31945
0.60777,0.31963
0.60822,0.31982
0.60866,0.31991
0.60911,0.31978
0.60956,0.32029
0.61,0.32028
0.61045,0.32058
0.6109,0.32117
0.61134,0.3216
0.61179,0.3219
0.61224,0.32234
0.61268,0.3228
0.61313,0.32277
0.61358,0.32305
0.61402,0.32325
0.61447,0.3232
0.61492,0.32359
0.61536,0.32377
0.61581,0.32412
0.61625,0.32414
0.6167,0.3245
0.61715,0.32465
0.61759,0.32498
0.61804,0.3247
0.61848,0.32513
0.61893,0.32522
0.61938,0.32539
0.61982,0.32582
0.62027,0.32605
0.62071,0.32654
0.62116,0.3265
0.62161,0.32695
0.62205,0.32703
0.6225,0.32717
0.62294,0.32711
0.62339,0.32703
0.62384,0.327
0.62428,0.3274
0.62473,0.32765
0.62517,0.32786
0.62562,0.32772
0.62606,0.32798
0.62651,0.32796
0.62696,0.32829
0.6274,0.3282
0.62785,0.32798
0.62829,0.32768
0.62874,0.32811
0.62918,0.32844
0.62963,0.32905
0.63007,0.32903
0.63052,0.32951
0.63096,0.32958
0.63141,0.32992
0.63185,0.32999
0.6323,0.32976
0.63274,0.33027
0.63319,0.33032
0.63364,0.33082
0.63408,0.33097
0.63453,0.33139
0.63497,0.33145
0.63542,0.33185
0.63586,0.33263
0.63631,0.33258
0.63675,0.33308
0.6372,0.33327
0.63764,0.33359
0.63809,0.33324
0.63853,0.33353
0.63897,0.33327
0.63942,0.33317
0.63986,0.3328
0.64031,0.3325
0.64075,0.33263
0.6412,0.33255
0.64164,0.33247
0.64209,0.33272
0.64253,0.33277
0.64298,0.33314
0.64342,0.33326
0.64387,0.33335
0.64431,0.33323
0.64475,0.33336
0.6452,0.33347
0.64564,0.3337
0.64609,0.33418
0.64653,0.33496
0.64698,0.33534
0.64742,0.33573
0.64786,0.33623
0.64831,0.33662
0.64875,0.33663
0.6492,0.3372
0.64964,0.33726
0.65009,0.33736
0.65053,0.33744
0.65097,0.33737
0.65142,0.33775
0.65186,0.3381
0.65231,0.33825
0.65275,0.33829
0.65319,0.33831
0.65364,0.33848
0.65408,0.3388
0.65452,0.33878
0.65497,0.33859
0.65541,0.33865
0.65586,0.33875
0.6563,0.33893
0.65674,0.33903
0.65719,0.3391
0.65763,0.33934
0.65807,0.33939
0.65852,0.33953
0.65896,0.33976
0.6594,0.33953
0.65985,0.33939
0.66029,0.33973
0.66073,0.33986
0.66118,0.33982
0.66162,0.34022
0.66207,0.34032
0.66251,0.34068
0.66295,0.34118
0.66339,0.34187
0.66384,0.34214
0.66428,0.34242
0.66472,0.34268
0.66517,0.34311
0.66561,0.34328
0.66605,0.34329
0.6665,0.34338
0.66694,0.34328
0.66738,0.34318
0.66783,0.34322
0.66827,0.3431
0.66871,0.3428
0.66915,0.34268
0.6696,0.34242
0.67004,0.3426
0.67048,0.34256
0.67093,0.34276
0.67137,0.34323
0.67181,0.34331
0.67225,0.34385
0.6727,0.34388
0.67314,0.34456
0.67358,0.34502
0.67402,0.34532
0.67447,0.34562
0.67491,0.34612
0.67535,0.34637
0.67579,0.34664
0.67624,0.34658
0.67668,0.34649
0.67712,0.34649
0.67756,0.34636
0.67801,0.34647
0.67845,0.34642
0.67889,0.34618
0.67933,0.34659
0.67978,0.34681
0.68022,0.34745
0.68066,0.34786
0.6811,0.34831
0.68154,0.34827
0.68199,0.34824
0.68243,0.34817
0.68287,0.34812
0.68331,0.34836
0.68375,0.34812
0.6842,0.34791
0.68464,0.34789
0.68508,0.3485
0.68552,0.34885
0.68596,0.34942
0.6864,0.34967
0.68685,0.35013
0.68729,0.35057
0.68773,0.35087
0.68817,0.35147
0.68861,0.3518
0.68905,0.35217
0.6895,0.35201
0.68994,0.35203
0.69038,0.35157
0.69082,0.35128
0.69126,0.35125
0.6917,0.35128
0.69215,0.3514
0.69259,0.35173
0.69303,0.35245
0.69347,0.35293
0.69391,0.35343
0.69435,0.35395
0.69479,0.35416
0.69523,0.35454
0.69568,0.35461
0.69612,0.35477
0.69656,0.35436
0.697,0.35434
0.69744,0.35452
0.69788,0.35468
0.69832,0.35477
0.69876,0.35497
0.6992,0.35506
0.69965,0.35519
0.70009,0.35539
0.70053,0.3556
0.70097,0.35558
0.70141,0.35526
0.70185,0.35518
0.70229,0.35521
0.70273,0.35518
0.70317,0.3555
0.70361,0.35553
0.70405,0.35566
0.70449,0.35579
0.70493,0.35629
0.70538,0.35636
0.70582,0.35668
0.70626,0.35645
0.7067,0.35672
0.70714,0.35687
0.70758,0.35706
0.70802,0.35756
0.70846,0.35773
0.7089,0.35781
0.70934,0.35818
0.70978,0.35818
0.71022,0.35859
0.71066,0.35857
0.7111,0.35907
0.71154,0.35938
0.71198,0.35985
0.71242,0.35988
0.71286,0.36035
0.7133,0.36093
0.71374,0.36108
0.71418,0.36123
0.71462,0.36151
0.71506,0.36122
0.7155,0.36088
0.71594,0.36029
0.71638,0.36049
0.71682,0.36031
0.71726,0.35988
0.7177,0.35992
0.71814,0.35964
0.71858,0.35988
0.71902,0.36035
0.71946,0.36083
0.7199,0.36134
0.72034,0.36199
0.72078,0.36228
0.72122,0.36286
0.72166,0.36358
0.7221,0.36411
0.72254,0.36411
0.72298,0.36412
0.72342,0.36419
0.72386,0.36394
0.72429,0.36366
0.72473,0.36303
0.72517,0.36254
0.72561,0.36225
0.72605,0.36224
0.72649,0.36178
0.72693,0.36206
0.72737,0.36216
0.72781,0.36248
0.72825,0.36276
0.72869,0.36319
0.72913,0.36337
0.72957,0.36319
0.73,0.36306
0.73044,0.36305
0.73088,0.36293
0.73132,0.36279
0.73176,0.36339
0.7322,0.36344
0.73264,0.36382
0.73308,0.36429
0.73352,0.36465
0.73395,0.36479
0.73439,0.36481
0.73483,0.36488
0.73527,0.36496
0.73571,0.36529
0.73615,0.36538
0.73659,0.36609
0.73703,0.36594
0.73746,0.3663
0.7379,0.36656
0.73834,0.36691
0.73878,0.36719
0.73922,0.36709
0.73966,0.36753
0.74009,0.36746
0.74053,0.36782
0.74097,0.36828
0.74141,0.36818
0.74185,0.36845
0.74229,0.3683
0.74272,0.36857
0.74316,0.36892
0.7436,0.36914
0.74404,0.36913
0.74448,0.36936
0.74492,0.36947
0.74535,0.36907
0.74579,0.36882
0.74623,0.3689
0.74667,0.36867
0.74711,0.36855
0.74754,0.36855
0.74798,0.36842
0.74842,0.36886
0.74886,0.36891
0.74929,0.36921
0.74973,0.36922
0.75017,0.36953
0.75061,0.36954
0.75105,0.36963
0.75148,0.36961
0.75192,0.37001
0.75236,0.36997
0.7528,0.36977
0.75323,0.36965
0.75367,0.36923
0.75411,0.36933
0.75455,0.36897
0.75498,0.36875
0.75542,0.36838
0.75586,0.36795
0.7563,0.36786
0.75673,0.36782
0.75717,0.36768
0.75761,0.36757
0.75805,0.36711
0.75848,0.36659
0.75892,0.36658
0.75936,0.36607
0.75979,0.36553
0.76023,0.36521
0.76067,0.36548
0.76111,0.36531
0.76154,0.36526
0.76198,0.36501
0.76242,0.36531
0.76285,0.36512
0.76329,0.36514
0.76373,0.36491
0.76416,0.36502
0.7646,0.36474
0.76504,0.36451
0.76548,0.36419
0.76591,0.36415
0.76635,0.36383
0.76679,0.36335
0.76722,0.36308
0.76766,0.36336
0.7681,0.36306
0.76853,0.36279
0.76897,0.36288
0.76941,0.36272
0.76984,0.36282
0.77028,0.36224
0.77072,0.36165
0.77115,0.3613
0.77159,0.36089
