BRU_LE3CPX,
W,R
0.25,0.115158
0.251,0.114289
0.252,0.11401
0.253,0.113268
0.254,0.112941
0.255,0.112645
0.256,0.112926
0.257,0.112086
0.258,0.111697
0.259,0.112474
0.26,0.112924
0.261,0.112006
0.262,0.111841
0.263,0.111155
0.264,0.111839
0.265,0.112402
0.266,0.112516
0.267,0.112343
0.268,0.111503
0.269,0.112208
0.27,0.112634
0.271,0.111857
0.272,0.112542
0.273,0.112375
0.274,0.113481
0.275,0.112148
0.276,0.112448
0.277,0.112994
0.278,0.111807
0.279,0.112769
0.28,0.112171
0.281,0.111749
0.282,0.110865
0.283,0.111223
0.284,0.110639
0.285,0.110869
0.286,0.110301
0.287,0.110293
0.288,0.110054
0.289,0.108899
0.29,0.109473
0.291,0.108014
0.292,0.108073
0.293,0.109444
0.294,0.108436
0.295,0.108998
0.296,0.108803
0.297,0.108925
0.298,0.110486
0.299,0.10865
0.3,0.109823
0.301,0.110106
0.302,0.110694
0.303,0.110794
0.304,0.111236
0.305,0.112839
0.306,0.112819
0.307,0.113555
0.308,0.11467
0.309,0.114772
0.31,0.116639
0.311,0.117965
0.312,0.119314
0.313,0.119826
0.314,0.120642
0.315,0.123021
0.316,0.124174
0.317,0.125789
0.318,0.127068
0.319,0.129015
0.32,0.130628
0.321,0.133724
0.322,0.136035
0.323,0.138181
0.324,0.141433
0.325,0.142883
0.326,0.147473
0.327,0.149785
0.328,0.152745
0.329,0.156062
0.33,0.159912
0.331,0.163909
0.332,0.167275
0.333,0.170899
0.334,0.175279
0.335,0.178285
0.336,0.182838
0.337,0.187391
0.338,0.191465
0.339,0.196013
0.34,0.200748
0.341,0.205098
0.342,0.209167
0.343,0.214767
0.344,0.217836
0.345,0.222215
0.346,0.22549
0.347,0.22923
0.348,0.233741
0.349,0.238333
0.35,0.243186
0.351,0.246922
0.352,0.249905
0.353,0.253708
0.354,0.258589
0.355,0.26265
0.356,0.264635
0.357,0.267884
0.358,0.272423
0.359,0.276402
0.36,0.278546
0.361,0.281331
0.362,0.2854
0.363,0.288139
0.364,0.289393
0.365,0.291681
0.366,0.296017
0.367,0.297884
0.368,0.299852
0.369,0.302824
0.37,0.305963
0.371,0.307707
0.372,0.30845
0.373,0.310147
0.374,0.310911
0.375,0.313078
0.376,0.314975
0.377,0.316573
0.378,0.316575
0.379,0.317435
0.38,0.319374
0.381,0.320153
0.382,0.321537
0.383,0.322719
0.384,0.324863
0.385,0.326755
0.386,0.327805
0.387,0.328726
0.388,0.329605
0.389,0.330698
0.39,0.332875
0.391,0.333777
0.392,0.334325
0.393,0.336175
0.394,0.337679
0.395,0.339439
0.396,0.340267
0.397,0.341449
0.398,0.343265
0.399,0.344274
0.4,0.344947
0.401,0.34657
0.402,0.348011
0.403,0.34939
0.404,0.350541
0.405,0.35135
0.406,0.352525
0.407,0.354476
0.408,0.35629
0.409,0.357448
0.41,0.358112
0.411,0.359434
0.412,0.360657
0.413,0.36162
0.414,0.363226
0.415,0.364156
0.416,0.364381
0.417,0.365885
0.418,0.367924
0.419,0.369011
0.42,0.369836
0.421,0.369963
0.422,0.37078
0.423,0.372481
0.424,0.374383
0.425,0.375149
0.426,0.376416
0.427,0.377312
0.428,0.377433
0.429,0.379128
0.43,0.379709
0.431,0.37963
0.432,0.381189
0.433,0.382791
0.434,0.382564
0.435,0.383327
0.436,0.384208
0.437,0.38525
0.438,0.386836
0.439,0.387448
0.44,0.387793
0.441,0.388235
0.442,0.388998
0.443,0.390457
0.444,0.391017
0.445,0.3898
0.446,0.390251
0.447,0.392035
0.448,0.392615
0.449,0.392938
0.45,0.393393
0.451,0.394567
0.452,0.395637
0.453,0.396414
0.454,0.397909
0.455,0.399367
0.456,0.400929
0.457,0.402004
0.458,0.403282
0.459,0.405099
0.46,0.40536
0.461,0.406316
0.462,0.407311
0.463,0.409318
0.464,0.4106
0.465,0.410884
0.466,0.412654
0.467,0.413553
0.468,0.41401
0.469,0.415312
0.47,0.415831
0.471,0.416993
0.472,0.418577
0.473,0.418456
0.474,0.420255
0.475,0.420366
0.476,0.422008
0.477,0.422884
0.478,0.422862
0.479,0.423907
0.48,0.425137
0.481,0.42492
0.482,0.426505
0.483,0.427819
0.484,0.428145
0.485,0.428131
0.486,0.428046
0.487,0.428906
0.488,0.430909
0.489,0.43137
0.49,0.431277
0.491,0.431878
0.492,0.433367
0.493,0.434178
0.494,0.435703
0.495,0.43541
0.496,0.436121
0.497,0.437221
0.498,0.438608
0.499,0.439724
0.5,0.44009
0.501,0.440758
0.502,0.442101
0.503,0.442596
0.504,0.442913
0.505,0.443925
0.506,0.444755
0.507,0.446098
0.508,0.446917
0.509,0.448169
0.51,0.44941
0.511,0.450176
0.512,0.450393
0.513,0.451458
0.514,0.452295
0.515,0.453732
0.516,0.454328
0.517,0.454056
0.518,0.4559
0.519,0.455745
0.52,0.456501
0.521,0.456443
0.522,0.458443
0.523,0.45856
0.524,0.459863
0.525,0.46019
0.526,0.459167
0.527,0.461093
0.528,0.462378
0.529,0.463208
0.53,0.464414
0.531,0.464094
0.532,0.464899
0.533,0.464407
0.534,0.465556
0.535,0.466447
0.536,0.467347
0.537,0.467366
0.538,0.468061
0.539,0.468499
0.54,0.469934
0.541,0.470429
0.542,0.470719
0.543,0.470458
0.544,0.471603
0.545,0.471759
0.546,0.472992
0.547,0.473873
0.548,0.47319
0.549,0.474206
0.55,0.475047
0.551,0.475381
0.552,0.475696
0.553,0.476799
0.554,0.477782
0.555,0.477977
0.556,0.478093
0.557,0.47946
0.558,0.480001
0.559,0.479308
0.56,0.479805
0.561,0.48068
0.562,0.480662
0.563,0.480565
0.564,0.480911
0.565,0.483029
0.566,0.482705
0.567,0.482736
0.568,0.484136
0.569,0.484482
0.57,0.485374
0.571,0.486889
0.572,0.486695
0.573,0.486041
0.574,0.485915
0.575,0.487136
0.576,0.488235
0.577,0.488039
0.578,0.489032
0.579,0.488676
0.58,0.488715
0.581,0.490319
0.582,0.491503
0.583,0.491583
0.584,0.490419
0.585,0.491346
0.586,0.491637
0.587,0.492379
0.588,0.492635
0.589,0.492663
0.59,0.49314
0.591,0.493612
0.592,0.493782
0.593,0.494576
0.594,0.494605
0.595,0.494581
0.596,0.495307
0.597,0.495528
0.598,0.495923
0.599,0.4964
0.6,0.496365
0.601,0.496361
0.602,0.496761
0.603,0.497404
0.604,0.498741
0.605,0.499787
0.606,0.49897
0.607,0.499271
0.608,0.500774
0.609,0.500389
0.61,0.499222
0.611,0.499077
0.612,0.500202
0.613,0.501223
0.614,0.501653
0.615,0.501109
0.616,0.500601
0.617,0.501366
0.618,0.501815
0.619,0.502082
0.62,0.502713
0.621,0.503718
0.622,0.504188
0.623,0.503648
0.624,0.504111
0.625,0.505035
0.626,0.505726
0.627,0.505658
0.628,0.504702
0.629,0.506516
0.63,0.507353
0.631,0.507159
0.632,0.507385
0.633,0.508031
0.634,0.507179
0.635,0.507678
0.636,0.508893
0.637,0.508959
0.638,0.5086
0.639,0.509196
0.64,0.508522
0.641,0.509623
0.642,0.510076
0.643,0.510226
0.644,0.511578
0.645,0.510556
0.646,0.510438
0.647,0.51158
0.648,0.512574
0.649,0.511865
0.65,0.511848
0.651,0.513081
0.652,0.514646
0.653,0.514502
0.654,0.514409
0.655,0.513928
0.656,0.513594
0.657,0.513703
0.658,0.515032
0.659,0.51498
0.66,0.51545
0.661,0.517028
0.662,0.516554
0.663,0.517313
0.664,0.517147
0.665,0.517052
0.666,0.517357
0.667,0.517459
0.668,0.518382
0.669,0.518002
0.67,0.517346
0.671,0.519642
0.672,0.518721
0.673,0.51805
0.674,0.519642
0.675,0.518441
0.676,0.519185
0.677,0.519326
0.678,0.522091
0.679,0.521241
0.68,0.519776
0.681,0.521475
0.682,0.521509
0.683,0.520631
0.684,0.524259
0.685,0.522118
0.686,0.523629
0.687,0.522406
0.688,0.524507
0.689,0.524187
0.69,0.523752
0.691,0.524389
0.692,0.523943
0.693,0.524339
0.694,0.525777
0.695,0.526358
0.696,0.527014
0.697,0.523846
0.698,0.525825
0.699,0.525798
0.7,0.52483
0.701,0.527291
0.702,0.526823
0.703,0.52713
0.704,0.529911
0.705,0.527283
0.706,0.529965
0.707,0.527538
0.708,0.529016
0.709,0.529748
0.71,0.530306
0.711,0.529751
0.712,0.52917
0.713,0.531074
0.714,0.529544
0.715,0.52944
0.716,0.531873
0.717,0.531943
0.718,0.530919
0.719,0.53169
0.72,0.531559
0.721,0.529384
0.722,0.530942
0.723,0.53067
0.724,0.530544
0.725,0.533144
0.726,0.532218
0.727,0.53277
0.728,0.534151
0.729,0.534928
0.73,0.532975
0.731,0.532551
0.732,0.533074
0.733,0.534307
0.734,0.536064
0.735,0.535048
0.736,0.533901
0.737,0.534684
0.738,0.537514
0.739,0.537201
0.74,0.537666
0.741,0.539669
0.742,0.537976
0.743,0.537206
0.744,0.537864
0.745,0.539401
0.746,0.542084
0.747,0.539666
0.748,0.538746
0.749,0.538336
0.75,0.540583
0.751,0.538132
0.752,0.537292
0.753,0.540501
0.754,0.542302
0.755,0.54042
0.756,0.540343
0.757,0.540547
0.758,0.544346
0.759,0.543754
0.76,0.540298
0.761,0.540477
0.762,0.543126
0.763,0.544296
0.764,0.545068
0.765,0.545328
0.766,0.544084
0.767,0.541179
0.768,0.546872
0.769,0.54827
0.77,0.547596
0.771,0.548578
0.772,0.549966
0.773,0.549932
0.774,0.549826
0.775,0.549305
0.776,0.55026
0.777,0.550394
0.778,0.550704
0.779,0.550097
0.78,0.550677
0.781,0.552461
0.782,0.552633
0.783,0.550716
0.784,0.550951
0.785,0.555023
0.786,0.555907
0.787,0.556663
0.788,0.55765
0.789,0.557229
0.79,0.557655
0.791,0.55643
0.792,0.557647
0.793,0.559694
0.794,0.560077
0.795,0.558319
0.796,0.559615
0.797,0.560237
0.798,0.55764
0.799,0.559492
0.8,0.562606
0.801,0.561043
0.802,0.560062
0.803,0.562961
0.804,0.564042
0.805,0.562308
0.806,0.564383
0.807,0.565764
0.808,0.562793
0.809,0.562549
0.81,0.565056
0.811,0.567275
0.812,0.566402
0.813,0.56477
0.814,0.564567
0.815,0.566988
0.816,0.571331
0.817,0.571328
0.818,0.569721
0.819,0.568372
0.82,0.572229
0.821,0.573196
0.822,0.571052
0.823,0.571435
0.824,0.574571
0.825,0.574848
0.826,0.574348
0.827,0.573792
0.828,0.572442
0.829,0.575376
0.83,0.566534
0.831,0.565
0.832,0.565741
0.833,0.565212
0.834,0.571931
0.835,0.569987
0.836,0.5672
0.837,0.565379
0.838,0.566749
0.839,0.569511
0.84,0.565482
0.841,0.562169
0.842,0.565534
0.843,0.564126
0.844,0.56752
0.845,0.566207
0.846,0.562625
0.847,0.56124
0.848,0.563256
0.849,0.561556
0.85,0.556452
0.851,0.558725
0.852,0.561106
0.853,0.560021
0.854,0.554679
0.855,0.565872
0.856,0.568785
0.857,0.566321
0.858,0.563418
0.859,0.566066
0.86,0.571806
0.861,0.56937
0.862,0.568814
0.863,0.569406
0.864,0.568393
0.865,0.568688
0.866,0.568056
0.867,0.569892
0.868,0.569501
0.869,0.56826
0.87,0.570187
0.871,0.568134
0.872,0.568763
0.873,0.569517
0.874,0.569154
0.875,0.566806
0.876,0.569336
0.877,0.567649
0.878,0.567012
0.879,0.567797
0.88,0.565387
0.881,0.564979
0.882,0.564516
0.883,0.565357
0.884,0.565797
0.885,0.566498
0.886,0.567339
0.887,0.568235
0.888,0.565865
0.889,0.56398
0.89,0.565371
0.891,0.564902
0.892,0.565112
0.893,0.566946
0.894,0.565235
0.895,0.564539
0.896,0.562391
0.897,0.565217
0.898,0.561108
0.899,0.563044
0.9,0.561376
0.901,0.562024
0.902,0.560149
0.903,0.561339
0.904,0.562058
0.905,0.55898
0.906,0.558707
0.907,0.559759
0.908,0.559277
0.909,0.558389
0.91,0.557823
0.911,0.557839
0.912,0.557768
0.913,0.556359
0.914,0.557669
0.915,0.557782
0.916,0.553676
0.917,0.55287
0.918,0.55496
0.919,0.554406
0.92,0.552785
0.921,0.553965
0.922,0.553464
0.923,0.554237
0.924,0.551254
0.925,0.552171
0.926,0.55072
0.927,0.550274
0.928,0.550725
0.929,0.5495
0.93,0.548848
0.931,0.548161
0.932,0.547186
0.933,0.546435
0.934,0.545495
0.935,0.545786
0.936,0.545739
0.937,0.544727
0.938,0.543935
0.939,0.543034
0.94,0.542691
0.941,0.542686
0.942,0.542217
0.943,0.541947
0.944,0.540085
0.945,0.540565
0.946,0.539448
0.947,0.539135
0.948,0.538632
0.949,0.537516
0.95,0.536833
0.951,0.53636
0.952,0.536325
0.953,0.535501
0.954,0.534749
0.955,0.533943
0.956,0.532874
0.957,0.533015
0.958,0.532605
0.959,0.531624
0.96,0.531064
0.961,0.529904
0.962,0.528944
0.963,0.52828
0.964,0.527682
0.965,0.526817
0.966,0.525571
0.967,0.525187
0.968,0.524222
0.969,0.523699
0.97,0.522717
0.971,0.521996
0.972,0.52142
0.973,0.52029
0.974,0.5194
0.975,0.519041
0.976,0.518041
0.977,0.517357
0.978,0.516899
0.979,0.51663
0.98,0.516414
0.981,0.515798
0.982,0.515681
0.983,0.514094
0.984,0.5131
0.985,0.512944
0.986,0.512409
0.987,0.511885
0.988,0.511268
0.989,0.5106
0.99,0.510105
0.991,0.509824
0.992,0.508896
0.993,0.508297
0.994,0.507443
0.995,0.506551
0.996,0.506721
0.997,0.506867
0.998,0.506599
0.999,0.50566
1,0.505211
1.001,0.505129
1.002,0.504725
1.003,0.504542
1.004,0.503903
1.005,0.503219
1.006,0.503246
1.007,0.50283
1.008,0.502006
1.009,0.501407
1.01,0.500805
1.011,0.50104
1.012,0.501162
1.013,0.500397
1.014,0.500107
1.015,0.500052
1.016,0.500004
1.017,0.499993
1.018,0.499653
1.019,0.499058
1.02,0.498676
1.021,0.498143
1.022,0.498407
1.023,0.498516
1.024,0.497936
1.025,0.497812
1.026,0.498151
1.027,0.497862
1.028,0.497587
1.029,0.497277
1.03,0.497215
1.031,0.49724
1.032,0.497269
1.033,0.497701
1.034,0.497643
1.035,0.497373
1.036,0.496718
1.037,0.496138
1.038,0.496885
1.039,0.496877
