OC-AK-Ko2,
W,R
0.251094586,0.061746231
0.261507998,0.061746231
0.266714704,0.061746231
0.274529125,0.062095198
0.279742372,0.062618649
0.287554612,0.062793132
0.295364671,0.062793132
0.301862152,0.061920715
0.308363994,0.061397264
0.313577241,0.061920715
0.321402563,0.063142099
0.327915306,0.063491066
0.331833418,0.064537968
0.337046666,0.065061418
0.342262093,0.065759352
0.346178025,0.06663177
0.352695129,0.067329704
0.357912737,0.068202122
0.363128165,0.068900056
0.367039735,0.069423506
0.372257344,0.070295924
0.378776628,0.071168342
0.380087026,0.071866276
0.381395244,0.072389726
0.385308995,0.073087661
0.385319897,0.073960078
0.387931971,0.074658012
0.390550587,0.075879397
0.394466518,0.076751815
0.394479601,0.077798716
0.394488322,0.07849665
0.39579872,0.079194584
0.398412975,0.080067002
0.399725553,0.080939419
0.399736455,0.081811837
0.401044673,0.082335288
0.404960604,0.083207705
0.407574859,0.084080123
0.410189114,0.08495254
0.412803369,0.085824958
0.414120308,0.087046343
0.418034059,0.087744277
0.423251667,0.088616695
0.424566426,0.089663596
0.427182861,0.090710497
0.429799297,0.091757398
0.431114055,0.092804299
0.433739212,0.094549135
0.433734851,0.094200168
0.436353467,0.095421552
0.438967722,0.09629397
0.44027812,0.096991904
0.442896736,0.098213289
0.444213675,0.099434673
0.44683011,0.100481575
0.450748222,0.101528476
0.4520608,0.102400893
0.454679416,0.103622278
0.457295851,0.104669179
0.462513459,0.105541597
0.465132075,0.106762982
0.46774851,0.107809883
0.472966118,0.1086823
0.475584734,0.109903685
0.478201169,0.110950586
0.482117101,0.111823004
0.484735716,0.113044389
0.487352152,0.11409129
0.489968587,0.115138191
0.493888879,0.116359576
0.496505315,0.117406477
0.49911957,0.118278895
0.501731644,0.118976829
0.501740366,0.119674763
0.503057305,0.120896147
0.504374244,0.122117532
0.504387326,0.123164433
0.505697724,0.123862367
0.508311979,0.124734785
0.510930595,0.12595617
0.510939316,0.126654104
0.514853067,0.127352038
0.517469502,0.128398939
0.517478224,0.129096873
0.517493486,0.130318258
0.520107741,0.131190676
0.520123004,0.13241206
0.522737259,0.133284478
0.525351514,0.134156896
0.525362416,0.135029313
0.526674994,0.135901731
0.52929361,0.137123116
0.530606188,0.137995533
0.530627992,0.139740369
0.53584778,0.14078727
0.538466396,0.142008654
0.541085011,0.143230039
0.543701447,0.14427694
0.543714529,0.145323841
0.546330964,0.146370743
0.54895394,0.147941094
0.55027088,0.149162479
0.552887315,0.15020938
0.554204254,0.151430765
0.55682505,0.152826633
0.559441485,0.153873534
0.562057921,0.154920436
0.564678717,0.156316304
0.564691799,0.157363205
0.569913768,0.15858459
0.572532383,0.159805974
0.572545465,0.160852876
0.575166261,0.162248744
0.579084373,0.163295645
0.583000305,0.164168063
0.586918417,0.165214964
0.590840889,0.166610832
0.596060678,0.167657733
0.597373256,0.168530151
0.598688015,0.169577052
0.603907803,0.170623953
0.610429268,0.171670854
0.61434956,0.172892239
0.619567168,0.173764657
0.622183604,0.174811558
0.626097355,0.175509492
0.630011106,0.176207426
0.631323684,0.177079844
0.637838608,0.177603294
0.643058397,0.178650195
0.645672652,0.179522613
0.649588583,0.180395031
0.656107868,0.181267448
0.663924468,0.181790899
0.666536543,0.182488833
0.67174979,0.183012284
0.676967398,0.183884701
0.68479054,0.184931603
0.691307644,0.185629537
0.697816027,0.185629537
0.704333131,0.186327471
0.710843694,0.186501954
0.717354257,0.186676438
0.72386264,0.186676438
0.727763309,0.186327471
0.734265151,0.18580402
0.740773533,0.18580402
0.744672022,0.18528057
0.749870007,0.184582635
0.753768495,0.184059185
0.756360947,0.183186767
0.758955578,0.182488833
0.768056412,0.181616415
0.764160104,0.18231435
0.770648864,0.180743998
0.773243495,0.180046064
0.777139804,0.17934813
0.781036112,0.178650195
0.78102739,0.177952261
0.783617661,0.17690536
0.787509609,0.175858459
0.788802564,0.175160525
0.791392835,0.174113624
0.796586459,0.173066723
0.796577738,0.172368788
0.797868512,0.171496371
0.800460964,0.170623953
0.804355091,0.169751536
0.808244859,0.168530151
0.809535633,0.167657733
0.810826408,0.166785316
0.814722716,0.166087381
0.817308627,0.164691513
0.819901078,0.163819096
0.822493529,0.162946678
0.823782124,0.161899777
0.826372394,0.160852876
0.828962665,0.159805974
0.831552936,0.158759073
0.83674438,0.157537688
0.838032974,0.156490787
0.843228779,0.15561837
0.844515193,0.154396985
0.845805968,0.153524567
0.851001772,0.15265215
0.853594223,0.151779732
0.856184494,0.150732831
0.857473089,0.14968593
0.858761683,0.148639029
0.85874424,0.14724316
0.858726797,0.145847292
0.858713715,0.144800391
0.858700633,0.14375349
0.861293084,0.142881072
0.865182851,0.141659687
0.869076979,0.14078727
0.87166943,0.139914852
0.876867415,0.139216918
0.883362716,0.138170017
0.88464913,0.136948632
0.889849295,0.136425182
0.895045099,0.135552764
0.902844257,0.134680346
0.905443249,0.134331379
0.913246768,0.133807929
0.919744249,0.132935511
0.924942233,0.132237577
0.931437534,0.131190676
0.935327301,0.129969291
0.941835684,0.129969291
0.948352788,0.130667225
0.953568216,0.131365159
0.957481967,0.132063093
0.961393538,0.132586544
0.967915003,0.133633445
0.973134791,0.134680346
0.975746866,0.13537828
0.98226397,0.136076214
0.986175541,0.136599665
0.988789796,0.137472083
0.992703547,0.138170017
0.996617298,0.138867951
1.001832726,0.139565885
1.0044448,0.140263819
1.009662408,0.141136237
1.017479009,0.141659687
1.021399301,0.142881072
1.027916405,0.143579006
