KC-OL-Im_12,
W,R
0.50012,0.13717
0.50031,0.1387
0.5005,0.15268
0.5007,0.15781
0.50089,0.15222
0.50108,0.14715
0.50128,0.14568
0.50147,0.15029
0.50166,0.15386
0.50186,0.15554
0.50205,0.15345
0.50225,0.15391
0.50244,0.16115
0.50264,0.15932
0.50283,0.14777
0.50303,0.13742
0.50322,0.13852
0.50342,0.14568
0.50361,0.14812
0.50381,0.15123
0.50401,0.15486
0.5042,0.15397
0.5044,0.14912
0.50459,0.14327
0.50479,0.13756
0.50499,0.13302
0.50518,0.13281
0.50538,0.14018
0.50558,0.14763
0.50577,0.14463
0.50597,0.14442
0.50617,0.15191
0.50637,0.15323
0.50657,0.14892
0.50676,0.14598
0.50696,0.14493
0.50716,0.14759
0.50736,0.15453
0.50756,0.15891
0.50776,0.15127
0.50795,0.14042
0.50815,0.14274
0.50835,0.15068
0.50855,0.1537
0.50875,0.15279
0.50895,0.15429
0.50915,0.16171
0.50935,0.16705
0.50955,0.16137
0.50975,0.15344
0.50995,0.15432
0.51015,0.15567
0.51035,0.15532
0.51056,0.1595
0.51076,0.15627
0.51096,0.15041
0.51116,0.15212
0.51136,0.15313
0.51156,0.14956
0.51177,0.1468
0.51197,0.15293
0.51217,0.16245
0.51237,0.16366
0.51257,0.15793
0.51278,0.15374
0.51298,0.15189
0.51318,0.14804
0.51339,0.14963
0.51359,0.15452
0.51379,0.15637
0.514,0.15466
0.5142,0.15028
0.51441,0.15343
0.51461,0.15685
0.51481,0.15223
0.51502,0.15327
0.51522,0.1607
0.51543,0.16035
0.51563,0.15192
0.51584,0.14766
0.51604,0.14799
0.51625,0.14734
0.51645,0.14943
0.51666,0.15469
0.51687,0.15698
0.51707,0.15755
0.51728,0.1597
0.51749,0.15971
0.51769,0.15845
0.5179,0.1606
0.51811,0.16409
0.51831,0.16373
0.51852,0.16142
0.51873,0.15858
0.51894,0.15625
0.51914,0.1567
0.51935,0.15958
0.51956,0.1636
0.51977,0.16154
0.51998,0.15309
0.52018,0.15138
0.52039,0.15564
0.5206,0.16025
0.52081,0.16516
0.52102,0.16422
0.52123,0.15908
0.52144,0.15669
0.52165,0.15488
0.52186,0.15662
0.52207,0.16308
0.52228,0.16559
0.52249,0.16784
0.5227,0.17062
0.52291,0.16893
0.52312,0.16373
0.52333,0.16204
0.52355,0.16491
0.52376,0.1632
0.52397,0.16245
0.52418,0.16505
0.52439,0.16017
0.52461,0.15338
0.52482,0.15366
0.52503,0.15891
0.52524,0.16362
0.52546,0.16668
0.52567,0.16656
0.52588,0.16233
0.5261,0.1588
0.52631,0.1614
0.52652,0.16629
0.52674,0.16422
0.52695,0.16168
0.52717,0.16481
0.52738,0.16951
0.5276,0.17192
0.52781,0.16895
0.52802,0.16774
0.52824,0.16866
0.52846,0.16706
0.52867,0.16598
0.52889,0.16538
0.5291,0.16436
0.52932,0.1635
0.52953,0.16498
0.52975,0.16763
0.52997,0.1643
0.53018,0.15955
0.5304,0.16261
0.53062,0.16533
0.53084,0.16196
0.53105,0.16064
0.53127,0.16351
0.53149,0.16656
0.53171,0.1673
0.53192,0.16838
0.53214,0.16684
0.53236,0.1627
0.53258,0.16613
0.5328,0.16927
0.53302,0.1653
0.53324,0.16349
0.53346,0.16495
0.53368,0.16737
0.5339,0.16879
0.53412,0.16618
0.53434,0.16395
0.53456,0.16416
0.53478,0.16507
0.535,0.16841
0.53522,0.17126
0.53544,0.16998
0.53566,0.16861
0.53588,0.16857
0.5361,0.16679
0.53633,0.16513
0.53655,0.16502
0.53677,0.16458
0.53699,0.16669
0.53722,0.16915
0.53744,0.16761
0.53766,0.16777
0.53788,0.17191
0.53811,0.17361
0.53833,0.17235
0.53855,0.17293
0.53878,0.17277
0.539,0.17094
0.53923,0.17064
0.53945,0.1721
0.53968,0.17427
0.5399,0.17257
0.54013,0.16838
0.54035,0.16843
0.54058,0.16937
0.5408,0.16815
0.54103,0.16699
0.54125,0.16392
0.54148,0.16316
0.54171,0.16831
0.54193,0.17077
0.54216,0.16926
0.54239,0.16954
0.54261,0.17129
0.54284,0.17244
0.54307,0.17358
0.54329,0.17382
0.54352,0.17041
0.54375,0.16675
0.54398,0.16724
0.54421,0.17166
0.54444,0.17521
0.54466,0.1745
0.54489,0.17337
0.54512,0.1733
0.54535,0.17221
0.54558,0.17352
0.54581,0.17594
0.54604,0.17461
0.54627,0.17301
0.5465,0.17298
0.54673,0.1714
0.54696,0.16952
0.54719,0.16909
0.54742,0.16875
0.54766,0.17037
0.54789,0.17464
0.54812,0.17577
0.54835,0.17432
0.54858,0.17276
0.54881,0.17123
0.54905,0.17245
0.54928,0.17584
0.54951,0.17777
0.54975,0.17623
0.54998,0.17819
0.55021,0.18234
0.55045,0.18
0.55068,0.17782
0.55091,0.17646
0.55115,0.17487
0.55138,0.17532
0.55162,0.17511
0.55185,0.17683
0.55209,0.17912
0.55232,0.17912
0.55256,0.17794
0.55279,0.17703
0.55303,0.17491
0.55327,0.1715
0.5535,0.17146
0.55374,0.17333
0.55397,0.17582
0.55421,0.17708
0.55445,0.17459
0.55469,0.17414
0.55492,0.17724
0.55516,0.17773
0.5554,0.17497
0.55564,0.17567
0.55588,0.17904
0.55611,0.17853
0.55635,0.17615
0.55659,0.17713
0.55683,0.17892
0.55707,0.17691
0.55731,0.17684
0.55755,0.17864
0.55779,0.17722
0.55803,0.17745
0.55827,0.17981
0.55851,0.18207
0.55875,0.18174
0.55899,0.17819
0.55923,0.17761
0.55947,0.17838
0.55972,0.17679
0.55996,0.1772
0.5602,0.18055
0.56044,0.18107
0.56068,0.17719
0.56093,0.17448
0.56117,0.17744
0.56141,0.18211
0.56166,0.18215
0.5619,0.17953
0.56214,0.17917
0.56239,0.1812
0.56263,0.17999
0.56287,0.17697
0.56312,0.17811
0.56336,0.17973
0.56361,0.18174
0.56385,0.1844
0.5641,0.18405
0.56435,0.18309
0.56459,0.18329
0.56484,0.18379
0.56508,0.18481
0.56533,0.1844
0.56558,0.18298
0.56582,0.18436
0.56607,0.18436
0.56632,0.1821
0.56657,0.18198
0.56681,0.18223
0.56706,0.18316
0.56731,0.18307
0.56756,0.18089
0.56781,0.17921
0.56805,0.18051
0.5683,0.18423
0.56855,0.1857
0.5688,0.18687
0.56905,0.18729
0.5693,0.1853
0.56955,0.18481
0.5698,0.18552
0.57005,0.18485
0.5703,0.18316
0.57056,0.18141
0.57081,0.18034
0.57106,0.18258
0.57131,0.18541
0.57156,0.18571
0.57181,0.185
0.57207,0.18445
0.57232,0.18487
0.57257,0.18498
0.57282,0.18658
0.57308,0.18789
0.57333,0.18668
0.57358,0.18599
0.57384,0.18637
0.57409,0.18694
0.57435,0.18622
0.5746,0.1873
0.57486,0.1887
0.57511,0.18871
0.57537,0.19047
0.57562,0.19065
0.57588,0.1893
0.57613,0.18878
0.57639,0.19014
0.57665,0.19102
0.5769,0.18951
0.57716,0.18914
0.57742,0.18868
0.57767,0.18727
