KC-OL-hm_0,
W,R
0.50012,0.72144
0.50031,0.72214
0.5005,0.72443
0.5007,0.71761
0.50089,0.70475
0.50108,0.69232
0.50128,0.69469
0.50147,0.71236
0.50166,0.71998
0.50186,0.71207
0.50205,0.70744
0.50225,0.71422
0.50244,0.71806
0.50264,0.71955
0.50283,0.72737
0.50303,0.72563
0.50322,0.71377
0.50342,0.6996
0.50361,0.69082
0.50381,0.69889
0.50401,0.70098
0.5042,0.69664
0.5044,0.69874
0.50459,0.69402
0.50479,0.69611
0.50499,0.70233
0.50518,0.70255
0.50538,0.71618
0.50558,0.73338
0.50577,0.73292
0.50597,0.7208
0.50617,0.70865
0.50637,0.70281
0.50657,0.70555
0.50676,0.70987
0.50696,0.70473
0.50716,0.7005
0.50736,0.70508
0.50756,0.7049
0.50776,0.69947
0.50795,0.69683
0.50815,0.69991
0.50835,0.71264
0.50855,0.72392
0.50875,0.71477
0.50895,0.69691
0.50915,0.6978
0.50935,0.70966
0.50955,0.70796
0.50975,0.70765
0.50995,0.71862
0.51015,0.72226
0.51035,0.72082
0.51056,0.7243
0.51076,0.7176
0.51096,0.70362
0.51116,0.71024
0.51136,0.72382
0.51156,0.72291
0.51177,0.7284
0.51197,0.73297
0.51217,0.72022
0.51237,0.7149
0.51257,0.71713
0.51278,0.71454
0.51298,0.72043
0.51318,0.72543
0.51339,0.71689
0.51359,0.71206
0.51379,0.72121
0.514,0.72979
0.5142,0.73096
0.51441,0.73481
0.51461,0.7336
0.51481,0.72085
0.51502,0.71609
0.51522,0.72825
0.51543,0.73181
0.51563,0.72686
0.51584,0.73516
0.51604,0.73233
0.51625,0.72153
0.51645,0.72733
0.51666,0.73507
0.51687,0.73584
0.51707,0.73177
0.51728,0.73499
0.51749,0.73901
0.51769,0.73684
0.5179,0.73733
0.51811,0.72823
0.51831,0.71616
0.51852,0.71364
0.51873,0.71851
0.51894,0.72134
0.51914,0.72268
0.51935,0.73876
0.51956,0.75161
0.51977,0.747
0.51998,0.73975
0.52018,0.73516
0.52039,0.73697
0.5206,0.74529
0.52081,0.75398
0.52102,0.75271
