OC-LP-A1_1,
W,R
0.25,0.080488785
0.255,0.08232139
0.26,0.084397743
0.265,0.086268551
0.27,0.087739909
0.275,0.08920831
0.28,0.090549313
0.285,0.091760159
0.29,0.093179675
0.295,0.094736075
0.3,0.096449439
0.305,0.097971743
0.31,0.09990754
0.315,0.101797208
0.32,0.103734023
0.325,0.10562101
0.33,0.107568663
0.335,0.109011348
0.34,0.110778939
0.345,0.112481976
0.35,0.114172268
0.355,0.115841758
0.36,0.117431812
0.365,0.119220272
0.37,0.121056395
0.375,0.123334695
0.38,0.125526714
0.385,0.127862764
0.39,0.130429605
0.395,0.132741657
0.4,0.136772756
0.405,0.138766234
0.41,0.140643597
0.415,0.142658357
0.42,0.144681345
0.425,0.147101008
0.43,0.149653846
0.435,0.152396022
0.44,0.155341277
0.445,0.157904654
0.45,0.16024959
0.455,0.162303269
0.46,0.16408099
0.465,0.166051518
0.47,0.167956403
0.475,0.169999471
0.48,0.171937751
0.485,0.174276216
0.49,0.176884798
0.495,0.17964345
0.5,0.182736184
0.505,0.185964229
0.51,0.189383967
0.515,0.193071438
0.52,0.196682879
0.525,0.200555459
0.53,0.204460547
0.535,0.208334529
0.54,0.21195072
0.545,0.215579857
0.55,0.219064098
0.555,0.222597394
0.56,0.226155985
0.565,0.229424704
0.57,0.232411676
0.575,0.235216863
0.58,0.237972607
0.585,0.240464064
0.59,0.242817763
0.595,0.245142025
0.6,0.24728063
0.605,0.2493267
0.61,0.251140297
0.615,0.252802641
0.62,0.254461072
0.625,0.255806615
0.63,0.257049063
0.635,0.258262307
0.64,0.259448106
0.645,0.260411421
0.65,0.261334575
0.655,0.262232761
0.66,0.263057199
0.665,0.263839499
0.67,0.264497538
0.675,0.265211943
0.68,0.265857713
0.685,0.266390307
0.69,0.266944707
0.695,0.267408009
0.7,0.267898398
0.705,0.268360264
0.71,0.268725984
0.715,0.269069567
0.72,0.269197266
0.725,0.269284594
0.73,0.269265726
0.735,0.269156398
0.74,0.269031883
0.745,0.268831862
0.75,0.268482
0.755,0.268053542
0.76,0.267585903
0.765,0.266939696
0.77,0.266164502
0.775,0.265439246
0.78,0.264607893
0.785,0.263715723
0.79,0.262662211
0.795,0.261568568
0.8,0.260413733
0.805,0.259080393
0.81,0.257722091
0.815,0.25633887
0.82,0.254841535
0.825,0.253423362
0.83,0.251551627
0.835,0.250220553
0.84,0.248625147
0.845,0.247085044
0.85,0.245619339
0.855,0.242094763
0.86,0.240550139
0.865,0.239290712
0.87,0.23809883
0.875,0.236803923
0.88,0.23591938
0.885,0.235127448
0.89,0.234047453
0.895,0.233083082
0.9,0.2327195
0.905,0.232230473
0.91,0.231733352
0.915,0.231630297
0.92,0.23149719
0.925,0.231658301
0.93,0.231715288
0.935,0.231873387
0.94,0.232011528
0.945,0.232325429
0.95,0.232685825
0.955,0.233192331
0.96,0.233763982
0.965,0.234231976
0.97,0.234779342
0.975,0.235311553
0.98,0.235866937
0.985,0.236367644
0.99,0.236864394
0.995,0.237037141
1,0.237412542
1.005,0.23770416
1.01,0.23792496
1.015,0.238426446
1.02,0.238691101
1.025,0.238708604
1.03,0.239046341
1.035,0.239206315
1.04,0.239313968
1.045,0.239518948
1.05,0.239958663
1.055,0.240182841
1.06,0.240206338
1.065,0.240355348
1.07,0.240243771
1.075,0.240509858
1.08,0.24065775
1.085,0.241395488
1.09,0.241732975
1.095,0.241802582
1.1,0.241946238
1.105,0.241011063
1.11,0.24101766
1.115,0.241019823
1.12,0.24101798
1.125,0.241012556
1.13,0.241003978
1.135,0.240992672
1.14,0.240979063
1.145,0.240963579
1.15,0.240946645
1.155,0.240928688
1.16,0.240910134
1.165,0.240891408
1.17,0.240872938
1.175,0.240855149
1.18,0.240838468
1.185,0.240823321
1.19,0.240810134
1.195,0.240799333
1.2,0.240791223
1.205,0.24078562
1.21,0.240782221
1.215,0.240780719
1.22,0.240780812
1.225,0.240782193
1.23,0.240784558
1.235,0.240787602
1.24,0.240791021
1.245,0.24079451
1.25,0.240797764
1.255,0.240800478
1.26,0.240802348
1.265,0.240803069
1.27,0.240802337
1.275,0.240799845
1.28,0.240795291
1.285,0.240788368
1.29,0.240778773
1.295,0.2407662
1.3,0.240750345
1.305,0.240730903
1.31,0.24070757
1.315,0.24068004
1.32,0.240648009
1.325,0.240611172
1.33,0.240569224
1.335,0.240521861
1.34,0.240468779
1.345,0.240409705
1.35,0.240344505
1.355,0.240273079
1.36,0.240195324
1.365,0.24011114
1.37,0.240020425
1.375,0.239923079
1.38,0.239819
1.385,0.239708088
1.39,0.23959024
1.395,0.239465357
1.4,0.239333336
1.405,0.239194077
1.41,0.239047479
1.415,0.23889344
1.42,0.23873186
1.425,0.238562636
1.43,0.238385669
1.435,0.238200857
1.44,0.238008098
1.445,0.237807292
1.45,0.237598338
1.455,0.237381134
1.46,0.23715558
1.465,0.236921573
1.47,0.236679014
1.475,0.236427801
1.48,0.236167832
1.485,0.235899008
1.49,0.235621307
1.495,0.235335035
1.5,0.23504058
1.505,0.234738327
1.51,0.234428664
1.515,0.234111977
1.52,0.233788654
1.525,0.23345908
1.53,0.233123643
1.535,0.23278273
1.54,0.232436727
1.545,0.232086021
1.55,0.231730998
1.555,0.231372046
1.56,0.231009552
1.565,0.230643901
1.57,0.230275482
1.575,0.22990468
1.58,0.229531882
1.585,0.229157475
1.59,0.228781847
1.595,0.228405383
1.6,0.22802847
1.605,0.227651495
1.61,0.227274846
1.615,0.226898908
1.62,0.226524069
1.625,0.226150715
1.63,0.225779233
1.635,0.225409914
1.64,0.225042664
1.645,0.224677292
1.65,0.224313611
1.655,0.223951429
1.66,0.223590557
1.665,0.223230804
1.67,0.222871983
1.675,0.222513901
1.68,0.22215637
1.685,0.2217992
1.69,0.221442201
1.695,0.221085184
1.7,0.220727958
1.705,0.220370333
1.71,0.220012121
1.715,0.21965313
1.72,0.219293172
1.725,0.218932056
1.73,0.218569594
1.735,0.218205594
1.74,0.217839867
1.745,0.217472223
1.75,0.217102473
1.755,0.216730427
1.76,0.216355895
1.765,0.215978687
1.77,0.215598613
1.775,0.215215484
1.78,0.214829268
1.785,0.214440568
1.79,0.214050145
1.795,0.213658761
1.8,0.213267175
1.805,0.21287615
1.81,0.212486447
1.815,0.212098827
1.82,0.21171405
1.825,0.211332879
1.83,0.210956073
1.835,0.210584395
1.84,0.210218606
1.845,0.209859465
1.85,0.209507736
1.855,0.209164179
1.86,0.208829554
1.865,0.208504624
1.87,0.208190149
1.875,0.20788689
1.88,0.207595609
1.885,0.207317066
1.89,0.207052024
1.895,0.206801242
1.9,0.206565482
1.905,0.206345506
1.91,0.206142074
1.915,0.205955948
1.92,0.205787888
1.925,0.205638366
1.93,0.205506693
1.935,0.20539189
1.94,0.205292979
1.945,0.205208981
1.95,0.205138916
1.955,0.205081807
1.96,0.205036675
1.965,0.205002541
1.97,0.204978425
1.975,0.204963351
1.98,0.204956337
1.985,0.204956407
1.99,0.204962581
1.995,0.20497388
2,0.204989326
2.005,0.20500794
2.01,0.205028743
2.015,0.205050756
2.02,0.205073001
2.025,0.205094499
2.03,0.205114272
2.035,0.20513134
2.04,0.205144724
2.045,0.205153447
2.05,0.205156529
2.055,0.205152991
2.06,0.205141855
2.065,0.205122143
2.07,0.205093151
2.075,0.205055287
2.08,0.205009234
2.085,0.204955676
2.09,0.204895294
2.095,0.204828774
2.1,0.204756798
2.105,0.204680049
2.11,0.204599211
2.115,0.204514967
2.12,0.204428
2.125,0.204338993
2.13,0.204248631
2.135,0.204157596
2.14,0.204066571
2.145,0.203976241
2.15,0.203887287
2.155,0.203800394
2.16,0.203716244
2.165,0.203635521
2.17,0.203558909
2.175,0.20348709
2.18,0.203420749
2.185,0.203360567
2.19,0.203307229
2.195,0.203261418
2.2,0.203223817
2.205,0.203195109
2.21,0.203175978
2.215,0.203166849
2.22,0.203167113
2.225,0.203175903
2.23,0.203192352
2.235,0.203215594
2.24,0.203244761
2.245,0.203278988
2.25,0.203317406
2.255,0.203359149
2.26,0.20340335
2.265,0.203449142
2.27,0.203495658
2.275,0.203542032
2.28,0.203587397
2.285,0.203630885
2.29,0.20367163
2.295,0.203708764
2.3,0.203741422
2.305,0.203768736
2.31,0.203789839
2.315,0.203803864
2.32,0.203809945
2.325,0.203807214
2.33,0.203794805
2.335,0.203771851
2.34,0.203737485
2.345,0.20369084
2.35,0.203631049
2.355,0.203557245
2.36,0.203468953
2.365,0.203367261
2.37,0.203253648
2.375,0.203129594
2.38,0.202996579
2.385,0.202856082
2.39,0.202709583
2.395,0.202558561
2.4,0.202404495
2.405,0.202248866
2.41,0.202093153
2.415,0.201938836
2.42,0.201787393
2.425,0.201640306
2.43,0.201499052
2.435,0.201365112
2.44,0.201239965
2.445,0.201125091
2.45,0.201021969
2.455,0.200932079
2.46,0.2008569
2.465,0.200797913
2.47,0.200756596
2.475,0.200734429
2.48,0.200732892
2.485,0.200753464
2.49,0.200797624
2.495,0.200866853
2.5,0.20096263
