KC-OL-lvn_3,
W,R
0.50012,0.61518
0.50031,0.61499
0.5005,0.61581
0.5007,0.61936
0.50089,0.62059
0.50108,0.61409
0.50128,0.61129
0.50147,0.61281
0.50166,0.61665
0.50186,0.6231
0.50205,0.62295
0.50225,0.62239
0.50244,0.62247
0.50264,0.61958
0.50283,0.61899
0.50303,0.61852
0.50322,0.61747
0.50342,0.61709
0.50361,0.61841
0.50381,0.62161
0.50401,0.62329
0.5042,0.62385
0.5044,0.62442
0.50459,0.62406
0.50479,0.62226
0.50499,0.61978
0.50518,0.62303
0.50538,0.62877
0.50558,0.6252
0.50577,0.62314
0.50597,0.62798
0.50617,0.62843
0.50637,0.62716
0.50657,0.62789
0.50676,0.62706
0.50696,0.62542
0.50716,0.62488
0.50736,0.62465
0.50756,0.62535
0.50776,0.62652
0.50795,0.6269
0.50815,0.6256
0.50835,0.62491
0.50855,0.6281
0.50875,0.62691
0.50895,0.6243
0.50915,0.62561
0.50935,0.62305
0.50955,0.62111
0.50975,0.62238
0.50995,0.62196
0.51015,0.6207
0.51035,0.62207
0.51056,0.62477
0.51076,0.62858
0.51096,0.63313
0.51116,0.63133
0.51136,0.62829
0.51156,0.6302
0.51177,0.63017
0.51197,0.62536
0.51217,0.62624
0.51237,0.63276
0.51257,0.63114
0.51278,0.62676
0.51298,0.62674
0.51318,0.62708
0.51339,0.6263
0.51359,0.62635
0.51379,0.62896
0.514,0.63114
0.5142,0.6336
0.51441,0.63454
0.51461,0.6321
0.51481,0.6295
0.51502,0.62874
0.51522,0.63174
0.51543,0.63445
0.51563,0.63605
0.51584,0.63982
0.51604,0.64
0.51625,0.63589
0.51645,0.6353
0.51666,0.63594
0.51687,0.63644
0.51707,0.64023
0.51728,0.64211
0.51749,0.64173
0.51769,0.64368
0.5179,0.64728
0.51811,0.64741
0.51831,0.64262
0.51852,0.63914
0.51873,0.63987
0.51894,0.64331
0.51914,0.64606
0.51935,0.64737
0.51956,0.64591
0.51977,0.6424
0.51998,0.64466
0.52018,0.65066
0.52039,0.65159
0.5206,0.64892
0.52081,0.64842
0.52102,0.6494
0.52123,0.64858
0.52144,0.64534
0.52165,0.6423
0.52186,0.64203
0.52207,0.64464
0.52228,0.64916
0.52249,0.65124
0.5227,0.65014
0.52291,0.64941
0.52312,0.64953
0.52333,0.6489
0.52355,0.64729
0.52376,0.64641
0.52397,0.64801
0.52418,0.6523
0.52439,0.65549
0.52461,0.65604
0.52482,0.65378
0.52503,0.65072
0.52524,0.65138
0.52546,0.65241
0.52567,0.65272
0.52588,0.65395
0.5261,0.655
0.52631,0.65401
0.52652,0.65013
0.52674,0.64882
