MY_EN_30,
W,R
0.247889725,0.122104037
0.252669207,0.127067659
0.260385376,0.130565113
0.266310328,0.13753946
0.270893287,0.143555656
0.272529902,0.148848099
0.276992749,0.154728591
0.27932592,0.161177747
0.282421216,0.166201206
0.286140634,0.171188316
0.287175951,0.17734587
0.288682902,0.183737513
0.290263032,0.191492978
0.291962881,0.195869421
0.292961523,0.200625218
0.295829962,0.20660502
0.29802299,0.209247028
0.301315413,0.213870542
0.302420573,0.217173052
0.304613601,0.219815059
0.306812392,0.223778071
0.30900542,0.226420079
0.310113461,0.230383091
0.312303607,0.232364597
0.315596031,0.236988111
0.316492741,0.240000256
0.318813558,0.248020343
0.321414612,0.254231694
0.324422897,0.26010568
0.325539583,0.266050198
0.326653388,0.271334214
0.328855061,0.275957728
0.331062498,0.281902246
0.333258407,0.285204756
0.333281461,0.290488771
0.334962354,0.292219029
0.335430152,0.29671082
0.336438048,0.303587296
0.339519025,0.309331262
0.340890114,0.315401739
0.342070599,0.321812122
0.343434741,0.326290344
0.344998771,0.332556945
0.347720727,0.340063055
0.349479999,0.347053006
0.351145668,0.354602007
0.353197781,0.362671852
0.355530079,0.368920683
0.357279509,0.373654803
0.358754879,0.378996037
0.360965197,0.385601057
0.364263385,0.391545575
0.36646794,0.39682959
0.368672495,0.402113606
0.370871286,0.406076618
0.373070078,0.41003963
0.37321038,0.414866069
0.374603979,0.422093612
0.377021019,0.429754701
0.377542587,0.435138705
0.379741378,0.439101717
0.381945933,0.444385733
0.384150488,0.449669749
0.386352162,0.454293263
0.388550953,0.458256275
0.388565362,0.461558785
0.388608452,0.46603847
0.396334813,0.471872186
0.40197664,0.479015134
0.40616958,0.484669454
0.410227565,0.490210687
0.414118389,0.49596113
0.416499864,0.502474906
0.420617205,0.508779473
0.426108722,0.516025226
0.430668908,0.521802502
0.433248344,0.527461345
0.43797799,0.532855566
0.442262099,0.538860453
0.446471163,0.54478618
0.449740247,0.547572629
0.452232335,0.554029062
0.45443689,0.559313078
0.458817183,0.56327609
0.464288226,0.567239102
0.468674282,0.572523118
0.473051692,0.575825627
0.478519853,0.579128137
0.482900146,0.583091149
0.487280438,0.587054161
