KC-OPX-hm_1,
W,R
0.50012,0.3101
0.50031,0.30781
0.5005,0.29539
0.5007,0.29221
0.50089,0.30262
0.50108,0.30722
0.50128,0.30235
0.50147,0.30662
0.50166,0.31302
0.50186,0.31079
0.50205,0.3131
0.50225,0.32041
0.50244,0.3085
0.50264,0.28831
0.50283,0.28587
0.50303,0.29272
0.50322,0.29591
0.50342,0.29367
0.50361,0.29462
0.50381,0.30408
0.50401,0.3183
0.5042,0.32396
0.5044,0.31162
0.50459,0.30276
0.50479,0.30471
0.50499,0.30295
0.50518,0.30142
0.50538,0.30837
0.50558,0.31182
0.50577,0.30589
0.50597,0.30585
0.50617,0.30757
0.50637,0.30145
0.50657,0.30097
0.50676,0.30468
0.50696,0.30171
0.50716,0.30163
0.50736,0.30116
0.50756,0.2989
0.50776,0.29872
0.50795,0.29372
0.50815,0.29304
0.50835,0.29461
0.50855,0.29047
0.50875,0.29295
0.50895,0.30093
0.50915,0.30667
0.50935,0.30387
0.50955,0.3
0.50975,0.30498
0.50995,0.30394
0.51015,0.29504
0.51035,0.29426
0.51056,0.30028
0.51076,0.3013
0.51096,0.29973
0.51116,0.30086
0.51136,0.30238
0.51156,0.30314
0.51177,0.29845
0.51197,0.2911
0.51217,0.29056
0.51237,0.29684
0.51257,0.3022
0.51278,0.30017
0.51298,0.29692
0.51318,0.30354
0.51339,0.31512
0.51359,0.31819
0.51379,0.31216
0.514,0.30709
0.5142,0.30801
0.51441,0.3075
0.51461,0.30504
0.51481,0.30427
0.51502,0.29921
0.51522,0.29507
0.51543,0.29612
0.51563,0.29694
0.51584,0.3011
0.51604,0.30933
0.51625,0.31703
0.51645,0.32158
0.51666,0.31594
0.51687,0.30623
0.51707,0.30578
0.51728,0.30713
0.51749,0.3065
0.51769,0.3072
0.5179,0.30892
0.51811,0.31262
0.51831,0.31088
0.51852,0.307
0.51873,0.30614
0.51894,0.30591
0.51914,0.30845
0.51935,0.30638
0.51956,0.30281
0.51977,0.30326
0.51998,0.30038
0.52018,0.3017
0.52039,0.31143
0.5206,0.31442
0.52081,0.30792
0.52102,0.30675
0.52123,0.31083
0.52144,0.31216
0.52165,0.31224
0.52186,0.31377
0.52207,0.31691
0.52228,0.31524
0.52249,0.31584
0.5227,0.3211
0.52291,0.3153
0.52312,0.31215
0.52333,0.31745
0.52355,0.31808
0.52376,0.31878
0.52397,0.31881
0.52418,0.31677
0.52439,0.31267
0.52461,0.30855
0.52482,0.30866
0.52503,0.30974
0.52524,0.31252
0.52546,0.31369
0.52567,0.3108
0.52588,0.30693
0.5261,0.30701
0.52631,0.30964
0.52652,0.30845
0.52674,0.31208
0.52695,0.31868
0.52717,0.32025
0.52738,0.31911
0.5276,0.31199
0.52781,0.30743
0.52802,0.31044
0.52824,0.31225
0.52846,0.31421
0.52867,0.3166
0.52889,0.31435
0.5291,0.30959
0.52932,0.30674
0.52953,0.30864
0.52975,0.31407
0.52997,0.31529
0.53018,0.31249
0.5304,0.31073
0.53062,0.31023
0.53084,0.31154
0.53105,0.31475
0.53127,0.31588
0.53149,0.31402
0.53171,0.31334
0.53192,0.31275
0.53214,0.31218
0.53236,0.31181
0.53258,0.31137
0.5328,0.31508
0.53302,0.31763
0.53324,0.3151
0.53346,0.31419
0.53368,0.31684
0.5339,0.31783
0.53412,0.31812
0.53434,0.32071
0.53456,0.31843
0.53478,0.31262
0.535,0.31336
0.53522,0.318
0.53544,0.31819
0.53566,0.31698
0.53588,0.31637
0.5361,0.31236
0.53633,0.3113
0.53655,0.31175
0.53677,0.30947
0.53699,0.31238
0.53722,0.31662
0.53744,0.31589
0.53766,0.31631
0.53788,0.32119
0.53811,0.32525
0.53833,0.3258
0.53855,0.32384
0.53878,0.3195
0.539,0.31832
0.53923,0.31999
0.53945,0.31846
0.53968,0.31699
0.5399,0.31732
0.54013,0.31633
0.54035,0.3159
0.54058,0.31928
0.5408,0.32215
0.54103,0.32095
0.54125,0.31867
0.54148,0.31498
0.54171,0.31181
0.54193,0.31318
0.54216,0.31896
0.54239,0.32257
0.54261,0.31718
0.54284,0.31161
0.54307,0.31073
0.54329,0.31056
0.54352,0.31228
0.54375,0.31513
0.54398,0.31744
0.54421,0.31703
0.54444,0.31615
0.54466,0.31688
0.54489,0.31643
0.54512,0.31567
0.54535,0.31444
0.54558,0.31436
0.54581,0.31375
0.54604,0.31045
0.54627,0.31191
0.5465,0.3179
0.54673,0.32007
0.54696,0.31932
0.54719,0.31991
0.54742,0.31752
0.54766,0.31682
0.54789,0.32076
0.54812,0.31908
0.54835,0.31748
0.54858,0.32035
0.54881,0.32187
0.54905,0.32058
0.54928,0.31689
0.54951,0.31848
0.54975,0.32326
0.54998,0.32188
0.55021,0.31912
0.55045,0.31916
0.55068,0.31955
0.55091,0.31965
0.55115,0.31714
0.55138,0.31278
0.55162,0.31259
0.55185,0.31395
0.55209,0.31421
0.55232,0.31529
0.55256,0.31561
0.55279,0.31891
0.55303,0.32224
0.55327,0.3197
0.5535,0.31798
0.55374,0.31915
0.55397,0.32044
0.55421,0.32019
0.55445,0.3211
0.55469,0.32471
0.55492,0.32301
0.55516,0.31852
0.5554,0.3175
0.55564,0.31839
0.55588,0.32038
0.55611,0.32402
0.55635,0.32813
0.55659,0.32732
0.55683,0.32324
0.55707,0.32208
0.55731,0.32368
0.55755,0.32353
0.55779,0.32098
0.55803,0.31859
0.55827,0.3173
0.55851,0.32022
0.55875,0.32117
0.55899,0.31846
0.55923,0.31815
0.55947,0.31819
0.55972,0.31975
0.55996,0.32023
0.5602,0.32014
0.56044,0.32193
0.56068,0.32297
0.56093,0.32415
0.56117,0.32382
0.56141,0.32415
0.56166,0.32425
0.5619,0.32442
0.56214,0.32382
0.56239,0.3196
0.56263,0.32193
