KC-OPX-hm_2,
W,R
0.50012,0.26058
0.50031,0.26161
0.5005,0.25741
0.5007,0.25425
0.50089,0.24979
0.50108,0.24746
0.50128,0.24656
0.50147,0.2511
0.50166,0.25805
0.50186,0.25108
0.50205,0.24845
0.50225,0.25825
0.50244,0.26072
0.50264,0.24893
0.50283,0.23805
0.50303,0.24306
0.50322,0.2484
0.50342,0.24359
0.50361,0.23468
0.50381,0.23528
0.50401,0.24978
0.5042,0.25382
0.5044,0.24923
0.50459,0.24765
0.50479,0.2484
0.50499,0.25049
0.50518,0.24392
0.50538,0.23704
0.50558,0.23375
0.50577,0.23307
0.50597,0.24094
0.50617,0.24789
0.50637,0.24936
0.50657,0.24887
0.50676,0.24519
0.50696,0.24116
0.50716,0.25064
0.50736,0.2606
0.50756,0.25315
0.50776,0.24389
0.50795,0.24024
0.50815,0.24288
0.50835,0.24412
0.50855,0.24013
0.50875,0.24206
0.50895,0.24247
0.50915,0.24138
0.50935,0.24061
0.50955,0.2398
0.50975,0.2443
0.50995,0.2441
0.51015,0.24178
0.51035,0.24148
0.51056,0.24214
0.51076,0.24607
0.51096,0.24642
0.51116,0.24743
0.51136,0.25234
0.51156,0.2504
0.51177,0.24315
0.51197,0.2453
0.51217,0.2537
0.51237,0.25166
0.51257,0.24446
0.51278,0.24509
0.51298,0.24788
0.51318,0.24916
0.51339,0.25074
0.51359,0.25216
0.51379,0.25708
0.514,0.26162
0.5142,0.25935
0.51441,0.25438
0.51461,0.25399
0.51481,0.25475
0.51502,0.25144
0.51522,0.25497
0.51543,0.26122
0.51563,0.25456
0.51584,0.24295
0.51604,0.24168
0.51625,0.25032
0.51645,0.25576
0.51666,0.25706
0.51687,0.25811
0.51707,0.25838
0.51728,0.26244
0.51749,0.26685
0.51769,0.26481
0.5179,0.25875
0.51811,0.25876
0.51831,0.26136
0.51852,0.25846
0.51873,0.25782
0.51894,0.26041
0.51914,0.26319
0.51935,0.26442
0.51956,0.26112
0.51977,0.25667
0.51998,0.25351
0.52018,0.25487
0.52039,0.25974
0.5206,0.26163
0.52081,0.26093
0.52102,0.25839
0.52123,0.2549
0.52144,0.25817
0.52165,0.2636
0.52186,0.25953
0.52207,0.25522
0.52228,0.25525
0.52249,0.25679
0.5227,0.26175
0.52291,0.26238
0.52312,0.25898
0.52333,0.25972
0.52355,0.26272
0.52376,0.2628
0.52397,0.2591
0.52418,0.25797
0.52439,0.26048
0.52461,0.26219
0.52482,0.26344
0.52503,0.26457
0.52524,0.2631
0.52546,0.25706
0.52567,0.25305
0.52588,0.25791
0.5261,0.26347
0.52631,0.26123
0.52652,0.25821
0.52674,0.25887
0.52695,0.25946
0.52717,0.26095
0.52738,0.25883
0.5276,0.25224
0.52781,0.25472
