OC-GS-F1,
W,R
0.700348034,0.176172022
0.703832826,0.176407747
0.708483164,0.176525609
0.713135871,0.176525609
0.721278108,0.176525609
0.724755794,0.17711492
0.731741961,0.176761334
0.736401775,0.176407747
0.739896044,0.176172022
0.741071065,0.175582711
0.745735617,0.1749934
0.750393062,0.174757675
0.753887331,0.174521951
0.757383968,0.174168364
0.762050889,0.17346119
0.762060365,0.172989741
0.765559371,0.172518292
0.769058377,0.172046843
0.772557384,0.171575394
0.77256686,0.171103945
0.774902689,0.170632496
0.774909796,0.170278909
0.778411172,0.169689598
0.778415909,0.169453873
0.780754108,0.168864562
0.783089938,0.168393113
0.78426259,0.167921664
0.785435243,0.167450215
0.785444719,0.166978766
0.788169064,0.166468029
0.790602219,0.165976937
0.791423142,0.165322146
0.793857943,0.164749205
0.79467393,0.164339961
0.797110376,0.163685171
0.798735771,0.163194078
0.800364455,0.162539287
0.802800901,0.161884497
0.804426295,0.161393404
0.805247218,0.160738614
0.80606485,0.160247521
0.806073076,0.159838277
0.807696825,0.159429033
0.809322219,0.158937941
0.810947613,0.158446848
0.812573007,0.157955755
0.814196756,0.157546511
0.815823795,0.15697357
0.818260241,0.156318779
0.817465641,0.155663989
0.820706558,0.155172896
0.820724655,0.154272559
0.823963927,0.153863315
0.825602482,0.152717432
0.827227876,0.15222634
0.828858206,0.1514897
0.828873012,0.150753061
0.830496761,0.150343817
0.83212051,0.149934573
0.832938142,0.149443481
0.835377879,0.148624993
0.837003273,0.1481339
0.838627022,0.147724656
0.840252416,0.147233563
0.84187781,0.14674247
0.843504849,0.146169529
0.847560109,0.145351041
0.848381031,0.144696251
0.851628529,0.143877763
0.853260504,0.143059275
0.856503066,0.142486333
0.856514582,0.141913392
0.85975879,0.141258601
0.861387474,0.140603811
0.864628392,0.140112718
0.865449315,0.139457928
0.868693522,0.138803138
0.870323852,0.138066498
0.872758653,0.137493557
0.875195099,0.136838767
0.877631545,0.136183976
0.880872462,0.135692883
0.884113379,0.135201791
0.887354297,0.134710698
0.888979691,0.134219605
0.89302837,0.133728512
0.897075404,0.133319268
0.900311386,0.133073722
0.902741251,0.132746327
0.905171117,0.132418932
0.91163321,0.132418932
0.916484715,0.132173385
0.919720697,0.131927839
0.924567267,0.131927839
0.929413837,0.131927839
0.934253826,0.132255234
0.939093815,0.132582629
0.943937095,0.132746327
0.948777084,0.133073722
0.95200155,0.133401117
0.956033778,0.133728512
0.959253309,0.134301454
0.962474484,0.134792547
0.966503422,0.135283639
0.968916836,0.135774732
0.971331895,0.136183976
0.974553071,0.136675069
0.976155433,0.137329859
0.980995422,0.137657254
0.984211663,0.138393894
0.985009553,0.138884986
0.989035201,0.139539777
0.98902533,0.140030869
0.989824866,0.140440113
0.993047687,0.140849357
0.997073334,0.141504148
0.998678986,0.14199524
1.000282994,0.142568182
1.001080884,0.143059275
1.004303705,0.143468519
1.006718764,0.143877763
1.011558754,0.144205158
1.01477993,0.144696251
1.017196634,0.145023646
1.02041781,0.145514739
1.022831224,0.146005831
1.026049109,0.146660622
1.029270285,0.147151714
1.030879228,0.14747911
1.033292642,0.147970202
1.037321579,0.148461295
1.039736639,0.148870539
1.042957814,0.149361632
1.04860392,0.149770876
1.0534472,0.149934573
1.059104821,0.149770876
1.061523171,0.150016422
1.0615133,0.150507515
1.062309546,0.151080456
1.06472296,0.151571549
1.069559659,0.152062642
1.073583661,0.152799281
1.07357379,0.153290374
1.074373326,0.153699618
1.075164636,0.154518106
1.075957592,0.155254745
1.077558309,0.155991384
1.079160671,0.156646174
1.085614539,0.157055418
1.09369051,0.157137267
1.100146022,0.157464662
1.103368843,0.157873906
1.104972851,0.158446848
1.105770741,0.158937941
1.10817922,0.15967458
1.10897053,0.160493068
1.11138559,0.160902312
1.112989597,0.161475253
1.113787488,0.161966346
1.117003728,0.162702985
1.117799974,0.163275927
1.120208453,0.164012566
1.121805879,0.164912902
1.127456921,0.1650766
1.129060928,0.165649542
1.130699483,0.164503658
1.133920659,0.164994751
1.137145125,0.165322146
1.138747487,0.165976937
1.141968663,0.166468029
1.145193129,0.166795425
1.14599431,0.16712282
1.145982794,0.167695761
1.148394563,0.168268703
1.148386337,0.168677947
1.149182583,0.169250888
1.149972248,0.170151225
1.153193424,0.170642318
1.159650582,0.170887864
1.1636861,0.171051562
1.165291752,0.171542655
1.1717522,0.171624503
1.175782783,0.172033747
1.17738679,0.172606689
1.180607966,0.173097782
1.182216908,0.173425177
1.182208683,0.173834421
1.185428213,0.174407362
1.186221169,0.175144001
1.188636228,0.175553245
1.19024188,0.176044338
1.191038126,0.17661728
1.194259302,0.177108373
1.195060483,0.177435768
1.201525866,0.17727207
1.203124938,0.178090558
1.206365856,0.177599465
1.210398083,0.17792686
1.211195974,0.178417953
1.211184458,0.178990895
1.214407279,0.179400139
1.216007996,0.180136778
1.21599319,0.180873417
1.219235753,0.180300475
1.222478315,0.179727534
1.225697846,0.180300475
1.228109615,0.180873417
1.23054277,0.180382324
1.236188876,0.180791568
1.237796174,0.181200812
1.241825111,0.181691905
1.24424017,0.182101149
1.249882986,0.18267409
1.253125548,0.182101149
1.253137064,0.181528207
1.256382917,0.180791568
1.259605738,0.181200812
1.262019152,0.181691905
1.264434211,0.182101149
1.270896305,0.182101149
1.270886434,0.182592242
1.270068801,0.183083334
