Brown University Keck/NASA Relab Spectrum PO-RGB-041/C1PO41,
W,R
0.3,0.03009
0.305,0.02771
0.31,0.02594
0.315,0.02722
0.32,0.02953
0.325,0.03046
0.33,0.03309
0.335,0.03381
0.34,0.03513
0.345,0.03799
0.35,0.03914
0.355,0.04061
0.36,0.04171
0.365,0.04337
0.37,0.04537
0.375,0.04731
0.38,0.04973
0.385,0.0516
0.39,0.05471
0.395,0.05809
0.4,0.06402
0.405,0.06591
0.41,0.06991
0.415,0.07464
0.42,0.0803
0.425,0.08538
0.43,0.09002
0.435,0.09323
0.44,0.09514
0.445,0.09943
0.45,0.10514
0.455,0.11163
0.46,0.11728
0.465,0.12257
0.47,0.12777
0.475,0.13334
0.48,0.14041
0.485,0.14831
0.49,0.15674
0.495,0.16463
0.5,0.17129
0.505,0.177
0.51,0.18205
0.515,0.18642
0.52,0.19022
0.525,0.19443
0.53,0.1973
0.535,0.20122
0.54,0.20567
0.545,0.21081
0.55,0.21606
0.555,0.22188
0.56,0.22694
0.565,0.23195
0.57,0.23631
0.575,0.24138
0.58,0.24549
0.585,0.24901
0.59,0.25308
0.595,0.25571
0.6,0.25905
0.605,0.26218
0.61,0.26483
0.615,0.26784
0.62,0.27085
0.625,0.27429
0.63,0.27676
0.635,0.2796
0.64,0.28274
0.645,0.28607
0.65,0.28971
0.655,0.29309
0.66,0.29684
0.665,0.29999
0.67,0.30447
0.675,0.30815
0.68,0.31192
0.685,0.31616
0.69,0.32038
0.695,0.32302
0.7,0.32681
0.705,0.33103
0.71,0.33491
0.715,0.33767
0.72,0.34283
0.725,0.34624
0.73,0.34967
0.735,0.35284
0.74,0.35747
0.745,0.3607
0.75,0.36431
0.755,0.36777
0.76,0.37277
0.765,0.37509
0.77,0.37851
0.775,0.38213
0.78,0.38599
0.785,0.3896
0.79,0.39295
0.795,0.39706
0.8,0.39984
0.805,0.40308
0.81,0.40621
0.815,0.40905
0.82,0.41116
0.825,0.41377
0.83,0.41628
0.835,0.41952
0.84,0.42081
0.845,0.42356
0.85,0.42536
0.855,0.42682
0.86,0.42842
0.865,0.43047
0.87,0.43014
0.875,0.43317
0.88,0.43421
0.885,0.43361
0.89,0.43617
0.895,0.43697
0.9,0.43578
0.905,0.4378
0.91,0.43703
0.915,0.4373
0.92,0.43805
0.925,0.437
0.93,0.43629
0.935,0.43581
0.94,0.43518
0.945,0.43349
0.95,0.43243
0.955,0.43011
0.96,0.43119
0.965,0.42933
0.97,0.42634
0.975,0.42594
0.98,0.42463
0.985,0.42343
0.99,0.42227
0.995,0.41984
1,0.42036
1.005,0.41814
1.01,0.41691
1.015,0.41666
1.02,0.41473
1.025,0.4143
1.03,0.41487
1.035,0.41401
1.04,0.41575
1.045,0.41549
1.05,0.41505
1.055,0.41566
1.06,0.41639
1.065,0.41752
1.07,0.4202
1.075,0.42176
1.08,0.42369
1.085,0.42644
1.09,0.4297
1.095,0.43325
1.1,0.43509
1.105,0.4378
1.11,0.44109
1.115,0.44361
1.12,0.44764
1.125,0.44965
1.13,0.45325
1.135,0.45635
1.14,0.45897
1.145,0.4612
1.15,0.46379
1.155,0.46518
1.16,0.46855
1.165,0.47168
1.17,0.47364
1.175,0.47488
1.18,0.47732
1.185,0.47904
1.19,0.48084
1.195,0.48282
1.2,0.48451
1.205,0.48702
1.21,0.48897
1.215,0.49197
1.22,0.49352
1.225,0.49735
1.23,0.49753
1.235,0.50003
1.24,0.50333
1.245,0.50566
1.25,0.50922
1.255,0.51132
1.26,0.51448
1.265,0.51715
1.27,0.52063
1.275,0.52099
1.28,0.52446
1.285,0.52826
1.29,0.53078
1.295,0.53222
1.3,0.5365
1.305,0.53928
1.31,0.54225
1.315,0.54763
1.32,0.5505
1.325,0.55334
1.33,0.55965
1.335,0.56162
1.34,0.56312
1.345,0.56567
1.35,0.57146
1.355,0.57295
1.36,0.58008
1.365,0.58129
1.37,0.58709
1.375,0.58789
1.38,0.59633
1.385,0.59908
1.39,0.59925
1.395,0.60595
1.4,0.60822
1.405,0.61402
1.41,0.6177
1.415,0.61989
1.42,0.62504
1.425,0.62703
1.43,0.63076
1.435,0.63511
1.44,0.63965
1.445,0.64037
1.45,0.64644
1.455,0.64957
1.46,0.65064
1.465,0.65609
1.47,0.66017
1.475,0.66182
1.48,0.66713
1.485,0.67005
1.49,0.6716
1.495,0.6754
1.5,0.67719
1.505,0.67979
1.51,0.68433
1.515,0.68607
1.52,0.68873
1.525,0.69239
1.53,0.69525
1.535,0.69604
1.54,0.70093
1.545,0.70099
1.55,0.70273
1.555,0.70915
1.56,0.71163
1.565,0.71231
1.57,0.71133
1.575,0.71396
1.58,0.71836
1.585,0.72192
1.59,0.7217
1.595,0.72309
1.6,0.72438
1.605,0.72625
1.61,0.72829
1.615,0.73039
1.62,0.73572
1.625,0.73254
1.63,0.73474
1.635,0.7358
1.64,0.73745
1.645,0.74011
1.65,0.74105
1.655,0.74273
1.66,0.74258
1.665,0.74294
1.67,0.74332
1.675,0.74787
1.68,0.74914
1.685,0.7485
1.69,0.74876
1.695,0.74924
1.7,0.74987
1.705,0.75099
1.71,0.75224
1.715,0.75451
1.72,0.75471
1.725,0.75621
1.73,0.75537
1.735,0.75561
1.74,0.75741
1.745,0.7558
1.75,0.75638
1.755,0.75827
1.76,0.76067
1.765,0.76
1.77,0.76012
1.775,0.76294
1.78,0.76414
1.785,0.76515
1.79,0.76503
1.795,0.765
1.8,0.76605
1.805,0.76555
1.81,0.76584
1.815,0.7657
1.82,0.76465
1.825,0.76468
1.83,0.76555
1.835,0.76808
1.84,0.76609
1.845,0.76576
1.85,0.76656
1.855,0.76951
1.86,0.77021
1.865,0.7704
1.87,0.76792
1.875,0.76893
1.88,0.77121
1.885,0.77182
1.89,0.77243
1.895,0.77305
1.9,0.77322
1.905,0.77298
1.91,0.77269
1.915,0.77317
1.92,0.7724
1.925,0.77174
1.93,0.77148
1.935,0.77045
1.94,0.77105
1.945,0.77286
1.95,0.77335
1.955,0.77307
1.96,0.77506
1.965,0.77757
1.97,0.77698
1.975,0.77794
1.98,0.77842
1.985,0.78078
1.99,0.78028
1.995,0.77795
2,0.77847
2.005,0.77875
2.01,0.7783
2.015,0.7786
2.02,0.77859
2.025,0.78061
2.03,0.78088
2.035,0.78218
2.04,0.78619
2.045,0.78817
2.05,0.78575
2.055,0.78516
2.06,0.7837
2.065,0.78347
2.07,0.78413
2.075,0.78317
2.08,0.78349
2.085,0.7851
2.09,0.78371
2.095,0.78454
2.1,0.78549
2.105,0.78786
2.11,0.78537
2.115,0.78603
2.12,0.78726
2.125,0.78799
2.13,0.78736
2.135,0.78753
2.14,0.78931
2.145,0.79013
2.15,0.79107
2.155,0.79176
2.16,0.79141
2.165,0.78984
2.17,0.78615
2.175,0.78529
2.18,0.78607
2.185,0.7871
2.19,0.7843
2.195,0.78266
