SS-EN-2,
W,R
0.003919488,0.083902585
0.008780259,0.085653049
0.011213582,0.087403514
0.013649841,0.090029212
0.017701463,0.091779677
0.020943935,0.093530142
0.024998493,0.096155839
0.026627071,0.099219153
0.028251244,0.100969618
0.032307271,0.104032931
0.035554149,0.107096245
0.039607239,0.109284326
0.041234349,0.111910023
0.044479758,0.114535721
0.046112742,0.118911883
0.046932171,0.121975197
0.050179048,0.12503851
0.050999946,0.12853944
0.055060378,0.132915602
0.057493701,0.134666067
0.060742047,0.138166997
0.063985987,0.140355078
0.068042014,0.143418392
0.071287423,0.146044089
0.073729557,0.150420252
0.074550454,0.153921181
0.076180501,0.157422111
0.077013147,0.164423971
0.077026364,0.168362517
0.077807611,0.160047809
0.078656411,0.171863447
0.079477308,0.175364377
0.080299674,0.179302923
0.082740339,0.183241469
0.083559768,0.186304783
0.085998965,0.189805712
0.087623138,0.191556177
0.09005646,0.193306642
0.091687976,0.197245188
0.093316554,0.200308502
0.094943664,0.202934199
0.096570774,0.205559897
0.098194947,0.207310362
0.099822057,0.209936059
0.099823526,0.210373675
0.103068935,0.212999373
0.10470045,0.216937919
0.108757946,0.220438849
0.111197142,0.223939778
0.113633402,0.226565476
0.11607113,0.229628789
0.116892027,0.233129719
0.117711456,0.236193033
0.119341504,0.239693963
0.120968614,0.24231966
0.12340781,0.24582059
0.124228708,0.24932152
0.125855818,0.251947217
0.129099758,0.254135298
0.129108569,0.256760996
0.131544829,0.259386693
0.133985494,0.263325239
0.13723384,0.266826169
0.140482186,0.270327099
0.143730532,0.273828029
0.145357642,0.276453726
0.147793901,0.279079423
0.148610393,0.281267505
0.149432759,0.285206051
0.149443039,0.288269364
0.150265405,0.29220791
0.150277153,0.29570884
0.153528436,0.300085003
0.154344928,0.302273084
0.156785593,0.30621163
0.158417109,0.310150176
0.160851899,0.312338257
0.163288159,0.314963954
0.166530631,0.316714419
0.169778977,0.320215349
0.173833535,0.322841047
0.176271263,0.32590436
0.177898373,0.328530058
0.179529889,0.332468604
0.180349318,0.335531917
0.182787046,0.338595231
0.184415624,0.341658545
0.187659565,0.343846626
0.190910848,0.348222788
0.195774556,0.350848485
0.200636795,0.353036567
0.202262437,0.355224648
0.205504909,0.356975113
0.207136424,0.360913659
0.212806345,0.362664124
0.215244073,0.365727437
0.216868246,0.367477902
0.220113655,0.3701036
0.220928678,0.371854064
0.222555788,0.374479762
0.22418143,0.376667843
0.224994985,0.377980692
0.228244799,0.381919238
0.229868972,0.383669703
0.232303763,0.385857784
0.235552109,0.389358714
0.23556092,0.391984411
0.237994243,0.393734876
0.239618416,0.395485341
0.242860887,0.397235806
0.24448506,0.398986271
0.24692132,0.401611968
0.25097441,0.403800049
0.252600051,0.40598813
0.254227161,0.408613828
0.255857208,0.412114758
0.257484318,0.414740455
0.259111428,0.417366152
0.263975136,0.41999185
0.265602246,0.422617547
0.268847655,0.425243245
0.272093064,0.427868942
0.273717237,0.429619407
0.277771796,0.432245104
0.281826354,0.434870802
0.285070295,0.437058883
0.286698873,0.440122196
0.291565518,0.443623126
0.295618608,0.445811207
0.299671698,0.447999289
0.304535406,0.450624986
0.309394708,0.451937835
0.314258416,0.454563532
0.315881121,0.455876381
0.319127998,0.458939694
0.324802324,0.462003008
0.3296675,0.465066322
0.333717653,0.46637917
0.336960125,0.468129635
0.338585767,0.470317716
0.341832644,0.47338103
0.346693415,0.475131495
0.351557123,0.477757192
0.354799595,0.479507657
0.358043535,0.481695738
0.362907243,0.484321436
0.366148247,0.485634284
0.371009018,0.487384749
0.37344234,0.489135214
0.375066513,0.490885679
0.377499835,0.492636144
0.382363543,0.495261842
0.387222846,0.49657469
0.395317278,0.497449923
0.399368899,0.499200388
0.40422967,0.500950853
0.407472142,0.502701317
0.411522295,0.504014166
0.413143531,0.504889399
0.41638894,0.507515096
0.41963288,0.509703177
0.422067671,0.511891258
0.426116355,0.512766491
0.429358827,0.514516956
0.434219598,0.516267421
0.437459133,0.517142653
0.439892456,0.518893118
0.442328715,0.521518815
0.445569719,0.522831664
0.450429021,0.524144513
0.456093067,0.524144513
0.460953838,0.525894978
0.465808735,0.525894978
0.474710848,0.526332594
0.479567213,0.52677021
0.48603894,0.526332594
0.490084688,0.526332594
0.494941053,0.52677021
0.498985332,0.526332594
0.505459996,0.52677021
0.510313425,0.526332594
0.513548554,0.525894978
0.518401982,0.525457361
0.52406456,0.525019745
0.527298221,0.524144513
0.529721264,0.522831664
0.532142838,0.521081199
0.536997735,0.521081199
0.541846758,0.519330734
0.546700186,0.518893118
0.548312611,0.517142653
0.551541866,0.514954572
0.553154291,0.513204107
0.556383547,0.511016026
0.558802184,0.508390328
0.562034376,0.50707748
0.564453014,0.504451782
0.56606397,0.502263701
0.568482607,0.499638004
0.57090565,0.498325155
0.573328693,0.497012306
0.576555012,0.493948993
0.578975117,0.491760912
0.581399629,0.490885679
0.583818266,0.488259982
0.585430691,0.486509517
0.587043116,0.484759052
0.589461753,0.482133355
0.590265029,0.48038289
0.592683666,0.477757192
0.593489879,0.47688196
0.595100835,0.474693879
0.596705917,0.470755333
0.59671326,0.472943414
0.598306594,0.465503938
0.598312468,0.467254403
0.599914614,0.462440624
0.600723763,0.462440624
0.601528507,0.461127776
0.603129184,0.455876381
0.603137995,0.458502078
0.603929522,0.453250683
0.604725455,0.449312137
0.604734266,0.451937835
0.607145561,0.447124056
0.60875358,0.444060743
0.611173686,0.441872661
0.613595261,0.440122196
0.614398536,0.438371732
0.617626323,0.435746034
0.618429598,0.433995569
0.619232874,0.432245104
0.620034681,0.430057023
0.621645637,0.427868942
0.624064274,0.425243245
0.625676699,0.42349278
0.628901549,0.41999185
0.632121993,0.415178071
0.632129336,0.417366152
0.6329238,0.41298999
0.633724139,0.410364293
0.635329221,0.406425747
0.635336564,0.408613828
0.636938709,0.403800049
0.638551134,0.402049584
0.639352941,0.399861503
0.640153279,0.397235806
0.641762767,0.394610108
0.642564574,0.392422027
0.643367849,0.390671562
0.644978806,0.388483481
0.645779144,0.385857784
0.647394506,0.384982551
0.648183096,0.378855924
0.648194844,0.382356854
0.649794053,0.376667843
0.651399135,0.372729297
0.651403541,0.374042146
0.65382071,0.370978832
0.655430197,0.368353135
0.657844429,0.364414589
0.657850303,0.366165053
0.659453917,0.361788891
0.661061936,0.358725578
0.662672893,0.356537496
0.664288255,0.355662264
0.665899211,0.353474183
0.666702487,0.351723718
0.669119655,0.348660404
0.669924399,0.347347556
0.67071299,0.341220928
0.671513328,0.338595231
0.671532419,0.344284242
0.673114005,0.333343836
0.673122816,0.335969534
0.67634326,0.331155755
0.677148004,0.329842906
0.678757492,0.327217209
0.681982342,0.323716279
0.681985279,0.324591512
0.68359183,0.321090582
0.686822554,0.319340117
0.688426168,0.314963954
0.688432042,0.316714419
0.690850679,0.314088722
0.693264911,0.310150176
0.694063781,0.307086862
0.695676206,0.305336397
0.698903992,0.3027107
0.700514949,0.300522619
0.702125905,0.298334538
0.706161373,0.295271224
0.708584416,0.293958375
0.714246994,0.293520759
0.71829421,0.293958375
0.723961193,0.294833608
0.728819027,0.29570884
0.733676861,0.296584073
0.738540569,0.29920977
0.741785977,0.301835468
0.745035792,0.305774014
0.745043135,0.307962095
0.748288543,0.310587792
0.749915653,0.31321349
0.751535421,0.313651106
0.753163999,0.316714419
0.754791109,0.319340117
0.758036518,0.321965814
0.760469841,0.323716279
0.762903163,0.325466744
0.765336486,0.327217209
0.767771277,0.32940529
0.771015217,0.331593371
0.772637922,0.33290622
0.774262095,0.334656685
0.776696886,0.336844766
0.776699823,0.337719998
0.781569405,0.342096161
0.783197983,0.345159474
0.784826562,0.348222788
0.78645514,0.351286102
0.788892868,0.354349415
0.792141214,0.357850345
0.793769793,0.360913659
0.798634969,0.363976972
0.800265016,0.367477902
0.80432398,0.371416448
0.806761708,0.374479762
0.809200905,0.377980692
0.812446314,0.380606389
0.816500872,0.383232086
0.818125045,0.384982551
0.820561305,0.387608249
0.822186946,0.38979633
0.824621737,0.391984411
0.827868615,0.395047725
0.829492787,0.39679819
0.832735259,0.398548655
0.836788349,0.400736736
0.840038164,0.404675282
0.844094191,0.407738595
0.848148749,0.410364293
0.852203308,0.41298999
0.855454591,0.417366152
0.856272551,0.41999185
0.856284299,0.42349278
0.857105197,0.42699371
0.857926094,0.430494639
0.858761677,0.438371732
0.859556141,0.433995569
0.86282211,0.442747894
0.865264243,0.447124056
0.868512589,0.450624986
0.870954723,0.455001148
0.873393919,0.458502078
0.87502984,0.463753473
0.875045994,0.468567251
0.876676041,0.472068181
0.876689257,0.476006727
0.878319304,0.479507657
0.880758501,0.483008587
0.883197697,0.486509517
0.884824808,0.489135214
0.886451918,0.491760912
0.889694389,0.493511377
0.891321499,0.496137074
0.892953015,0.50007562
0.896201361,0.50357655
0.898639089,0.506639864
0.900266199,0.509265561
0.90108416,0.511891258
0.90190212,0.514516956
0.903532167,0.518017886
0.906779045,0.521081199
0.909218241,0.524582129
0.911651564,0.526332594
0.914087823,0.528958291
0.916525551,0.532021605
0.919772429,0.535084919
0.923020775,0.538585848
0.927073864,0.54077393
0.929511592,0.543837243
0.934378237,0.547338173
0.938434264,0.550401487
0.941676736,0.552151952
0.946537507,0.553902416
0.952205959,0.555215265
0.95706673,0.55696573
0.964356418,0.559153811
0.970026338,0.560904276
0.974077959,0.562654741
0.977320431,0.564405206
0.981373521,0.566593287
0.987043442,0.568343752
0.988669083,0.570531833
0.991908618,0.571407066
0.995958771,0.572719914
1.000815136,0.573157531
1.008100419,0.574032763
1.011339954,0.574907996
1.017819023,0.57665846
1.02348307,0.57665846
1.029148584,0.577096077
1.034006418,0.577971309
1.038862784,0.578408925
1.046151003,0.58015939
1.050201156,0.581472239
1.055064864,0.584097936
1.059115017,0.585410785
1.064787874,0.588036482
1.068842433,0.59066218
1.073703203,0.592412645
1.080991423,0.59416311
1.088279642,0.595913575
1.095561987,0.595913575
1.101224565,0.595475958
1.108505442,0.595038342
1.119025854,0.595475958
1.124695774,0.597226423
1.131983993,0.598976888
1.140889043,0.600289737
1.14737105,0.602915434
1.150613522,0.604665899
1.153855994,0.606416364
1.157096997,0.607729213
1.164382279,0.608604445
1.1700522,0.61035491
1.176526864,0.610792526
1.182193847,0.611667759
1.191094492,0.611667759
1.195949388,0.611667759
1.199187455,0.612105375
1.202422584,0.611667759
1.205659182,0.611667759
1.211323228,0.611667759
1.215366039,0.610792526
1.220215062,0.609042062
1.221018337,0.607291597
1.224249061,0.605541132
1.229098084,0.603790667
1.232325871,0.601164969
1.236368681,0.600289737
1.240411491,0.599414504
1.24202979,0.599414504
1.246072601,0.598539272
1.253352009,0.59766404
1.255779457,0.59766404
1.263061802,0.59766404
1.269534998,0.59766404
1.274389895,0.59766404
1.277626493,0.59766404
1.282479921,0.597226423
1.288145436,0.59766404
1.293812419,0.598539272
1.299477934,0.598976888
1.309186259,0.598539272
1.314842963,0.596351191
1.319690518,0.59416311
1.3293915,0.591537412
1.332623693,0.590224564
1.336665034,0.588911715
1.339089546,0.588036482
1.342323207,0.58716125
1.346364548,0.585848401
1.350404422,0.584097936
1.355256382,0.583222704
1.360917491,0.582347471
1.364148215,0.580597007
1.368191025,0.579721774
1.373040048,0.577971309
1.37627224,0.57665846
1.379505901,0.575783228
1.381927476,0.574032763
1.385967349,0.572282298
1.388385986,0.569656601
1.394854776,0.568343752
1.397274882,0.566155671
1.401316224,0.564842822
1.406969991,0.561779509
1.410200715,0.560029044
1.415048269,0.557840963
1.421517059,0.556528114
1.426367551,0.555215265
1.429593869,0.552151952
1.432824593,0.550401487
1.436055317,0.548651022
1.440904339,0.546900557
1.444945681,0.545587708
1.448177874,0.544274859
1.453836046,0.542524394
1.456259089,0.541211546
1.460296025,0.538585848
1.461909919,0.537273
1.466757473,0.535084919
1.469179047,0.533334454
1.471599153,0.531146372
1.474832814,0.53027114
1.476440833,0.527207826
1.479673026,0.525894978
1.482900812,0.52326928
1.486125662,0.51976835
1.487742493,0.519330734
1.490162599,0.517142653
1.493391854,0.514954572
1.496616704,0.511453642
1.50065364,0.508827945
1.503881427,0.506202247
1.508727513,0.50357655
1.513573598,0.500950853
1.520036515,0.497887539
1.524888474,0.497012306
1.529740434,0.496137074
1.534583583,0.492636144
1.537814307,0.490885679
1.538614645,0.488259982
1.540221196,0.484759052
1.541832153,0.482570971
1.544255195,0.481258122
1.54667677,0.479507657
1.549907494,0.477757192
1.554757985,0.476444344
1.55879639,0.474256262
1.561217964,0.472505798
1.565256369,0.470317716
1.569296242,0.468567251
1.573334647,0.46637917
1.578180733,0.463753473
1.58140852,0.461127776
1.587063755,0.458502078
1.588674711,0.456313997
1.593523734,0.454563532
1.595134691,0.452375451
1.599170158,0.449312137
1.604017713,0.447124056
1.608868204,0.445811207
1.61128831,0.443623126
1.613709884,0.441872661
1.617748289,0.43968458
1.62098195,0.438809348
1.624211205,0.436621267
1.627438992,0.433995569
1.630671184,0.432682721
1.633094227,0.431369872
1.6387524,0.429619407
