KC-OL-Im_3,
W,R
0.50012,0.62351
0.50031,0.60911
0.5005,0.60968
0.5007,0.61246
0.50089,0.61347
0.50108,0.61159
0.50128,0.6142
0.50147,0.62141
0.50166,0.6218
0.50186,0.62498
0.50205,0.6325
0.50225,0.62371
0.50244,0.6167
0.50264,0.63195
0.50283,0.64185
0.50303,0.63731
0.50322,0.63168
0.50342,0.62208
0.50361,0.61657
0.50381,0.62428
0.50401,0.62635
0.5042,0.6181
0.5044,0.61545
0.50459,0.6112
0.50479,0.60563
0.50499,0.61217
0.50518,0.62564
0.50538,0.63522
0.50558,0.6336
0.50577,0.62436
0.50597,0.62002
0.50617,0.6188
0.50637,0.61865
0.50657,0.62353
0.50676,0.62598
0.50696,0.62134
0.50716,0.61743
0.50736,0.61931
0.50756,0.6201
0.50776,0.61547
0.50795,0.61449
0.50815,0.61838
0.50835,0.62583
0.50855,0.63205
0.50875,0.62643
0.50895,0.6166
0.50915,0.61453
0.50935,0.61477
0.50955,0.60736
0.50975,0.60374
0.50995,0.60901
0.51015,0.616
0.51035,0.62916
0.51056,0.63508
0.51076,0.62309
0.51096,0.61465
0.51116,0.61761
0.51136,0.61594
0.51156,0.61346
0.51177,0.62363
0.51197,0.62931
0.51217,0.62523
0.51237,0.62678
0.51257,0.62611
0.51278,0.61916
0.51298,0.62114
0.51318,0.62618
0.51339,0.62379
0.51359,0.62901
0.51379,0.64059
0.514,0.64135
0.5142,0.63443
0.51441,0.63134
0.51461,0.63182
0.51481,0.62765
0.51502,0.62461
0.51522,0.62873
0.51543,0.63174
0.51563,0.63672
0.51584,0.64837
0.51604,0.65593
0.51625,0.65588
0.51645,0.65
0.51666,0.64334
0.51687,0.64216
0.51707,0.64181
0.51728,0.64225
0.51749,0.64231
0.51769,0.6426
0.5179,0.64464
0.51811,0.64149
0.51831,0.63896
0.51852,0.63893
0.51873,0.63739
0.51894,0.63628
0.51914,0.63624
0.51935,0.64148
0.51956,0.64342
0.51977,0.63579
0.51998,0.63529
0.52018,0.64762
0.52039,0.65535
0.5206,0.65517
0.52081,0.65869
0.52102,0.65356
0.52123,0.63967
0.52144,0.6376
0.52165,0.64064
0.52186,0.64143
0.52207,0.64351
0.52228,0.64604
0.52249,0.65453
0.5227,0.66202
0.52291,0.65887
0.52312,0.65312
0.52333,0.65243
0.52355,0.65306
0.52376,0.6473
0.52397,0.64254
0.52418,0.64773
0.52439,0.65736
0.52461,0.65916
0.52482,0.65051
0.52503,0.64855
0.52524,0.65227
0.52546,0.65095
0.52567,0.65366
0.52588,0.65866
0.5261,0.66037
0.52631,0.6664
0.52652,0.66896
0.52674,0.65829
0.52695,0.64936
0.52717,0.64784
0.52738,0.65139
0.5276,0.65695
0.52781,0.65113
0.52802,0.64671
0.52824,0.65467
0.52846,0.65989
0.52867,0.65918
0.52889,0.66028
0.5291,0.66133
0.52932,0.65705
0.52953,0.65953
0.52975,0.66795
0.52997,0.66503
0.53018,0.65525
0.5304,0.64937
0.53062,0.65172
0.53084,0.6562
0.53105,0.65519
0.53127,0.65266
0.53149,0.65429
0.53171,0.65993
0.53192,0.66441
0.53214,0.66682
0.53236,0.65927
0.53258,0.64636
0.5328,0.64557
0.53302,0.65031
0.53324,0.65441
0.53346,0.6601
0.53368,0.66487
0.5339,0.66354
0.53412,0.65505
0.53434,0.65228
0.53456,0.65461
0.53478,0.65274
0.535,0.65352
0.53522,0.66053
0.53544,0.66226
0.53566,0.65556
0.53588,0.65196
0.5361,0.6557
0.53633,0.65963
0.53655,0.65866
0.53677,0.65787
0.53699,0.66047
0.53722,0.66259
0.53744,0.66383
0.53766,0.66282
0.53788,0.65866
0.53811,0.65711
0.53833,0.66196
0.53855,0.66798
0.53878,0.66853
0.539,0.66586
0.53923,0.66902
0.53945,0.67786
0.53968,0.67972
0.5399,0.67472
0.54013,0.67106
0.54035,0.66696
0.54058,0.66497
0.5408,0.66651
0.54103,0.66442
0.54125,0.66149
0.54148,0.66283
0.54171,0.66455
0.54193,0.66463
0.54216,0.66673
0.54239,0.67207
0.54261,0.67701
0.54284,0.67701
0.54307,0.67501
0.54329,0.6775
0.54352,0.67688
0.54375,0.67131
0.54398,0.67418
0.54421,0.67797
0.54444,0.67565
0.54466,0.67664
0.54489,0.67843
0.54512,0.67528
0.54535,0.66957
0.54558,0.66982
0.54581,0.67442
0.54604,0.67543
0.54627,0.67705
