OC-LP-B4_1,
W,R
0.25,0.113509451
0.255,0.116790268
0.26,0.12035161
0.265,0.123947794
0.27,0.1272014
0.275,0.130650446
0.28,0.134208228
0.285,0.137505119
0.29,0.141670313
0.295,0.145933235
0.3,0.150743548
0.305,0.155743492
0.31,0.162220738
0.315,0.168812036
0.32,0.176019532
0.325,0.183058543
0.33,0.190257093
0.335,0.197259507
0.34,0.205188347
0.345,0.212070435
0.35,0.218847588
0.355,0.225272646
0.36,0.231205338
0.365,0.237441446
0.37,0.242510262
0.375,0.247351535
0.38,0.252579136
0.385,0.257255788
0.39,0.261127135
0.395,0.26497247
0.4,0.270623136
0.405,0.273961894
0.41,0.277336842
0.415,0.280816855
0.42,0.283971821
0.425,0.286591016
0.43,0.289511705
0.435,0.292039868
0.44,0.294843443
0.445,0.297190426
0.45,0.299716751
0.455,0.301691141
0.46,0.304393589
0.465,0.306483311
0.47,0.30809514
0.475,0.310086405
0.48,0.311734523
0.485,0.313299663
0.49,0.315248907
0.495,0.317374207
0.5,0.319446703
0.505,0.322200157
0.51,0.324053683
0.515,0.326264024
0.52,0.328245122
0.525,0.330376095
0.53,0.332552326
0.535,0.334408759
0.54,0.336207254
0.545,0.337704427
0.55,0.339323331
0.555,0.340532784
0.56,0.341629323
0.565,0.342578472
0.57,0.343208197
0.575,0.343768553
0.58,0.34429241
0.585,0.34472484
0.59,0.345097903
0.595,0.345662551
0.6,0.345523178
0.605,0.346107047
0.61,0.346422559
0.615,0.346717309
0.62,0.34731888
0.625,0.347601976
0.63,0.348063405
0.635,0.348695777
0.64,0.349124949
0.645,0.349417442
0.65,0.349632247
0.655,0.349962652
0.66,0.350176545
0.665,0.350418856
0.67,0.350753326
0.675,0.351007117
0.68,0.351211087
0.685,0.351197341
0.69,0.351196391
0.695,0.351207035
0.7,0.351299066
0.705,0.351399606
0.71,0.351497027
0.715,0.351387918
0.72,0.351155456
0.725,0.35090912
0.73,0.350521665
0.735,0.350053709
0.74,0.349533329
0.745,0.348801709
0.75,0.348004011
0.755,0.347089311
0.76,0.345902916
0.765,0.344762774
0.77,0.343271808
0.775,0.342021816
0.78,0.340473696
0.785,0.338674822
0.79,0.336898191
0.795,0.334933314
0.8,0.332902669
0.805,0.330628854
0.81,0.328357421
0.815,0.325981005
0.82,0.323442745
0.825,0.321110969
0.83,0.318194903
0.835,0.316072756
0.84,0.31352684
0.845,0.311192609
