KC-OPX-arvn_1,
W,R
0.54088,0.31158
0.54133,0.31127
0.54179,0.31149
0.54224,0.31127
0.54269,0.31112
0.54314,0.31127
0.54359,0.31079
0.54404,0.31131
0.54449,0.31092
0.54494,0.31101
0.54539,0.31147
0.54584,0.31139
0.54629,0.31128
0.54675,0.31163
0.5472,0.31162
0.54765,0.31195
0.5481,0.31194
0.54855,0.31246
0.549,0.31259
0.54945,0.31273
0.5499,0.31315
0.55035,0.31299
0.5508,0.31293
0.55125,0.31314
0.5517,0.31317
0.55215,0.31336
0.5526,0.31298
0.55305,0.31302
0.5535,0.31342
0.55395,0.31336
0.5544,0.31335
0.55485,0.31348
0.5553,0.31402
0.55575,0.31403
0.5562,0.3141
0.55665,0.31415
0.5571,0.31455
0.55755,0.31465
0.558,0.31501
0.55845,0.31503
0.5589,0.31552
0.55935,0.31569
0.5598,0.31601
0.56025,0.31615
0.5607,0.3163
0.56115,0.3165
0.5616,0.31616
0.56205,0.31678
0.5625,0.31669
0.56295,0.31685
0.5634,0.31759
0.56385,0.31766
0.5643,0.31774
0.56475,0.31756
0.5652,0.31816
0.56565,0.31789
0.5661,0.31789
0.56655,0.31769
0.567,0.318
0.56745,0.31806
0.56789,0.31786
0.56834,0.3176
0.56879,0.3182
0.56924,0.31781
0.56969,0.31801
0.57014,0.31789
0.57059,0.31798
0.57104,0.31817
0.57149,0.31831
0.57194,0.31836
0.57239,0.31859
0.57284,0.3188
0.57328,0.31927
0.57373,0.31951
0.57418,0.31987
0.57463,0.32046
0.57508,0.32057
0.57553,0.32071
0.57598,0.32097
0.57643,0.32086
0.57688,0.3209
0.57732,0.32081
0.57777,0.32101
0.57822,0.32101
0.57867,0.32094
0.57912,0.32124
0.57957,0.32162
0.58002,0.322
0.58046,0.32203
0.58091,0.32202
0.58136,0.3222
0.58181,0.32235
0.58226,0.32243
0.58271,0.32278
0.58316,0.32302
0.5836,0.32309
0.58405,0.32328
0.5845,0.32353
0.58495,0.32403
0.5854,0.32401
0.58584,0.32444
0.58629,0.32453
0.58674,0.32476
0.58719,0.32509
0.58764,0.32501
0.58809,0.32527
0.58853,0.32521
0.58898,0.32516
0.58943,0.32533
0.58988,0.32519
0.59032,0.32505
0.59077,0.32528
0.59122,0.32551
0.59167,0.32519
0.59212,0.32567
0.59256,0.32586
0.59301,0.32545
0.59346,0.32578
0.59391,0.32594
0.59435,0.32623
0.5948,0.32632
0.59525,0.32659
0.5957,0.32674
0.59615,0.32734
0.59659,0.32731
0.59704,0.3275
0.59749,0.32765
0.59793,0.32742
0.59838,0.32754
0.59883,0.32721
0.59928,0.32742
0.59972,0.32751
0.60017,0.32731
0.60062,0.32743
0.60107,0.32742
0.60151,0.32711
0.60196,0.32747
0.60241,0.32709
0.60285,0.32706
0.6033,0.32709
0.60375,0.32701
0.6042,0.32678
0.60464,0.32686
0.60509,0.32684
0.60554,0.327
0.60598,0.32726
0.60643,0.32719
0.60688,0.32782
0.60732,0.32832
0.60777,0.32869
0.60822,0.32898
0.60866,0.32924
0.60911,0.32931
0.60956,0.3295
0.61,0.32984
0.61045,0.33006
0.6109,0.33028
0.61134,0.33094
0.61179,0.33116
0.61224,0.33159
0.61268,0.33198
0.61313,0.33224
0.61358,0.3326
0.61402,0.33313
0.61447,0.33341
0.61492,0.33355
0.61536,0.33372
0.61581,0.33374
0.61625,0.33403
0.6167,0.33444
0.61715,0.33435
0.61759,0.334
0.61804,0.33399
0.61848,0.33432
0.61893,0.33421
0.61938,0.33424
0.61982,0.33419
0.62027,0.33417
0.62071,0.33424
0.62116,0.33463
0.62161,0.33475
0.62205,0.33468
0.6225,0.33472
0.62294,0.33458
0.62339,0.33486
0.62384,0.33493
