AF_OL_100_1,
W,R
0.255616668,0.017197688
0.25953162,0.017274378
0.262850842,0.017276764
0.265264822,0.0172785
0.267983138,0.017255829
0.268885792,0.017281103
0.271299772,0.017282838
0.274319836,0.017260385
0.277940806,0.017262988
0.280651356,0.017314187
0.282461841,0.017315488
0.285177568,0.017317441
0.287895884,0.01729477
0.290611612,0.017296723
0.293621321,0.017372761
0.295424041,0.017447932
0.298428573,0.017573216
0.300223527,0.017722256
0.302624564,0.017847106
0.30441693,0.018020769
0.305613566,0.018120129
0.307411108,0.018244545
0.30920865,0.018368962
0.310402698,0.018492945
0.312195063,0.018666607
0.313685681,0.018840053
0.314575392,0.018988442
0.316367758,0.019162104
0.318157534,0.01936039
0.319348993,0.019508995
0.320543041,0.019632978
0.321731911,0.019806207
0.322925958,0.01993019
0.324114829,0.020103418
0.324697616,0.020300836
0.325584738,0.020473848
0.327668497,0.020746219
0.328844425,0.021042563
0.330629025,0.021290095
0.331206635,0.021536758
0.332085992,0.021783639
0.332364443,0.022005463
0.332944641,0.022227504
0.334133511,0.022400732
0.335317205,0.022623207
0.335598244,0.022820408
0.336482778,0.023018043
0.337073331,0.023141592
0.337663883,0.02326514
0.338839811,0.023561484
0.339420009,0.023783525
0.340606291,0.023981377
0.341186489,0.024203417
0.342372771,0.024401269
0.34265381,0.02459847
0.343239186,0.024771265
0.344126309,0.024944276
0.344412525,0.025092231
0.345897966,0.025314923
0.346483341,0.025487718
0.347661857,0.025759438
0.348845551,0.025981913
0.350026655,0.026229011
0.350609442,0.026426429
0.351790547,0.026673526
0.352971652,0.026920624
0.354160522,0.027093853
0.354738132,0.027340516
0.355924414,0.027538368
0.35621063,0.027686323
0.357087399,0.027957827
0.357974522,0.028130838
0.358856468,0.028353096
0.359741002,0.028550731
0.360022041,0.028747932
0.360896222,0.029044059
0.361172084,0.029290505
0.361728985,0.029734153
0.361749694,0.029537169
0.362608343,0.029981034
0.362889382,0.030178235
0.363773916,0.030375869
0.364650685,0.030647373
0.365181702,0.031337251
0.365230884,0.030869414
0.365506746,0.031115861
0.366360218,0.031608971
0.367244752,0.031806606
0.367830128,0.031979401
0.369310391,0.032251339
0.371102757,0.032425001
0.37228645,0.032647476
0.374377974,0.032845978
0.376464322,0.033093727
0.377653192,0.033266956
0.379133456,0.033538893
0.380621485,0.033736962
0.381805178,0.033959437
0.383597544,0.034133099
0.385694245,0.034282356
0.387184863,0.034455801
0.388977228,0.034629464
0.391365323,0.034877429
0.391659305,0.034951515
0.393748241,0.035174641
0.39523627,0.035372709
0.397332971,0.035521966
0.398826178,0.035670789
0.400621132,0.035819828
0.401817768,0.035919188
0.403604956,0.036142096
0.406299975,0.036341033
0.407491434,0.036489639
0.409590724,0.036614272
0.412590079,0.036788803
0.414679015,0.037011928
0.416473969,0.037160968
0.41857067,0.037310224
0.420066465,0.037434424
0.420956177,0.037582813
0.423357214,0.037707663
0.425149579,0.037881326
0.426640197,0.038054771
0.42873431,0.038228651
0.431736254,0.038378558
0.432930301,0.038502541
0.434725255,0.038651581
0.436821956,0.038800837
0.438916069,0.038974717
0.441314518,0.03912419
0.443413808,0.039248824
0.444610444,0.039348183
0.446407986,0.0394726
0.447908958,0.039547554
0.450307407,0.039697027
0.452708444,0.039821878
0.454503398,0.039970917
0.455702623,0.040045654
0.457804501,0.040145665
0.459901202,0.040294921
0.461090073,0.04046815
0.463485933,0.040642246
0.464979139,0.040791069
0.46677927,0.040890863
0.46858199,0.040966033
0.47068128,0.041090667
0.473984971,0.041240791
0.476682579,0.041415104
0.478781869,0.041539738
0.480574234,0.041713401
0.482673524,0.041838034
0.485071973,0.041987508
0.487168674,0.042136764
0.489866282,0.042311078
0.491658647,0.04248474
0.493154442,0.04260894
0.495550303,0.042783036
0.495836519,0.042930991
0.498240145,0.043031219
0.500029922,0.043229504
0.50242837,0.043378978
0.505427726,0.043553508
0.506920932,0.043702331
0.509020222,0.043826964
0.511423848,0.043927192
0.513216213,0.044100854
0.514098159,0.044323112
0.516800944,0.04444818
0.518291562,0.044621625
0.52039344,0.044721636
0.522797066,0.044821863
0.524589431,0.044995526
0.527292216,0.045120593
0.5287906,0.04522017
0.530887301,0.045369426
0.53328575,0.0455189
0.534784133,0.045618477
0.537793843,0.045694515
0.539586208,0.045868178
0.541386339,0.045967971
0.543787376,0.046092822
0.544981424,0.046216804
0.54738505,0.046317032
0.549182592,0.046441449
0.550374051,0.046590054
0.552775088,0.046714905
0.555480462,0.046815349
0.557889265,0.046866331
0.560292891,0.046966558
0.561801628,0.046967643
0.562998264,0.047067003
0.564800983,0.047142173
0.565995031,0.047266156
0.568403834,0.047317138
0.570203965,0.047416931
0.57322144,0.047419101
0.576238914,0.04742127
0.578049399,0.047422572
0.581066874,0.047424741
0.582575612,0.047425826
0.585288751,0.047452401
0.588007067,0.047429731
0.590114122,0.047480495
0.592226355,0.047482014
0.594640335,0.047483749
0.597356062,0.047485702
0.599166547,0.047487004
0.600971855,0.047537551
0.602472827,0.047612505
0.604275547,0.047687676
0.606988685,0.047714251
0.608497423,0.047715336
0.609707001,0.047691581
0.611517486,0.047692882
0.61362713,0.047719024
0.616038522,0.047745382
0.619055997,0.047747552
0.6214648,0.047798533
0.622664024,0.04787327
0.625078004,0.047875006
0.627793732,0.047876958
0.630506871,0.047903534
0.632608749,0.048003544
0.634109721,0.048078498
0.63711943,0.048154536
0.639835158,0.048156489
0.641635289,0.048256282
0.644041503,0.048331887
0.645844223,0.048407057
0.647043447,0.048481794
0.648242671,0.048556531
0.650053156,0.048557833
0.651855876,0.048633003
0.653060277,0.048658494
0.655164744,0.048733881
0.657570959,0.048809486
0.659074519,0.048859817
0.66208164,0.048960478
0.66328863,0.048961346
0.666295751,0.049062007
0.668709731,0.049063743
0.671110768,0.049188593
0.673516983,0.049264198
0.675928374,0.049290556
0.678342354,0.049292292
0.681050316,0.049368113
0.683766043,0.049370066
0.686783518,0.049372235
0.687990508,0.049373103
0.691307142,0.049400112
0.693416786,0.049426254
0.694618599,0.049476368
0.696429084,0.049477669
0.699451736,0.049430593
0.701262221,0.049431894
0.70367879,0.049409007
0.706698853,0.049386553
0.709721505,0.049339477
0.713035551,0.049391109
0.714858978,0.049269296
0.717886807,0.049172973
0.719705058,0.049100406
0.721822467,0.049052679
0.724233859,0.049079037
0.726052109,0.04900647
0.728476443,0.048909714
0.730905954,0.048763711
0.733332877,0.048642332
0.736659865,0.048570849
0.738782452,0.048473876
0.741206786,0.048377119
0.743326784,0.048304769
0.745753706,0.04818339
0.746968462,0.048110388
0.748797066,0.047939329
0.750308392,0.047915791
0.751837838,0.047719892
0.754259584,0.047647758
0.755778675,0.047550351
0.758208186,0.047404348
0.760330773,0.047307375
0.761548117,0.047209751
0.762765461,0.047112127
0.764588889,0.046990313
0.766412316,0.0468685
0.768230567,0.046795933
0.770046229,0.046747989
0.770969591,0.046576278
0.772483505,0.046528117
0.774606092,0.046431144
0.776424343,0.046358576
0.77824777,0.046236763
0.780372945,0.046115167
0.78309385,0.046067873
0.785216436,0.0459709
0.787939929,0.045898983
0.790065104,0.045777387
0.792182514,0.04572966
0.794302512,0.045657309
0.796721669,0.045609799
0.79944775,0.045513259
0.802171244,0.045441343
0.805196484,0.045369643
0.80706934,0.045256074
0.809341075,0.045175624
0.81110774,0.045115332
0.812369335,0.045075198
0.814387456,0.045015087
0.81690849,0.044955337
0.818170086,0.044915203
0.820688962,0.044875972
0.822702769,0.044856899
0.825473102,0.04481785
0.828742034,0.0448202
0.830502227,0.044821466
0.832763176,0.044843612
0.835024126,0.044865758
0.838293057,0.044868108
0.840805462,0.044890435
0.843317867,0.044912762
0.845828116,0.044955608
0.847839766,0.044957055
0.851355839,0.045000624
0.853111719,0.045042928
0.855374825,0.045044555
0.856629949,0.045065978
0.858390143,0.045067243
0.861407618,0.045069413
0.86392218,0.045071221
0.866436743,0.045073029
0.867947637,0.045053594
0.869202761,0.045075017
0.871461553,0.045117683
0.873471046,0.045139648
0.874977627,0.045161252
0.87673782,0.045162517
0.879503839,0.045164506
0.880258208,0.045165048
0.882014087,0.045207352
0.884780106,0.045209341
0.885785931,0.045210064
0.888298336,0.045232391
0.89130934,0.045296118
0.892818078,0.045297203
0.895330483,0.04531953
0.897589275,0.045362195
0.900097366,0.04542556
0.901855403,0.045447345
0.904369965,0.045449153
0.90588086,0.045429718
0.908143966,0.045431346
0.910149145,0.045494349
0.913411605,0.045558257
0.915676868,0.045539365
0.917939974,0.045540992
0.921211063,0.045522823
0.923977081,0.045524812
0.92699887,0.045485943
0.929008363,0.045507908
0.931520769,0.045530235
0.934035331,0.045532043
0.935544069,0.045533128
0.938062945,0.045493897
0.940076752,0.045474824
0.940586136,0.045413629
0.942849242,0.045415256
0.945116663,0.045375844
0.94713047,0.045356771
0.948639207,0.045357856
0.951155927,0.045339145
0.952161752,0.045339868
0.954429172,0.045300457
0.956189366,0.045301722
0.959714068,0.045263215
0.961222805,0.0452643
0.96424028,0.045266469
0.965753332,0.045226516
0.96751784,0.045186743
0.970283859,0.045188731
0.971291841,0.045168935
0.974309316,0.045171105
0.976826035,0.045152393
0.978343401,0.045071402
0.98136519,0.045032533
0.983892695,0.044911226
0.98616443,0.044830776
0.988442636,0.044688769
0.9904586,0.044649177
0.992220951,0.044629923
0.994744142,0.044549654
0.997265176,0.044489905
0.999534753,0.044429974
1.002057944,0.044349706
1.005331189,0.044311018
1.007349311,0.044250906
1.009113819,0.044211134
1.010377571,0.04415048
1.01339936,0.044111611
1.016165379,0.0441136
1.019187168,0.044074731
1.021708202,0.044014981
1.024727834,0.043996632
1.028001079,0.043957943
1.030515642,0.043959751
1.032778748,0.043961378
1.03554261,0.043983886
1.038059329,0.043965175
1.039316611,0.043966079
1.041328261,0.043967525
1.043842823,0.043969333
1.046359543,0.043950622
1.048622649,0.043952249
1.050382843,0.043953514
1.053144547,0.043996541
1.055656953,0.044018868
1.057917902,0.044041014
1.059673781,0.044083318
1.060928905,0.044104741
1.062686942,0.044126526
1.064947891,0.044148672
1.06695307,0.044211676
1.069716931,0.044234184
1.072725778,0.04431843
1.07524034,0.044320238
1.078002045,0.044363265
1.079757924,0.044405568
1.081767417,0.044427534
1.084533436,0.044429522
1.086538615,0.044492526
1.090054688,0.044536096
1.093067849,0.044579303
1.095578097,0.044622149
1.098591258,0.044665357
1.101099349,0.044728723
1.103104528,0.044791726
1.105616933,0.044814053
1.107117042,0.044897215
1.108875079,0.044918999
1.111131714,0.044982184
1.11288975,0.045003969
1.115144228,0.045087672
1.116900108,0.045129976
1.118658144,0.045151761
1.120414024,0.045194065
1.122924272,0.045236911
1.124430853,0.045258515
1.126184575,0.045321338
1.129195579,0.045385064
1.131202914,0.045427549
1.133466021,0.045429176
1.135217586,0.045512518
1.136722009,0.045554641
1.138224275,0.045617283
1.140732367,0.045680649
1.142486089,0.045743472
1.144744881,0.045786137
1.146999359,0.045869841
1.149006695,0.045912325
1.151766242,0.045975872
1.154027191,0.045998018
1.156530968,0.046102421
1.158033234,0.046165064
1.159791271,0.046186848
1.162546504,0.046291433
1.165306052,0.046354979
1.167562687,0.046418163
1.169817164,0.046501867
1.171822343,0.046564871
1.173070996,0.046647851
1.174573262,0.046710494
1.176071214,0.046814174
1.177575637,0.046856297
1.179318574,0.047021716
1.181573052,0.04710542
1.184334757,0.047148447
1.186333464,0.047273008
1.187837887,0.047315131
1.189593767,0.047357435
1.191592474,0.047481996
1.193593339,0.047586038
1.195091291,0.047689718
1.19684717,0.047732022
1.198598736,0.047815364
1.200593129,0.047980964
1.202091081,0.048084644
1.204347716,0.048147829
1.206597879,0.048272571
1.208349445,0.048355913
1.20959594,0.048459413
1.211848261,0.048563636
1.213599826,0.048646978
1.215349235,0.048750839
1.2171008,0.048834181
1.218097997,0.048916981
1.219847405,0.049020842
1.22159897,0.049104185
1.223606306,0.049146669
1.225110729,0.049188792
1.226608681,0.049292473
1.229112458,0.049396876
1.231113323,0.049500918
1.233114187,0.04960496
1.234612139,0.049708641
