Brown University Keck/NASA Relab Spectrum OC-TXH-012-P05/C1OC12P05,,
W,R,Standard Deviation
1.375,0.294763,0.00207
1.38,0.295043,0.00233
1.385,0.29528,0.00208
1.39,0.296608,0.00236
1.395,0.29682,0.00245
1.4,0.296786,0.00247
1.405,0.29697,0.00224
1.41,0.297376,0.00213
1.415,0.297656,0.00227
1.42,0.298407,0.00209
1.425,0.298768,0.00217
1.43,0.298966,0.00233
1.435,0.298982,0.00198
1.44,0.299452,0.00202
1.445,0.29984,0.00245
1.45,0.300193,0.00248
1.455,0.300588,0.00241
1.46,0.300392,0.00237
1.465,0.300565,0.00238
1.47,0.300912,0.00216
1.475,0.301074,0.00219
1.48,0.301113,0.00355
1.485,0.301429,0.00216
1.49,0.301784,0.0022
1.495,0.302039,0.00225
1.5,0.302162,0.00224
1.505,0.302338,0.00212
1.51,0.302103,0.00241
1.515,0.301963,0.00203
1.52,0.301975,0.00214
1.525,0.302249,0.00227
1.53,0.302188,0.00208
1.535,0.301867,0.00236
1.54,0.301788,0.00215
1.545,0.301442,0.00243
1.55,0.301154,0.00229
1.555,0.30059,0.00217
1.56,0.300489,0.00222
1.565,0.300211,0.00246
1.57,0.299799,0.00226
1.575,0.29932,0.00231
1.58,0.298898,0.00242
1.585,0.298309,0.00228
1.59,0.297728,0.00245
1.595,0.297298,0.00246
1.6,0.296864,0.00255
1.605,0.29646,0.00244
1.61,0.29604,0.00254
1.615,0.295631,0.00217
1.62,0.295208,0.00247
1.625,0.294948,0.0025
1.63,0.294532,0.00239
1.635,0.293865,0.00261
1.64,0.293257,0.00243
1.645,0.293041,0.00258
1.65,0.292527,0.00197
1.655,0.291884,0.00211
1.66,0.291622,0.00202
1.665,0.291017,0.00199
1.67,0.290539,0.00204
1.675,0.289983,0.00208
1.68,0.289455,0.00198
1.685,0.289131,0.00185
1.69,0.28862,0.00198
1.695,0.287795,0.00206
1.7,0.287261,0.00204
1.705,0.286941,0.00175
1.71,0.286453,0.00151
1.715,0.286093,0.00154
1.72,0.285285,0.00176
1.725,0.284677,0.00144
1.73,0.283843,0.00166
1.735,0.283311,0.00147
1.74,0.282704,0.00168
1.745,0.281772,0.00169
1.75,0.280881,0.00167
1.755,0.280373,0.00157
1.76,0.279784,0.00175
1.765,0.278441,0.00178
1.77,0.27778,0.00178
1.775,0.277238,0.00186
1.78,0.27649,0.00172
1.785,0.27592,0.00169
1.79,0.274922,0.00157
1.795,0.274353,0.00153
1.8,0.273633,0.00161
1.805,0.272733,0.00179
1.81,0.272187,0.00196
1.815,0.271754,0.00189
1.82,0.271523,0.00161
1.825,0.271001,0.00197
1.83,0.270391,0.00197
1.835,0.269964,0.00177
1.84,0.26929,0.00173
1.845,0.269522,0.00163
1.85,0.26887,0.00214
1.855,0.268768,0.00182
1.86,0.268293,0.00213
1.865,0.267796,0.00153
1.87,0.267022,0.00152
1.875,0.266226,0.00199
1.88,0.265815,0.00192
1.885,0.265162,0.00195
1.89,0.264654,0.00183
1.895,0.26439,0.00168
1.9,0.263598,0.00187
1.905,0.263314,0.00146
1.91,0.263123,0.0018
1.915,0.262478,0.00188
1.92,0.261854,0.00168
1.925,0.261611,0.00163
1.93,0.26108,0.00167
1.935,0.260948,0.00173
1.94,0.260093,0.00167
1.945,0.259897,0.0019
1.95,0.260122,0.00168
1.955,0.259319,0.00169
1.96,0.258879,0.00171
1.965,0.258523,0.00167
1.97,0.258253,0.00166
1.975,0.258205,0.00165
1.98,0.25798,0.00152
1.985,0.258413,0.00148
1.99,0.258142,0.0017
1.995,0.257893,0.00181
2,0.257676,0.0018
2.005,0.257427,0.00181
2.01,0.257854,0.00167
2.015,0.257948,0.0016
2.02,0.258227,0.00171
2.025,0.257856,0.00133
2.03,0.257686,0.00168
2.035,0.257317,0.00183
2.04,0.257423,0.00164
2.045,0.257411,0.00195
2.05,0.257394,0.00171
2.055,0.257655,0.00168
2.06,0.257214,0.0018
2.065,0.256895,0.00153
2.07,0.25651,0.00188
2.075,0.256475,0.00169
2.08,0.25671,0.00158
2.085,0.256786,0.00176
2.09,0.256969,0.00198
2.095,0.256644,0.00198
2.1,0.256835,0.00192
2.105,0.256131,0.00172
2.11,0.255368,0.00152
2.115,0.255084,0.00172
2.12,0.255171,0.00162
2.125,0.255302,0.0019
2.13,0.255252,0.00209
2.135,0.255002,0.00179
2.14,0.255058,0.00176
2.145,0.254897,0.00196
2.15,0.25478,0.00175
2.155,0.254719,0.0017
2.16,0.254558,0.00185
2.165,0.254307,0.00189
2.17,0.253871,0.00181
2.175,0.253661,0.0017
2.18,0.253386,0.00167
2.185,0.253146,0.00173
2.19,0.252837,0.00212
2.195,0.252985,0.00186
2.2,0.253164,0.00173
2.205,0.253122,0.00198
2.21,0.253331,0.00202
2.215,0.253174,0.00219
2.22,0.253039,0.00172
2.225,0.253101,0.00184
2.23,0.253306,0.0016
2.235,0.253293,0.00193
2.24,0.25342,0.00189
2.245,0.253936,0.00193
2.25,0.253744,0.00231
2.255,0.254159,0.00202
2.26,0.253734,0.00199
2.265,0.253676,0.00195
2.27,0.253608,0.00188
2.275,0.253787,0.0022
2.28,0.253905,0.00186
2.285,0.254353,0.00194
2.29,0.254566,0.00187
2.295,0.254743,0.00182
2.3,0.25524,0.00175
2.305,0.255222,0.00202
2.31,0.255149,0.00201
2.315,0.254605,0.00227
2.32,0.254681,0.00218
2.325,0.254537,0.0023
2.33,0.25456,0.00215
2.335,0.254732,0.00198
2.34,0.254478,0.00221
2.345,0.25462,0.00203
2.35,0.253883,0.0023
2.355,0.252527,0.00214
2.36,0.252492,0.00188
2.365,0.252293,0.00248
2.37,0.252058,0.00213
2.375,0.251312,0.0021
2.38,0.250734,0.00211
2.385,0.250843,0.0024
2.39,0.251147,0.00228
2.395,0.251487,0.00202
2.4,0.250943,0.00204
2.405,0.250263,0.00209
2.41,0.2502,0.00222
2.415,0.249116,0.00233
2.42,0.249199,0.00238
2.425,0.248937,0.00221
2.43,0.249548,0.00221
2.435,0.249306,0.00209
2.44,0.248887,0.00207
2.445,0.248735,0.00218
2.45,0.248584,0.00222
2.455,0.248903,0.00205
2.46,0.248968,0.00231
2.465,0.249137,0.00216
2.47,0.248751,0.00214
2.475,0.248852,0.00249
2.48,0.247443,0.00264
2.485,0.246913,0.00266
2.49,0.246964,0.00257
2.495,0.246994,0.00297
2.5,0.247307,0.00318
