KC-OPX-lm_12,
W,R
0.50012,0.10619
0.50031,0.10507
0.5005,0.10243
0.5007,0.09753
0.50089,0.09619
0.50108,0.09428
0.50128,0.09921
0.50147,0.11129
0.50166,0.11142
0.50186,0.10147
0.50205,0.09563
0.50225,0.10193
0.50244,0.10888
0.50264,0.10487
0.50283,0.09607
0.50303,0.09327
0.50322,0.09584
0.50342,0.09855
0.50361,0.10051
0.50381,0.09983
0.50401,0.09866
0.5042,0.10096
0.5044,0.10027
0.50459,0.09708
0.50479,0.10005
0.50499,0.10659
0.50518,0.10773
0.50538,0.1019
0.50558,0.09798
0.50577,0.10225
0.50597,0.10781
0.50617,0.10486
0.50637,0.09798
0.50657,0.09815
0.50676,0.10112
0.50696,0.09961
0.50716,0.0982
0.50736,0.10075
0.50756,0.10541
0.50776,0.10611
0.50795,0.10444
0.50815,0.10476
0.50835,0.10213
0.50855,0.09893
0.50875,0.0977
0.50895,0.10116
0.50915,0.10874
0.50935,0.111
0.50955,0.11089
0.50975,0.10947
0.50995,0.10253
0.51015,0.10245
0.51035,0.11005
0.51056,0.10884
0.51076,0.1043
0.51096,0.10555
0.51116,0.10688
0.51136,0.10921
0.51156,0.10897
0.51177,0.10534
0.51197,0.10533
0.51217,0.10673
0.51237,0.10606
0.51257,0.10771
0.51278,0.11179
0.51298,0.11219
0.51318,0.10906
0.51339,0.10315
0.51359,0.10383
0.51379,0.11209
0.514,0.11014
0.5142,0.10471
0.51441,0.10574
0.51461,0.10587
0.51481,0.10269
0.51502,0.09985
0.51522,0.10504
0.51543,0.11018
0.51563,0.10232
0.51584,0.09704
0.51604,0.10231
0.51625,0.10543
0.51645,0.10397
0.51666,0.10743
0.51687,0.1154
0.51707,0.12024
0.51728,0.1212
0.51749,0.1173
0.51769,0.1083
0.5179,0.10465
0.51811,0.10688
0.51831,0.10989
0.51852,0.11268
0.51873,0.11476
0.51894,0.11619
0.51914,0.11214
0.51935,0.10938
0.51956,0.11364
0.51977,0.11459
0.51998,0.11115
0.52018,0.10831
0.52039,0.11141
0.5206,0.11583
0.52081,0.11347
0.52102,0.11101
0.52123,0.1115
0.52144,0.11179
0.52165,0.11053
0.52186,0.10969
0.52207,0.1114
0.52228,0.11372
0.52249,0.11379
0.5227,0.11097
0.52291,0.10943
0.52312,0.11096
0.52333,0.11375
0.52355,0.1154
0.52376,0.11342
0.52397,0.10974
0.52418,0.10961
0.52439,0.11481
0.52461,0.11965
0.52482,0.12048
0.52503,0.12307
0.52524,0.12196
0.52546,0.11355
0.52567,0.10878
0.52588,0.10783
0.5261,0.11009
0.52631,0.11427
0.52652,0.11517
0.52674,0.11486
0.52695,0.11391
0.52717,0.11143
0.52738,0.10968
0.5276,0.10894
0.52781,0.11146
0.52802,0.1177
0.52824,0.11873
0.52846,0.11387
0.52867,0.1125
0.52889,0.11423
0.5291,0.11482
0.52932,0.11414
0.52953,0.1134
0.52975,0.11286
0.52997,0.11321
0.53018,0.11626
0.5304,0.11898
0.53062,0.11856
0.53084,0.11566
0.53105,0.11561
0.53127,0.11837
0.53149,0.11919
0.53171,0.12162
