KC-OPX-hm_4,
W,R
0.50012,0.22134
0.50031,0.2318
0.5005,0.23172
0.5007,0.22144
0.50089,0.21503
0.50108,0.21522
0.50128,0.21628
0.50147,0.21701
0.50166,0.21679
0.50186,0.21714
0.50205,0.22305
0.50225,0.2298
0.50244,0.22215
0.50264,0.20333
0.50283,0.19867
0.50303,0.20883
0.50322,0.21444
0.50342,0.2103
0.50361,0.20378
0.50381,0.20479
0.50401,0.20784
0.5042,0.20824
0.5044,0.21003
0.50459,0.21211
0.50479,0.21096
0.50499,0.20705
0.50518,0.2093
0.50538,0.21567
0.50558,0.22201
0.50577,0.22665
0.50597,0.22445
0.50617,0.21517
0.50637,0.20982
0.50657,0.21662
0.50676,0.22638
0.50696,0.23202
0.50716,0.22803
0.50736,0.2151
0.50756,0.21237
0.50776,0.2217
0.50795,0.22735
0.50815,0.22193
0.50835,0.21803
0.50855,0.22275
0.50875,0.22583
0.50895,0.21732
0.50915,0.20428
0.50935,0.20364
0.50955,0.21275
0.50975,0.21802
0.50995,0.21882
0.51015,0.21945
0.51035,0.21654
0.51056,0.2087
0.51076,0.21019
0.51096,0.21736
0.51116,0.21664
0.51136,0.21384
0.51156,0.21769
0.51177,0.22562
0.51197,0.23059
0.51217,0.23317
0.51237,0.23228
0.51257,0.23105
0.51278,0.22779
0.51298,0.21866
0.51318,0.21596
0.51339,0.21841
0.51359,0.22018
0.51379,0.22221
0.514,0.22168
0.5142,0.22576
0.51441,0.22721
0.51461,0.22125
0.51481,0.22411
0.51502,0.22815
0.51522,0.22788
0.51543,0.23083
0.51563,0.22944
0.51584,0.22868
0.51604,0.23435
0.51625,0.23499
0.51645,0.23077
0.51666,0.22387
0.51687,0.22173
0.51707,0.22505
0.51728,0.2249
0.51749,0.22357
0.51769,0.21997
0.5179,0.21975
0.51811,0.22483
0.51831,0.22794
0.51852,0.23141
0.51873,0.23371
0.51894,0.23589
0.51914,0.23485
0.51935,0.22975
0.51956,0.22214
0.51977,0.21365
0.51998,0.21498
0.52018,0.21866
0.52039,0.22175
0.5206,0.22355
0.52081,0.21791
0.52102,0.21733
0.52123,0.22064
0.52144,0.22179
0.52165,0.22132
0.52186,0.22217
0.52207,0.2287
0.52228,0.22876
0.52249,0.22495
0.5227,0.22802
0.52291,0.23113
0.52312,0.22966
0.52333,0.22464
0.52355,0.22132
0.52376,0.22187
0.52397,0.22501
0.52418,0.22773
0.52439,0.22283
