TJ_OL_3,
W,R
0.506718319,0.142258003
0.508638901,0.143203023
0.510567237,0.14446448
0.512502407,0.1454095
0.515175667,0.146985785
0.518106191,0.14761222
0.522039666,0.148552945
0.524761697,0.149496354
0.527497921,0.150439763
0.530248413,0.151383173
0.532257684,0.152011754
0.534527092,0.152639799
0.536552077,0.152951943
0.537822024,0.153423916
0.53960445,0.153736596
0.541649174,0.154365178
0.543187547,0.154678395
0.545761388,0.155305903
0.547829188,0.155776266
0.550164988,0.156404311
0.551466899,0.156718065
0.554341855,0.157345036
0.556705683,0.1581313
0.55907907,0.158601126
0.561462838,0.15922917
0.563057223,0.159384169
0.565724951,0.159853458
0.568673709,0.160163991
0.571097854,0.160475598
0.5727204,0.161105253
0.57516233,0.161733298
0.578707477,0.162359196
0.581723905,0.162669729
0.583652099,0.163140628
0.586417404,0.163609917
0.588639243,0.16408028
0.590869774,0.164708862
0.593669552,0.16533637
0.596200527,0.165806196
0.599875348,0.166432093
0.603002671,0.167059064
0.605001959,0.167846402
0.607293647,0.168000327
0.609594866,0.168628908
0.612772859,0.169255879
0.615967706,0.17004107
0.619179787,0.171142698
0.62181923,0.171454305
0.625060952,0.172081276
0.628913954,0.172865393
0.631296511,0.173177536
0.634587641,0.173804508
0.638800855,0.174429868
0.640918238,0.174900768
0.644564635,0.17584364
0.648231477,0.176628294
0.651303058,0.177255802
0.654389802,0.178199748
0.658111619,0.178509744
0.660917328,0.17897957
0.663735925,0.179924053
0.667196171,0.180551024
0.670041545,0.181495507
0.673215844,0.181806577
0.675766233,0.182118721
0.679609944,0.182586936
0.682830844,0.183530882
0.685742576,0.184317146
0.688015873,0.184946265
0.692256619,0.185572162
0.69652318,0.186039841
0.699492648,0.186509667
0.703139632,0.187294857
0.707473926,0.188078974
0.710490741,0.188865238
0.713857663,0.189650965
0.717918369,0.190277399
0.720979386,0.190905444
0.725080267,0.191373659
0.72817182,0.192001704
0.732313951,0.192628139
0.735088226,0.192940282
0.73822245,0.193568327
0.741020142,0.194355128
0.744883986,0.195298537
0.748766932,0.195767289
0.752670119,0.196236042
0.756592949,0.196388356
0.761257095,0.197330692
0.765588496,0.198431783
0.770671463,0.199057144
0.774688114,0.199209458
0.77725555,0.199522139
0.780569202,0.199991964
0.784267122,0.200303034
0.788354999,0.200613568
0.791716339,0.201241613
0.796219567,0.201709828
0.798859476,0.202497165
0.801507766,0.203126284
0.806447671,0.203593963
0.810651914,0.204220934
0.812955434,0.205008808
0.817579848,0.205635243
0.822230186,0.206103458
0.826517477,0.207046867
0.830432689,0.207199718
0.834762362,0.207984909
0.839113828,0.208453661
0.842690806,0.208765268
0.847084784,0.209708677
0.850294248,0.21017904
0.853918887,0.210490646
0.857965097,0.211118154
0.862030079,0.211587444
0.866523686,0.212056196
0.870629218,0.212525485
0.874340947,0.212995311
0.877653681,0.213465673
0.880978966,0.213936036
0.885990325,0.21456247
0.890188502,0.215189979
0.895252249,0.215816413
0.899493476,0.216127483
0.904609733,0.216595699
0.908466753,0.217223743
0.913201577,0.217376058
0.917094804,0.217845884
0.922311604,0.218472318
0.926244531,0.219258582
0.93063215,0.219411433
0.935483803,0.220038404
0.939470715,0.220033573
0.943920548,0.220028205
0.947496025,0.22018213
0.951534131,0.220177299
0.955589891,0.220330687
0.958303925,0.220643904
0.962388988,0.220955511
0.967862089,0.221107288
0.97106883,0.221103531
0.974747596,0.221415674
0.980290981,0.221567452
0.984934161,0.221562084
0.988665454,0.221874228
0.992409959,0.221869933
0.99711054,0.221864565
1.002306899,0.221858661
1.007055295,0.222169731
1.011348175,0.222481338
1.016619678,0.222791871
1.020951905,0.222628821
1.026758531,0.222938817
1.031134923,0.223092205
1.03601989,0.223403275
1.040436725,0.223873101
1.044873848,0.224817584
1.049825856,0.22576153
1.054303511,0.226864232
1.059300209,0.227808178
1.063315206,0.228753197
1.067344924,0.229539998
1.071896802,0.230484481
1.07697638,0.231270208
1.080035674,0.231741644
1.08515483,0.232843809
1.090812054,0.23347078
1.094431246,0.235049213
1.100137342,0.235834403
1.104829583,0.236937105
1.109540288,0.237565149
1.115326197,0.238666778
1.120083219,0.23976948
1.124328076,0.24055628
1.128588494,0.241184862
1.132866637,0.2422881
1.137161525,0.243549558
1.141470573,0.24417814
1.145797548,0.245281378
1.150140391,0.246226398
1.156682847,0.246852832
1.161615181,0.247639096
1.166017434,0.248425897
1.169883973,0.249371453
1.175428992,0.250473618
1.179883596,0.251260419
1.186035772,0.252203828
1.189968138,0.252991165
1.194477842,0.253777966
1.199004636,0.254564767
1.203549706,0.255668005
1.207540141,0.256455343
1.213263079,0.257399289
1.218436116,0.258027333
1.224211263,0.259129498
1.229432125,0.260073981
1.235258242,0.260859708
1.240526215,0.261804191
1.245815495,0.262432236
1.250538592,0.263693694
1.25646473,0.264479421
1.261822555,0.265265684
1.267204405,0.266368386
1.270806431,0.267472698
1.2756219,0.26810128
1.280456807,0.2690463
1.28531004,0.269991319
1.292011932,0.270934728
1.296295668,0.271722066
1.302439855,0.272824231
1.308612554,0.273768177
1.313572504,0.274713197
1.317927725,0.275500534
1.321048928,0.276447164
1.32731044,0.277549329
1.331082079,0.278337203
1.334865056,0.279283296
1.338658162,0.28007117
1.343096556,0.280858508
1.348187208,0.281803528
1.353295267,0.28227389
