Brown University Keck/NASA Relab Spectrum PO-LAM-085-IA/CIPO85,
W,R
0.3,0.06105
0.305,0.05935
0.31,0.0597
0.315,0.06118
0.32,0.06419
0.325,0.06961
0.33,0.07988
0.335,0.09411
0.34,0.11249
0.345,0.13674
0.35,0.16524
0.355,0.197
0.36,0.22629
0.365,0.24926
0.37,0.26436
0.375,0.27389
0.38,0.27974
0.385,0.2872
0.39,0.29914
0.395,0.31172
0.4,0.32442
0.405,0.3405
0.41,0.36602
0.415,0.37222
0.42,0.37716
0.425,0.37516
0.43,0.37604
0.435,0.38004
0.44,0.38547
0.445,0.3875
0.45,0.3885
0.455,0.3939
0.46,0.40544
0.465,0.41704
0.47,0.42324
0.475,0.43353
0.48,0.44859
0.485,0.44835
0.49,0.45081
0.495,0.45477
0.5,0.47616
0.505,0.49336
0.51,0.50307
0.515,0.50677
0.52,0.51174
0.525,0.51669
0.53,0.52066
0.535,0.52821
0.54,0.5357
0.545,0.5412
0.55,0.54533
0.555,0.54921
0.56,0.55056
0.565,0.55053
0.57,0.55033
0.575,0.55025
0.58,0.54934
0.585,0.54592
0.59,0.5421
0.595,0.54043
0.6,0.5375
0.605,0.53317
0.61,0.52979
0.615,0.52648
0.62,0.52124
0.625,0.51641
0.63,0.51436
0.635,0.51208
0.64,0.51202
0.645,0.5118
0.65,0.51299
0.655,0.51436
0.66,0.51635
0.665,0.51678
0.67,0.51741
0.675,0.51866
0.68,0.51794
0.685,0.51433
0.69,0.51135
0.695,0.50767
0.7,0.50267
0.705,0.49914
0.71,0.49453
0.715,0.48943
0.72,0.48363
0.725,0.47786
0.73,0.46999
0.735,0.46247
0.74,0.45489
0.745,0.44633
0.75,0.43795
0.755,0.43016
0.76,0.41488
0.765,0.40645
0.77,0.39747
0.775,0.38904
0.78,0.38082
0.785,0.37274
0.79,0.36382
0.795,0.35852
0.8,0.34939
0.805,0.34227
0.81,0.33715
0.815,0.32953
0.82,0.32267
0.825,0.31623
0.83,0.31065
0.835,0.3049
0.84,0.29959
0.845,0.29408
0.85,0.28919
0.855,0.28482
0.86,0.27933
0.865,0.27511
0.87,0.27077
0.875,0.26585
0.88,0.26096
0.885,0.25571
0.89,0.25082
0.895,0.2453
0.9,0.23903
0.905,0.23353
0.91,0.22677
0.915,0.22038
