Brown University Keck/NASA Relab Spectrum OC-TXH-018-P35/C1OC18P35,
W,R
0.25,0.113518
0.255,0.113582
0.26,0.113759
0.265,0.113498
0.27,0.114563
0.275,0.115817
0.28,0.116773
0.285,0.117204
0.29,0.117315
0.295,0.117782
0.3,0.118754
0.305,0.120093
0.31,0.121846
0.315,0.123972
0.32,0.12605
0.325,0.128787
0.33,0.131848
0.335,0.135025
0.34,0.138316
0.345,0.141686
0.35,0.145119
0.355,0.148695
0.36,0.152372
0.365,0.155301
0.37,0.158381
0.375,0.161354
0.38,0.164219
0.385,0.166976
0.39,0.169442
0.395,0.172125
0.4,0.174669
0.405,0.177435
0.41,0.180249
0.415,0.182754
0.42,0.185076
0.425,0.187284
0.43,0.189465
0.435,0.191804
0.44,0.193984
0.445,0.195962
0.45,0.1979
0.455,0.199911
0.46,0.202013
0.465,0.204077
0.47,0.205999
0.475,0.208092
0.48,0.209998
0.485,0.211808
0.49,0.213546
0.495,0.215392
0.5,0.217089
0.505,0.21885
0.51,0.220908
0.515,0.222883
0.52,0.224623
0.525,0.226336
0.53,0.228022
0.535,0.229615
0.54,0.231237
0.545,0.23261
0.55,0.234083
0.555,0.235542
0.56,0.236947
0.565,0.238253
0.57,0.239613
0.575,0.240533
0.58,0.241628
0.585,0.243026
0.59,0.243951
0.595,0.245043
0.6,0.246032
0.605,0.247054
0.61,0.247992
0.615,0.248981
0.62,0.249892
0.625,0.250846
0.63,0.251855
0.635,0.253554
0.64,0.253612
0.645,0.254594
0.65,0.255438
0.655,0.256366
0.66,0.257316
0.665,0.259239
0.67,0.259312
0.675,0.260287
0.68,0.261103
0.685,0.261812
0.69,0.262259
0.695,0.262832
0.7,0.26357
0.705,0.264323
0.71,0.264995
0.715,0.265423
0.72,0.265943
0.725,0.266331
0.73,0.266695
0.735,0.26706
0.74,0.267359
0.745,0.26742
0.75,0.267489
0.755,0.267392
0.76,0.267163
0.765,0.266967
0.77,0.266559
0.775,0.266071
0.78,0.265483
0.785,0.264737
0.79,0.26374
0.795,0.262675
0.8,0.261444
0.805,0.26034
0.81,0.259047
0.815,0.257493
0.82,0.255832
0.825,0.254103
0.83,0.252363
0.835,0.250516
0.84,0.24901
0.845,0.247444
0.85,0.245884
0.855,0.244287
0.86,0.242902
0.865,0.241552
0.87,0.240409
0.875,0.239641
0.88,0.238676
0.885,0.238021
0.89,0.236816
0.895,0.236586
0.9,0.236356
0.905,0.235724
0.91,0.235392
0.915,0.235419
0.92,0.235136
0.925,0.235191
0.93,0.23552
0.935,0.235884
0.94,0.236319
0.945,0.236991
0.95,0.237832
0.955,0.238626
0.96,0.239477
0.965,0.240524
0.97,0.241693
0.975,0.24307
0.98,0.244365
0.985,0.245735
0.99,0.246868
0.995,0.248062
1,0.249272
1.005,0.2505
1.01,0.251744
1.015,0.252799
1.02,0.253905
1.025,0.254884
1.03,0.255875
1.035,0.256789
1.04,0.257645
1.045,0.258544
1.05,0.259557
1.055,0.260497
1.06,0.261424
1.065,0.262444
1.07,0.263514
1.075,0.264479
1.08,0.265366
1.085,0.266276
1.09,0.267412
1.095,0.268609
1.1,0.269754
1.105,0.270804
1.11,0.271926
1.115,0.27305
1.12,0.274339
1.125,0.275555
1.13,0.276841
1.135,0.277611
1.14,0.27836
1.145,0.279407
1.15,0.280222
1.155,0.281172
1.16,0.281836
1.165,0.282508
1.17,0.28337
1.175,0.283848
1.18,0.284265
1.185,0.284992
1.19,0.285377
1.195,0.285996
1.2,0.286647
1.205,0.287133
1.21,0.287439
1.215,0.287929
1.22,0.288311
1.225,0.288794
1.23,0.289451
1.235,0.289879
1.24,0.290294
1.245,0.290589
1.25,0.290975
1.255,0.291571
1.26,0.292136
1.265,0.292845
1.27,0.293389
1.275,0.293706
1.28,0.293954
1.285,0.294452
1.29,0.29519
1.295,0.295686
1.3,0.295991
1.305,0.296675
1.31,0.297315
1.315,0.29803
1.32,0.298655
1.325,0.298813
1.33,0.299313
1.335,0.299929
1.34,0.30039
1.345,0.300972
1.35,0.301434
1.355,0.301581
1.36,0.301995
1.365,0.302819
1.37,0.303393
1.375,0.30401
1.38,0.30464
1.385,0.305583
1.39,0.305965
1.395,0.306334
1.4,0.306757
1.405,0.307606
1.41,0.308251
1.415,0.308415
1.42,0.308642
1.425,0.309001
1.43,0.309719
1.435,0.310051
1.44,0.310408
1.445,0.310563
1.45,0.310924
1.455,0.311068
1.46,0.311178
1.465,0.31132
1.47,0.311644
1.475,0.311478
1.48,0.311524
1.485,0.311881
1.49,0.312219
1.495,0.312192
1.5,0.31226
1.505,0.312425
1.51,0.312555
1.515,0.312834
1.52,0.312969
1.525,0.312998
1.53,0.312845
1.535,0.312416
1.54,0.312654
1.545,0.312295
1.55,0.312062
1.555,0.311769
1.56,0.311574
1.565,0.310823
1.57,0.310864
1.575,0.310485
1.58,0.31005
1.585,0.309788
1.59,0.309887
1.595,0.309722
1.6,0.309381
1.605,0.308913
1.61,0.308617
1.615,0.308253
1.62,0.307695
1.625,0.307362
1.63,0.306948
1.635,0.306538
1.64,0.30619
1.645,0.305692
1.65,0.304766
1.655,0.304281
1.66,0.304111
1.665,0.304034
1.67,0.303714
1.675,0.30354
1.68,0.303038
1.685,0.302224
1.69,0.301623
1.695,0.301643
1.7,0.301002
1.705,0.300391
1.71,0.299859
1.715,0.299505
1.72,0.299291
1.725,0.298877
1.73,0.298256
1.735,0.297292
1.74,0.296826
1.745,0.296187
1.75,0.295557
1.755,0.295087
1.76,0.295114
1.765,0.294709
1.77,0.293814
1.775,0.293694
1.78,0.292927
1.785,0.292273
1.79,0.292276
1.795,0.291524
1.8,0.291016
1.805,0.290781
1.81,0.29046
1.815,0.290417
1.82,0.290412
1.825,0.290245
1.83,0.290274
1.835,0.290115
1.84,0.289801
1.845,0.289355
1.85,0.28889
1.855,0.288616
1.86,0.288489
1.865,0.28852
1.87,0.288912
1.875,0.288248
1.88,0.287866
1.885,0.287504
1.89,0.286923
1.895,0.286796
1.9,0.285973
1.905,0.28571
1.91,0.285765
1.915,0.285894
1.92,0.285987
1.925,0.286103
1.93,0.285965
1.935,0.285542
1.94,0.285512
1.945,0.285633
1.95,0.285886
1.955,0.286235
1.96,0.286485
1.965,0.286565
1.97,0.287047
1.975,0.287222
1.98,0.287549
1.985,0.287981
1.99,0.288263
1.995,0.288274
2,0.288629
2.005,0.288668
2.01,0.288747
2.015,0.289254
2.02,0.289678
2.025,0.290115
2.03,0.290293
2.035,0.290278
2.04,0.290575
2.045,0.290884
2.05,0.291183
2.055,0.292075
2.06,0.292489
2.065,0.292201
2.07,0.292465
2.075,0.292861
2.08,0.293372
2.085,0.29384
2.09,0.294452
2.095,0.294481
2.1,0.295013
2.105,0.29547
2.11,0.295981
2.115,0.296928
2.12,0.297154
2.125,0.297165
2.13,0.297029
2.135,0.296974
2.14,0.297299
2.145,0.297202
2.15,0.297004
2.155,0.29746
2.16,0.29744
2.165,0.297266
2.17,0.297335
2.175,0.297282
2.18,0.297443
2.185,0.297691
2.19,0.29783
2.195,0.298036
2.2,0.298398
2.205,0.299103
2.21,0.298896
2.215,0.299508
2.22,0.300346
2.225,0.300857
2.23,0.300625
2.235,0.300999
2.24,0.301354
2.245,0.301532
2.25,0.301315
2.255,0.301735
2.26,0.302176
2.265,0.302047
2.27,0.302407
2.275,0.302531
2.28,0.302856
2.285,0.303106
2.29,0.304004
2.295,0.305278
2.3,0.305869
2.305,0.306247
2.31,0.306014
2.315,0.305502
2.32,0.305615
2.325,0.305478
2.33,0.305042
2.335,0.305055
2.34,0.305376
2.345,0.306031
2.35,0.305581
2.355,0.304722
2.36,0.304697
2.365,0.30512
2.37,0.304761
2.375,0.30494
2.38,0.305809
2.385,0.306085
2.39,0.30617
2.395,0.306559
2.4,0.306407
2.405,0.306084
2.41,0.305719
2.415,0.305742
2.42,0.305239
2.425,0.305674
2.43,0.305348
2.435,0.305408
2.44,0.305187
2.445,0.305183
2.45,0.30498
2.455,0.305252
2.46,0.305255
2.465,0.305521
2.47,0.305549
2.475,0.305617
2.48,0.305641
2.485,0.305572
2.49,0.305609
2.495,0.305481
2.5,0.305227
