Brown University Keck/NASA Relab Spectrum PO-CMP-081-RJ/TJP81R,
W,R
2.055,0.86091
2.06,0.86244
2.065,0.86293
2.07,0.86218
2.075,0.86239
2.08,0.86261
2.085,0.86213
2.09,0.86256
2.095,0.86286
2.1,0.86458
2.105,0.86452
2.11,0.86417
2.115,0.86378
2.12,0.86297
2.125,0.86322
2.13,0.86234
2.135,0.8622
2.14,0.86184
2.145,0.86245
2.15,0.86275
2.155,0.86198
2.16,0.86165
2.165,0.86174
2.17,0.86126
2.175,0.8608
2.18,0.86118
2.185,0.86056
2.19,0.86068
2.195,0.86066
2.2,0.86102
2.205,0.86225
2.21,0.8616
2.215,0.86186
2.22,0.86148
2.225,0.86128
2.23,0.86177
2.235,0.86101
2.24,0.86143
2.245,0.86188
2.25,0.86243
2.255,0.86204
2.26,0.86164
2.265,0.86185
2.27,0.86199
2.275,0.86176
2.28,0.86222
2.285,0.8611
2.29,0.8588
2.295,0.85701
2.3,0.85808
2.305,0.86099
2.31,0.86119
2.315,0.86404
2.32,0.86402
2.325,0.86353
2.33,0.86407
2.335,0.86409
2.34,0.86415
2.345,0.86494
2.35,0.86444
2.355,0.86467
2.36,0.86562
2.365,0.86551
2.37,0.86396
2.375,0.86475
2.38,0.86439
2.385,0.86448
2.39,0.86443
2.395,0.86471
2.4,0.86559
2.405,0.86427
2.41,0.86391
2.415,0.86402
2.42,0.86545
2.425,0.86657
2.43,0.86657
2.435,0.86583
2.44,0.86613
2.445,0.86491
2.45,0.86475
2.455,0.86536
2.46,0.86413
2.465,0.86427
2.47,0.86314
2.475,0.86512
2.48,0.86345
2.485,0.86228
2.49,0.86285
2.495,0.86254
2.5,0.86196
2.505,0.86158
2.51,0.86151
2.515,0.86055
2.52,0.86187
2.525,0.86014
2.53,0.85762
2.535,0.86352
2.54,0.86081
2.545,0.85522
2.55,0.86434
2.555,0.87003
2.56,0.83945
2.565,0.86586
2.57,0.86721
2.575,0.86288
2.58,0.86179
2.585,0.85746
2.59,0.86439
2.595,0.86148
2.6,0.87451
