Brown University Keck/NASA Relab Spectrum PO-RGB-042/C1PO42,
W,R
0.3,0.02249
0.305,0.02468
0.31,0.02978
0.315,0.03523
0.32,0.03818
0.325,0.03918
0.33,0.04406
0.335,0.05019
0.34,0.05649
0.345,0.06369
0.35,0.07095
0.355,0.07708
0.36,0.08313
0.365,0.0905
0.37,0.09695
0.375,0.10308
0.38,0.10875
0.385,0.11448
0.39,0.1219
0.395,0.13047
0.4,0.1454
0.405,0.15028
0.41,0.15872
0.415,0.16845
0.42,0.17963
0.425,0.18931
0.43,0.19706
0.435,0.20168
0.44,0.20348
0.445,0.21111
0.45,0.2223
0.455,0.23415
0.46,0.2432
0.465,0.25247
0.47,0.26041
0.475,0.26967
0.48,0.27893
0.485,0.28658
0.49,0.29391
0.495,0.30049
0.5,0.30715
0.505,0.31236
0.51,0.31726
0.515,0.32153
0.52,0.32545
0.525,0.32838
0.53,0.33
0.535,0.33299
0.54,0.33632
0.545,0.34053
0.55,0.34445
0.555,0.34828
0.56,0.35188
0.565,0.35552
0.57,0.35919
0.575,0.36269
0.58,0.36506
0.585,0.36887
0.59,0.37247
0.595,0.37554
0.6,0.37893
0.605,0.38263
0.61,0.38514
0.615,0.38793
0.62,0.39005
0.625,0.39242
0.63,0.39575
0.635,0.39812
0.64,0.40157
0.645,0.40535
0.65,0.40882
0.655,0.41265
0.66,0.41596
0.665,0.4193
0.67,0.42347
0.675,0.4271
0.68,0.43068
0.685,0.43428
0.69,0.43825
0.695,0.44182
0.7,0.44372
0.705,0.44818
0.71,0.45128
0.715,0.45441
0.72,0.4581
0.725,0.46141
0.73,0.4639
0.735,0.46696
0.74,0.46916
0.745,0.47288
0.75,0.47506
0.755,0.47863
0.76,0.48229
0.765,0.48492
0.77,0.48576
0.775,0.48898
0.78,0.4918
0.785,0.49406
0.79,0.49629
0.795,0.49789
0.8,0.49983
0.805,0.50232
0.81,0.50503
0.815,0.50542
0.82,0.50712
0.825,0.50824
0.83,0.51022
0.835,0.50992
0.84,0.51184
0.845,0.51368
0.85,0.51478
0.855,0.51635
0.86,0.51781
0.865,0.51673
0.87,0.51715
0.875,0.51746
0.88,0.51806
0.885,0.51769
0.89,0.51805
0.895,0.51875
0.9,0.51681
0.905,0.51594
0.91,0.5149
0.915,0.5141
0.92,0.51435
0.925,0.51378
0.93,0.51063
0.935,0.51006
0.94,0.50786
0.945,0.50633
0.95,0.50229
0.955,0.5002
0.96,0.49815
0.965,0.49514
0.97,0.49347
0.975,0.49069
0.98,0.48711
0.985,0.484
0.99,0.48277
0.995,0.48008
1,0.47657
1.005,0.47475
1.01,0.47337
1.015,0.47119
1.02,0.46988
1.025,0.46794
1.03,0.46716
1.035,0.46495
1.04,0.46575
1.045,0.46536
1.05,0.46523
1.055,0.46568
1.06,0.46675
1.065,0.46818
1.07,0.4704
1.075,0.4719
1.08,0.4741
1.085,0.4764
1.09,0.47951
1.095,0.48276
1.1,0.48485
1.105,0.48818
1.11,0.49176
1.115,0.49281
1.12,0.49742
1.125,0.50101
1.13,0.50644
1.135,0.50789
1.14,0.51169
1.145,0.5142
1.15,0.51573
1.155,0.51722
1.16,0.52143
1.165,0.5225
1.17,0.52438
1.175,0.52586
1.18,0.5286
1.185,0.53082
1.19,0.53255
1.195,0.53461
1.2,0.53493
1.205,0.5372
1.21,0.53977
1.215,0.54272
1.22,0.54504
1.225,0.54579
1.23,0.54787
1.235,0.54849
1.24,0.55212
1.245,0.5553
1.25,0.55739
1.255,0.55985
1.26,0.56201
1.265,0.56452
1.27,0.56748
1.275,0.56802
1.28,0.57186
1.285,0.57382
1.29,0.57669
1.295,0.58069
1.3,0.58515
1.305,0.5876
1.31,0.59058
1.315,0.59402
1.32,0.6003
1.325,0.60197
1.33,0.60613
1.335,0.60874
1.34,0.61171
1.345,0.61329
1.35,0.61751
1.355,0.62121
1.36,0.6233
1.365,0.63179
1.37,0.63364
1.375,0.63881
1.38,0.64162
1.385,0.64936
1.39,0.65186
1.395,0.65442
1.4,0.65605
1.405,0.66213
1.41,0.66596
1.415,0.66767
1.42,0.67335
1.425,0.67614
1.43,0.68092
1.435,0.68717
1.44,0.69017
1.445,0.69424
1.45,0.69916
1.455,0.70351
1.46,0.70699
1.465,0.71111
1.47,0.71481
1.475,0.71471
1.48,0.72237
1.485,0.72787
1.49,0.73052
1.495,0.73322
1.5,0.7367
1.505,0.74095
1.51,0.74377
1.515,0.74739
1.52,0.74957
1.525,0.7535
1.53,0.75578
1.535,0.75963
1.54,0.76355
1.545,0.76602
1.55,0.76496
1.555,0.77314
1.56,0.77718
1.565,0.77707
1.57,0.77936
1.575,0.78382
1.58,0.78466
1.585,0.78759
1.59,0.78951
1.595,0.79035
1.6,0.79346
1.605,0.79285
1.61,0.7986
1.615,0.80094
1.62,0.80498
1.625,0.80562
1.63,0.80649
1.635,0.80898
1.64,0.80924
1.645,0.81125
1.65,0.8135
1.655,0.81861
1.66,0.81615
1.665,0.81526
1.67,0.81666
1.675,0.81817
1.68,0.82056
1.685,0.81793
1.69,0.81973
1.695,0.82313
1.7,0.82378
1.705,0.8259
1.71,0.82716
1.715,0.82835
1.72,0.82911
1.725,0.82859
1.73,0.82857
1.735,0.82772
1.74,0.83128
1.745,0.82929
1.75,0.83203
1.755,0.83209
1.76,0.83382
1.765,0.832
1.77,0.83445
1.775,0.83707
1.78,0.83843
1.785,0.83813
1.79,0.83802
1.795,0.83618
1.8,0.83737
1.805,0.83771
1.81,0.83795
1.815,0.83748
1.82,0.83888
1.825,0.84051
1.83,0.84072
1.835,0.83905
1.84,0.83923
1.845,0.8402
1.85,0.83982
1.855,0.84067
1.86,0.84248
1.865,0.84167
1.87,0.8367
1.875,0.8497
1.88,0.84963
1.885,0.84614
1.89,0.84439
1.895,0.84572
1.9,0.84197
1.905,0.84515
1.91,0.8476
1.915,0.84581
1.92,0.84455
1.925,0.84291
1.93,0.84217
1.935,0.84337
1.94,0.84593
1.945,0.84796
1.95,0.84803
1.955,0.84565
1.96,0.84326
1.965,0.84559
1.97,0.84515
1.975,0.84518
1.98,0.84689
1.985,0.85092
1.99,0.85085
1.995,0.84791
2,0.84759
2.005,0.84949
2.01,0.8519
2.015,0.84976
2.02,0.85202
2.025,0.85259
2.03,0.85169
2.035,0.85223
2.04,0.85582
2.045,0.85727
2.05,0.85594
2.055,0.8569
2.06,0.85447
2.065,0.85629
2.07,0.85611
2.075,0.8578
2.08,0.85899
2.085,0.85638
2.09,0.8543
2.095,0.85414
2.1,0.85394
2.105,0.85796
2.11,0.85998
2.115,0.8625
2.12,0.86254
2.125,0.85871
2.13,0.85611
2.135,0.86066
2.14,0.86151
2.145,0.86381
2.15,0.86481
2.155,0.86524
2.16,0.86321
2.165,0.86119
2.17,0.85809
2.175,0.85891
2.18,0.86059
2.185,0.86272
2.19,0.86198
2.195,0.86184
2.2,0.85932
2.205,0.86061
2.21,0.86035
2.215,0.86209
2.22,0.86591
2.225,0.86637
2.23,0.86088
2.235,0.86046
2.24,0.86067
2.245,0.85857
2.25,0.85953
2.255,0.86193
2.26,0.85983
2.265,0.85719
2.27,0.85746
2.275,0.85941
2.28,0.85851
2.285,0.85782
2.29,0.8587
2.295,0.85709
2.3,0.85991
2.305,0.85969
2.31,0.86116
2.315,0.86066
2.32,0.8601
2.325,0.86097
2.33,0.85976
2.335,0.85767
2.34,0.85754
2.345,0.85805
2.35,0.8557
2.355,0.86052
2.36,0.86474
2.365,0.86524
2.37,0.86345
2.375,0.8593
2.38,0.86025
2.385,0.86088
2.39,0.86171
2.395,0.85954
2.4,0.85926
2.405,0.86101
2.41,0.86256
2.415,0.86245
2.42,0.8608
2.425,0.86294
2.43,0.86433
2.435,0.86535
2.44,0.86351
2.445,0.86343
2.45,0.86354
2.455,0.86338
2.46,0.86255
2.465,0.86249
2.47,0.85734
2.475,0.85422
2.48,0.85424
2.485,0.856
2.49,0.85502
2.495,0.85667
2.5,0.85941
2.505,0.86372
2.51,0.85835
2.515,0.85963
2.52,0.85986
2.525,0.86445
2.53,0.85983
2.535,0.86177
2.54,0.86066
2.545,0.86054
2.55,0.86608
2.555,0.86919
2.56,0.85367
2.565,0.86525
2.57,0.86128
2.575,0.86686
2.58,0.8621
2.585,0.85708
2.59,0.86223
2.595,0.86284
2.6,0.85917
