KC-OL-hevn_0,
W,R
0.54088,0.77594
0.54133,0.77622
0.54179,0.77687
0.54224,0.77721
0.54269,0.77721
0.54314,0.77674
0.54359,0.77723
0.54404,0.77758
0.54449,0.7789
0.54494,0.77893
0.54539,0.77924
0.54584,0.77994
0.54629,0.78001
0.54675,0.77998
0.5472,0.77993
0.54765,0.7802
0.5481,0.78013
0.54855,0.78025
0.549,0.78013
0.54945,0.78002
0.5499,0.78035
0.55035,0.78058
0.5508,0.7806
0.55125,0.78053
0.5517,0.78122
0.55215,0.78118
0.5526,0.78169
0.55305,0.78107
0.5535,0.7817
0.55395,0.78118
0.5544,0.78154
0.55485,0.78176
0.5553,0.78185
0.55575,0.78224
0.5562,0.78173
0.55665,0.78216
0.5571,0.78235
0.55755,0.78275
0.558,0.78318
0.55845,0.78282
0.5589,0.7833
0.55935,0.78362
0.5598,0.78296
0.56025,0.78357
0.5607,0.7836
0.56115,0.78336
0.5616,0.78419
0.56205,0.78377
0.5625,0.78411
0.56295,0.78441
0.5634,0.78431
0.56385,0.78437
0.5643,0.78485
0.56475,0.78409
0.5652,0.78448
0.56565,0.78499
0.5661,0.78547
0.56655,0.78473
0.567,0.78553
0.56745,0.78522
0.56789,0.78546
0.56834,0.78556
0.56879,0.78558
0.56924,0.78406
0.56969,0.78395
0.57014,0.78386
0.57059,0.78373
0.57104,0.78338
0.57149,0.78308
0.57194,0.78306
0.57239,0.78302
0.57284,0.78245
0.57328,0.78231
0.57373,0.78211
0.57418,0.78165
0.57463,0.78253
0.57508,0.78197
0.57553,0.78209
0.57598,0.78186
0.57643,0.78207
0.57688,0.78288
0.57732,0.78282
0.57777,0.7829
0.57822,0.78254
0.57867,0.78258
0.57912,0.78166
0.57957,0.78145
0.58002,0.78155
0.58046,0.78105
0.58091,0.78058
0.58136,0.78049
0.58181,0.78096
0.58226,0.78149
0.58271,0.78114
0.58316,0.7805
0.5836,0.7807
0.58405,0.78079
0.5845,0.78092
0.58495,0.78127
0.5854,0.78115
0.58584,0.78086
0.58629,0.78108
0.58674,0.78083
0.58719,0.78052
0.58764,0.78029
0.58809,0.77997
0.58853,0.78023
0.58898,0.78064
0.58943,0.77937
0.58988,0.7793
0.59032,0.7787
0.59077,0.77853
0.59122,0.77826
0.59167,0.7778
0.59212,0.77784
0.59256,0.77676
0.59301,0.77695
0.59346,0.77659
0.59391,0.77688
0.59435,0.77719
0.5948,0.77691
0.59525,0.77734
0.5957,0.77674
0.59615,0.77721
0.59659,0.77709
0.59704,0.77695
0.59749,0.77664
0.59793,0.7763
0.59838,0.77563
0.59883,0.77565
0.59928,0.77492
0.59972,0.77449
0.60017,0.77413
0.60062,0.77407
0.60107,0.77399
0.60151,0.77379
0.60196,0.77423
0.60241,0.77443
0.60285,0.77452
0.6033,0.77426
0.60375,0.77435
0.6042,0.77447
0.60464,0.77389
0.60509,0.77373
0.60554,0.77334
0.60598,0.77283
0.60643,0.77275
0.60688,0.7723
0.60732,0.77215
0.60777,0.77182
0.60822,0.77157
0.60866,0.77146
0.60911,0.77122
0.60956,0.7713
0.61,0.77043
0.61045,0.76954
0.6109,0.76953
0.61134,0.76874
0.61179,0.76886
0.61224,0.76885
0.61268,0.76913
0.61313,0.76876
0.61358,0.76864
0.61402,0.76841
0.61447,0.76843
0.61492,0.7677
0.61536,0.76708
0.61581,0.7673
0.61625,0.76689
0.6167,0.76637
0.61715,0.76698
0.61759,0.76611
0.61804,0.76557
0.61848,0.7662
0.61893,0.76574
0.61938,0.76609
0.61982,0.76606
0.62027,0.76553
0.62071,0.76548
0.62116,0.76526
0.62161,0.76517
0.62205,0.76522
0.6225,0.76476
0.62294,0.76449
0.62339,0.76374
0.62384,0.76265
0.62428,0.76271
0.62473,0.76242
0.62517,0.76253
0.62562,0.7618
0.62606,0.76153
0.62651,0.76224
0.62696,0.76195
0.6274,0.76217
0.62785,0.76134
0.62829,0.76031
0.62874,0.76034
0.62918,0.76031
0.62963,0.76042
0.63007,0.76066
0.63052,0.76
0.63096,0.76007
0.63141,0.76018
0.63185,0.76014
0.6323,0.76016
0.63274,0.7602
0.63319,0.7601
0.63364,0.76012
0.63408,0.76043
0.63453,0.76046
0.63497,0.76007
0.63542,0.75947
0.63586,0.76005
0.63631,0.7603
0.63675,0.76062
0.6372,0.7601
0.63764,0.76037
0.63809,0.76
0.63853,0.76012
0.63897,0.7598
0.63942,0.75908
0.63986,0.75889
0.64031,0.75854
0.64075,0.75867
0.6412,0.75868
0.64164,0.7587
0.64209,0.75898
0.64253,0.75924
0.64298,0.75918
0.64342,0.75909
0.64387,0.75891
0.64431,0.75892
0.64475,0.75891
0.6452,0.75903
0.64564,0.75936
0.64609,0.75916
0.64653,0.75966
0.64698,0.76009
0.64742,0.76011
0.64786,0.7604
0.64831,0.7604
0.64875,0.76031
0.6492,0.76083
0.64964,0.76068
0.65009,0.76072
0.65053,0.76062
0.65097,0.7609
0.65142,0.7606
0.65186,0.76107
0.65231,0.76088
0.65275,0.7605
0.65319,0.76113
0.65364,0.76127
0.65408,0.76112
0.65452,0.76074
0.65497,0.76043
0.65541,0.76031
0.65586,0.76013
0.6563,0.76023
0.65674,0.76005
0.65719,0.75933
0.65763,0.75959
0.65807,0.75913
0.65852,0.75931
0.65896,0.75904
0.6594,0.75889
0.65985,0.75873
0.66029,0.75874
0.66073,0.7585
0.66118,0.75804
0.66162,0.75873
0.66207,0.75938
0.66251,0.75951
0.66295,0.75991
0.66339,0.76089
0.66384,0.7608
0.66428,0.76099
0.66472,0.76162
0.66517,0.7618
0.66561,0.76222
0.66605,0.76141
0.6665,0.7608
0.66694,0.76009
0.66738,0.75944
0.66783,0.76012
0.66827,0.76037
0.66871,0.75988
0.66915,0.75991
0.6696,0.76003
0.67004,0.76004
0.67048,0.75971
0.67093,0.75973
0.67137,0.75929
0.67181,0.75851
0.67225,0.75849
0.6727,0.75786
0.67314,0.75807
0.67358,0.75813
0.67402,0.75743
0.67447,0.75788
0.67491,0.75828
0.67535,0.75826
0.67579,0.75818
0.67624,0.75787
0.67668,0.75781
0.67712,0.75747
0.67756,0.75758
0.67801,0.75726
0.67845,0.75785
0.67889,0.75841
0.67933,0.75896
0.67978,0.75932
0.68022,0.75952
0.68066,0.75923
0.6811,0.75899
0.68154,0.75831
0.68199,0.7574
0.68243,0.75626
0.68287,0.75601
0.68331,0.75523
0.68375,0.75469
0.6842,0.75475
0.68464,0.75448
0.68508,0.75405
0.68552,0.75415
0.68596,0.75427
0.6864,0.75408
0.68685,0.75423
0.68729,0.75393
0.68773,0.75329
0.68817,0.75348
0.68861,0.75381
0.68905,0.75365
0.6895,0.75304
0.68994,0.75263
0.69038,0.7515
0.69082,0.75018
0.69126,0.75027
0.6917,0.74984
0.69215,0.74933
0.69259,0.74952
0.69303,0.7499
0.69347,0.75005
0.69391,0.74978
0.69435,0.74946
0.69479,0.74889
0.69523,0.74866
0.69568,0.7482
0.69612,0.74798
0.69656,0.74765
0.697,0.74697
0.69744,0.74673
0.69788,0.74594
0.69832,0.74583
0.69876,0.74564
0.6992,0.74462
0.69965,0.74417
0.70009,0.74381
0.70053,0.7437
0.70097,0.74348
0.70141,0.74269
0.70185,0.74257
0.70229,0.74212
0.70273,0.74176
0.70317,0.74212
0.70361,0.74237
0.70405,0.74184
0.70449,0.74217
0.70493,0.74177
0.70538,0.74108
0.70582,0.74064
0.70626,0.73968
0.7067,0.7387
0.70714,0.73852
0.70758,0.73871
0.70802,0.7383
0.70846,0.73802
0.7089,0.7379
0.70934,0.73786
0.70978,0.7382
0.71022,0.73813
0.71066,0.73713
0.7111,0.7366
0.71154,0.73647
0.71198,0.73603
0.71242,0.73549
0.71286,0.73528
0.7133,0.73513
0.71374,0.73533
0.71418,0.73475
0.71462,0.73406
0.71506,0.7333
0.7155,0.73226
0.71594,0.73144
0.71638,0.73124
0.71682,0.73033
0.71726,0.72936
0.7177,0.72895
0.71814,0.7285
0.71858,0.72779
0.71902,0.72679
0.71946,0.7263
0.7199,0.72564
0.72034,0.72518
0.72078,0.72474
0.72122,0.72466
0.72166,0.72441
0.7221,0.7246
0.72254,0.72502
0.72298,0.72539
0.72342,0.72604
0.72386,0.72605
0.72429,0.72607
0.72473,0.72542
0.72517,0.72466
0.72561,0.72405
0.72605,0.72334
0.72649,0.72274
0.72693,0.72204
0.72737,0.72091
0.72781,0.7205
0.72825,0.72004
