Brown University Keck/NASA Relab Spectrum OC-TXH-012-P15/C1OC12P15,
W,R
0.25,0.132869
0.255,0.131624
0.26,0.13067
0.265,0.129411
0.27,0.129893
0.275,0.130427
0.28,0.130556
0.285,0.130118
0.29,0.129329
0.295,0.129134
0.3,0.129471
0.305,0.130319
0.31,0.131607
0.315,0.133539
0.32,0.135474
0.325,0.138624
0.33,0.141933
0.335,0.145615
0.34,0.149618
0.345,0.153804
0.35,0.158415
0.355,0.163287
0.36,0.167958
0.365,0.172386
0.37,0.176803
0.375,0.180859
0.38,0.184502
0.385,0.187912
0.39,0.191726
0.395,0.194858
0.4,0.197602
0.405,0.200675
0.41,0.204111
0.415,0.206929
0.42,0.209501
0.425,0.211748
0.43,0.214189
0.435,0.216448
0.44,0.218417
0.445,0.220134
0.45,0.221785
0.455,0.223476
0.46,0.225382
0.465,0.227324
0.47,0.229219
0.475,0.23131
0.48,0.233383
0.485,0.235126
0.49,0.236677
0.495,0.238178
0.5,0.239897
0.505,0.241499
0.51,0.243423
0.515,0.245072
0.52,0.24654
0.525,0.247841
0.53,0.249263
0.535,0.250543
0.54,0.251824
0.545,0.25305
0.55,0.254189
0.555,0.255309
0.56,0.256412
0.565,0.257442
0.57,0.258385
0.575,0.259231
0.58,0.260006
0.585,0.260847
0.59,0.261539
0.595,0.26227
0.6,0.26297
0.605,0.263708
0.61,0.264259
0.615,0.264964
0.62,0.265569
0.625,0.266248
0.63,0.266949
0.635,0.267326
0.64,0.267968
0.645,0.268577
0.65,0.269178
0.655,0.269877
0.66,0.270339
0.665,0.270881
0.67,0.271383
0.675,0.272004
0.68,0.272485
0.685,0.272606
0.69,0.272752
0.695,0.273292
0.7,0.273526
0.705,0.273688
0.71,0.273858
0.715,0.274094
0.72,0.2743
0.725,0.27358
0.73,0.274365
0.735,0.274274
0.74,0.274147
0.745,0.273982
0.75,0.273712
0.755,0.273358
0.76,0.273032
0.765,0.272446
0.77,0.271875
0.775,0.271311
0.78,0.270306
0.785,0.269709
0.79,0.268737
0.795,0.267526
0.8,0.266442
0.805,0.265355
0.81,0.264608
0.815,0.262563
0.82,0.261194
0.825,0.259617
0.83,0.258368
0.835,0.256926
0.84,0.25508
0.845,0.253432
0.85,0.251926
0.855,0.2504
0.86,0.249063
0.865,0.247377
0.87,0.245766
0.875,0.244747
0.88,0.243623
0.885,0.242311
0.89,0.240884
0.895,0.240251
0.9,0.239619
0.905,0.238921
0.91,0.238324
0.915,0.237728
0.92,0.237261
0.925,0.236705
0.93,0.236327
0.935,0.236089
0.94,0.23579
0.945,0.235351
0.95,0.235007
0.955,0.234763
0.96,0.234693
0.965,0.234659
0.97,0.234732
0.975,0.234929
0.98,0.235045
0.985,0.235192
0.99,0.235227
0.995,0.234986
1,0.23512
1.005,0.235221
1.01,0.235451
1.015,0.235414
1.02,0.235839
1.025,0.235995
1.03,0.236137
1.035,0.236253
1.04,0.23644
1.045,0.236573
1.05,0.236928
1.055,0.237639
1.06,0.238209
1.065,0.238749
1.07,0.239194
1.075,0.239907
1.08,0.24063
1.085,0.241144
1.09,0.241767
1.095,0.242634
1.1,0.243627
1.105,0.244576
1.11,0.245428
1.115,0.246343
1.12,0.247288
1.125,0.24813
1.13,0.248787
1.135,0.249668
1.14,0.250227
1.145,0.250784
1.15,0.251399
1.155,0.252142
1.16,0.252769
1.165,0.253506
1.17,0.254085
1.175,0.254286
1.18,0.254386
1.185,0.254819
1.19,0.255063
1.195,0.25533
1.2,0.255708
1.205,0.256252
1.21,0.256586
1.215,0.25641
1.22,0.256478
1.225,0.256946
1.23,0.257176
1.235,0.257768
1.24,0.257979
1.245,0.25827
1.25,0.258264
1.255,0.258623
1.26,0.258956
1.265,0.259468
1.27,0.259771
1.275,0.260036
1.28,0.260082
1.285,0.260308
1.29,0.260522
1.295,0.260804
1.3,0.261277
1.305,0.261649
1.31,0.262307
1.315,0.262866
1.32,0.263122
1.325,0.263574
1.33,0.264332
1.335,0.26516
1.34,0.265456
1.345,0.266033
1.35,0.266965
1.355,0.26811
1.36,0.268973
1.365,0.268989
1.37,0.268993
1.375,0.269292
1.38,0.270739
1.385,0.270751
1.39,0.270714
1.395,0.271337
1.4,0.271793
1.405,0.272201
1.41,0.272763
1.415,0.273158
1.42,0.273715
1.425,0.2739
1.43,0.274331
1.435,0.274796
1.44,0.275309
1.445,0.275612
1.45,0.275706
1.455,0.275522
1.46,0.275791
1.465,0.276155
1.47,0.276594
1.475,0.27677
1.48,0.276935
1.485,0.277157
1.49,0.27738
1.495,0.277625
1.5,0.277965
1.505,0.278041
1.51,0.278184
1.515,0.278272
1.52,0.278188
1.525,0.278243
1.53,0.278201
1.535,0.278105
1.54,0.278191
1.545,0.278369
1.55,0.278292
1.555,0.278234
1.56,0.278188
1.565,0.278315
1.57,0.278096
1.575,0.277907
1.58,0.277787
1.585,0.277582
1.59,0.277589
1.595,0.277157
1.6,0.277048
1.605,0.276565
1.61,0.276229
1.615,0.275743
1.62,0.27515
1.625,0.274941
1.63,0.27469
1.635,0.274224
1.64,0.273814
1.645,0.273421
1.65,0.273102
1.655,0.272765
1.66,0.27227
1.665,0.271968
1.67,0.271678
1.675,0.271546
1.68,0.271513
1.685,0.271091
1.69,0.270698
1.695,0.270224
1.7,0.27006
1.705,0.269978
1.71,0.269571
1.715,0.269082
1.72,0.26873
1.725,0.268018
1.73,0.267389
1.735,0.266736
1.74,0.266114
1.745,0.265369
1.75,0.264496
1.755,0.26393
1.76,0.263584
1.765,0.263181
1.77,0.262416
1.775,0.261951
1.78,0.261616
1.785,0.261216
1.79,0.260335
1.795,0.259772
1.8,0.259766
1.805,0.25992
1.81,0.259647
1.815,0.259497
1.82,0.259423
1.825,0.259007
1.83,0.258974
1.835,0.259214
1.84,0.258606
1.845,0.257928
1.85,0.257385
1.855,0.257129
1.86,0.256837
1.865,0.256738
1.87,0.25762
1.875,0.255932
1.88,0.254407
1.885,0.253983
1.89,0.253909
1.895,0.253626
1.9,0.254051
1.905,0.25345
1.91,0.253312
1.915,0.253236
1.92,0.253262
1.925,0.252837
1.93,0.252665
1.935,0.25194
1.94,0.251477
1.945,0.251012
1.95,0.250505
1.955,0.250269
1.96,0.250104
1.965,0.250171
1.97,0.250105
1.975,0.250044
1.98,0.25001
1.985,0.249688
1.99,0.249764
1.995,0.24974
2,0.249799
2.005,0.249873
2.01,0.249489
2.015,0.249535
2.02,0.249578
2.025,0.249314
2.03,0.249519
2.035,0.249416
2.04,0.249386
2.045,0.248839
2.05,0.248467
2.055,0.248616
2.06,0.248772
2.065,0.248892
2.07,0.248504
2.075,0.248502
2.08,0.24865
2.085,0.248341
2.09,0.248624
2.095,0.248884
2.1,0.249286
2.105,0.249097
2.11,0.249213
2.115,0.249114
2.12,0.24947
2.125,0.249125
2.13,0.249643
2.135,0.249464
2.14,0.248786
2.145,0.248266
2.15,0.24836
2.155,0.248108
2.16,0.247724
2.165,0.247962
2.17,0.24829
2.175,0.248638
2.18,0.248579
2.185,0.248808
2.19,0.248839
2.195,0.249445
2.2,0.249452
2.205,0.249306
2.21,0.249285
2.215,0.249175
2.22,0.248652
2.225,0.249009
2.23,0.248379
2.235,0.247806
2.24,0.247865
2.245,0.248089
2.25,0.247437
2.255,0.247901
2.26,0.247802
2.265,0.247683
2.27,0.247741
2.275,0.24812
2.28,0.248257
2.285,0.24842
2.29,0.248912
2.295,0.250205
2.3,0.250246
2.305,0.250692
2.31,0.25039
2.315,0.249742
2.32,0.249226
2.325,0.249104
2.33,0.248799
2.335,0.249082
2.34,0.249477
2.345,0.249174
2.35,0.249189
2.355,0.248714
2.36,0.248351
2.365,0.247669
2.37,0.247302
2.375,0.247278
2.38,0.247107
2.385,0.24739
2.39,0.247019
2.395,0.246529
2.4,0.246878
2.405,0.246765
2.41,0.2468
2.415,0.246823
2.42,0.245798
2.425,0.245766
2.43,0.245567
2.435,0.246264
2.44,0.245443
2.445,0.245666
2.45,0.245943
2.455,0.24599
2.46,0.246146
2.465,0.245401
2.47,0.244827
2.475,0.244539
2.48,0.245054
2.485,0.245703
2.49,0.244783
2.495,0.244308
2.5,0.243992
