OC-LP-B1_2,
W,R
0.25,0.099733027
0.255,0.103391951
0.26,0.107076398
0.265,0.110392971
0.27,0.114263043
0.275,0.117701831
0.28,0.120752971
0.285,0.124409627
0.29,0.128230918
0.295,0.13249004
0.3,0.137196831
0.305,0.142185811
0.31,0.147765723
0.315,0.153873261
0.32,0.160266471
0.325,0.167031661
0.33,0.173729121
0.335,0.179992565
0.34,0.186668195
0.345,0.193521502
0.35,0.199491312
0.355,0.205603357
0.36,0.211284484
0.365,0.216766567
0.37,0.22214005
0.375,0.22698261
0.38,0.231375425
0.385,0.236229498
0.39,0.240404568
0.395,0.243430364
0.4,0.24999768
0.405,0.253313262
0.41,0.256434863
0.415,0.25933203
0.42,0.262687612
0.425,0.265926572
0.43,0.269247883
0.435,0.271979181
0.44,0.274954829
0.445,0.278360824
0.45,0.281177271
0.455,0.283843135
0.46,0.285928234
0.465,0.288537615
0.47,0.290983048
0.475,0.293094678
0.48,0.2952133
0.485,0.29727086
0.49,0.299529642
0.495,0.301783454
0.5,0.304180153
0.505,0.306689874
0.51,0.30922299
0.515,0.311681016
0.52,0.314094392
0.525,0.316478112
0.53,0.318788729
0.535,0.321041145
0.54,0.323078211
0.545,0.324993446
0.55,0.326802054
0.555,0.328544167
0.56,0.330101161
0.565,0.331390038
0.57,0.332550378
0.575,0.333572687
0.58,0.334468728
0.585,0.335314683
0.59,0.335951066
0.595,0.336401674
0.6,0.336859837
0.605,0.337366391
0.61,0.337974345
0.615,0.338587067
0.62,0.339354126
0.625,0.340147507
0.63,0.340880324
0.635,0.341610547
0.64,0.342245049
0.645,0.342832461
0.65,0.343314918
0.655,0.343806001
0.66,0.344259892
0.665,0.344780769
0.67,0.345302287
0.675,0.345778043
0.68,0.346050544
0.685,0.346346159
0.69,0.34658713
0.695,0.346877357
0.7,0.347050168
0.705,0.347235664
0.71,0.347286517
0.715,0.34733074
0.72,0.347305966
0.725,0.347284152
0.73,0.347079219
0.735,0.346813113
0.74,0.346141453
0.745,0.345531379
0.75,0.344696036
0.755,0.34393924
0.76,0.342992077
0.765,0.341827412
0.77,0.34059541
0.775,0.339066514
0.78,0.337502722
0.785,0.335863276
0.79,0.334173107
0.795,0.332290141
0.8,0.330035528
0.805,0.327877818
0.81,0.325529041
0.815,0.323357574
0.82,0.320940186
0.825,0.31860365
0.83,0.316228557
0.835,0.313827852
0.84,0.311547044
0.845,0.310229045
0.85,0.30687437
0.855,0.303591885
0.86,0.299587937
0.865,0.297878139
0.87,0.296570541
0.875,0.295050591
0.88,0.293622203
0.885,0.292111161
0.89,0.29104143
0.895,0.290281838
0.9,0.289647424
0.905,0.289224325
0.91,0.289018339
0.915,0.289058742
0.92,0.289195321
0.925,0.289396139
0.93,0.289706741
0.935,0.289785535
0.94,0.290083763
0.945,0.29026995
0.95,0.290742353
0.955,0.290982654
0.96,0.291280988
0.965,0.291679566
0.97,0.292150133
0.975,0.292721694
0.98,0.293273703
0.985,0.293814176
0.99,0.294162204
0.995,0.294577015
1,0.294756098
1.005,0.295038301
1.01,0.295145677
1.015,0.295028867
1.02,0.295279145
1.025,0.295309553
1.03,0.295826522
1.035,0.295899235
1.04,0.296263825
1.045,0.296258744
