KC-OPX-hm_3,
W,R
0.50012,0.21702
0.50031,0.2158
0.5005,0.20879
0.5007,0.20557
0.50089,0.21076
0.50108,0.21784
0.50128,0.22068
0.50147,0.21734
0.50166,0.21771
0.50186,0.21149
0.50205,0.19957
0.50225,0.20375
0.50244,0.20758
0.50264,0.20607
0.50283,0.20455
0.50303,0.2005
0.50322,0.19818
0.50342,0.20506
0.50361,0.2228
0.50381,0.22671
0.50401,0.21819
0.5042,0.2123
0.5044,0.21252
0.50459,0.21498
0.50479,0.21618
0.50499,0.21807
0.50518,0.21378
0.50538,0.21509
0.50558,0.22394
0.50577,0.22835
0.50597,0.23057
0.50617,0.22228
0.50637,0.21125
0.50657,0.21022
0.50676,0.21865
0.50696,0.22369
0.50716,0.21652
0.50736,0.21515
0.50756,0.21944
0.50776,0.2212
0.50795,0.22196
0.50815,0.21621
0.50835,0.20953
0.50855,0.20943
0.50875,0.21273
0.50895,0.21614
0.50915,0.21917
0.50935,0.22017
0.50955,0.21594
0.50975,0.21233
0.50995,0.21418
0.51015,0.21317
0.51035,0.21133
0.51056,0.21601
0.51076,0.21828
0.51096,0.21673
0.51116,0.21714
0.51136,0.21858
0.51156,0.21903
0.51177,0.21295
0.51197,0.20409
0.51217,0.20444
0.51237,0.20867
0.51257,0.2079
0.51278,0.20827
0.51298,0.21477
0.51318,0.2239
0.51339,0.22572
0.51359,0.22153
0.51379,0.21901
0.514,0.21498
0.5142,0.21678
0.51441,0.22268
0.51461,0.21971
0.51481,0.21332
0.51502,0.21074
0.51522,0.21198
0.51543,0.21377
0.51563,0.21786
0.51584,0.2186
0.51604,0.21508
0.51625,0.21804
0.51645,0.21784
0.51666,0.21534
0.51687,0.22072
0.51707,0.22375
0.51728,0.22032
0.51749,0.21629
0.51769,0.21575
0.5179,0.21848
0.51811,0.22471
0.51831,0.23048
0.51852,0.22664
0.51873,0.22001
0.51894,0.2209
0.51914,0.2265
0.51935,0.2234
0.51956,0.21304
0.51977,0.21315
0.51998,0.2222
0.52018,0.22749
0.52039,0.22336
0.5206,0.21419
0.52081,0.21121
0.52102,0.21441
0.52123,0.21905
0.52144,0.22116
0.52165,0.2223
0.52186,0.22277
0.52207,0.2215
0.52228,0.22416
0.52249,0.22511
0.5227,0.22399
0.52291,0.22286
0.52312,0.21629
0.52333,0.21673
0.52355,0.22557
0.52376,0.2281
0.52397,0.22925
0.52418,0.232
0.52439,0.23001
0.52461,0.22692
0.52482,0.22499
0.52503,0.22528
0.52524,0.22512
0.52546,0.21984
0.52567,0.21597
0.52588,0.21774
0.5261,0.22522
0.52631,0.23127
0.52652,0.22987
0.52674,0.22889
0.52695,0.22538
0.52717,0.21993
0.52738,0.22099
0.5276,0.22335
0.52781,0.2274
0.52802,0.23282
0.52824,0.2333
0.52846,0.23283
0.52867,0.2319
0.52889,0.22956
0.5291,0.22869
0.52932,0.22632
0.52953,0.22283
0.52975,0.22311
0.52997,0.2293
0.53018,0.23484
0.5304,0.23307
0.53062,0.2321
0.53084,0.2332
0.53105,0.23141
0.53127,0.23033
0.53149,0.22916
0.53171,0.22612
0.53192,0.22366
0.53214,0.22455
0.53236,0.22578
0.53258,0.22594
0.5328,0.22847
0.53302,0.22889
0.53324,0.22544
0.53346,0.22451
0.53368,0.22696
0.5339,0.22612
0.53412,0.22122
0.53434,0.22152
0.53456,0.22642
0.53478,0.22777
0.535,0.22483
0.53522,0.22363
0.53544,0.22699
0.53566,0.23031
0.53588,0.23254
0.5361,0.23263
0.53633,0.22769
0.53655,0.22674
0.53677,0.23057
0.53699,0.23033
0.53722,0.22873
0.53744,0.22937
0.53766,0.2305
0.53788,0.2302
0.53811,0.23026
0.53833,0.23095
0.53855,0.22886
0.53878,0.22719
0.539,0.2285
0.53923,0.22996
0.53945,0.22943
0.53968,0.22958
0.5399,0.23156
0.54013,0.23157
0.54035,0.23181
0.54058,0.23374
0.5408,0.23354
0.54103,0.23233
0.54125,0.23399
0.54148,0.23502
0.54171,0.2306
0.54193,0.22703
0.54216,0.22715
0.54239,0.22999
0.54261,0.23406
0.54284,0.23265
0.54307,0.22993
0.54329,0.23208
0.54352,0.23649
0.54375,0.23772
0.54398,0.23242
0.54421,0.2271
0.54444,0.22502
0.54466,0.22536
0.54489,0.22767
0.54512,0.22747
0.54535,0.22961
0.54558,0.2353
0.54581,0.23777
0.54604,0.23734
0.54627,0.2347
0.5465,0.23294
0.54673,0.22931
0.54696,0.22413
0.54719,0.22873
0.54742,0.23573
0.54766,0.23423
0.54789,0.23039
0.54812,0.23031
0.54835,0.23235
