KC-OL-Im_10,
W,R
0.57005,0.37248
0.5703,0.37194
0.57056,0.36951
0.57081,0.36873
0.57106,0.37254
0.57131,0.37627
0.57156,0.37564
0.57181,0.37342
0.57207,0.37311
0.57232,0.37293
0.57257,0.37277
0.57282,0.37249
0.57308,0.37455
0.57333,0.37577
0.57358,0.37549
0.57384,0.37659
0.57409,0.37499
0.57435,0.37654
0.5746,0.3799
0.57486,0.38086
0.57511,0.3812
0.57537,0.37897
0.57562,0.3778
0.57588,0.37869
0.57613,0.37942
0.57639,0.37766
0.57665,0.37918
0.5769,0.38258
0.57716,0.3799
0.57742,0.37677
0.57767,0.37475
0.57793,0.37513
0.57819,0.37663
0.57845,0.37654
0.57871,0.37545
0.57896,0.37658
0.57922,0.38183
0.57948,0.38214
0.57974,0.38018
0.58,0.38146
0.58026,0.38316
0.58052,0.38077
0.58078,0.37607
0.58104,0.37779
0.5813,0.38163
0.58156,0.38284
0.58182,0.38024
0.58208,0.37977
0.58235,0.38378
0.58261,0.38258
0.58287,0.37997
0.58313,0.379
0.58339,0.37958
0.58366,0.38194
0.58392,0.38271
0.58418,0.38355
0.58445,0.38481
0.58471,0.38698
0.58497,0.38805
0.58524,0.38595
0.5855,0.38436
0.58577,0.38445
0.58603,0.38441
0.5863,0.38467
0.58656,0.38513
0.58683,0.3851
0.58709,0.38571
0.58736,0.38397
0.58763,0.38165
0.58789,0.38265
0.58816,0.3828
0.58843,0.38309
0.58869,0.38642
0.58896,0.38902
0.58923,0.38758
0.5895,0.38514
0.58976,0.38505
0.59003,0.38565
0.5903,0.38581
0.59057,0.38583
0.59084,0.38623
0.59111,0.38654
0.59138,0.38641
0.59165,0.38711
0.59192,0.38779
0.59219,0.38886
0.59246,0.39025
0.59273,0.3897
0.593,0.38873
0.59327,0.38814
0.59354,0.38782
0.59382,0.38848
0.59409,0.38915
0.59436,0.38971
0.59463,0.39005
0.59491,0.389
0.59518,0.38755
0.59545,0.38799
0.59573,0.38852
0.596,0.3875
0.59627,0.38746
0.59655,0.3892
0.59682,0.39118
0.5971,0.39092
0.59737,0.3895
0.59765,0.39041
0.59792,0.39153
0.5982,0.39094
0.59848,0.39057
0.59875,0.39131
0.59903,0.39254
0.59931,0.39376
0.59958,0.39339
0.59986,0.39122
0.60014,0.39083
0.60042,0.39233
0.6007,0.39388
0.60097,0.39456
0.60125,0.39369
0.60153,0.39199
0.60181,0.38969
0.60209,0.38941
0.60237,0.39046
0.60265,0.39159
0.60293,0.39358
0.60321,0.39351
0.60349,0.39255
0.60377,0.39238
0.60405,0.39256
0.60434,0.39167
0.60462,0.39094
0.6049,0.39274
0.60518,0.39462
0.60547,0.39624
0.60575,0.39584
0.60603,0.39554
0.60631,0.39469
0.6066,0.39259
0.60688,0.39486
0.60717,0.39619
0.60745,0.39597
0.60774,0.39576
0.60802,0.39621
0.60831,0.39682
0.60859,0.39505
0.60888,0.39577
0.60916,0.39704
0.60945,0.39864
0.60974,0.3994
0.61002,0.39857
0.61031,0.39664
0.6106,0.39537
0.61089,0.39874
0.61117,0.39781
0.61146,0.39623
0.61175,0.39746
0.61204,0.39918
0.61233,0.40044
0.61262,0.39867
0.61291,0.39873
0.6132,0.39777
0.61349,0.39866
0.61378,0.39937
0.61407,0.39747
0.61436,0.39645
0.61465,0.39654
0.61494,0.39896
0.61524,0.39779
0.61553,0.39834
0.61582,0.39976
0.61611,0.40101
0.61641,0.40145
0.6167,0.399
0.61699,0.39976
0.61729,0.39885
0.61758,0.39935
0.61787,0.3978
0.61817,0.39698
0.61846,0.39862
0.61876,0.3981
0.61905,0.40092
0.61935,0.40137
0.61965,0.40359
0.61994,0.40329
0.62024,0.40149
0.62054,0.40181
0.62083,0.40103
0.62113,0.40301
0.62143,0.40134
0.62173,0.40207
0.62203,0.40271
0.62232,0.40391
0.62262,0.40406
0.62292,0.40146
0.62322,0.4033
0.62352,0.40184
0.62382,0.40296
0.62412,0.40265
0.62442,0.40278
0.62472,0.4033
0.62502,0.40124
0.62533,0.40303
0.62563,0.40239
0.62593,0.40473
0.62623,0.40472
0.62654,0.40359
0.62684,0.40285
0.62714,0.40289
0.62744,0.40513
0.62775,0.40237
0.62805,0.40315
0.62836,0.40254
0.62866,0.40362
0.62897,0.4055
0.62927,0.40595
0.62958,0.40682
0.62988,0.4051
0.63019,0.40574
0.6305,0.40502
0.6308,0.40675
0.63111,0.40537
0.63142,0.40672
0.63173,0.4057
0.63203,0.40636
0.63234,0.39645
0.63358,0.44016
0.63389,0.40442
0.6342,0.40586
0.63451,0.40684
0.63482,0.40859
0.63513,0.4078
0.63544,0.41055
0.63575,0.40603
0.63607,0.40855
0.63638,0.40644
0.63669,0.40876
0.637,0.40908
0.63732,0.40784
0.63763,0.40948
0.63794,0.40667
0.63826,0.40904
0.63857,0.4075
0.63889,0.40927
0.6392,0.40826
0.63952,0.40841
0.63983,0.41183
0.64015,0.41045
0.64046,0.41137
0.64078,0.4086
0.6411,0.41014
0.64142,0.41062
0.64173,0.41221
0.64205,0.41419
0.64237,0.41228
0.64269,0.4133
0.64301,0.41112
0.64333,0.41203
0.64364,0.41102
0.64396,0.41085
0.64428,0.41171
0.64461,0.41149
0.64493,0.41351
0.64525,0.4114
0.64557,0.41168
0.64589,0.41044
0.64621,0.41237
0.64653,0.41462
0.64686,0.41369
0.64718,0.41518
0.6475,0.41419
0.64783,0.41527
0.64815,0.41418
0.64847,0.4147
0.6488,0.4151
0.64912,0.41456
0.64945,0.41666
0.64978,0.4153
0.6501,0.41609
0.65043,0.41562
0.65075,0.41649
0.65108,0.41792
0.65141,0.41728
0.65173,0.41788
0.65206,0.41759
0.65239,0.41883
0.65272,0.41803
0.65305,0.41843
0.65338,0.41823
0.65371,0.41693
0.65404,0.41827
0.65437,0.41825
0.6547,0.41802
0.65503,0.4172
0.65536,0.41922
0.65569,0.42089
0.65602,0.42116
0.65635,0.42137
0.65669,0.42013
0.65702,0.42106
0.65735,0.42013
0.65769,0.41915
0.65802,0.41961
0.65836,0.42027
0.65869,0.42088
0.65902,0.42073
0.65936,0.42156
0.6597,0.42146
