KC-OL-Im_6,
W,R
0.50012,0.51255
0.50031,0.49775
0.5005,0.47927
0.5007,0.47584
0.50089,0.48365
0.50108,0.48895
0.50128,0.48464
0.50147,0.48291
0.50166,0.49393
0.50186,0.50339
0.50205,0.51139
0.50225,0.50641
0.50244,0.49514
0.50264,0.49132
0.50283,0.48711
0.50303,0.49545
0.50322,0.5042
0.50342,0.50587
0.50361,0.50489
0.50381,0.49458
0.50401,0.48348
0.5042,0.48056
0.5044,0.49055
0.50459,0.49553
0.50479,0.49398
0.50499,0.49593
0.50518,0.50102
0.50538,0.51776
0.50558,0.51653
0.50577,0.49623
0.50597,0.49228
0.50617,0.49334
0.50637,0.49074
0.50657,0.49141
0.50676,0.49396
0.50696,0.5008
0.50716,0.51018
0.50736,0.51017
0.50756,0.49778
0.50776,0.48507
0.50795,0.48123
0.50815,0.48238
0.50835,0.4887
0.50855,0.50125
0.50875,0.50643
0.50895,0.50129
0.50915,0.49623
0.50935,0.4969
0.50955,0.49712
0.50975,0.50147
0.50995,0.51403
0.51015,0.51674
0.51035,0.51633
0.51056,0.5163
0.51076,0.5046
0.51096,0.49894
0.51116,0.50194
0.51136,0.49707
0.51156,0.49487
0.51177,0.51288
0.51197,0.52756
0.51217,0.52036
0.51237,0.50972
0.51257,0.50295
0.51278,0.49977
0.51298,0.49639
0.51318,0.49882
0.51339,0.50733
0.51359,0.5105
0.51379,0.51655
0.514,0.52089
0.5142,0.51932
0.51441,0.51696
0.51461,0.50973
0.51481,0.51036
0.51502,0.51815
0.51522,0.51397
0.51543,0.50601
0.51563,0.51113
0.51584,0.51785
0.51604,0.51564
0.51625,0.51706
0.51645,0.52111
0.51666,0.51985
0.51687,0.5175
0.51707,0.51874
0.51728,0.52304
0.51749,0.52102
0.51769,0.5104
0.5179,0.50722
0.51811,0.5193
0.51831,0.52456
0.51852,0.51561
0.51873,0.50858
0.51894,0.50369
0.51914,0.50803
0.51935,0.52361
0.51956,0.52768
0.51977,0.52228
0.51998,0.52358
0.52018,0.52885
0.52039,0.53444
0.5206,0.53571
0.52081,0.53329
0.52102,0.53099
0.52123,0.52342
0.52144,0.51461
0.52165,0.51311
0.52186,0.51735
0.52207,0.51695
0.52228,0.51327
0.52249,0.52208
0.5227,0.53417
0.52291,0.53936
0.52312,0.5367
0.52333,0.52707
0.52355,0.52852
0.52376,0.52922
0.52397,0.5179
0.52418,0.51515
0.52439,0.52422
0.52461,0.52979
0.52482,0.52345
0.52503,0.52105
0.52524,0.52827
0.52546,0.53169
0.52567,0.53073
0.52588,0.52903
0.5261,0.53038
