KC-OL-hm_5,
W,R
0.50012,0.27665
0.50031,0.28469
0.5005,0.28958
0.5007,0.28603
0.50089,0.2847
0.50108,0.28854
0.50128,0.29508
0.50147,0.29227
0.50166,0.28492
0.50186,0.28165
0.50205,0.2935
0.50225,0.31116
0.50244,0.30833
0.50264,0.30259
0.50283,0.30749
0.50303,0.30972
0.50322,0.30603
0.50342,0.30255
0.50361,0.304
0.50381,0.30223
0.50401,0.29885
0.5042,0.30485
0.5044,0.31275
0.50459,0.3092
0.50479,0.30509
0.50499,0.30333
0.50518,0.29577
0.50538,0.2995
0.50558,0.30229
0.50577,0.29058
0.50597,0.296
0.50617,0.31444
0.50637,0.31373
0.50657,0.29792
0.50676,0.29079
0.50696,0.29217
0.50716,0.2999
0.50736,0.31487
0.50756,0.31626
0.50776,0.30505
0.50795,0.29961
0.50815,0.30244
0.50835,0.3069
0.50855,0.30356
0.50875,0.29562
0.50895,0.2996
0.50915,0.3106
0.50935,0.30944
0.50955,0.30293
0.50975,0.30258
0.50995,0.30961
0.51015,0.31949
0.51035,0.32115
0.51056,0.31267
0.51076,0.29778
0.51096,0.29095
0.51116,0.29843
0.51136,0.30563
0.51156,0.29828
0.51177,0.29279
0.51197,0.30427
0.51217,0.31024
0.51237,0.30702
0.51257,0.30339
0.51278,0.30064
0.51298,0.30517
0.51318,0.30275
0.51339,0.29235
0.51359,0.29225
0.51379,0.30647
0.514,0.31682
0.5142,0.3089
0.51441,0.30488
0.51461,0.31046
0.51481,0.30834
0.51502,0.29798
0.51522,0.28992
0.51543,0.29344
0.51563,0.30328
0.51584,0.30733
0.51604,0.30689
0.51625,0.31207
0.51645,0.31788
0.51666,0.32148
0.51687,0.3211
0.51707,0.31255
0.51728,0.31135
0.51749,0.31616
0.51769,0.31501
0.5179,0.31479
0.51811,0.31871
0.51831,0.31814
0.51852,0.31218
0.51873,0.31245
0.51894,0.31411
0.51914,0.31574
0.51935,0.32416
0.51956,0.32705
0.51977,0.32291
0.51998,0.3204
0.52018,0.31958
0.52039,0.31999
0.5206,0.3276
0.52081,0.33418
0.52102,0.32651
0.52123,0.31869
0.52144,0.31712
0.52165,0.31462
0.52186,0.31317
0.52207,0.31848
0.52228,0.32551
0.52249,0.3239
0.5227,0.32039
0.52291,0.3228
0.52312,0.32737
0.52333,0.32324
0.52355,0.31849
0.52376,0.32075
0.52397,0.31758
0.52418,0.31447
0.52439,0.31462
0.52461,0.31495
0.52482,0.31494
0.52503,0.31627
0.52524,0.32443
0.52546,0.32537
0.52567,0.3174
0.52588,0.31326
0.5261,0.3162
0.52631,0.32286
0.52652,0.32606
0.52674,0.32536
0.52695,0.31983
0.52717,0.31896
0.52738,0.32543
0.5276,0.32565
0.52781,0.32017
0.52802,0.317
0.52824,0.31664
0.52846,0.31477
0.52867,0.31443
0.52889,0.31797
0.5291,0.31984
0.52932,0.31899
0.52953,0.31884
0.52975,0.32034
0.52997,0.31977
0.53018,0.31763
0.5304,0.31951
0.53062,0.32233
0.53084,0.32083
0.53105,0.32101
0.53127,0.32166
0.53149,0.32028
0.53171,0.32534
0.53192,0.33303
0.53214,0.33771
0.53236,0.33533
0.53258,0.32784
0.5328,0.324
0.53302,0.32239
0.53324,0.32224
0.53346,0.32116
0.53368,0.32091
0.5339,0.32317
0.53412,0.32332
0.53434,0.32169
0.53456,0.31813
0.53478,0.31757
0.535,0.32455
0.53522,0.33361
0.53544,0.33182
0.53566,0.32427
0.53588,0.32669
0.5361,0.33134
0.53633,0.32925
0.53655,0.32439
0.53677,0.32415
0.53699,0.32656
0.53722,0.32597
0.53744,0.32862
0.53766,0.33166
0.53788,0.33014
0.53811,0.32963
0.53833,0.33354
0.53855,0.33791
0.53878,0.33723
0.539,0.33513
0.53923,0.33667
0.53945,0.33796
0.53968,0.33592
0.5399,0.33481
0.54013,0.33459
0.54035,0.33247
0.54058,0.33216
0.5408,0.33534
0.54103,0.33797
0.54125,0.33745
0.54148,0.33403
0.54171,0.33252
0.54193,0.33414
0.54216,0.33404
0.54239,0.33581
0.54261,0.33817
0.54284,0.33712
0.54307,0.3387
0.54329,0.34281
0.54352,0.34475
0.54375,0.34328
0.54398,0.34132
0.54421,0.33954
0.54444,0.33763
0.54466,0.33779
0.54489,0.33917
0.54512,0.3396
0.54535,0.33625
0.54558,0.33538
0.54581,0.33884
0.54604,0.33935
0.54627,0.33963
0.5465,0.34057
0.54673,0.33833
0.54696,0.33475
0.54719,0.33619
0.54742,0.34225
0.54766,0.34622
0.54789,0.34733
0.54812,0.34504
0.54835,0.34134
0.54858,0.33955
0.54881,0.33993
0.54905,0.34335
0.54928,0.34758
0.54951,0.34699
0.54975,0.34331
0.54998,0.34438
0.55021,0.34592
0.55045,0.3416
0.55068,0.33877
0.55091,0.34257
