Brown University Keck/NASA Relab Spectrum PO-LAM-088-IA/CIPO88,
W,R
0.3,0.08954
0.305,0.0868
0.31,0.08728
0.315,0.08867
0.32,0.09157
0.325,0.09494
0.33,0.10082
0.335,0.10799
0.34,0.12209
0.345,0.14214
0.35,0.16872
0.355,0.19993
0.36,0.23124
0.365,0.25811
0.37,0.27759
0.375,0.29115
0.38,0.29985
0.385,0.31048
0.39,0.32663
0.395,0.34207
0.4,0.35813
0.405,0.38047
0.41,0.41192
0.415,0.42551
0.42,0.42868
0.425,0.43046
0.43,0.43293
0.435,0.43924
0.44,0.44999
0.445,0.45454
0.45,0.45946
0.455,0.46945
0.46,0.48608
0.465,0.50156
0.47,0.50892
0.475,0.52581
0.48,0.54374
0.485,0.54244
0.49,0.54306
0.495,0.54915
0.5,0.57636
0.505,0.59813
0.51,0.60926
0.515,0.61609
0.52,0.62438
0.525,0.62918
0.53,0.63601
0.535,0.64674
0.54,0.65728
0.545,0.66674
0.55,0.67614
0.555,0.6814
0.56,0.68708
0.565,0.68912
0.57,0.69103
0.575,0.69023
0.58,0.68851
0.585,0.68735
0.59,0.6854
0.595,0.68494
0.6,0.68356
0.605,0.68041
0.61,0.67805
0.615,0.67485
0.62,0.67099
0.625,0.66597
0.63,0.66645
0.635,0.66449
0.64,0.66614
0.645,0.67008
0.65,0.67331
0.655,0.67865
0.66,0.68137
0.665,0.68185
0.67,0.6813
0.675,0.68111
0.68,0.67976
0.685,0.67318
0.69,0.66805
0.695,0.66104
0.7,0.65443
0.705,0.64777
0.71,0.64105
0.715,0.63113
0.72,0.62141
0.725,0.61138
0.73,0.59937
0.735,0.58859
0.74,0.57722
0.745,0.56265
0.75,0.55023
0.755,0.53547
0.76,0.51938
0.765,0.5028
0.77,0.48854
0.775,0.4731
0.78,0.45857
0.785,0.44635
0.79,0.43488
0.795,0.42217
0.8,0.41161
0.805,0.40097
0.81,0.38974
0.815,0.37892
0.82,0.3701
0.825,0.36096
0.83,0.3528
0.835,0.34497
0.84,0.33696
0.845,0.32884
0.85,0.32107
0.855,0.31292
0.86,0.30399
0.865,0.3041
0.87,0.29837
0.875,0.29222
0.88,0.28531
0.885,0.27953
0.89,0.27286
0.895,0.26657
0.9,0.26001
0.905,0.25317
0.91,0.24602
0.915,0.23781
0.92,0.22996
0.925,0.22236
0.93,0.21448
0.935,0.20725
0.94,0.19928
0.945,0.19149
0.95,0.18452
0.955,0.17783
0.96,0.17055
0.965,0.16442
0.97,0.15852
0.975,0.15258
0.98,0.14731
0.985,0.14238
0.99,0.13813
0.995,0.13372
1,0.12976
1.005,0.12591
1.01,0.12273
1.015,0.11989
1.02,0.11689
1.025,0.11456
1.03,0.11198
1.035,0.11041
1.04,0.10843
1.045,0.10693
1.05,0.10598
1.055,0.10462
1.06,0.10356
1.065,0.1026
1.07,0.10204
1.075,0.10174
1.08,0.10185
1.085,0.10189
1.09,0.10288
1.095,0.10334
1.1,0.10453
1.105,0.10584
1.11,0.10741
1.115,0.10918
1.12,0.11103
1.125,0.11315
1.13,0.11531
1.135,0.11765
1.14,0.12017
1.145,0.12247
1.15,0.12509
1.155,0.12763
1.16,0.13
1.165,0.13279
1.17,0.13525
1.175,0.13772
1.18,0.14022
1.185,0.14312
1.19,0.14569
1.195,0.14852
1.2,0.15168
1.205,0.15449
1.21,0.15775
1.215,0.16004
1.22,0.16234
1.225,0.16495
1.23,0.16777
1.235,0.17032
1.24,0.17331
1.245,0.17672
1.25,0.17995
1.255,0.18382
1.26,0.18782
1.265,0.19152
1.27,0.19557
1.275,0.20014
1.28,0.2051
1.285,0.20911
1.29,0.21451
1.295,0.21989
1.3,0.22495
1.305,0.23096
1.31,0.23666
1.315,0.24302
1.32,0.24956
1.325,0.25638
1.33,0.26376
1.335,0.27093
1.34,0.27879
1.345,0.28676
1.35,0.2951
1.355,0.30328
1.36,0.31262
1.365,0.32061
1.37,0.33019
1.375,0.34001
1.38,0.35162
1.385,0.35852
1.39,0.3708
1.395,0.38164
1.4,0.39197
1.405,0.40309
1.41,0.41174
1.415,0.42411
1.42,0.43438
1.425,0.4461
1.43,0.45807
1.435,0.46984
1.44,0.48179
1.445,0.49435
1.45,0.50589
1.455,0.51689
1.46,0.52973
1.465,0.54061
1.47,0.55277
1.475,0.56366
1.48,0.5745
1.485,0.58634
1.49,0.5961
1.495,0.60776
1.5,0.6175
1.505,0.62795
1.51,0.63831
1.515,0.64764
1.52,0.65675
1.525,0.66723
1.53,0.67629
1.535,0.68385
1.54,0.69328
1.545,0.70002
1.55,0.70828
1.555,0.71652
1.56,0.72335
1.565,0.73214
1.57,0.73564
1.575,0.74433
1.58,0.74981
1.585,0.7551
1.59,0.76046
1.595,0.76568
1.6,0.7706
1.605,0.77574
1.61,0.77965
1.615,0.78257
1.62,0.78873
1.625,0.79226
1.63,0.79713
1.635,0.80044
1.64,0.804
1.645,0.80651
1.65,0.80812
1.655,0.80997
1.66,0.80383
1.665,0.80257
1.67,0.80433
1.675,0.80711
1.68,0.80977
1.685,0.81208
1.69,0.81226
1.695,0.81281
1.7,0.81403
1.705,0.81617
1.71,0.81784
1.715,0.82005
1.72,0.82089
1.725,0.82221
1.73,0.82345
1.735,0.82458
1.74,0.82533
1.745,0.82695
1.75,0.82908
1.755,0.8303
1.76,0.83145
1.765,0.83229
1.77,0.83343
1.775,0.83552
1.78,0.83696
1.785,0.83737
1.79,0.83807
1.795,0.83825
1.8,0.83908
1.805,0.84089
1.81,0.84109
1.815,0.84257
1.82,0.84179
1.825,0.84269
1.83,0.84166
1.835,0.84366
1.84,0.84323
1.845,0.84705
1.85,0.84549
1.855,0.84717
1.86,0.847
1.865,0.84867
1.87,0.84219
1.875,0.84845
1.88,0.85349
1.885,0.84887
1.89,0.84725
1.895,0.84796
1.9,0.8455
1.905,0.84528
1.91,0.84875
1.915,0.84635
1.92,0.84774
1.925,0.84878
1.93,0.84797
1.935,0.84897
1.94,0.84977
1.945,0.85164
1.95,0.85131
1.955,0.85136
1.96,0.85203
1.965,0.85303
1.97,0.85392
1.975,0.8545
1.98,0.85492
1.985,0.85411
1.99,0.85633
1.995,0.85556
2,0.85515
2.005,0.85614
2.01,0.85566
2.015,0.8563
2.02,0.85555
2.025,0.85554
2.03,0.85625
2.035,0.85603
2.04,0.85494
2.045,0.85489
2.05,0.85451
2.055,0.85419
2.06,0.85523
2.065,0.85381
2.07,0.85297
2.075,0.85289
2.08,0.85293
2.085,0.85361
2.09,0.85182
2.095,0.85171
2.1,0.85335
2.105,0.85292
2.11,0.85416
2.115,0.85202
2.12,0.85349
2.125,0.85169
2.13,0.85123
2.135,0.84898
2.14,0.84943
2.145,0.85068
2.15,0.85145
2.155,0.8505
2.16,0.84826
2.165,0.84805
2.17,0.84899
2.175,0.85143
2.18,0.85231
2.185,0.85193
2.19,0.85105
2.195,0.85033
2.2,0.84948
2.205,0.84851
2.21,0.85015
2.215,0.84959
2.22,0.84958
2.225,0.84929
2.23,0.8474
2.235,0.84692
2.24,0.846
2.245,0.84517
2.25,0.84239
2.255,0.83798
2.26,0.83443
2.265,0.83082
2.27,0.82717
2.275,0.82273
2.28,0.82098
2.285,0.81877
2.29,0.81753
2.295,0.81475
2.3,0.81224
2.305,0.80966
2.31,0.80989
2.315,0.81128
2.32,0.81229
2.325,0.81664
2.33,0.81955
2.335,0.82124
2.34,0.82253
2.345,0.82356
2.35,0.82192
2.355,0.82142
2.36,0.82313
2.365,0.82338
2.37,0.82906
2.375,0.82956
2.38,0.82963
2.385,0.83002
2.39,0.8286
2.395,0.828
2.4,0.82745
2.405,0.8281
2.41,0.82918
2.415,0.82913
2.42,0.82941
2.425,0.83099
2.43,0.82949
2.435,0.82765
2.44,0.82572
2.445,0.8226
2.45,0.81792
2.455,0.81362
2.46,0.80984
2.465,0.80873
2.47,0.81116
2.475,0.81293
2.48,0.8151
2.485,0.81365
2.49,0.8146
2.495,0.81248
2.5,0.81321
2.505,0.81154
2.51,0.81228
2.515,0.8118
2.52,0.81444
2.525,0.81536
2.53,0.8156
2.535,0.81574
2.54,0.82217
2.545,0.81771
2.55,0.82075
2.555,0.8248
2.56,0.81776
2.565,0.81459
2.57,0.8241
2.575,0.81552
2.58,0.82153
2.585,0.81257
2.59,0.82573
2.595,0.81686
2.6,0.83349
