MY_OL_0,
W,R
0.259212738,0.226709433
0.262315619,0.22917414
0.264743676,0.232052177
0.26683117,0.234930941
0.26824384,0.238223035
0.269309645,0.241103981
0.270372299,0.243778988
0.271775516,0.246453269
0.273181884,0.249333488
0.274591403,0.252419644
0.275647755,0.254682776
0.277397837,0.257768205
0.278138834,0.261679566
0.278536117,0.265385717
0.279948788,0.26867781
0.282742617,0.273202621
0.283143051,0.277114709
0.28455257,0.280200865
0.285624677,0.283493686
0.286690482,0.286374632
0.287418875,0.289462242
0.289162655,0.292135796
0.289891048,0.295223406
0.290278878,0.298311744
0.290707672,0.304077271
0.291010422,0.301605292
0.291432914,0.306958943
0.292163933,0.310218168
0.292213826,0.313478848
0.293396303,0.316565489
0.293769387,0.322399783
0.294011175,0.319653342
0.294105708,0.325831471
0.295288185,0.328918112
0.295895179,0.331491121
0.296502174,0.334064129
0.296554692,0.337496423
0.296599333,0.340413873
0.297222083,0.34401657
0.297831703,0.346761194
0.298725125,0.349505211
0.301321363,0.352245593
0.302771887,0.354301939
0.305360248,0.356527476
0.307102452,0.359098061
0.309696064,0.361666828
0.31086016,0.363552166
0.313188351,0.367322842
0.31372564,0.369462181
0.315136236,0.371485242
0.315364322,0.373510828
0.316574186,0.375295957
0.317008475,0.377917006
0.317439116,0.380299702
0.318658098,0.382680715
0.318884361,0.384587124
0.319698231,0.386253917
0.320537631,0.389589187
0.321167181,0.392090639
0.321209123,0.394831707
0.321849615,0.39804822
0.322482812,0.400788026
0.322907983,0.402813191
0.323532062,0.404957113
0.324949953,0.407456882
0.324988248,0.409959596
0.325614151,0.412222694
0.325650622,0.414606232
0.326278349,0.416988507
0.326705343,0.419132849
0.327522861,0.421037996
0.328148764,0.423301094
0.328971752,0.425563772
0.32978927,0.427468919
0.330216264,0.429613261
0.330250912,0.431877622
0.330484468,0.434260738
0.330718024,0.436643855
0.331143195,0.438669021
0.331561072,0.440217478
0.332227093,0.445102468
0.332404119,0.443791101
0.332457003,0.447247231
0.332482532,0.448915707
0.332572027,0.441883851
0.332717912,0.451418001
0.332949645,0.453681941
0.333571901,0.455706685
0.333993425,0.457493497
0.334217863,0.459280729
0.334827354,0.460471236
0.335046322,0.461900938
0.335670402,0.464044859
0.336091925,0.46583167
0.336506155,0.467141775
0.336924031,0.468690232
0.337349202,0.470715398
0.337577288,0.472740984
0.338201367,0.474884905
0.338234192,0.477030089
0.338453159,0.478459791
0.338478689,0.480128267
0.338500572,0.48155839
0.338726834,0.483464799
0.338951273,0.485252031
0.338976803,0.486920508
0.339203065,0.488826917
0.339235889,0.490972101
0.339650118,0.492282205
0.340462165,0.493829821
0.341872762,0.495852882
0.342538783,0.500737872
0.342686632,0.497519675
0.3429056,0.498949377
0.342967601,0.503001391
0.343390948,0.504907379
0.343814296,0.506813368
0.343839825,0.508481844
0.343867179,0.510269497
0.343894532,0.512057151
0.344316056,0.513843962
0.344801404,0.519801965
0.344969313,0.517894714
0.345128103,0.515391578
0.345222928,0.521588776
0.345244811,0.523018899
0.345861596,0.524686113
0.346091505,0.526830876
0.346717408,0.529093974
0.347538573,0.531237475
0.347755717,0.532547999
0.348179065,0.534453988
0.348607883,0.536717507
0.349033053,0.538742672
0.349054936,0.540172795
0.349281198,0.542079204
0.34950746,0.543985613
0.350346861,0.547320883
0.350522063,0.545890339
0.351169849,0.54958356
0.351193555,0.55113286
0.351813988,0.553038427
0.352465421,0.556970002
0.352896062,0.559352698
0.35293071,0.561617059
0.353224584,0.555061488
0.353352233,0.56340387
0.353383234,0.565429877
