BRU_LE4OLV_0,
W,R
0.648,0.732709
0.649,0.733614
0.65,0.734563
0.651,0.733994
0.652,0.73425
0.653,0.733681
0.654,0.73579
0.655,0.736038
0.656,0.735965
0.657,0.735176
0.658,0.736495
0.659,0.738525
0.66,0.738237
0.661,0.738289
0.662,0.73783
0.663,0.736241
0.664,0.736659
0.665,0.737336
0.666,0.738805
0.667,0.73736
0.668,0.736549
0.669,0.735546
0.67,0.737118
0.671,0.737875
0.672,0.73698
0.673,0.736722
0.674,0.738918
0.675,0.738075
0.676,0.739485
0.677,0.734947
0.678,0.734562
0.679,0.733839
0.68,0.737568
0.681,0.734332
0.682,0.733816
0.683,0.732595
0.684,0.733391
0.685,0.734588
0.686,0.733314
0.687,0.732387
0.688,0.732855
0.689,0.732575
0.69,0.729321
0.691,0.730182
0.692,0.728018
0.693,0.72992
0.694,0.730773
0.695,0.726821
0.696,0.726233
0.697,0.728368
0.698,0.728175
0.699,0.727039
0.7,0.721987
0.701,0.725494
0.702,0.720867
0.703,0.722537
0.704,0.723848
0.705,0.722201
0.706,0.718461
0.707,0.716511
0.708,0.719301
0.709,0.716216
0.71,0.713515
0.711,0.715619
0.712,0.71337
0.713,0.71517
0.714,0.713486
0.715,0.713579
0.716,0.714145
0.717,0.710292
0.718,0.710248
0.719,0.707904
0.72,0.709514
0.721,0.705084
0.722,0.705952
0.723,0.704791
0.724,0.705687
0.725,0.705991
0.726,0.704109
0.727,0.699421
0.728,0.697705
0.729,0.69889
0.73,0.697391
0.731,0.698026
0.732,0.697915
0.733,0.693679
0.734,0.691783
0.735,0.695396
0.736,0.689427
0.737,0.68826
0.738,0.688863
0.739,0.684757
0.74,0.686427
0.741,0.683439
0.742,0.682002
0.743,0.682688
0.744,0.683305
0.745,0.681355
0.746,0.682348
0.747,0.677523
0.748,0.675938
0.749,0.677815
0.75,0.675885
0.751,0.673468
0.752,0.674638
0.753,0.672989
0.754,0.668286
0.755,0.67088
0.756,0.66925
0.757,0.666926
0.758,0.665202
0.759,0.664809
0.76,0.663892
0.761,0.661404
0.762,0.660469
0.763,0.660258
0.764,0.655288
0.765,0.655172
0.766,0.656998
0.767,0.653223
0.768,0.648937
0.769,0.650292
0.77,0.64985
0.771,0.649334
0.772,0.646804
0.773,0.646956
0.774,0.64295
0.775,0.645005
0.776,0.645009
0.777,0.642596
0.778,0.640747
0.779,0.639164
0.78,0.638543
0.781,0.636103
0.782,0.635137
0.783,0.635869
0.784,0.633659
0.785,0.632134
0.786,0.631075
0.787,0.630118
0.788,0.628133
0.789,0.62989
0.79,0.627655
0.791,0.626487
0.792,0.624695
0.793,0.62029
0.794,0.619324
0.795,0.621966
0.796,0.622002
0.797,0.617889
0.798,0.618074
0.799,0.617029
0.8,0.612033
0.801,0.61049
0.802,0.611124
0.803,0.613297
0.804,0.614129
0.805,0.612586
0.806,0.610175
0.807,0.609119
0.808,0.609525
0.809,0.60788
0.81,0.607903
0.811,0.607188
0.812,0.604694
0.813,0.603761
0.814,0.603523
0.815,0.601724
0.816,0.599968
0.817,0.600305
0.818,0.599578
0.819,0.599654
0.82,0.598952
0.821,0.594829
0.822,0.595821
0.823,0.599087
0.824,0.59822
0.825,0.597577
0.826,0.595419
0.827,0.592551
0.828,0.594842
0.829,0.590393
0.83,0.589187
0.831,0.588368
0.832,0.590162
0.833,0.588845
0.834,0.588122
0.835,0.587919
0.836,0.587192
0.837,0.581911
0.838,0.581736
0.839,0.583746
0.84,0.57853
0.841,0.580755
0.842,0.579203
0.843,0.58009
0.844,0.585236
0.845,0.582875
0.846,0.580318
0.847,0.582853
0.848,0.588307
0.849,0.578514
0.85,0.572961
0.851,0.567808
0.852,0.568531
0.853,0.563105
0.854,0.563835
0.855,0.565302
0.856,0.564056
0.857,0.566989
0.858,0.571183
0.859,0.56778
0.86,0.569611
0.861,0.572997
0.862,0.566927
0.863,0.565385
0.864,0.567275
0.865,0.5729
0.866,0.57138
0.867,0.569123
0.868,0.566529
0.869,0.566709
0.87,0.567937
0.871,0.568214
0.872,0.564973
0.873,0.567045
0.874,0.566155
0.875,0.563274
0.876,0.564227
0.877,0.56466
0.878,0.564999
0.879,0.562653
0.88,0.561552
0.881,0.561922
0.882,0.559468
0.883,0.561409
0.884,0.559803
0.885,0.561001
0.886,0.558009
0.887,0.556783
0.888,0.55789
0.889,0.558872
0.89,0.560625
0.891,0.555863
0.892,0.556104
0.893,0.554668
0.894,0.554922
0.895,0.554247
0.896,0.552939
0.897,0.550204
0.898,0.55098
0.899,0.550085
0.9,0.549792
0.901,0.549706
0.902,0.548834
0.903,0.547484
0.904,0.547343
0.905,0.548063
0.906,0.54754
0.907,0.547645
0.908,0.542941
0.909,0.54129
0.91,0.541753
0.911,0.540884
0.912,0.541413
0.913,0.539222
0.914,0.539118
0.915,0.540413
0.916,0.537017
0.917,0.536442
0.918,0.53549
0.919,0.534981
0.92,0.534463
0.921,0.532382
0.922,0.532139
0.923,0.530997
0.924,0.531001
0.925,0.52963
0.926,0.528179
0.927,0.52745
0.928,0.526054
0.929,0.524316
0.93,0.524121
0.931,0.52347
0.932,0.523379
0.933,0.521255
0.934,0.519739
0.935,0.519066
0.936,0.517881
0.937,0.518166
0.938,0.516685
0.939,0.51534
0.94,0.51404
0.941,0.512861
0.942,0.512816
0.943,0.511192
0.944,0.509836
0.945,0.508692
0.946,0.508234
0.947,0.506776
0.948,0.506249
0.949,0.504378
0.95,0.50333
0.951,0.502391
0.952,0.501664
0.953,0.50038
0.954,0.499113
0.955,0.497946
0.956,0.496882
0.957,0.495869
0.958,0.495273
0.959,0.494086
0.96,0.492853
0.961,0.491564
0.962,0.490806
0.963,0.489354
0.964,0.487663
0.965,0.486368
0.966,0.485157
0.967,0.483653
0.968,0.482567
0.969,0.481604
0.97,0.480679
0.971,0.479545
0.972,0.478446
0.973,0.477696
0.974,0.477291
0.975,0.476163
0.976,0.474936
0.977,0.473165
0.978,0.471981
0.979,0.471512
0.98,0.470647
0.981,0.469711
0.982,0.468805
0.983,0.468017
0.984,0.466857
0.985,0.465606
0.986,0.465192
0.987,0.464252
0.988,0.463367
0.989,0.462355
0.99,0.461077
0.991,0.459864
0.992,0.459087
0.993,0.458205
0.994,0.457627
0.995,0.456751
0.996,0.456054
0.997,0.455308
0.998,0.454534
0.999,0.453986
1,0.452798
1.001,0.451892
1.002,0.451297
1.003,0.450752
1.004,0.449808
1.005,0.448729
1.006,0.448306
1.007,0.44739
1.008,0.446455
1.009,0.445983
1.01,0.445231
1.011,0.444878
1.012,0.443886
1.013,0.443403
1.014,0.443315
1.015,0.442657
1.016,0.441804
1.017,0.440981
1.018,0.440601
1.019,0.440289
1.02,0.439384
1.021,0.438877
1.022,0.438566
1.023,0.438205
1.024,0.437861
1.025,0.437326
1.026,0.436732
1.027,0.4359
1.028,0.435732
1.029,0.435425
1.03,0.434917
1.031,0.434175
1.032,0.433124
1.033,0.432919
1.034,0.433064
1.035,0.432706
1.036,0.432771
1.037,0.432541
1.038,0.432676
1.039,0.433004
1.04,0.433588
1.041,0.432137
1.042,0.431027
1.043,0.430849
1.044,0.430453
1.045,0.429916
1.046,0.430303
1.047,0.430469
1.048,0.429892
1.049,0.430095
1.05,0.430288
1.051,0.430398
1.052,0.430134
1.053,0.429926
1.054,0.42988
1.055,0.430375
1.056,0.430455
1.057,0.42987
1.058,0.429428
1.059,0.430277
1.06,0.430871
1.061,0.431012
1.062,0.430684
1.063,0.430414
1.064,0.43052
1.065,0.430885
1.066,0.430988
1.067,0.431915
1.068,0.431905
1.069,0.431672
1.07,0.431594
1.071,0.431453
1.072,0.432074
1.073,0.433254
1.074,0.433244
1.075,0.433226
1.076,0.433734
1.077,0.43399
1.078,0.435024
1.079,0.434689
1.08,0.434845
1.081,0.436006
1.082,0.435787
1.083,0.437136
1.084,0.437937
1.085,0.437403
1.086,0.437839
1.087,0.439314
1.088,0.439708
1.089,0.439281
1.09,0.439755
1.091,0.439722
1.092,0.440607
1.093,0.441589
1.094,0.442164
1.095,0.442579
1.096,0.44319
1.097,0.443285
1.098,0.443558
1.099,0.444134
1.1,0.444721
1.101,0.444665
1.102,0.445213
1.103,0.446812
1.104,0.44714
1.105,0.447485
1.106,0.449045
1.107,0.449974
1.108,0.449901
1.109,0.449885
1.11,0.450616
1.111,0.451402
1.112,0.451963
1.113,0.451646
1.114,0.452585
1.115,0.453367
1.116,0.453821
1.117,0.454706
1.118,0.454646
1.119,0.456114
1.12,0.456352
1.121,0.457024
1.122,0.456335
1.123,0.457071
1.124,0.458286
1.125,0.458603
1.126,0.460197
1.127,0.459754
1.128,0.459848
1.129,0.460237
1.13,0.460442
1.131,0.461416
1.132,0.461526
1.133,0.462127
1.134,0.462982
1.135,0.463924
1.136,0.463765
1.137,0.464579
1.138,0.464689
1.139,0.465559
1.14,0.465662
1.141,0.465623
1.142,0.466979
1.143,0.467231
1.144,0.467661
1.145,0.468434
1.146,0.469337
1.147,0.469086
1.148,0.469869
1.149,0.47008
1.15,0.469991
1.151,0.470266
1.152,0.470417
1.153,0.470647
1.154,0.471353
1.155,0.471517
1.156,0.471917
1.157,0.471874
1.158,0.471658
1.159,0.472473
1.16,0.473693
1.161,0.474331
1.162,0.474831
1.163,0.47445
1.164,0.474763
1.165,0.475264
1.166,0.475507
1.167,0.475754
1.168,0.475766
1.169,0.476258
1.17,0.476636
1.171,0.476806
1.172,0.477219
1.173,0.477679
1.174,0.477664
1.175,0.478026
1.176,0.479075
1.177,0.479449
1.178,0.47946
1.179,0.478857
1.18,0.478555
1.181,0.479203
1.182,0.478783
1.183,0.478448
1.184,0.478503
1.185,0.478974
1.186,0.479893
1.187,0.480413
1.188,0.480703
1.189,0.480836
1.19,0.48138
1.191,0.481953
1.192,0.482865
1.193,0.48303
1.194,0.48256
1.195,0.483038
1.196,0.483428
1.197,0.483511
1.198,0.483654
1.199,0.484028
1.2,0.484236
1.201,0.484528
1.202,0.48453
1.203,0.484647
1.204,0.485022
1.205,0.485772
1.206,0.486198
1.207,0.486057
1.208,0.48642
1.209,0.486683
1.21,0.487099
1.211,0.486997
1.212,0.487083
1.213,0.487138
1.214,0.487232
1.215,0.487503
1.216,0.487872
1.217,0.488361
1.218,0.488817
1.219,0.488849
1.22,0.488658
1.221,0.489105
1.222,0.489509
1.223,0.489547
1.224,0.489876
1.225,0.490283
1.226,0.490306
1.227,0.490271
1.228,0.490466
1.229,0.491284
1.23,0.491887
1.231,0.491722
1.232,0.492242
1.233,0.493745
1.234,0.493598
1.235,0.493059
1.236,0.4926
1.237,0.492628
1.238,0.493149
1.239,0.493877
1.24,0.49435
1.241,0.494183
1.242,0.494391
1.243,0.495189
1.244,0.495294
1.245,0.494921
1.246,0.495767
1.247,0.495913
1.248,0.497117
1.249,0.496748
1.25,0.496868
1.251,0.497197
1.252,0.498098
1.253,0.498389
1.254,0.498874
1.255,0.499261
1.256,0.4988
1.257,0.498967
1.258,0.499723
1.259,0.499847
1.26,0.500078
1.261,0.500755
1.262,0.501151
1.263,0.501296
1.264,0.50148
1.265,0.502168
1.266,0.502311
1.267,0.502749
1.268,0.503283
1.269,0.503967
1.27,0.503338
1.271,0.504218
1.272,0.504872
1.273,0.505315
1.274,0.505281
1.275,0.505752
1.276,0.506174
1.277,0.506197
1.278,0.506728
1.279,0.507213
1.28,0.508108
1.281,0.508225
1.282,0.508565
1.283,0.509407
1.284,0.509694
1.285,0.510371
1.286,0.510903
1.287,0.511627
1.288,0.511123
1.289,0.512103
1.29,0.512441
1.291,0.512785
1.292,0.513528
1.293,0.513408
1.294,0.513137
1.295,0.513659
1.296,0.514779
1.297,0.51489
1.298,0.515794
1.299,0.515971
1.3,0.516588
1.301,0.518376
1.302,0.518233
1.303,0.518941
1.304,0.518449
1.305,0.519523
1.306,0.520181
1.307,0.520738
1.308,0.521386
1.309,0.520741
1.31,0.521947
1.311,0.522753
1.312,0.523368
1.313,0.523555
1.314,0.523814
1.315,0.525375
1.316,0.525624
1.317,0.526277
1.318,0.52603
1.319,0.526725
1.32,0.527753
1.321,0.528311
1.322,0.529557
1.323,0.52993
1.324,0.529602
1.325,0.530321
1.326,0.530859
1.327,0.531421
1.328,0.53203
1.329,0.532884
1.33,0.533835
1.331,0.534605
1.332,0.534886
1.333,0.536217
1.334,0.536462
1.335,0.536751
1.336,0.537862
1.337,0.538413
1.338,0.538741
1.339,0.538966
1.34,0.539899
1.341,0.540325
1.342,0.541457
1.343,0.54264
1.344,0.542523
1.345,0.543653
1.346,0.544497
1.347,0.545495
1.348,0.545808
1.349,0.546765
1.35,0.547214
1.351,0.547913
1.352,0.548147
1.353,0.549566
1.354,0.55023
1.355,0.550953
1.356,0.550987
1.357,0.551907
1.358,0.552684
1.359,0.554096
1.36,0.554454
1.361,0.555125
1.362,0.555912
1.363,0.557231
1.364,0.557997
1.365,0.55816
1.366,0.5591
1.367,0.560182
