BRU_LE4OLV_0,
W,R
1.797,0.833984
1.798,0.833883
1.799,0.834767
1.8,0.835085
1.801,0.834563
1.802,0.833723
1.803,0.834356
1.804,0.835086
1.805,0.834912
1.806,0.83526
1.807,0.836182
1.808,0.836304
1.809,0.835754
1.81,0.835827
1.811,0.836872
1.812,0.83729
1.813,0.837104
1.814,0.836697
1.815,0.836676
1.816,0.836329
1.817,0.836554
1.818,0.837143
1.819,0.837808
1.82,0.837365
1.821,0.837434
1.822,0.837401
1.823,0.838025
1.824,0.838638
1.825,0.837524
1.826,0.836904
1.827,0.837241
1.828,0.836784
1.829,0.837045
1.83,0.838979
1.831,0.839194
1.832,0.838495
1.833,0.837741
1.834,0.838155
1.835,0.839427
1.836,0.840056
1.837,0.840894
1.838,0.840266
1.839,0.839698
1.84,0.840836
1.841,0.841431
1.842,0.839739
1.843,0.83977
1.844,0.839945
1.845,0.840624
1.846,0.840221
1.847,0.839015
1.848,0.840289
1.849,0.840271
1.85,0.840719
1.851,0.838779
1.852,0.841082
1.853,0.841578
1.854,0.842289
1.855,0.840336
1.856,0.839103
1.857,0.83966
1.858,0.841142
1.859,0.841692
1.86,0.839417
1.861,0.841292
1.862,0.839501
1.863,0.839692
1.864,0.839961
1.865,0.83905
1.866,0.838889
1.867,0.839492
1.868,0.837896
1.869,0.838519
1.87,0.839759
1.871,0.839288
1.872,0.836642
1.873,0.838213
1.874,0.835762
1.875,0.837861
1.876,0.837682
1.877,0.835621
1.878,0.834934
1.879,0.834549
1.88,0.831584
1.881,0.832842
1.882,0.829404
1.883,0.83057
1.884,0.830954
1.885,0.830706
1.886,0.827859
1.887,0.826518
1.888,0.822495
1.889,0.826691
1.89,0.823821
1.891,0.823002
1.892,0.821036
1.893,0.818228
1.894,0.820169
1.895,0.814799
1.896,0.814648
1.897,0.813372
1.898,0.811281
1.899,0.814354
1.9,0.810036
1.901,0.805785
1.902,0.805836
1.903,0.805748
1.904,0.804544
1.905,0.801677
1.906,0.802768
1.907,0.800898
1.908,0.802112
1.909,0.801488
1.91,0.803745
1.911,0.801746
1.912,0.801105
1.913,0.802698
1.914,0.803089
1.915,0.800021
1.916,0.804814
1.917,0.802708
1.918,0.803723
1.919,0.803503
1.92,0.805847
1.921,0.803752
1.922,0.807867
1.923,0.807545
1.924,0.810105
1.925,0.80886
1.926,0.809525
1.927,0.810648
1.928,0.808673
1.929,0.81203
1.93,0.813023
1.931,0.812517
1.932,0.813203
1.933,0.813278
1.934,0.814939
1.935,0.812564
1.936,0.813359
1.937,0.814321
1.938,0.816777
1.939,0.815535
1.94,0.816337
1.941,0.817824
1.942,0.817374
1.943,0.816982
1.944,0.815751
1.945,0.81622
1.946,0.817362
1.947,0.818759
1.948,0.816051
1.949,0.81887
1.95,0.820074
1.951,0.822264
1.952,0.819533
1.953,0.820703
1.954,0.823117
1.955,0.822566
1.956,0.824213
1.957,0.821478
1.958,0.820411
1.959,0.820527
1.96,0.821375
1.961,0.82318
1.962,0.823729
1.963,0.822128
1.964,0.82492
1.965,0.825244
1.966,0.82397
1.967,0.822041
1.968,0.822806
1.969,0.82563
1.97,0.828873
1.971,0.829269
1.972,0.827354
1.973,0.828442
1.974,0.827759
1.975,0.827894
1.976,0.826792
1.977,0.826963
1.978,0.82645
1.979,0.827434
1.98,0.828995
1.981,0.827717
1.982,0.825852
1.983,0.828051
1.984,0.82897
1.985,0.829311
1.986,0.828576
1.987,0.829141
1.988,0.829687
1.989,0.828876
1.99,0.829525
1.991,0.829831
1.992,0.830511
1.993,0.830723
1.994,0.832703
1.995,0.834242
1.996,0.833322
1.997,0.832433
1.998,0.831663
1.999,0.832197
2,0.832505
2.001,0.833792
2.002,0.833818
2.003,0.833035
2.004,0.835637
2.005,0.834792
2.006,0.83267
2.007,0.83343
2.008,0.836685
2.009,0.837036
2.01,0.836492
2.011,0.83717
2.012,0.8361
2.013,0.836279
2.014,0.837111
2.015,0.835185
2.016,0.835698
2.017,0.83674
2.018,0.839159
2.019,0.839645
2.02,0.835564
2.021,0.835615
2.022,0.83652
2.023,0.837239
2.024,0.838171
2.025,0.838684
2.026,0.838265
2.027,0.837866
2.028,0.838504
2.029,0.839658
2.03,0.837899
2.031,0.836608
2.032,0.839502
2.033,0.841955
2.034,0.840591
2.035,0.839611
2.036,0.837607
2.037,0.837248
2.038,0.837388
2.039,0.839305
2.04,0.840953
2.041,0.840079
2.042,0.842079
2.043,0.841339
2.044,0.841654
2.045,0.842386
2.046,0.842017
2.047,0.840109
2.048,0.844381
2.049,0.841546
2.05,0.843644
2.051,0.843458
2.052,0.845286
2.053,0.843451
2.054,0.844203
2.055,0.844797
2.056,0.841994
2.057,0.842412
2.058,0.843446
2.059,0.844007
2.06,0.842777
2.061,0.844966
2.062,0.845804
2.063,0.843736
2.064,0.847069
2.065,0.844688
2.066,0.847793
2.067,0.844818
2.068,0.847365
2.069,0.84417
2.07,0.844365
2.071,0.842484
2.072,0.842583
2.073,0.847794
2.074,0.84195
2.075,0.844641
2.076,0.844125
2.077,0.846241
2.078,0.847462
2.079,0.848556
2.08,0.848115
2.081,0.846918
2.082,0.844727
2.083,0.843591
2.084,0.847532
2.085,0.842815
2.086,0.8451
2.087,0.845667
2.088,0.846824
2.089,0.845722
2.09,0.844322
2.091,0.846322
2.092,0.850089
2.093,0.843081
2.094,0.846588
2.095,0.846438
2.096,0.8501
2.097,0.848707
2.098,0.847437
2.099,0.853449
2.1,0.842915
2.101,0.853058
2.102,0.848089
2.103,0.847574
2.104,0.848069
2.105,0.850905
2.106,0.844863
2.107,0.848139
2.108,0.846115
2.109,0.847001
2.11,0.84685
2.111,0.847498
2.112,0.847647
2.113,0.844944
2.114,0.84595
2.115,0.844639
2.116,0.849262
2.117,0.847035
2.118,0.852427
2.119,0.847522
2.12,0.852556
2.121,0.84863
2.122,0.849814
2.123,0.849428
2.124,0.848556
2.125,0.846086
2.126,0.84928
2.127,0.846444
2.128,0.850605
2.129,0.848997
2.13,0.849209
2.131,0.851528
2.132,0.851857
2.133,0.848406
2.134,0.847631
2.135,0.849731
2.136,0.84768
2.137,0.845657
2.138,0.8488
2.139,0.851132
2.14,0.851834
2.141,0.849182
2.142,0.844958
2.143,0.849932
2.144,0.852238
2.145,0.850885
2.146,0.847787
2.147,0.849609
2.148,0.855404
2.149,0.850437
2.15,0.855229
2.151,0.856421
2.152,0.846642
2.153,0.847537
2.154,0.846879
2.155,0.850046
2.156,0.850147
2.157,0.857951
2.158,0.855938
2.159,0.851071
2.16,0.852257
2.161,0.851654
2.162,0.852146
2.163,0.852923
2.164,0.856888
2.165,0.852472
2.166,0.848811
2.167,0.852372
2.168,0.848211
2.169,0.847065
2.17,0.849787
2.171,0.853376
2.172,0.852085
2.173,0.854072
2.174,0.85327
2.175,0.849193
2.176,0.851866
2.177,0.857588
2.178,0.858666
2.179,0.854688
2.18,0.851958
2.181,0.853277
2.182,0.855081
2.183,0.851859
2.184,0.850753
2.185,0.854808
2.186,0.854994
2.187,0.851798
2.188,0.852798
2.189,0.856815
2.19,0.85383
2.191,0.853445
2.192,0.854453
2.193,0.85155
2.194,0.853307
2.195,0.853913
2.196,0.852308
2.197,0.854456
2.198,0.857411
2.199,0.859904
2.2,0.855775
2.201,0.849503
2.202,0.850699
2.203,0.856487
2.204,0.855557
2.205,0.855002
2.206,0.854623
2.207,0.857554
2.208,0.857001
2.209,0.853671
2.21,0.854352
2.211,0.852184
2.212,0.85063
2.213,0.855363
2.214,0.852
2.215,0.850928
2.216,0.853545
2.217,0.851916
2.218,0.856397
2.219,0.850768
2.22,0.84627
2.221,0.850523
2.222,0.85357
2.223,0.860192
2.224,0.857413
2.225,0.857853
2.226,0.857811
2.227,0.855046
2.228,0.854939
2.229,0.857562
2.23,0.85455
2.231,0.852273
2.232,0.851999
2.233,0.85226
2.234,0.851916
2.235,0.854656
2.236,0.86045
2.237,0.855552
2.238,0.853009
2.239,0.852773
2.24,0.859271
2.241,0.854951
2.242,0.853213
2.243,0.856023
2.244,0.853872
2.245,0.852115
2.246,0.850778
2.247,0.855194
2.248,0.857153
2.249,0.855433
2.25,0.854377
2.251,0.849636
2.252,0.854386
2.253,0.854931
2.254,0.856978
2.255,0.853608
2.256,0.854881
2.257,0.85296
2.258,0.848158
2.259,0.857905
2.26,0.855332
2.261,0.856994
2.262,0.848432
2.263,0.850522
2.264,0.854435
2.265,0.8501
2.266,0.850003
2.267,0.848663
2.268,0.860507
2.269,0.841461
2.27,0.84855
2.271,0.845262
2.272,0.850011
2.273,0.851608
2.274,0.855303
2.275,0.847704
2.276,0.842113
2.277,0.845518
2.278,0.850838
2.279,0.845172
2.28,0.844888
2.281,0.842768
2.282,0.853231
2.283,0.84792
2.284,0.850563
2.285,0.846254
2.286,0.832269
2.287,0.846698
2.288,0.842529
2.289,0.840499
2.29,0.835358
2.291,0.839525
2.292,0.827911
2.293,0.839633
2.294,0.845296
2.295,0.830291
2.296,0.826012
2.297,0.835844
2.298,0.833431
2.299,0.833627
2.3,0.83731
2.301,0.837241
2.302,0.841262
2.303,0.841859
2.304,0.830459
2.305,0.830854
2.306,0.836737
2.307,0.846684
2.308,0.837718
2.309,0.835241
2.31,0.841595
2.311,0.841274
2.312,0.831017
2.313,0.849097
2.314,0.842483
2.315,0.847437
2.316,0.851787
2.317,0.841933
2.318,0.846107
2.319,0.837432
2.32,0.847438
2.321,0.845887
2.322,0.843707
2.323,0.840469
2.324,0.851395
2.325,0.852731
2.326,0.852629
2.327,0.837074
2.328,0.83633
2.329,0.841929
2.33,0.848015
2.331,0.841152
2.332,0.841439
2.333,0.849548
2.334,0.847932
2.335,0.845796
2.336,0.841447
2.337,0.841439
2.338,0.847536
2.339,0.852516
2.34,0.848949
2.341,0.844802
2.342,0.843832
2.343,0.844799
2.344,0.84088
2.345,0.847121
2.346,0.855917
2.347,0.855017
2.348,0.845948
2.349,0.84731
2.35,0.843417
2.351,0.842454
2.352,0.851197
2.353,0.849475
2.354,0.846882
2.355,0.847705
2.356,0.853516
2.357,0.84879
2.358,0.840745
2.359,0.848833
2.36,0.853032
2.361,0.84932
2.362,0.844973
2.363,0.841006
2.364,0.835385
2.365,0.830601
2.366,0.836076
2.367,0.845755
2.368,0.851465
2.369,0.841627
2.37,0.842837
2.371,0.839588
2.372,0.833203
2.373,0.839778
2.374,0.836429
2.375,0.841216
2.376,0.861961
2.377,0.846879
2.378,0.8376
2.379,0.845654
2.38,0.845361
2.381,0.834767
2.382,0.833441
2.383,0.83965
2.384,0.836611
2.385,0.82983
2.386,0.833352
2.387,0.832974
2.388,0.834711
2.389,0.840767
2.39,0.841932
2.391,0.835923
2.392,0.839
2.393,0.837355
2.394,0.830029
2.395,0.834976
2.396,0.838428
2.397,0.838454
2.398,0.838645
2.399,0.838232
2.4,0.84375
2.401,0.854176
2.402,0.854603
2.403,0.840314
2.404,0.837177
2.405,0.846696
2.406,0.843309
2.407,0.844409
2.408,0.84312
2.409,0.831798
2.41,0.837015
2.411,0.836204
2.412,0.833881
2.413,0.841249
2.414,0.841531
2.415,0.834686
2.416,0.841668
2.417,0.850882
2.418,0.855799
2.419,0.845857
2.42,0.838011
2.421,0.841425
2.422,0.845749
2.423,0.84122
2.424,0.830338
2.425,0.830795
2.426,0.831411
2.427,0.833551
2.428,0.845207
2.429,0.837125
2.43,0.820356
2.431,0.819105
2.432,0.826935
2.433,0.832011
2.434,0.844815
2.435,0.833195
2.436,0.812979
2.437,0.823691
2.438,0.832313
2.439,0.831318
2.44,0.831994
2.441,0.834585
2.442,0.838341
2.443,0.847391
2.444,0.836486
2.445,0.833861
2.446,0.826169
2.447,0.826125
2.448,0.836558
2.449,0.862662
2.45,0.826041
2.451,0.809738
2.452,0.829044
2.453,0.835448
2.454,0.824662
2.455,0.822553
2.456,0.828279
2.457,0.844728
2.458,0.838469
2.459,0.839272
2.46,0.829791
2.461,0.824231
2.462,0.828525
2.463,0.824212
2.464,0.831915
2.465,0.814452
2.466,0.821008
2.467,0.842977
2.468,0.835865
2.469,0.841006
2.47,0.836128
2.471,0.860885
2.472,0.837477
2.473,0.833787
2.474,0.837927
2.475,0.810738
2.476,0.814387
2.477,0.80505
2.478,0.832832
2.479,0.847613
2.48,0.802647
2.481,0.840237
2.482,0.815193
2.483,0.803272
2.484,0.84994
2.485,0.848817
2.486,0.833513
2.487,0.819149
2.488,0.825311
2.489,0.810333
2.49,0.815966
2.491,0.830222
2.492,0.821435
2.493,0.842034
2.494,0.808075
2.495,0.805968
2.496,0.820186
2.497,0.826526
2.498,0.794261
2.499,0.804584
2.5,0.844346

