KC-OL-hm_3,
W,R
0.50012,0.76075
0.50031,0.74931
0.5005,0.74427
0.5007,0.75017
0.50089,0.7476
0.50108,0.7299
0.50128,0.72079
0.50147,0.73441
0.50166,0.74162
0.50186,0.73672
0.50205,0.74052
0.50225,0.74604
0.50244,0.7554
0.50264,0.76468
0.50283,0.76439
0.50303,0.76658
0.50322,0.77037
0.50342,0.75584
0.50361,0.7285
0.50381,0.72063
0.50401,0.72859
0.5042,0.73781
0.5044,0.74828
0.50459,0.75143
0.50479,0.75276
0.50499,0.75497
0.50518,0.7576
0.50538,0.76212
0.50558,0.76418
0.50577,0.76149
0.50597,0.75137
0.50617,0.75067
0.50637,0.75665
0.50657,0.74824
0.50676,0.73674
0.50696,0.7345
0.50716,0.74304
0.50736,0.75445
0.50756,0.75105
0.50776,0.7389
0.50795,0.7316
0.50815,0.72641
0.50835,0.73074
0.50855,0.74132
0.50875,0.73818
0.50895,0.73209
0.50915,0.74069
0.50935,0.74837
0.50955,0.7418
0.50975,0.74205
0.50995,0.75196
0.51015,0.75425
0.51035,0.75064
0.51056,0.74641
0.51076,0.74014
0.51096,0.73263
0.51116,0.73584
0.51136,0.74272
0.51156,0.7417
0.51177,0.75421
0.51197,0.7708
0.51217,0.76961
0.51237,0.76796
0.51257,0.77194
0.51278,0.76822
0.51298,0.75738
0.51318,0.74987
0.51339,0.74601
0.51359,0.74742
0.51379,0.75607
0.514,0.76044
0.5142,0.76269
0.51441,0.7688
0.51461,0.76515
0.51481,0.75544
0.51502,0.76049
0.51522,0.77321
0.51543,0.76991
0.51563,0.7633
0.51584,0.76707
0.51604,0.76046
0.51625,0.75709
0.51645,0.77157
0.51666,0.78086
0.51687,0.77612
0.51707,0.76149
0.51728,0.75807
0.51749,0.76552
0.51769,0.76915
0.5179,0.77807
0.51811,0.78125
0.51831,0.77762
0.51852,0.77331
0.51873,0.7579
0.51894,0.74295
0.51914,0.74949
0.51935,0.77329
0.51956,0.77799
0.51977,0.76745
0.51998,0.7699
0.52018,0.77155
0.52039,0.77407
0.5206,0.78213
0.52081,0.77972
0.52102,0.77373
0.52123,0.77313
0.52144,0.76872
0.52165,0.7602
0.52186,0.76398
0.52207,0.77695
0.52228,0.7784
0.52249,0.77483
0.5227,0.77689
0.52291,0.78244
0.52312,0.78575
0.52333,0.78269
0.52355,0.78226
0.52376,0.77574
0.52397,0.76166
0.52418,0.75986
0.52439,0.76537
0.52461,0.77128
0.52482,0.77288
0.52503,0.77238
0.52524,0.78226
0.52546,0.79085
0.52567,0.78844
0.52588,0.77787
0.5261,0.77172
0.52631,0.7812
0.52652,0.78846
0.52674,0.78466
0.52695,0.78165
0.52717,0.77871
0.52738,0.77559
0.5276,0.77796
0.52781,0.77607
0.52802,0.76926
0.52824,0.77261
0.52846,0.77678
0.52867,0.77038
0.52889,0.7659
0.5291,0.76675
0.52932,0.76267
0.52953,0.76308
0.52975,0.7756
0.52997,0.78125
0.53018,0.77938
0.5304,0.78039
0.53062,0.78336
0.53084,0.78847
0.53105,0.78629
0.53127,0.77882
0.53149,0.77808
0.53171,0.7779
0.53192,0.77782
0.53214,0.78104
0.53236,0.77538
0.53258,0.7679
0.5328,0.77214
0.53302,0.77705
0.53324,0.77623
0.53346,0.77485
