KC-Ol-arvn_0,
W,R
0.54088,0.78309
0.54133,0.784
0.54179,0.78371
0.54224,0.78435
0.54269,0.78441
0.54314,0.78421
0.54359,0.78436
0.54404,0.78458
0.54449,0.78526
0.54494,0.78513
0.54539,0.78605
0.54584,0.78596
0.54629,0.78706
0.54675,0.78721
0.5472,0.78745
0.54765,0.78651
0.5481,0.78736
0.54855,0.78744
0.549,0.78718
0.54945,0.78663
0.5499,0.78648
0.55035,0.7862
0.5508,0.78622
0.55125,0.78601
0.5517,0.78655
0.55215,0.78683
0.5526,0.78741
0.55305,0.7879
0.5535,0.78796
0.55395,0.78899
0.5544,0.78845
0.55485,0.78899
0.5553,0.78896
0.55575,0.78981
0.5562,0.78938
0.55665,0.78933
0.5571,0.78987
0.55755,0.7901
0.558,0.78981
0.55845,0.78949
0.5589,0.79053
0.55935,0.79009
0.5598,0.79012
0.56025,0.78997
0.5607,0.79009
0.56115,0.78991
0.5616,0.78993
0.56205,0.79055
0.5625,0.79056
0.56295,0.7907
0.5634,0.79047
0.56385,0.79087
0.5643,0.79103
0.56475,0.79125
0.5652,0.79123
0.56565,0.79064
0.5661,0.7912
0.56655,0.79138
0.567,0.79135
0.56745,0.79079
0.56789,0.79076
0.56834,0.79053
0.56879,0.79045
0.56924,0.79018
0.56969,0.79098
0.57014,0.79041
0.57059,0.79079
0.57104,0.78982
0.57149,0.78987
0.57194,0.78968
0.57239,0.78968
0.57284,0.79007
0.57328,0.78991
0.57373,0.7902
0.57418,0.79005
0.57463,0.79002
0.57508,0.78994
0.57553,0.78991
0.57598,0.78984
0.57643,0.78943
0.57688,0.78942
0.57732,0.78958
0.57777,0.78878
0.57822,0.78895
0.57867,0.78926
0.57912,0.78917
0.57957,0.78892
0.58002,0.78885
0.58046,0.7883
0.58091,0.78841
0.58136,0.78852
0.58181,0.78807
0.58226,0.78834
0.58271,0.78813
0.58316,0.78784
0.5836,0.78756
0.58405,0.78769
0.5845,0.78682
0.58495,0.78697
0.5854,0.78657
0.58584,0.78646
0.58629,0.78571
0.58674,0.78565
0.58719,0.78482
0.58764,0.78506
0.58809,0.78511
0.58853,0.78524
0.58898,0.78533
0.58943,0.7859
0.58988,0.7862
0.59032,0.78586
0.59077,0.78514
0.59122,0.78605
0.59167,0.78576
0.59212,0.78594
0.59256,0.78533
0.59301,0.78516
0.59346,0.78486
0.59391,0.78506
0.59435,0.78502
0.5948,0.78536
0.59525,0.78508
0.5957,0.78533
0.59615,0.7848
0.59659,0.78464
0.59704,0.78494
0.59749,0.7844
0.59793,0.78374
0.59838,0.78357
0.59883,0.78362
0.59928,0.78325
0.59972,0.78242
0.60017,0.78231
0.60062,0.78262
0.60107,0.78297
0.60151,0.78291
0.60196,0.78278
0.60241,0.78262
0.60285,0.7823
0.6033,0.78142
0.60375,0.78143
0.6042,0.78077
0.60464,0.78048
0.60509,0.7799
0.60554,0.78012
0.60598,0.77958
0.60643,0.77862
0.60688,0.77924
0.60732,0.77878
0.60777,0.77903
0.60822,0.77854
0.60866,0.77844
0.60911,0.7784
0.60956,0.77885
0.61,0.77829
0.61045,0.77802
0.6109,0.77732
0.61134,0.77736
0.61179,0.77725
0.61224,0.77694
0.61268,0.77728
0.61313,0.77735
0.61358,0.77719
0.61402,0.77634
0.61447,0.77647
0.61492,0.77608
0.61536,0.77567
0.61581,0.77473
0.61625,0.77447
0.6167,0.77361
0.61715,0.77322
0.61759,0.77259
0.61804,0.77227
0.61848,0.77232
0.61893,0.77175
0.61938,0.77247
0.61982,0.77276
0.62027,0.77218
0.62071,0.77213
0.62116,0.77166
0.62161,0.77108
0.62205,0.77089
0.6225,0.77064
0.62294,0.7703
0.62339,0.77031
0.62384,0.76981
0.62428,0.7697
0.62473,0.76889
0.62517,0.76845
0.62562,0.76851
0.62606,0.76771
0.62651,0.76761
0.62696,0.76774
