Brown University Keck/NASA Relab Spectrum OC-TXH-015-D/C1OC15D,,
W,R,Standard Deviation
1.425,0.29207,0.00655
1.43,0.29307,0.00679
1.435,0.29258,0.00655
1.44,0.29332,0.0062
1.445,0.29288,0.00608
1.45,0.29394,0.00577
1.455,0.2941,0.00644
1.46,0.29414,0.00622
1.465,0.2936,0.00601
1.47,0.29434,0.00638
1.475,0.29416,0.00584
1.48,0.29435,0.00632
1.485,0.29389,0.00651
1.49,0.29373,0.0062
1.495,0.29379,0.00578
1.5,0.2938,0.00646
1.505,0.29374,0.00704
1.51,0.29378,0.00632
1.515,0.29379,0.00606
1.52,0.29377,0.00618
1.525,0.29371,0.00583
1.53,0.2938,0.00656
1.535,0.29367,0.00592
1.54,0.29363,0.00634
1.545,0.29335,0.00657
1.55,0.29324,0.00644
1.555,0.29315,0.00622
1.56,0.29218,0.00649
1.565,0.29075,0.00636
1.57,0.29153,0.00624
1.575,0.29163,0.0064
1.58,0.29144,0.00693
1.585,0.2903,0.00675
1.59,0.28994,0.00645
1.595,0.28961,0.00637
1.6,0.28845,0.00662
1.605,0.288,0.00681
1.61,0.28797,0.0067
1.615,0.28708,0.00696
1.62,0.2877,0.00653
1.625,0.28655,0.00664
1.63,0.28624,0.00711
1.635,0.28535,0.00726
1.64,0.28515,0.00649
1.645,0.28361,0.00668
1.65,0.2839,0.00677
1.655,0.2834,0.00679
1.66,0.28386,0.00693
1.665,0.28207,0.00681
1.67,0.28222,0.00708
1.675,0.28221,0.00725
1.68,0.2815,0.007
1.685,0.27941,0.00636
1.69,0.27945,0.00642
1.695,0.27926,0.00661
1.7,0.27852,0.0064
1.705,0.27794,0.00617
1.71,0.27748,0.00634
1.715,0.2768,0.00652
1.72,0.27598,0.0061
1.725,0.27585,0.00625
1.73,0.27506,0.00665
1.735,0.27445,0.00627
1.74,0.27365,0.00599
1.745,0.27294,0.00599
1.75,0.27197,0.00598
1.755,0.27133,0.00571
1.76,0.27097,0.00606
1.765,0.27023,0.00631
1.77,0.26954,0.00635
1.775,0.26876,0.00657
1.78,0.26856,0.00609
1.785,0.26831,0.00616
1.79,0.26722,0.00623
1.795,0.26669,0.00611
1.8,0.26678,0.00612
1.805,0.26615,0.00597
1.81,0.26526,0.00612
1.815,0.26489,0.00646
1.82,0.26492,0.00586
1.825,0.26368,0.00592
1.83,0.26279,0.00591
1.835,0.26281,0.00616
1.84,0.26199,0.00649
1.845,0.26183,0.00617
1.85,0.26146,0.00542
1.855,0.26094,0.00568
1.86,0.25984,0.00595
1.865,0.2601,0.00601
1.87,0.25951,0.00548
1.875,0.25903,0.00535
1.88,0.25857,0.00569
1.885,0.2584,0.00533
1.89,0.25777,0.00523
1.895,0.25713,0.00567
1.9,0.25642,0.00557
1.905,0.25682,0.00566
1.91,0.25644,0.00573
1.915,0.25645,0.00522
1.92,0.25608,0.00591
1.925,0.25477,0.0058
1.93,0.25548,0.00596
1.935,0.25562,0.00576
1.94,0.25525,0.00504
1.945,0.25433,0.00547
1.95,0.25464,0.00544
1.955,0.25389,0.00545
1.96,0.25412,0.00514
1.965,0.25389,0.00513
1.97,0.25374,0.00549
1.975,0.25348,0.00567
1.98,0.25352,0.00505
1.985,0.25358,0.00558
1.99,0.25337,0.00562
1.995,0.25338,0.00579
2,0.25379,0.00564
2.005,0.25378,0.00573
2.01,0.2534,0.00534
2.015,0.25328,0.00535
2.02,0.25363,0.00569
2.025,0.25322,0.00569
2.03,0.25276,0.00584
2.035,0.25343,0.00605
2.04,0.25374,0.00552
2.045,0.25354,0.00557
2.05,0.25343,0.0055
2.055,0.25357,0.00513
2.06,0.25391,0.00543
