Brown University Keck/NASA Relab Spectrum OC-TXH-002-A40/C1OC02A40,,
W,R,Standard Deviation
0.3,0.0718,0.16198
0.305,0.07694,0.10439
0.31,0.07661,0.07476
0.315,0.07878,0.0555
0.32,0.0795,0.04305
0.325,0.08182,0.03383
0.33,0.08347,0.0267
0.335,0.08406,0.0217
0.34,0.08605,0.01798
0.345,0.08758,0.01489
0.35,0.08906,0.01265
0.355,0.09063,0.01082
0.36,0.09246,0.00896
0.365,0.09359,0.00799
0.37,0.09628,0.00719
0.375,0.09816,0.00645
0.38,0.10004,0.00592
0.385,0.10224,0.00601
0.39,0.10417,0.00613
0.395,0.1064,0.0073
0.4,0.10753,0.00419
0.405,0.10918,0.00388
0.41,0.11106,0.00361
0.415,0.11288,0.00365
0.42,0.11467,0.00353
0.425,0.11643,0.00362
0.43,0.11819,0.00365
0.435,0.11991,0.0037
0.44,0.12137,0.00367
0.445,0.12294,0.0037
0.45,0.12427,0.0037
0.455,0.12579,0.00388
0.46,0.12733,0.0038
0.465,0.12904,0.00393
0.47,0.13046,0.00399
0.475,0.13224,0.004
0.48,0.13388,0.00404
0.485,0.13526,0.00408
0.49,0.13659,0.00412
0.495,0.13789,0.00415
0.5,0.13956,0.00421
0.505,0.14098,0.00426
0.51,0.14277,0.0043
0.515,0.14418,0.00435
0.52,0.14563,0.00433
0.525,0.14693,0.00437
0.53,0.14856,0.00456
0.535,0.15006,0.0046
0.54,0.15135,0.00456
0.545,0.15265,0.00462
0.55,0.15385,0.00461
0.555,0.15442,0.00469
0.56,0.15578,0.00468
0.565,0.15666,0.00466
0.57,0.15762,0.00474
0.575,0.15846,0.00474
0.58,0.15917,0.0049
0.585,0.15989,0.00489
0.59,0.16083,0.00494
0.595,0.16153,0.00497
0.6,0.16225,0.00498
0.605,0.16283,0.0051
0.61,0.16365,0.005
0.615,0.16458,0.0051
0.62,0.16521,0.00504
0.625,0.16601,0.00511
0.63,0.16684,0.00511
0.635,0.16771,0.0052
0.64,0.16854,0.00522
0.645,0.16932,0.00519
0.65,0.16944,0.00504
0.655,0.17029,0.00507
0.66,0.17104,0.0052
0.665,0.17166,0.00517
0.67,0.17249,0.00509
0.675,0.17308,0.00511
0.68,0.17397,0.00509
0.685,0.17474,0.00512
0.69,0.17516,0.00518
0.695,0.17571,0.00513
0.7,0.17627,0.00516
0.705,0.17665,0.00526
0.71,0.17726,0.00526
0.715,0.17765,0.00534
0.72,0.17802,0.00528
0.725,0.17837,0.00544
0.73,0.1785,0.00544
0.735,0.17866,0.00529
0.74,0.17887,0.00543
0.745,0.17872,0.00539
0.75,0.17884,0.00535
0.755,0.17832,0.00545
0.76,0.17873,0.00541
0.765,0.17819,0.0055
0.77,0.17783,0.00548
0.775,0.17727,0.00543
0.78,0.17699,0.00545
0.785,0.17636,0.00555
0.79,0.17584,0.00532
0.795,0.17477,0.00557
0.8,0.17414,0.00754
0.805,0.17392,0.00763
0.81,0.17302,0.00794
0.815,0.17162,0.00781
0.82,0.17076,0.00755
0.825,0.16957,0.0075
0.83,0.16923,0.00721
0.835,0.16784,0.00731
0.84,0.16716,0.00756
0.845,0.1661,0.00709
0.85,0.16503,0.00698
0.855,0.1643,0.00799
0.86,0.16263,0.0075
0.865,0.16242,0.00736
0.87,0.16169,0.00753
0.875,0.1606,0.00661
0.88,0.16039,0.00708
0.885,0.15931,0.00668
0.89,0.15901,0.00689
0.895,0.15791,0.00619
0.9,0.15715,0.00647
0.905,0.15767,0.00607
0.91,0.15695,0.00606
0.915,0.1569,0.00574
0.92,0.15669,0.00586
0.925,0.15631,0.00626
0.93,0.15631,0.00607
0.935,0.15631,0.00605
0.94,0.15538,0.00571
0.945,0.15607,0.00562
0.95,0.15579,0.00542
0.955,0.15624,0.00577
0.96,0.15593,0.00564
0.965,0.15574,0.00506
0.97,0.15565,0.00512
0.975,0.15579,0.00534
0.98,0.15605,0.00532
0.985,0.15522,0.00527
0.99,0.15561,0.00566
0.995,0.15603,0.00539
1,0.15593,0.00537
1.005,0.15588,0.00572
1.01,0.15554,0.00553
1.015,0.15575,0.00547
1.02,0.15556,0.00522
1.025,0.15554,0.00562
1.03,0.15628,0.00519
1.035,0.15604,0.00559
1.04,0.15632,0.00522
1.045,0.15633,0.00553
1.05,0.15703,0.00579
1.055,0.15699,0.00562
1.06,0.15711,0.00521
1.065,0.15714,0.00555
