KC-OL-hm_2,
W,R
0.50012,0.6689
0.50031,0.66179
0.5005,0.66537
0.5007,0.66944
0.50089,0.66752
0.50108,0.66758
0.50128,0.66415
0.50147,0.66592
0.50166,0.66984
0.50186,0.66664
0.50205,0.67048
0.50225,0.67066
0.50244,0.67905
0.50264,0.69516
0.50283,0.69078
0.50303,0.6855
0.50322,0.69193
0.50342,0.68892
0.50361,0.67768
0.50381,0.68662
0.50401,0.69346
0.5042,0.68085
0.5044,0.67569
0.50459,0.66515
0.50479,0.65957
0.50499,0.6666
0.50518,0.67221
0.50538,0.69422
0.50558,0.71242
0.50577,0.6998
0.50597,0.68056
0.50617,0.67266
0.50637,0.67044
0.50657,0.6804
0.50676,0.69143
0.50696,0.67864
0.50716,0.66497
0.50736,0.66498
0.50756,0.66956
0.50776,0.67387
0.50795,0.67467
0.50815,0.67644
0.50835,0.6825
0.50855,0.69099
0.50875,0.68138
0.50895,0.66414
0.50915,0.66935
0.50935,0.68072
0.50955,0.68515
0.50975,0.68236
0.50995,0.67654
0.51015,0.68371
0.51035,0.69249
0.51056,0.69316
0.51076,0.68869
0.51096,0.682
0.51116,0.68433
0.51136,0.68731
0.51156,0.68523
0.51177,0.68914
0.51197,0.69556
0.51217,0.70184
0.51237,0.70861
0.51257,0.70607
0.51278,0.69523
0.51298,0.69236
0.51318,0.69303
0.51339,0.67987
0.51359,0.67407
0.51379,0.69445
0.514,0.71034
0.5142,0.70389
0.51441,0.69629
0.51461,0.69287
0.51481,0.68863
0.51502,0.68834
0.51522,0.693
0.51543,0.69715
0.51563,0.69965
0.51584,0.70288
0.51604,0.70383
0.51625,0.70674
0.51645,0.70675
0.51666,0.69939
0.51687,0.69828
0.51707,0.69808
0.51728,0.69985
0.51749,0.70656
0.51769,0.70439
0.5179,0.70141
0.51811,0.69883
0.51831,0.69313
0.51852,0.69429
0.51873,0.69334
0.51894,0.68798
0.51914,0.69432
0.51935,0.70742
0.51956,0.70656
0.51977,0.69981
0.51998,0.70617
0.52018,0.71229
0.52039,0.71218
0.5206,0.71699
0.52081,0.71944
0.52102,0.71537
0.52123,0.70969
0.52144,0.70776
0.52165,0.70998
0.52186,0.71318
0.52207,0.71787
0.52228,0.7187
0.52249,0.71832
0.5227,0.71952
0.52291,0.72347
0.52312,0.72429
0.52333,0.71588
0.52355,0.7164
0.52376,0.71593
0.52397,0.71024
0.52418,0.71047
0.52439,0.70358
0.52461,0.70115
0.52482,0.70509
0.52503,0.70835
0.52524,0.71591
0.52546,0.72058
0.52567,0.71973
0.52588,0.71182
0.5261,0.71173
0.52631,0.72113
0.52652,0.72133
0.52674,0.71611
0.52695,0.70941
0.52717,0.70473
0.52738,0.70641
0.5276,0.71234
0.52781,0.7146
0.52802,0.71057
0.52824,0.71015
