BRU_LE2CPX_0,
W,R
0.648,0.71714
0.649,0.717755
0.65,0.714801
0.651,0.714396
0.652,0.716449
0.653,0.716788
0.654,0.716957
0.655,0.714281
0.656,0.715587
0.657,0.718045
0.658,0.717522
0.659,0.718691
0.66,0.718293
0.661,0.71573
0.662,0.716013
0.663,0.715002
0.664,0.715338
0.665,0.715654
0.666,0.716293
0.667,0.715868
0.668,0.714657
0.669,0.712775
0.67,0.715113
0.671,0.715162
0.672,0.714378
0.673,0.714605
0.674,0.715767
0.675,0.716537
0.676,0.716824
0.677,0.715808
0.678,0.713918
0.679,0.713403
0.68,0.714836
0.681,0.714626
0.682,0.711281
0.683,0.71198
0.684,0.714612
0.685,0.71429
0.686,0.713482
0.687,0.710278
0.688,0.712363
0.689,0.713316
0.69,0.714326
0.691,0.711788
0.692,0.711108
0.693,0.715507
0.694,0.711996
0.695,0.712072
0.696,0.713758
0.697,0.713707
0.698,0.715626
0.699,0.714445
0.7,0.712058
0.701,0.712411
0.702,0.713903
0.703,0.711902
0.704,0.713262
0.705,0.708937
0.706,0.70872
0.707,0.708855
0.708,0.716362
0.709,0.712386
0.71,0.711571
0.711,0.711479
0.712,0.713885
0.713,0.712056
0.714,0.70981
0.715,0.709426
0.716,0.71248
0.717,0.714872
0.718,0.709414
0.719,0.711794
0.72,0.710355
0.721,0.709687
0.722,0.71383
0.723,0.707721
0.724,0.710545
0.725,0.714472
0.726,0.711561
0.727,0.711421
0.728,0.710351
0.729,0.711082
0.73,0.711915
0.731,0.714587
0.732,0.710464
0.733,0.713988
0.734,0.710508
0.735,0.712881
0.736,0.710215
0.737,0.713685
0.738,0.712707
0.739,0.711435
0.74,0.712235
0.741,0.711817
0.742,0.710485
0.743,0.713566
0.744,0.714544
0.745,0.712513
0.746,0.713733
0.747,0.713498
0.748,0.710629
0.749,0.71475
0.75,0.71356
0.751,0.710829
0.752,0.711142
0.753,0.714526
0.754,0.714653
0.755,0.717264
0.756,0.713823
0.757,0.715314
0.758,0.712335
0.759,0.715121
0.76,0.716561
0.761,0.715121
0.762,0.715872
0.763,0.716512
0.764,0.714385
0.765,0.713841
0.766,0.715922
0.767,0.71634
0.768,0.714882
0.769,0.71565
0.77,0.717449
0.771,0.716832
0.772,0.713117
0.773,0.716899
0.774,0.71531
0.775,0.715556
0.776,0.721674
0.777,0.720403
0.778,0.718905
0.779,0.719374
0.78,0.717909
0.781,0.717385
0.782,0.719321
0.783,0.721197
0.784,0.719585
0.785,0.719586
0.786,0.719927
0.787,0.719731
0.788,0.722122
0.789,0.722883
0.79,0.723269
0.791,0.722619
0.792,0.722132
0.793,0.722074
0.794,0.722475
0.795,0.723734
0.796,0.723451
0.797,0.721051
0.798,0.726371
0.799,0.727739
0.8,0.727031
0.801,0.727674
0.802,0.724982
0.803,0.726811
0.804,0.730158
0.805,0.728943
0.806,0.726599
0.807,0.728763
0.808,0.73015
0.809,0.726868
0.81,0.728303
0.811,0.732178
0.812,0.732371
0.813,0.732258
0.814,0.732201
0.815,0.728148
0.816,0.729831
0.817,0.732022
0.818,0.731128
0.819,0.732344
0.82,0.732982
0.821,0.730077
0.822,0.730878
0.823,0.733867
0.824,0.735205
0.825,0.736841
0.826,0.735985
0.827,0.732792
0.828,0.738307
0.829,0.735
0.83,0.732734
0.831,0.733418
0.832,0.735781
0.833,0.731364
0.834,0.732609
0.835,0.735079
0.836,0.736315
0.837,0.736744
0.838,0.734904
0.839,0.731675
0.84,0.72951
0.841,0.737819
0.842,0.73725
0.843,0.735196
0.844,0.739328
0.845,0.732907
0.846,0.728088
0.847,0.726479
0.848,0.728836
0.849,0.733168
0.85,0.729526
0.851,0.725099
0.852,0.727483
0.853,0.737672
0.854,0.733961
0.855,0.724249
0.856,0.722872
0.857,0.724243
0.858,0.726221
0.859,0.725576
0.86,0.72788
0.861,0.732374
0.862,0.730284
0.863,0.728413
0.864,0.728843
0.865,0.730167
0.866,0.732298
0.867,0.726789
0.868,0.728426
0.869,0.724462
0.87,0.725971
0.871,0.725685
0.872,0.72299
0.873,0.724117
0.874,0.721118
0.875,0.721873
0.876,0.723721
0.877,0.725668
0.878,0.723991
0.879,0.71876
0.88,0.718941
0.881,0.719311
0.882,0.717937
0.883,0.719628
0.884,0.72053
0.885,0.719172
0.886,0.71751
0.887,0.716872
0.888,0.716053
0.889,0.716494
0.89,0.717044
0.891,0.715441
0.892,0.715399
0.893,0.714005
0.894,0.714341
0.895,0.713707
0.896,0.711912
0.897,0.709004
0.898,0.708551
0.899,0.707275
0.9,0.708693
0.901,0.705361
0.902,0.704437
0.903,0.703604
0.904,0.703535
0.905,0.701675
0.906,0.70086
0.907,0.698244
0.908,0.698116
0.909,0.696902
0.91,0.697411
0.911,0.696176
0.912,0.696313
0.913,0.693308
0.914,0.694038
0.915,0.693056
0.916,0.693039
0.917,0.69134
0.918,0.691475
0.919,0.688795
0.92,0.687887
0.921,0.68808
0.922,0.686497
0.923,0.686059
0.924,0.68447
0.925,0.683889
0.926,0.682349
0.927,0.682326
0.928,0.681028
0.929,0.679901
0.93,0.678923
0.931,0.676801
0.932,0.676981
0.933,0.675351
0.934,0.674106
0.935,0.672188
0.936,0.671722
0.937,0.671514
0.938,0.669974
0.939,0.668952
0.94,0.66782
0.941,0.666535
0.942,0.665575
0.943,0.664163
0.944,0.66244
0.945,0.661789
0.946,0.660682
0.947,0.658766
0.948,0.657542
0.949,0.656844
0.95,0.655601
0.951,0.6547
0.952,0.653424
0.953,0.651599
0.954,0.650815
0.955,0.649725
0.956,0.648716
0.957,0.647903
0.958,0.646407
0.959,0.645151
0.96,0.643452
0.961,0.642534
0.962,0.642279
0.963,0.641386
0.964,0.63897
0.965,0.637847
0.966,0.636854
0.967,0.635692
0.968,0.634145
0.969,0.633079
0.97,0.632247
0.971,0.631046
0.972,0.629745
0.973,0.628681
0.974,0.627787
0.975,0.626425
0.976,0.625542
0.977,0.624894
0.978,0.623865
0.979,0.622993
0.98,0.622211
0.981,0.620527
0.982,0.618738
0.983,0.617999
0.984,0.617054
0.985,0.615938
0.986,0.615206
0.987,0.614318
0.988,0.613307
0.989,0.612128
0.99,0.61137
0.991,0.610253
0.992,0.60928
0.993,0.608125
0.994,0.607518
0.995,0.606826
0.996,0.60576
0.997,0.604525
0.998,0.603674
0.999,0.602989
1,0.602194
1.001,0.601221
1.002,0.600146
1.003,0.599169
1.004,0.598445
1.005,0.598394
1.006,0.59798
1.007,0.596873
1.008,0.595774
1.009,0.594829
1.01,0.594532
1.011,0.593716
1.012,0.592981
1.013,0.592569
1.014,0.591778
1.015,0.591132
1.016,0.590096
1.017,0.589489
1.018,0.589246
1.019,0.588684
1.02,0.587736
1.021,0.586785
1.022,0.586811
1.023,0.586545
1.024,0.58613
1.025,0.585715
1.026,0.585719
1.027,0.585545
1.028,0.585127
1.029,0.584387
1.03,0.583949
1.031,0.583143
1.032,0.582552
1.033,0.582459
1.034,0.582519
1.035,0.582343
1.036,0.582658
1.037,0.582762
1.038,0.581855
1.039,0.581513
1.04,0.581321
1.041,0.581185
1.042,0.581496
1.043,0.581436
1.044,0.58124
1.045,0.581998
1.046,0.581332
1.047,0.5816
1.048,0.581325
1.049,0.58114
1.05,0.581912
1.051,0.581791
1.052,0.582003
1.053,0.581626
1.054,0.582012
1.055,0.582278
1.056,0.582764
1.057,0.583245
1.058,0.583532
1.059,0.583962
1.06,0.583969
1.061,0.585072
1.062,0.585507
1.063,0.585674
1.064,0.58593
1.065,0.585674
1.066,0.586724
1.067,0.588056
1.068,0.588214
1.069,0.588963
1.07,0.589718
1.071,0.590143
1.072,0.591082
1.073,0.592289
1.074,0.59246
1.075,0.593016
1.076,0.59358
1.077,0.594738
1.078,0.595757
1.079,0.596687
1.08,0.598113
1.081,0.598656
1.082,0.598996
1.083,0.600422
1.084,0.601433
1.085,0.602289
1.086,0.602988
1.087,0.604842
1.088,0.606098
1.089,0.6072
1.09,0.607604
1.091,0.608543
1.092,0.609903
1.093,0.610844
1.094,0.613277
1.095,0.613882
1.096,0.615271
1.097,0.61654
1.098,0.617743
1.099,0.618786
1.1,0.619525
1.101,0.621131
1.102,0.62271
1.103,0.623339
1.104,0.6253
1.105,0.625915
1.106,0.628673
1.107,0.62949
1.108,0.630854
1.109,0.632074
1.11,0.633886
1.111,0.635625
1.112,0.637789
1.113,0.638245
1.114,0.639809
1.115,0.640332
1.116,0.641873
1.117,0.643316
1.118,0.644643
1.119,0.646241
1.12,0.647691
1.121,0.64888
1.122,0.650854
1.123,0.651845
1.124,0.653541
1.125,0.65457
1.126,0.655246
1.127,0.657185
1.128,0.65815
1.129,0.660032
1.13,0.661125
1.131,0.662807
1.132,0.663879
1.133,0.665593
1.134,0.666585
1.135,0.667677
1.136,0.670582
1.137,0.671726
1.138,0.673159
1.139,0.673981
1.14,0.674954
1.141,0.675611
1.142,0.67756
1.143,0.679039
1.144,0.680102
1.145,0.681751
1.146,0.683032
1.147,0.684393
1.148,0.685478
1.149,0.686999
1.15,0.687782
1.151,0.689137
1.152,0.690518
1.153,0.691115
1.154,0.692115
1.155,0.693505
1.156,0.695262
1.157,0.696284
1.158,0.697104
1.159,0.698161
1.16,0.699789
1.161,0.700941
1.162,0.702175
1.163,0.703151
1.164,0.704561
1.165,0.705718
1.166,0.706738
1.167,0.7082
1.168,0.709313
1.169,0.710067
1.17,0.710728
1.171,0.71189
1.172,0.712944
1.173,0.714029
1.174,0.715405
1.175,0.716034
1.176,0.717366
1.177,0.718528
1.178,0.719247
1.179,0.720475
1.18,0.721442
1.181,0.722708
1.182,0.723683
1.183,0.723245
1.184,0.723818
1.185,0.725038
1.186,0.726257
1.187,0.727448
1.188,0.728645
1.189,0.728974
1.19,0.729939
1.191,0.731671
1.192,0.732814
1.193,0.733572
1.194,0.733967
1.195,0.734549
1.196,0.735621
1.197,0.736809
1.198,0.737969
1.199,0.738777
1.2,0.73954
1.201,0.740342
1.202,0.741682
1.203,0.742315
1.204,0.742359
1.205,0.743289
1.206,0.743996
1.207,0.744814
1.208,0.745761
1.209,0.746866
1.21,0.747861
1.211,0.748784
1.212,0.749627
1.213,0.750129
1.214,0.750612
1.215,0.751685
1.216,0.752617
1.217,0.753046
1.218,0.753929
1.219,0.754984
1.22,0.755498
1.221,0.75619
1.222,0.756714
1.223,0.757205
1.224,0.758037
1.225,0.759187
1.226,0.759685
1.227,0.760205
1.228,0.760416
1.229,0.761649
1.23,0.762701
1.231,0.763288
1.232,0.763831
1.233,0.764479
1.234,0.765182
1.235,0.765685
1.236,0.766266
1.237,0.76641
1.238,0.767841
1.239,0.768743
1.24,0.769367
1.241,0.769508
1.242,0.769803
1.243,0.770378
1.244,0.771502
1.245,0.771845
1.246,0.772268
1.247,0.773263
1.248,0.774329
1.249,0.774763
1.25,0.775541
1.251,0.775774
1.252,0.7771
1.253,0.776929
1.254,0.778037
1.255,0.77864
1.256,0.77861
1.257,0.779008
1.258,0.779946
1.259,0.781147
1.26,0.781227
1.261,0.781772
1.262,0.781923
1.263,0.783252
1.264,0.783537
1.265,0.783739
1.266,0.784159
1.267,0.785461
1.268,0.785761
1.269,0.786515
1.27,0.787148
1.271,0.787407
1.272,0.788395
1.273,0.788564
1.274,0.788771
1.275,0.789881
1.276,0.790333
1.277,0.790663
1.278,0.79138
1.279,0.791996
1.28,0.792018
1.281,0.793373
1.282,0.793338
1.283,0.794469
1.284,0.794258
1.285,0.795079
1.286,0.795571
1.287,0.79619
1.288,0.79618
1.289,0.796787
1.29,0.797621
1.291,0.797289
1.292,0.799102
1.293,0.798677
1.294,0.798634
1.295,0.799719
1.296,0.799615
1.297,0.799723
1.298,0.800775
1.299,0.801331
1.3,0.80195
1.301,0.802413
1.302,0.803518
1.303,0.803386
1.304,0.804014
1.305,0.804612
