KC-OPX-hm_0,
W,R
0.50012,0.31293
0.50031,0.32686
0.5005,0.32233
0.5007,0.30206
0.50089,0.28996
0.50108,0.28761
0.50128,0.28593
0.50147,0.2895
0.50166,0.30082
0.50186,0.31245
0.50205,0.3142
0.50225,0.30707
0.50244,0.29765
0.50264,0.28747
0.50283,0.28291
0.50303,0.28542
0.50322,0.28136
0.50342,0.27712
0.50361,0.28548
0.50381,0.2897
0.50401,0.28881
0.5042,0.29714
0.5044,0.30209
0.50459,0.29778
0.50479,0.29713
0.50499,0.29893
0.50518,0.29681
0.50538,0.29306
0.50558,0.2878
0.50577,0.28304
0.50597,0.2881
0.50617,0.30097
0.50637,0.30514
0.50657,0.30494
0.50676,0.30871
0.50696,0.30626
0.50716,0.30213
0.50736,0.29861
0.50756,0.28944
0.50776,0.28755
0.50795,0.29618
0.50815,0.30117
0.50835,0.29727
0.50855,0.2944
0.50875,0.29367
0.50895,0.28721
0.50915,0.2863
0.50935,0.29571
0.50955,0.30005
0.50975,0.30077
0.50995,0.3053
0.51015,0.30836
0.51035,0.30732
0.51056,0.30401
0.51076,0.30281
0.51096,0.30408
0.51116,0.30093
0.51136,0.30112
0.51156,0.31014
0.51177,0.30888
0.51197,0.29465
0.51217,0.28747
0.51237,0.29374
0.51257,0.30314
0.51278,0.30326
0.51298,0.29791
0.51318,0.29853
0.51339,0.29666
0.51359,0.29346
0.51379,0.29838
0.514,0.29833
0.5142,0.29836
0.51441,0.30515
0.51461,0.30722
0.51481,0.30192
0.51502,0.29308
0.51522,0.29244
0.51543,0.29739
0.51563,0.29934
0.51584,0.29996
0.51604,0.29805
0.51625,0.29408
0.51645,0.28676
0.51666,0.284
0.51687,0.29237
0.51707,0.30429
0.51728,0.30863
0.51749,0.30384
0.51769,0.30339
0.5179,0.30945
0.51811,0.31407
0.51831,0.31016
0.51852,0.30258
0.51873,0.3011
0.51894,0.30435
0.51914,0.31176
0.51935,0.31438
0.51956,0.3113
0.51977,0.30853
0.51998,0.3085
0.52018,0.3131
0.52039,0.31017
0.5206,0.30256
0.52081,0.2989
0.52102,0.29679
0.52123,0.29465
0.52144,0.29375
0.52165,0.29681
0.52186,0.29598
0.52207,0.2977
0.52228,0.30664
0.52249,0.3077
0.5227,0.30348
0.52291,0.30634
0.52312,0.31144
0.52333,0.30748
0.52355,0.30148
0.52376,0.30333
0.52397,0.30859
0.52418,0.3096
0.52439,0.30814
0.52461,0.3128
0.52482,0.31542
0.52503,0.31256
0.52524,0.31312
0.52546,0.30879
0.52567,0.29988
0.52588,0.30031
0.5261,0.30571
0.52631,0.30596
0.52652,0.30566
0.52674,0.30532
0.52695,0.30363
0.52717,0.30699
0.52738,0.30995
0.5276,0.30594
0.52781,0.30094
0.52802,0.29959
0.52824,0.30146
0.52846,0.3041
0.52867,0.30785
0.52889,0.31213
0.5291,0.3103
0.52932,0.30538
0.52953,0.30769
0.52975,0.31431
0.52997,0.31647
0.53018,0.3131
0.5304,0.31187
0.53062,0.31379
0.53084,0.31003
0.53105,0.3066
0.53127,0.30864
0.53149,0.30944
0.53171,0.3074
0.53192,0.30502
0.53214,0.30519
0.53236,0.30733
0.53258,0.31204
0.5328,0.31691
0.53302,0.31601
0.53324,0.3121
0.53346,0.30598
0.53368,0.30481
0.5339,0.30999
0.53412,0.30763
0.53434,0.30595
0.53456,0.3086
0.53478,0.30819
0.535,0.30817
0.53522,0.30428
0.53544,0.29946
0.53566,0.3026
0.53588,0.30915
0.5361,0.30854
0.53633,0.3039
0.53655,0.30441
0.53677,0.30464
0.53699,0.3054
0.53722,0.30821
0.53744,0.30723
0.53766,0.30566
0.53788,0.30571
0.53811,0.30654
0.53833,0.3076
0.53855,0.30791
0.53878,0.30737
0.539,0.30871
0.53923,0.31134
0.53945,0.31202
0.53968,0.31031
0.5399,0.30925
0.54013,0.315
0.54035,0.31908
0.54058,0.3159
0.5408,0.31299
0.54103,0.3132
0.54125,0.31477
0.54148,0.31251
0.54171,0.31277
0.54193,0.31661
0.54216,0.31747
0.54239,0.31859
0.54261,0.31841
0.54284,0.31785
0.54307,0.31556
0.54329,0.30964
0.54352,0.30711
0.54375,0.30898
0.54398,0.30841
0.54421,0.30577
0.54444,0.3063
0.54466,0.30697
0.54489,0.3101
0.54512,0.31246
0.54535,0.30878
0.54558,0.30791
0.54581,0.30929
0.54604,0.30982
0.54627,0.30992
0.5465,0.30959
0.54673,0.30972
0.54696,0.30973
0.54719,0.31071
0.54742,0.30994
0.54766,0.30947
0.54789,0.31032
0.54812,0.30922
0.54835,0.30883
0.54858,0.30989
0.54881,0.31116
0.54905,0.30862
0.54928,0.30593
0.54951,0.31068
0.54975,0.31389
0.54998,0.31084
0.55021,0.30968
0.55045,0.3105
0.55068,0.30918
0.55091,0.30742
0.55115,0.30613
0.55138,0.30705
0.55162,0.30905
0.55185,0.30822
0.55209,0.31004
0.55232,0.31365
0.55256,0.31304
0.55279,0.31143
0.55303,0.31337
0.55327,0.31627
0.5535,0.31239
0.55374,0.3081
0.55397,0.30832
0.55421,0.30854
0.55445,0.31124
0.55469,0.31229
0.55492,0.31171
0.55516,0.31249
0.5554,0.31141
0.55564,0.31144
0.55588,0.31094
0.55611,0.30949
0.55635,0.31159
0.55659,0.31436
0.55683,0.31409
0.55707,0.31284
0.55731,0.31138
0.55755,0.30898
0.55779,0.30814
0.55803,0.30851
0.55827,0.30955
0.55851,0.31094
0.55875,0.31166
