SM-Eifel,
W,R
1.682316937,0.289585559
1.687753838,0.289585559
1.689928598,0.289585559
1.693190739,0.289585559
1.698627639,0.289585559
1.70297716,0.289585559
1.70732668,0.289585559
1.712763581,0.289585559
1.717113101,0.289029113
1.721968549,0.288366098
1.725812142,0.288472667
1.730161663,0.28875089
1.735598564,0.288472667
1.738860704,0.288472667
1.738860704,0.287916222
1.743210225,0.287359776
1.747559745,0.287359776
1.751909266,0.287359776
1.754084026,0.287081553
1.758433546,0.287359776
1.763870447,0.287359776
1.768219967,0.287359776
1.773656868,0.287359776
1.776919008,0.287359776
1.77921709,0.285763368
1.780181149,0.287359776
1.784530669,0.285690438
1.79105495,0.285690438
1.79431709,0.284577546
1.797579231,0.284577546
1.800841371,0.284577546
1.804103512,0.284577546
1.806278272,0.284577546
1.808453032,0.284299323
1.812802553,0.284577546
1.818239453,0.282908209
1.821501594,0.284577546
1.823676354,0.285133992
1.829113255,0.285133992
1.835887363,0.285016849
1.839987056,0.285412215
1.846511337,0.285412215
1.851948237,0.285133992
1.854122997,0.285133992
1.857385138,0.285412215
1.858472518,0.286246884
1.861734658,0.286246884
1.864996799,0.287081553
1.869346319,0.28680333
1.87152108,0.287359776
1.87260846,0.287081553
1.87369584,0.286246884
1.87695798,0.285412215
1.87804536,0.284577546
1.882394881,0.284299323
1.884569641,0.283742877
1.888919162,0.283186432
1.893268682,0.282351763
1.893268682,0.28207354
1.893714173,0.282918524
1.895443442,0.281238871
1.900880343,0.280404202
1.903055103,0.280682425
1.907404624,0.281238871
1.912841524,0.281795317
1.915016285,0.281795317
1.919365805,0.281795317
1.922627945,0.281795317
1.925890086,0.281795317
1.928064846,0.282908209
1.932414367,0.283464655
1.933501747,0.284577546
1.934589127,0.285690438
1.938938647,0.286246884
1.938938647,0.286246884
1.942200788,0.285690438
1.945462928,0.285690438
1.950962714,0.28612654
1.956336729,0.287081553
1.95851149,0.287637999
1.96068625,0.287637999
1.96286101,0.287916222
1.96286101,0.288194444
1.96503577,0.288472667
1.966123151,0.288472667
1.969385291,0.289029113
1.971560051,0.289029113
1.974822192,0.289029113
1.975909572,0.289307336
1.978084332,0.289585559
1.979171712,0.290142005
1.979171712,0.290142005
1.982433852,0.290420228
1.984608613,0.290698451
1.987870753,0.290976674
1.987870753,0.290976674
1.990045513,0.290976674
1.992220274,0.29153312
1.992220274,0.291811343
1.994395034,0.292924234
1.995482414,0.292924234
1.995482414,0.292924234
1.997657174,0.293202457
2.000919315,0.294037126
2.000919315,0.294037126
2.004181455,0.294871795
2.008211256,0.294479486
2.009618356,0.295706464
2.017230017,0.295706464
2.018317397,0.295706464
2.019404777,0.29626291
2.022666917,0.297097578
2.022666917,0.297097578
2.025929058,0.297932247
2.025929058,0.297932247
2.030278578,0.29821047
2.032453338,0.298766916
2.032453338,0.298766916
2.032453338,0.299045139
2.033540718,0.299323362
2.037890239,0.299601585
2.0455019,0.299879808
2.052026181,0.300714476
2.054200941,0.301549145
2.058550461,0.302383814
2.062857591,0.303171392
2.062899982,0.303774929
2.070511643,0.304609598
2.075948543,0.304887821
2.079210684,0.306000712
2.082472824,0.306835381
2.084647584,0.307113604
2.087909725,0.307391827
2.088997105,0.30767005
2.093346625,0.307948273
2.093346625,0.308226496
2.093346625,0.309061165
2.095521386,0.30961761
2.099870906,0.310174056
2.099870906,0.310452279
2.104220427,0.311008725
2.112919468,0.311843394
2.118356368,0.313234509
2.122708338,0.313969693
2.12814279,0.314625623
2.13249231,0.315738515
2.136841831,0.317407853
2.139016591,0.318242521
2.143366111,0.31907719
2.148803012,0.319911859
2.152065152,0.319911859
2.161851573,0.320190082
2.165113714,0.321302974
2.167288474,0.322415865
2.168375854,0.323528757
2.173812755,0.32380698
2.174900135,0.324085203
2.178162275,0.324085203
2.182038645,0.324077969
2.186861316,0.324085203
2.193385597,0.325754541
2.197735118,0.326310986
2.199909878,0.326589209
2.204259398,0.327980324
2.204259398,0.327980324
2.208608919,0.329093216
2.2151332,0.330206108
2.21622058,0.33048433
2.21948272,0.331318999
2.223832241,0.331597222
2.230356521,0.331875445
2.236880802,0.332153668
2.238766745,0.332200906
2.240142943,0.332153668
2.243405083,0.332988337
2.247754604,0.334101229
2.252104124,0.334379452
2.254278884,0.334657675
2.256453645,0.334935897
2.260803165,0.335770566
2.262977925,0.335770566
2.268414826,0.336327012
2.271676966,0.336883458
2.273851727,0.337439904
2.278201247,0.338274573
2.280376007,0.338552796
2.282550768,0.338831019
2.284725528,0.339109241
2.289075048,0.339665687
2.292337189,0.340222133
2.294453962,0.34042069
2.295599329,0.340500356
2.29994885,0.340500356
2.30321099,0.341613248
2.30647313,0.343560808
2.30647313,0.343560808
2.312997411,0.3446737
2.317346932,0.344951923
2.322783832,0.345230146
2.326045973,0.345508369
2.332570253,0.345508369
2.333657634,0.346343038
2.341269294,0.346343038
2.343444055,0.346899484
2.343444055,0.346899484
2.344531435,0.346899484
2.350661621,0.346449338
2.354317856,0.347455929
2.361929517,0.347177707
2.367366418,0.347177707
2.369541178,0.346064815
2.373890698,0.344395477
2.373890698,0.353020388
2.374978078,0.344395477
2.374978078,0.346899484
2.381502359,0.354411503
2.38585188,0.353576834
2.38802664,0.351907496
2.39128878,0.349959936
2.396725681,0.348568821
2.401075201,0.348568821
2.407599482,0.349125267
2.408951045,0.350407908
2.410861623,0.351907496
2.421735424,0.351629274
2.432609225,0.351351051
2.432609225,0.350794605
2.434783985,0.348568821
2.438046126,0.343282585
2.443483026,0.342169694
2.445657787,0.351351051
2.446745167,0.348012375
2.454356828,0.355246172
2.466672715,0.350044736
2.468492769,0.354689726
2.480453951,0.365818643
2.481812825,0.362695213
2.484803471,0.341891471
2.486978232,0.351351051
2.491327752,0.351629274

