KC-OPX-hm_5,
W,R
0.57005,0.22176
0.5703,0.22161
0.57056,0.2238
0.57081,0.22357
0.57106,0.22358
0.57131,0.22427
0.57156,0.22468
0.57181,0.22506
0.57207,0.22468
0.57232,0.22336
0.57257,0.22218
0.57282,0.22322
0.57308,0.22439
0.57333,0.22457
0.57358,0.2241
0.57384,0.22335
0.57409,0.22485
0.57435,0.22685
0.5746,0.22627
0.57486,0.22607
0.57511,0.22865
0.57537,0.22939
0.57562,0.22662
0.57588,0.22566
0.57613,0.22769
0.57639,0.22891
0.57665,0.22944
0.5769,0.2298
0.57716,0.22876
0.57742,0.22758
0.57767,0.22689
0.57793,0.22695
0.57819,0.22585
0.57845,0.22401
0.57871,0.22615
0.57896,0.22959
0.57922,0.23219
0.57948,0.23349
0.57974,0.23127
0.58,0.22758
0.58026,0.22463
0.58052,0.22487
0.58078,0.22753
0.58104,0.22839
0.5813,0.22766
0.58156,0.22754
0.58182,0.2282
0.58208,0.22889
0.58235,0.22882
0.58261,0.22842
0.58287,0.22901
0.58313,0.2295
0.58339,0.22932
0.58366,0.22853
0.58392,0.22737
0.58418,0.22747
0.58445,0.2285
0.58471,0.22965
0.58497,0.22926
0.58524,0.22791
0.5855,0.22837
0.58577,0.2295
0.58603,0.23047
0.5863,0.23144
0.58656,0.2315
0.58683,0.23019
0.58709,0.22977
0.58736,0.23122
0.58763,0.23109
0.58789,0.22936
0.58816,0.22805
0.58843,0.22703
0.58869,0.22815
0.58896,0.23202
0.58923,0.23391
0.5895,0.2334
0.58976,0.23383
0.59003,0.23348
0.5903,0.23154
0.59057,0.22964
0.59084,0.22911
0.59111,0.2307
0.59138,0.23224
0.59165,0.23166
0.59192,0.22968
0.59219,0.22827
0.59246,0.22942
0.59273,0.23201
0.593,0.23302
0.59327,0.23312
0.59354,0.23314
0.59382,0.23291
0.59409,0.2322
0.59436,0.2308
0.59463,0.23139
0.59491,0.23345
0.59518,0.23433
0.59545,0.23395
0.59573,0.23342
0.596,0.2335
0.59627,0.23331
0.59655,0.23312
0.59682,0.23323
0.5971,0.23378
0.59737,0.23492
0.59765,0.236
0.59792,0.23589
0.5982,0.23399
0.59848,0.23346
0.59875,0.23399
0.59903,0.23349
0.59931,0.23406
0.59958,0.23511
0.59986,0.23498
0.60014,0.23511
0.60042,0.23631
0.6007,0.23595
0.60097,0.23552
0.60125,0.23722
0.60153,0.23784
0.60181,0.23793
0.60209,0.23777
0.60237,0.23639
0.60265,0.23561
0.60293,0.23425
0.60321,0.23292
0.60349,0.23405
0.60377,0.23602
0.60405,0.23676
0.60434,0.23594
0.60462,0.23502
0.6049,0.23563
0.60518,0.23733
0.60547,0.23914
0.60575,0.24015
0.60603,0.23966
0.60631,0.23805
0.6066,0.23695
0.60688,0.23775
0.60717,0.23953
0.60745,0.23994
0.60774,0.23901
0.60802,0.23835
0.60831,0.23758
0.60859,0.23745
0.60888,0.23867
0.60916,0.23912
0.60945,0.23938
0.60974,0.24011
0.61002,0.2398
0.61031,0.23843
0.6106,0.23826
0.61089,0.23941
0.61117,0.24063
0.61146,0.24187
0.61175,0.24056
0.61204,0.23897
0.61233,0.24004
0.61262,0.24027
0.61291,0.23996
0.6132,0.24066
0.61349,0.24083
0.61378,0.23963
0.61407,0.23914
0.61436,0.24097
0.61465,0.24326
0.61494,0.24329
0.61524,0.24136
0.61553,0.24072
0.61582,0.24053
0.61611,0.24
0.61641,0.24059
0.6167,0.24144
0.61699,0.24071
0.61729,0.23934
0.61758,0.24099
0.61787,0.24344
0.61817,0.24369
0.61846,0.24303
0.61876,0.243
0.61905,0.24297
0.61935,0.24251
0.61965,0.24339
0.61994,0.24363
0.62024,0.24327
0.62054,0.24253
0.62083,0.24076
0.62113,0.24122
0.62143,0.24292
0.62173,0.24412
0.62203,0.24396
0.62232,0.24342
0.62262,0.24359
0.62292,0.24423
0.62322,0.24511
0.62352,0.24557
0.62382,0.24645
0.62412,0.24573
0.62442,0.24478
0.62472,0.24423
0.62502,0.24374
0.62533,0.24484
0.62563,0.2454
0.62593,0.24642
0.62623,0.24692
0.62654,0.24668
0.62684,0.24572
0.62714,0.24522
0.62744,0.24663
0.62775,0.24718
0.62805,0.24876
0.62836,0.24851
0.62866,0.24708
0.62897,0.24664
0.62927,0.24748
0.62958,0.24871
0.62988,0.24653
0.63019,0.24637
0.6305,0.24599
0.6308,0.24685
0.63111,0.24734
0.63142,0.24722
0.63173,0.24952
0.63203,0.2489
0.63234,0.23876
0.63327,0.26626
0.63358,0.24163
0.63389,0.25073
0.6342,0.25051
0.63451,0.24882
0.63482,0.25044
0.63513,0.25024
0.63544,0.24897
0.63575,0.24906
0.63607,0.2491
0.63638,0.25114
0.63669,0.25115
0.637,0.2517
0.63732,0.25137
0.63763,0.25127
0.63794,0.25111
0.63826,0.25001
0.63857,0.25042
0.63889,0.2499
0.6392,0.25099
0.63952,0.2526
0.63983,0.25294
0.64015,0.2526
0.64046,0.25249
0.64078,0.25307
0.6411,0.25356
0.64142,0.25437
0.64173,0.25327
0.64205,0.25323
0.64237,0.25399
0.64269,0.25364
0.64301,0.25403
0.64333,0.25391
0.64364,0.25365
0.64396,0.25292
0.64428,0.25279
0.64461,0.25329
0.64493,0.25387
0.64525,0.25463
0.64557,0.25461
0.64589,0.25459
0.64621,0.25421
0.64653,0.25509
0.64686,0.25639
0.64718,0.25608
0.6475,0.25595
0.64783,0.25658
0.64815,0.25693
0.64847,0.2562
0.6488,0.25634
0.64912,0.25621
0.64945,0.25575
0.64978,0.25678
0.6501,0.25748
0.65043,0.25746
0.65075,0.25647
0.65108,0.25637
0.65141,0.25757
0.65173,0.25795
0.65206,0.2584
0.65239,0.25924
0.65272,0.25925
0.65305,0.25843
0.65338,0.25898
0.65371,0.26047
0.65404,0.26051
0.65437,0.25956
0.6547,0.25885
0.65503,0.25913
0.65536,0.2603
0.65569,0.26091
0.65602,0.26
0.65635,0.25938
0.65669,0.25976
0.65702,0.25992
0.65735,0.26002
0.65769,0.26019
0.65802,0.26056
0.65836,0.26098
0.65869,0.26128
0.65902,0.26137
0.65936,0.26167
0.6597,0.26206
0.66003,0.26178
0.66037,0.26179
0.6607,0.26189
0.66104,0.26225
0.66138,0.2626
0.66172,0.26174
0.66205,0.26144
0.66239,0.26207
0.66273,0.26268
0.66307,0.26312
0.66341,0.26302
0.66375,0.26297
0.66409,0.26358
0.66443,0.26406
0.66477,0.26378
0.66511,0.26366
0.66545,0.26438
0.66579,0.2645
0.66614,0.26342
0.66648,0.26298
0.66682,0.26384
0.66716,0.26515
0.66751,0.26593
0.66785,0.26564
0.6682,0.26524
0.66854,0.26512
0.66889,0.26556
0.66923,0.26686
0.66958,0.26748
0.66992,0.26715
0.67027,0.26725
0.67062,0.2674
0.67096,0.26683
0.67131,0.26706
0.67166,0.26849
0.67201,0.26911
0.67236,0.26839
0.6727,0.26755
0.67305,0.26752
0.6734,0.26769
0.67375,0.26785
0.6741,0.26917
0.67445,0.27026
0.67481,0.26966
0.67516,0.26912
0.67551,0.26928
0.67586,0.26974
0.67621,0.27073
0.67657,0.27143
0.67692,0.27147
0.67727,0.27138
0.67763,0.27119
0.67798,0.27083
0.67834,0.27076
0.67869,0.27071
0.67905,0.2704
0.6794,0.27125
0.67976,0.27255
0.68012,0.27292
0.68047,0.27314
0.68083,0.27346
0.68119,0.27343
0.68155,0.27302
0.6819,0.27255
0.68226,0.27214
0.68262,0.27234
0.68298,0.27307
0.68334,0.27354
0.6837,0.27393
0.68406,0.27401
0.68443,0.27442
0.68479,0.2754
0.68515,0.27573
0.68551,0.27558
0.68587,0.27549
0.68624,0.27575
0.6866,0.27634
0.68696,0.27681
0.68733,0.27679
0.68769,0.27639
0.68806,0.27606
0.68842,0.2757
0.68879,0.27566
0.68916,0.27589
0.68952,0.27627
0.68989,0.27711
0.69026,0.27744
0.69062,0.27731
0.69099,0.27782
0.69136,0.2786
0.69173,0.27873
0.6921,0.27861
0.69247,0.27884
0.69284,0.27897
0.69321,0.27901
0.69358,0.27884
0.69395,0.27869
0.69432,0.27954
0.6947,0.28037
0.69507,0.28028
0.69544,0.28005
0.69581,0.27973
0.69619,0.2796
0.69656,0.28043
0.69694,0.28164
0.69731,0.28214
0.69769,0.2819
0.69806,0.28199
0.69844,0.28234
0.69881,0.28196
0.69919,0.28177
0.69957,0.28199
0.69995,0.28224
0.70032,0.28303
0.7007,0.28349
0.70108,0.28352
0.70146,0.28415
0.70184,0.28498
0.70222,0.28476
0.7026,0.284
0.70298,0.2842
