KC-OL-hm_1,
W,R
0.50012,0.75494
0.50031,0.75593
0.5005,0.75489
0.5007,0.75133
0.50089,0.74664
0.50108,0.74488
0.50128,0.74047
0.50147,0.73864
0.50166,0.73658
0.50186,0.73632
0.50205,0.74423
0.50225,0.74537
0.50244,0.75061
0.50264,0.76379
0.50283,0.77424
0.50303,0.78347
0.50322,0.7771
0.50342,0.76058
0.50361,0.75439
0.50381,0.75056
0.50401,0.73785
0.5042,0.73951
0.5044,0.75975
0.50459,0.76173
0.50479,0.74663
0.50499,0.73886
0.50518,0.74028
0.50538,0.75148
0.50558,0.76815
0.50577,0.76963
0.50597,0.75727
0.50617,0.74925
0.50637,0.74492
0.50657,0.75139
0.50676,0.76135
0.50696,0.75711
0.50716,0.74718
0.50736,0.73797
0.50756,0.73701
0.50776,0.74375
0.50795,0.74843
0.50815,0.74973
0.50835,0.75155
0.50855,0.75324
0.50875,0.74246
0.50895,0.7317
0.50915,0.73902
0.50935,0.75519
0.50955,0.76253
0.50975,0.76166
0.50995,0.76544
0.51015,0.7685
0.51035,0.76849
0.51056,0.76516
0.51076,0.75068
0.51096,0.74117
0.51116,0.74665
0.51136,0.74829
0.51156,0.74266
0.51177,0.74804
0.51197,0.75569
0.51217,0.75537
0.51237,0.76116
0.51257,0.76552
0.51278,0.75963
0.51298,0.75943
0.51318,0.76519
0.51339,0.75837
0.51359,0.75108
0.51379,0.76384
0.514,0.77561
0.5142,0.77482
0.51441,0.77496
0.51461,0.77375
0.51481,0.76996
0.51502,0.76839
0.51522,0.76511
0.51543,0.75997
0.51563,0.76483
0.51584,0.77161
0.51604,0.77113
0.51625,0.77659
0.51645,0.78164
0.51666,0.78465
0.51687,0.78607
0.51707,0.7774
0.51728,0.77531
0.51749,0.77695
0.51769,0.77339
0.5179,0.77807
0.51811,0.78788
0.51831,0.78958
0.51852,0.78158
0.51873,0.77186
0.51894,0.76574
0.51914,0.77027
0.51935,0.78386
0.51956,0.7863
0.51977,0.7726
0.51998,0.76423
0.52018,0.77274
0.52039,0.78277
0.5206,0.78911
0.52081,0.79867
0.52102,0.80036
0.52123,0.79283
0.52144,0.78722
0.52165,0.78227
0.52186,0.77942
0.52207,0.77918
0.52228,0.77329
0.52249,0.77305
0.5227,0.78514
0.52291,0.79389
0.52312,0.79182
0.52333,0.78687
0.52355,0.78747
0.52376,0.78016
0.52397,0.77044
0.52418,0.77507
0.52439,0.78018
0.52461,0.78107
0.52482,0.77743
0.52503,0.77547
0.52524,0.77777
0.52546,0.77665
0.52567,0.78235
0.52588,0.78525
0.5261,0.78162
0.52631,0.78447
0.52652,0.78916
0.52674,0.79178
0.52695,0.7849
0.52717,0.77566
0.52738,0.77707
0.5276,0.78117
0.52781,0.78386
0.52802,0.78884
0.52824,0.7929
0.52846,0.78883
0.52867,0.78509
0.52889,0.78749
0.5291,0.78739
0.52932,0.7883
0.52953,0.79025
0.52975,0.78902
0.52997,0.79143
0.53018,0.79148
0.5304,0.78293
0.53062,0.77648
0.53084,0.77465
0.53105,0.77383
0.53127,0.77231
0.53149,0.77384
0.53171,0.78054
0.53192,0.78308
0.53214,0.78556
0.53236,0.78765
0.53258,0.78068
0.5328,0.77509
0.53302,0.77609
0.53324,0.78043
0.53346,0.78496
0.53368,0.79149
0.5339,0.79771
0.53412,0.79291
0.53434,0.78418
0.53456,0.78059
0.53478,0.78284
0.535,0.7899
0.53522,0.79564
0.53544,0.79403
0.53566,0.78792
0.53588,0.79019
0.5361,0.79526
0.53633,0.79209
0.53655,0.79257
0.53677,0.79679
0.53699,0.79623
0.53722,0.79625
0.53744,0.79688
0.53766,0.79657
0.53788,0.79616
0.53811,0.79361
0.53833,0.79186
0.53855,0.79064
0.53878,0.79066
0.539,0.79504
0.53923,0.80345
0.53945,0.81156
0.53968,0.81041
0.5399,0.80406
0.54013,0.79843
0.54035,0.7939
0.54058,0.79553
0.5408,0.79912
0.54103,0.79458
0.54125,0.78801
0.54148,0.79019
0.54171,0.79321
0.54193,0.79485
0.54216,0.80068
0.54239,0.8028
0.54261,0.80439
0.54284,0.80525
0.54307,0.79752
0.54329,0.79367
0.54352,0.80036
0.54375,0.80708
0.54398,0.80635
0.54421,0.80185
0.54444,0.80362
0.54466,0.81179
0.54489,0.81435
0.54512,0.80768
0.54535,0.80445
0.54558,0.80786
0.54581,0.80831
0.54604,0.80779
0.54627,0.80952
0.5465,0.80921
0.54673,0.80459
0.54696,0.79855
0.54719,0.7984
